game,2015,4,20151004,201510040sfo,gnb,"Green Bay Packers",17,sfo,"San Francisco 49ers",3
team,201510040sfo,gnb,First Downs,18,,,,,,
team,201510040sfo,sfo,First Downs,8,,,,,,
team,201510040sfo,gnb,Rush-Yds-TDs,33-162-1,,,,,,
team,201510040sfo,sfo,Rush-Yds-TDs,19-77-0,,,,,,
team,201510040sfo,gnb,Cmp-Att-Yd-TD-INT,22-32-224-1-0,,,,,,
team,201510040sfo,sfo,Cmp-Att-Yd-TD-INT,13-25-160-0-1,,,,,,
team,201510040sfo,gnb,Sacked-Yards,3-24,,,,,,
team,201510040sfo,sfo,Sacked-Yards,6-41,,,,,,
team,201510040sfo,gnb,Net Pass Yards,200,,,,,,
team,201510040sfo,sfo,Net Pass Yards,119,,,,,,
team,201510040sfo,gnb,Total Yards,362,,,,,,
team,201510040sfo,sfo,Total Yards,196,,,,,,
team,201510040sfo,gnb,Fumbles-Lost,0-0,,,,,,
team,201510040sfo,sfo,Fumbles-Lost,3-0,,,,,,
team,201510040sfo,gnb,Turnovers,0,,,,,,
team,201510040sfo,sfo,Turnovers,1,,,,,,
team,201510040sfo,gnb,Penalties-Yards,8-65,,,,,,
team,201510040sfo,sfo,Penalties-Yards,4-30,,,,,,
team,201510040sfo,gnb,Third Down Conv.,5-15,,,,,,
team,201510040sfo,sfo,Third Down Conv.,4-13,,,,,,
team,201510040sfo,gnb,Fourth Down Conv.,2-2,,,,,,
team,201510040sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201510040sfo,gnb,Time of Possession,36:34,,,,,,
team,201510040sfo,sfo,Time of Possession,23:26,,,,,,
player,201510040sfo,gnb,RodgAa00,pass_cmp,22,,,,,
player,201510040sfo,gnb,RodgAa00,pass_att,32,,,,,
player,201510040sfo,gnb,RodgAa00,pass_yds,224,,,,,
player,201510040sfo,gnb,RodgAa00,pass_td,1,,,,,
player,201510040sfo,gnb,RodgAa00,pass_int,0,,,,,
player,201510040sfo,gnb,RodgAa00,pass_sacked,3,,,,,
player,201510040sfo,gnb,RodgAa00,pass_sacked_yds,24,,,,,
player,201510040sfo,gnb,RodgAa00,pass_long,38,,,,,
player,201510040sfo,gnb,RodgAa00,pass_rating,99.0,,,,,
player,201510040sfo,gnb,RodgAa00,rush_att,3,,,,,
player,201510040sfo,gnb,RodgAa00,rush_yds,33,,,,,
player,201510040sfo,gnb,RodgAa00,rush_td,0,,,,,
player,201510040sfo,gnb,RodgAa00,rush_long,17,,,,,
player,201510040sfo,gnb,RodgAa00,targets,0,,,,,
player,201510040sfo,gnb,RodgAa00,rec,0,,,,,
player,201510040sfo,gnb,RodgAa00,rec_yds,0,,,,,
player,201510040sfo,gnb,RodgAa00,rec_td,0,,,,,
player,201510040sfo,gnb,RodgAa00,rec_long,0,,,,,
player,201510040sfo,gnb,RodgAa00,fumbles,0,,,,,
player,201510040sfo,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_cmp,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_att,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_yds,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_td,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_int,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_sacked,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_long,0,,,,,
player,201510040sfo,gnb,LacyEd00,pass_rating,,,,,,
player,201510040sfo,gnb,LacyEd00,rush_att,18,,,,,
player,201510040sfo,gnb,LacyEd00,rush_yds,90,,,,,
player,201510040sfo,gnb,LacyEd00,rush_td,0,,,,,
player,201510040sfo,gnb,LacyEd00,rush_long,15,,,,,
player,201510040sfo,gnb,LacyEd00,targets,3,,,,,
player,201510040sfo,gnb,LacyEd00,rec,1,,,,,
player,201510040sfo,gnb,LacyEd00,rec_yds,3,,,,,
player,201510040sfo,gnb,LacyEd00,rec_td,0,,,,,
player,201510040sfo,gnb,LacyEd00,rec_long,3,,,,,
player,201510040sfo,gnb,LacyEd00,fumbles,0,,,,,
player,201510040sfo,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_cmp,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_att,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_yds,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_td,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_int,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_sacked,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_long,0,,,,,
player,201510040sfo,gnb,StarJa00,pass_rating,,,,,,
player,201510040sfo,gnb,StarJa00,rush_att,9,,,,,
player,201510040sfo,gnb,StarJa00,rush_yds,28,,,,,
player,201510040sfo,gnb,StarJa00,rush_td,0,,,,,
player,201510040sfo,gnb,StarJa00,rush_long,6,,,,,
player,201510040sfo,gnb,StarJa00,targets,2,,,,,
player,201510040sfo,gnb,StarJa00,rec,2,,,,,
player,201510040sfo,gnb,StarJa00,rec_yds,11,,,,,
player,201510040sfo,gnb,StarJa00,rec_td,0,,,,,
player,201510040sfo,gnb,StarJa00,rec_long,8,,,,,
player,201510040sfo,gnb,StarJa00,fumbles,0,,,,,
player,201510040sfo,gnb,StarJa00,fumbles_lost,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_cmp,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_att,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_yds,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_td,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_int,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_sacked,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_long,0,,,,,
player,201510040sfo,gnb,MontTy01,pass_rating,,,,,,
player,201510040sfo,gnb,MontTy01,rush_att,2,,,,,
player,201510040sfo,gnb,MontTy01,rush_yds,10,,,,,
player,201510040sfo,gnb,MontTy01,rush_td,0,,,,,
player,201510040sfo,gnb,MontTy01,rush_long,9,,,,,
player,201510040sfo,gnb,MontTy01,targets,6,,,,,
player,201510040sfo,gnb,MontTy01,rec,3,,,,,
player,201510040sfo,gnb,MontTy01,rec_yds,15,,,,,
player,201510040sfo,gnb,MontTy01,rec_td,0,,,,,
player,201510040sfo,gnb,MontTy01,rec_long,8,,,,,
player,201510040sfo,gnb,MontTy01,fumbles,0,,,,,
player,201510040sfo,gnb,MontTy01,fumbles_lost,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_att,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_yds,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_td,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_int,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_long,0,,,,,
player,201510040sfo,gnb,KuhnJo00,pass_rating,,,,,,
player,201510040sfo,gnb,KuhnJo00,rush_att,1,,,,,
player,201510040sfo,gnb,KuhnJo00,rush_yds,1,,,,,
player,201510040sfo,gnb,KuhnJo00,rush_td,1,,,,,
player,201510040sfo,gnb,KuhnJo00,rush_long,1,,,,,
player,201510040sfo,gnb,KuhnJo00,targets,1,,,,,
player,201510040sfo,gnb,KuhnJo00,rec,1,,,,,
player,201510040sfo,gnb,KuhnJo00,rec_yds,8,,,,,
player,201510040sfo,gnb,KuhnJo00,rec_td,0,,,,,
player,201510040sfo,gnb,KuhnJo00,rec_long,8,,,,,
player,201510040sfo,gnb,KuhnJo00,fumbles,0,,,,,
player,201510040sfo,gnb,KuhnJo00,fumbles_lost,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_cmp,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_att,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_yds,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_td,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_int,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_sacked,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_long,0,,,,,
player,201510040sfo,gnb,JoneJa04,pass_rating,,,,,,
player,201510040sfo,gnb,JoneJa04,rush_att,0,,,,,
player,201510040sfo,gnb,JoneJa04,rush_yds,0,,,,,
player,201510040sfo,gnb,JoneJa04,rush_td,0,,,,,
player,201510040sfo,gnb,JoneJa04,rush_long,0,,,,,
player,201510040sfo,gnb,JoneJa04,targets,6,,,,,
player,201510040sfo,gnb,JoneJa04,rec,5,,,,,
player,201510040sfo,gnb,JoneJa04,rec_yds,98,,,,,
player,201510040sfo,gnb,JoneJa04,rec_td,0,,,,,
player,201510040sfo,gnb,JoneJa04,rec_long,38,,,,,
player,201510040sfo,gnb,JoneJa04,fumbles,0,,,,,
player,201510040sfo,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_cmp,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_att,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_yds,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_td,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_int,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_sacked,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_long,0,,,,,
player,201510040sfo,gnb,RodgRi00,pass_rating,,,,,,
player,201510040sfo,gnb,RodgRi00,rush_att,0,,,,,
player,201510040sfo,gnb,RodgRi00,rush_yds,0,,,,,
player,201510040sfo,gnb,RodgRi00,rush_td,0,,,,,
player,201510040sfo,gnb,RodgRi00,rush_long,0,,,,,
player,201510040sfo,gnb,RodgRi00,targets,6,,,,,
player,201510040sfo,gnb,RodgRi00,rec,5,,,,,
player,201510040sfo,gnb,RodgRi00,rec_yds,45,,,,,
player,201510040sfo,gnb,RodgRi00,rec_td,1,,,,,
player,201510040sfo,gnb,RodgRi00,rec_long,12,,,,,
player,201510040sfo,gnb,RodgRi00,fumbles,0,,,,,
player,201510040sfo,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_cmp,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_att,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_yds,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_td,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_int,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_sacked,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_long,0,,,,,
player,201510040sfo,gnb,CobbRa00,pass_rating,,,,,,
player,201510040sfo,gnb,CobbRa00,rush_att,0,,,,,
player,201510040sfo,gnb,CobbRa00,rush_yds,0,,,,,
player,201510040sfo,gnb,CobbRa00,rush_td,0,,,,,
player,201510040sfo,gnb,CobbRa00,rush_long,0,,,,,
player,201510040sfo,gnb,CobbRa00,targets,8,,,,,
player,201510040sfo,gnb,CobbRa00,rec,5,,,,,
player,201510040sfo,gnb,CobbRa00,rec_yds,44,,,,,
player,201510040sfo,gnb,CobbRa00,rec_td,0,,,,,
player,201510040sfo,gnb,CobbRa00,rec_long,19,,,,,
player,201510040sfo,gnb,CobbRa00,fumbles,0,,,,,
player,201510040sfo,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201510040sfo,sfo,KaepCo00,pass_cmp,13,,,,,
player,201510040sfo,sfo,KaepCo00,pass_att,25,,,,,
player,201510040sfo,sfo,KaepCo00,pass_yds,160,,,,,
player,201510040sfo,sfo,KaepCo00,pass_td,0,,,,,
player,201510040sfo,sfo,KaepCo00,pass_int,1,,,,,
player,201510040sfo,sfo,KaepCo00,pass_sacked,6,,,,,
player,201510040sfo,sfo,KaepCo00,pass_sacked_yds,41,,,,,
player,201510040sfo,sfo,KaepCo00,pass_long,47,,,,,
player,201510040sfo,sfo,KaepCo00,pass_rating,55.4,,,,,
player,201510040sfo,sfo,KaepCo00,rush_att,10,,,,,
player,201510040sfo,sfo,KaepCo00,rush_yds,57,,,,,
player,201510040sfo,sfo,KaepCo00,rush_td,0,,,,,
player,201510040sfo,sfo,KaepCo00,rush_long,12,,,,,
player,201510040sfo,sfo,KaepCo00,targets,0,,,,,
player,201510040sfo,sfo,KaepCo00,rec,0,,,,,
player,201510040sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201510040sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201510040sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201510040sfo,sfo,KaepCo00,fumbles,1,,,,,
player,201510040sfo,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_cmp,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_att,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_yds,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_td,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_int,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_sacked,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_long,0,,,,,
player,201510040sfo,sfo,HydeCa00,pass_rating,,,,,,
player,201510040sfo,sfo,HydeCa00,rush_att,8,,,,,
player,201510040sfo,sfo,HydeCa00,rush_yds,20,,,,,
player,201510040sfo,sfo,HydeCa00,rush_td,0,,,,,
player,201510040sfo,sfo,HydeCa00,rush_long,7,,,,,
player,201510040sfo,sfo,HydeCa00,targets,1,,,,,
player,201510040sfo,sfo,HydeCa00,rec,1,,,,,
player,201510040sfo,sfo,HydeCa00,rec_yds,2,,,,,
player,201510040sfo,sfo,HydeCa00,rec_td,0,,,,,
player,201510040sfo,sfo,HydeCa00,rec_long,2,,,,,
player,201510040sfo,sfo,HydeCa00,fumbles,0,,,,,
player,201510040sfo,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_cmp,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_att,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_yds,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_td,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_int,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_sacked,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_sacked_yds,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_long,0,,,,,
player,201510040sfo,sfo,SmitTo02,pass_rating,,,,,,
player,201510040sfo,sfo,SmitTo02,rush_att,0,,,,,
player,201510040sfo,sfo,SmitTo02,rush_yds,0,,,,,
player,201510040sfo,sfo,SmitTo02,rush_td,0,,,,,
player,201510040sfo,sfo,SmitTo02,rush_long,0,,,,,
player,201510040sfo,sfo,SmitTo02,targets,5,,,,,
player,201510040sfo,sfo,SmitTo02,rec,2,,,,,
player,201510040sfo,sfo,SmitTo02,rec_yds,54,,,,,
player,201510040sfo,sfo,SmitTo02,rec_td,0,,,,,
player,201510040sfo,sfo,SmitTo02,rec_long,47,,,,,
player,201510040sfo,sfo,SmitTo02,fumbles,0,,,,,
player,201510040sfo,sfo,SmitTo02,fumbles_lost,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_cmp,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_att,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_yds,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_td,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_int,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_sacked,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_sacked_yds,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_long,0,,,,,
player,201510040sfo,sfo,PattQu00,pass_rating,,,,,,
player,201510040sfo,sfo,PattQu00,rush_att,0,,,,,
player,201510040sfo,sfo,PattQu00,rush_yds,0,,,,,
player,201510040sfo,sfo,PattQu00,rush_td,0,,,,,
player,201510040sfo,sfo,PattQu00,rush_long,0,,,,,
player,201510040sfo,sfo,PattQu00,targets,2,,,,,
player,201510040sfo,sfo,PattQu00,rec,2,,,,,
player,201510040sfo,sfo,PattQu00,rec_yds,53,,,,,
player,201510040sfo,sfo,PattQu00,rec_td,0,,,,,
player,201510040sfo,sfo,PattQu00,rec_long,40,,,,,
player,201510040sfo,sfo,PattQu00,fumbles,0,,,,,
player,201510040sfo,sfo,PattQu00,fumbles_lost,0,,,,,
player,201510040sfo,sfo,CeleGa00,pass_cmp,0,,,,,
player,201510040sfo,sfo,CeleGa00,pass_att,0,,,,,
player,201510040sfo,sfo,CeleGa00,pass_yds,0,,,,,
player,201510040sfo,sfo,CeleGa00,pass_td,0,,,,,
player,201510040sfo,sfo,CeleGa00,pass_int,0,,,,,
player,201510040sfo,sfo,CeleGa00,pass_sacked,0,,,,,
player,201510040sfo,sfo,CeleGa00,pass_sacked_yds,0,,,,,
