game,2015,5,20151011,201510110kan,chi,"Chicago Bears",18,kan,"Kansas City Chiefs",17
team,201510110kan,chi,First Downs,21,,,,,,
team,201510110kan,kan,First Downs,16,,,,,,
team,201510110kan,chi,Rush-Yds-TDs,26-87-0,,,,,,
team,201510110kan,kan,Rush-Yds-TDs,25-117-0,,,,,,
team,201510110kan,chi,Cmp-Att-Yd-TD-INT,26-45-252-2-0,,,,,,
team,201510110kan,kan,Cmp-Att-Yd-TD-INT,16-30-181-1-0,,,,,,
team,201510110kan,chi,Sacked-Yards,2-11,,,,,,
team,201510110kan,kan,Sacked-Yards,3-11,,,,,,
team,201510110kan,chi,Net Pass Yards,241,,,,,,
team,201510110kan,kan,Net Pass Yards,170,,,,,,
team,201510110kan,chi,Total Yards,328,,,,,,
team,201510110kan,kan,Total Yards,287,,,,,,
team,201510110kan,chi,Fumbles-Lost,2-1,,,,,,
team,201510110kan,kan,Fumbles-Lost,0-0,,,,,,
team,201510110kan,chi,Turnovers,1,,,,,,
team,201510110kan,kan,Turnovers,0,,,,,,
team,201510110kan,chi,Penalties-Yards,6-49,,,,,,
team,201510110kan,kan,Penalties-Yards,3-49,,,,,,
team,201510110kan,chi,Third Down Conv.,6-14,,,,,,
team,201510110kan,kan,Third Down Conv.,5-14,,,,,,
team,201510110kan,chi,Fourth Down Conv.,0-1,,,,,,
team,201510110kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201510110kan,chi,Time of Possession,33:37,,,,,,
team,201510110kan,kan,Time of Possession,26:23,,,,,,
player,201510110kan,chi,CutlJa00,pass_cmp,26,,,,,
player,201510110kan,chi,CutlJa00,pass_att,45,,,,,
player,201510110kan,chi,CutlJa00,pass_yds,252,,,,,
player,201510110kan,chi,CutlJa00,pass_td,2,,,,,
player,201510110kan,chi,CutlJa00,pass_int,0,,,,,
player,201510110kan,chi,CutlJa00,pass_sacked,2,,,,,
player,201510110kan,chi,CutlJa00,pass_sacked_yds,11,,,,,
player,201510110kan,chi,CutlJa00,pass_long,33,,,,,
player,201510110kan,chi,CutlJa00,pass_rating,88.4,,,,,
player,201510110kan,chi,CutlJa00,rush_att,4,,,,,
player,201510110kan,chi,CutlJa00,rush_yds,15,,,,,
player,201510110kan,chi,CutlJa00,rush_td,0,,,,,
player,201510110kan,chi,CutlJa00,rush_long,7,,,,,
player,201510110kan,chi,CutlJa00,targets,0,,,,,
player,201510110kan,chi,CutlJa00,rec,0,,,,,
player,201510110kan,chi,CutlJa00,rec_yds,0,,,,,
player,201510110kan,chi,CutlJa00,rec_td,0,,,,,
player,201510110kan,chi,CutlJa00,rec_long,0,,,,,
player,201510110kan,chi,CutlJa00,fumbles,2,,,,,
player,201510110kan,chi,CutlJa00,fumbles_lost,1,,,,,
player,201510110kan,chi,FortMa00,pass_cmp,0,,,,,
player,201510110kan,chi,FortMa00,pass_att,0,,,,,
player,201510110kan,chi,FortMa00,pass_yds,0,,,,,
player,201510110kan,chi,FortMa00,pass_td,0,,,,,
player,201510110kan,chi,FortMa00,pass_int,0,,,,,
player,201510110kan,chi,FortMa00,pass_sacked,0,,,,,
player,201510110kan,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201510110kan,chi,FortMa00,pass_long,0,,,,,
player,201510110kan,chi,FortMa00,pass_rating,,,,,,
player,201510110kan,chi,FortMa00,rush_att,18,,,,,
player,201510110kan,chi,FortMa00,rush_yds,71,,,,,
player,201510110kan,chi,FortMa00,rush_td,0,,,,,
player,201510110kan,chi,FortMa00,rush_long,10,,,,,
