game,2015,5,20151011,201510110nyg,sfo,"San Francisco 49ers",27,nyg,"New York Giants",30
team,201510110nyg,sfo,First Downs,22,,,,,,
team,201510110nyg,nyg,First Downs,30,,,,,,
team,201510110nyg,sfo,Rush-Yds-TDs,27-124-1,,,,,,
team,201510110nyg,nyg,Rush-Yds-TDs,21-84-0,,,,,,
team,201510110nyg,sfo,Cmp-Att-Yd-TD-INT,23-35-262-2-0,,,,,,
team,201510110nyg,nyg,Cmp-Att-Yd-TD-INT,41-54-441-3-1,,,,,,
team,201510110nyg,sfo,Sacked-Yards,2-6,,,,,,
team,201510110nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201510110nyg,sfo,Net Pass Yards,256,,,,,,
team,201510110nyg,nyg,Net Pass Yards,441,,,,,,
team,201510110nyg,sfo,Total Yards,380,,,,,,
team,201510110nyg,nyg,Total Yards,525,,,,,,
team,201510110nyg,sfo,Fumbles-Lost,3-0,,,,,,
team,201510110nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201510110nyg,sfo,Turnovers,0,,,,,,
team,201510110nyg,nyg,Turnovers,1,,,,,,
team,201510110nyg,sfo,Penalties-Yards,4-28,,,,,,
team,201510110nyg,nyg,Penalties-Yards,6-65,,,,,,
team,201510110nyg,sfo,Third Down Conv.,8-14,,,,,,
team,201510110nyg,nyg,Third Down Conv.,9-14,,,,,,
team,201510110nyg,sfo,Fourth Down Conv.,0-0,,,,,,
team,201510110nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201510110nyg,sfo,Time of Possession,28:02,,,,,,
team,201510110nyg,nyg,Time of Possession,31:58,,,,,,
player,201510110nyg,sfo,KaepCo00,pass_cmp,23,,,,,
player,201510110nyg,sfo,KaepCo00,pass_att,35,,,,,
player,201510110nyg,sfo,KaepCo00,pass_yds,262,,,,,
player,201510110nyg,sfo,KaepCo00,pass_td,2,,,,,
player,201510110nyg,sfo,KaepCo00,pass_int,0,,,,,
player,201510110nyg,sfo,KaepCo00,pass_sacked,2,,,,,
player,201510110nyg,sfo,KaepCo00,pass_sacked_yds,6,,,,,
player,201510110nyg,sfo,KaepCo00,pass_long,37,,,,,
player,201510110nyg,sfo,KaepCo00,pass_rating,107.1,,,,,
player,201510110nyg,sfo,KaepCo00,rush_att,3,,,,,
player,201510110nyg,sfo,KaepCo00,rush_yds,23,,,,,
player,201510110nyg,sfo,KaepCo00,rush_td,0,,,,,
player,201510110nyg,sfo,KaepCo00,rush_long,15,,,,,
player,201510110nyg,sfo,KaepCo00,targets,0,,,,,
player,201510110nyg,sfo,KaepCo00,rec,0,,,,,
player,201510110nyg,sfo,KaepCo00,rec_yds,0,,,,,
player,201510110nyg,sfo,KaepCo00,rec_td,0,,,,,
player,201510110nyg,sfo,KaepCo00,rec_long,0,,,,,
player,201510110nyg,sfo,KaepCo00,fumbles,2,,,,,
player,201510110nyg,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_cmp,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_att,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_yds,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_td,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_int,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_sacked,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_long,0,,,,,
player,201510110nyg,sfo,HydeCa00,pass_rating,,,,,,
player,201510110nyg,sfo,HydeCa00,rush_att,21,,,,,
player,201510110nyg,sfo,HydeCa00,rush_yds,93,,,,,
player,201510110nyg,sfo,HydeCa00,rush_td,1,,,,,
player,201510110nyg,sfo,HydeCa00,rush_long,22,,,,,
player,201510110nyg,sfo,HydeCa00,targets,5,,,,,
player,201510110nyg,sfo,HydeCa00,rec,1,,,,,
player,201510110nyg,sfo,HydeCa00,rec_yds,4,,,,,
player,201510110nyg,sfo,HydeCa00,rec_td,0,,,,,
player,201510110nyg,sfo,HydeCa00,rec_long,4,,,,,
player,201510110nyg,sfo,HydeCa00,fumbles,0,,,,,
player,201510110nyg,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_cmp,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_att,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_yds,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_td,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_int,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_sacked,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_long,0,,,,,
player,201510110nyg,sfo,HaynJa00,pass_rating,,,,,,
player,201510110nyg,sfo,HaynJa00,rush_att,2,,,,,
player,201510110nyg,sfo,HaynJa00,rush_yds,9,,,,,
player,201510110nyg,sfo,HaynJa00,rush_td,0,,,,,
player,201510110nyg,sfo,HaynJa00,rush_long,8,,,,,
player,201510110nyg,sfo,HaynJa00,targets,0,,,,,
player,201510110nyg,sfo,HaynJa00,rec,0,,,,,
player,201510110nyg,sfo,HaynJa00,rec_yds,0,,,,,
player,201510110nyg,sfo,HaynJa00,rec_td,0,,,,,
player,201510110nyg,sfo,HaynJa00,rec_long,0,,,,,
player,201510110nyg,sfo,HaynJa00,fumbles,0,,,,,
player,201510110nyg,sfo,HaynJa00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_cmp,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_att,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_yds,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_td,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_int,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_sacked,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_long,0,,,,,
player,201510110nyg,sfo,BoldAn00,pass_rating,,,,,,
player,201510110nyg,sfo,BoldAn00,rush_att,0,,,,,
player,201510110nyg,sfo,BoldAn00,rush_yds,0,,,,,
player,201510110nyg,sfo,BoldAn00,rush_td,0,,,,,
player,201510110nyg,sfo,BoldAn00,rush_long,0,,,,,
player,201510110nyg,sfo,BoldAn00,targets,12,,,,,
player,201510110nyg,sfo,BoldAn00,rec,8,,,,,
player,201510110nyg,sfo,BoldAn00,rec_yds,107,,,,,
player,201510110nyg,sfo,BoldAn00,rec_td,1,,,,,
player,201510110nyg,sfo,BoldAn00,rec_long,37,,,,,
player,201510110nyg,sfo,BoldAn00,fumbles,0,,,,,
player,201510110nyg,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_cmp,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_att,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_yds,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_td,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_int,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_sacked,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_long,0,,,,,
player,201510110nyg,sfo,SmitTo02,pass_rating,,,,,,
player,201510110nyg,sfo,SmitTo02,rush_att,0,,,,,
player,201510110nyg,sfo,SmitTo02,rush_yds,0,,,,,
player,201510110nyg,sfo,SmitTo02,rush_td,0,,,,,
player,201510110nyg,sfo,SmitTo02,rush_long,0,,,,,
player,201510110nyg,sfo,SmitTo02,targets,2,,,,,
player,201510110nyg,sfo,SmitTo02,rec,2,,,,,
player,201510110nyg,sfo,SmitTo02,rec_yds,42,,,,,
player,201510110nyg,sfo,SmitTo02,rec_td,0,,,,,
player,201510110nyg,sfo,SmitTo02,rec_long,25,,,,,
player,201510110nyg,sfo,SmitTo02,fumbles,0,,,,,
player,201510110nyg,sfo,SmitTo02,fumbles_lost,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_cmp,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_att,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_yds,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_td,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_int,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_sacked,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_long,0,,,,,
player,201510110nyg,sfo,ElliBr00,pass_rating,,,,,,
player,201510110nyg,sfo,ElliBr00,rush_att,0,,,,,
player,201510110nyg,sfo,ElliBr00,rush_yds,0,,,,,
player,201510110nyg,sfo,ElliBr00,rush_td,0,,,,,
player,201510110nyg,sfo,ElliBr00,rush_long,0,,,,,
player,201510110nyg,sfo,ElliBr00,targets,2,,,,,
player,201510110nyg,sfo,ElliBr00,rec,2,,,,,
player,201510110nyg,sfo,ElliBr00,rec_yds,39,,,,,
player,201510110nyg,sfo,ElliBr00,rec_td,0,,,,,
player,201510110nyg,sfo,ElliBr00,rec_long,30,,,,,
player,201510110nyg,sfo,ElliBr00,fumbles,1,,,,,
player,201510110nyg,sfo,ElliBr00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_cmp,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_att,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_yds,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_td,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_int,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_sacked,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_long,0,,,,,
player,201510110nyg,sfo,CeleGa00,pass_rating,,,,,,
player,201510110nyg,sfo,CeleGa00,rush_att,0,,,,,
player,201510110nyg,sfo,CeleGa00,rush_yds,0,,,,,
player,201510110nyg,sfo,CeleGa00,rush_td,0,,,,,
player,201510110nyg,sfo,CeleGa00,rush_long,0,,,,,
player,201510110nyg,sfo,CeleGa00,targets,5,,,,,
player,201510110nyg,sfo,CeleGa00,rec,3,,,,,
player,201510110nyg,sfo,CeleGa00,rec_yds,26,,,,,
player,201510110nyg,sfo,CeleGa00,rec_td,1,,,,,
player,201510110nyg,sfo,CeleGa00,rec_long,15,,,,,
player,201510110nyg,sfo,CeleGa00,fumbles,0,,,,,
player,201510110nyg,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_cmp,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_att,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_yds,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_td,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_int,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_sacked,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_long,0,,,,,
player,201510110nyg,sfo,MillBr02,pass_rating,,,,,,
player,201510110nyg,sfo,MillBr02,rush_att,0,,,,,
player,201510110nyg,sfo,MillBr02,rush_yds,0,,,,,
player,201510110nyg,sfo,MillBr02,rush_td,0,,,,,
player,201510110nyg,sfo,MillBr02,rush_long,0,,,,,
player,201510110nyg,sfo,MillBr02,targets,2,,,,,
player,201510110nyg,sfo,MillBr02,rec,2,,,,,
player,201510110nyg,sfo,MillBr02,rec_yds,23,,,,,
player,201510110nyg,sfo,MillBr02,rec_td,0,,,,,
player,201510110nyg,sfo,MillBr02,rec_long,19,,,,,
player,201510110nyg,sfo,MillBr02,fumbles,0,,,,,
player,201510110nyg,sfo,MillBr02,fumbles_lost,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_cmp,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_att,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_yds,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_td,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_int,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_sacked,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_long,0,,,,,
player,201510110nyg,sfo,McDoVa00,pass_rating,,,,,,
player,201510110nyg,sfo,McDoVa00,rush_att,0,,,,,
player,201510110nyg,sfo,McDoVa00,rush_yds,0,,,,,
player,201510110nyg,sfo,McDoVa00,rush_td,0,,,,,
player,201510110nyg,sfo,McDoVa00,rush_long,0,,,,,
player,201510110nyg,sfo,McDoVa00,targets,3,,,,,
player,201510110nyg,sfo,McDoVa00,rec,2,,,,,
player,201510110nyg,sfo,McDoVa00,rec_yds,9,,,,,
player,201510110nyg,sfo,McDoVa00,rec_td,0,,,,,
player,201510110nyg,sfo,McDoVa00,rec_long,6,,,,,
player,201510110nyg,sfo,McDoVa00,fumbles,0,,,,,
player,201510110nyg,sfo,McDoVa00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_cmp,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_att,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_yds,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_td,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_int,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_sacked,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_long,0,,,,,
player,201510110nyg,sfo,PattQu00,pass_rating,,,,,,
player,201510110nyg,sfo,PattQu00,rush_att,0,,,,,
player,201510110nyg,sfo,PattQu00,rush_yds,0,,,,,
player,201510110nyg,sfo,PattQu00,rush_td,0,,,,,
player,201510110nyg,sfo,PattQu00,rush_long,0,,,,,
player,201510110nyg,sfo,PattQu00,targets,3,,,,,
player,201510110nyg,sfo,PattQu00,rec,2,,,,,
player,201510110nyg,sfo,PattQu00,rec_yds,6,,,,,
player,201510110nyg,sfo,PattQu00,rec_td,0,,,,,
player,201510110nyg,sfo,PattQu00,rec_long,4,,,,,
player,201510110nyg,sfo,PattQu00,fumbles,0,,,,,
player,201510110nyg,sfo,PattQu00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_cmp,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_att,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_yds,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_td,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_int,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_sacked,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_long,0,,,,,
player,201510110nyg,sfo,BellBl00,pass_rating,,,,,,
player,201510110nyg,sfo,BellBl00,rush_att,0,,,,,
player,201510110nyg,sfo,BellBl00,rush_yds,0,,,,,
player,201510110nyg,sfo,BellBl00,rush_td,0,,,,,
player,201510110nyg,sfo,BellBl00,rush_long,0,,,,,
player,201510110nyg,sfo,BellBl00,targets,1,,,,,
player,201510110nyg,sfo,BellBl00,rec,1,,,,,
player,201510110nyg,sfo,BellBl00,rec_yds,6,,,,,
player,201510110nyg,sfo,BellBl00,rec_td,0,,,,,
player,201510110nyg,sfo,BellBl00,rec_long,6,,,,,
player,201510110nyg,sfo,BellBl00,fumbles,0,,,,,
player,201510110nyg,sfo,BellBl00,fumbles_lost,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_cmp,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_att,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_yds,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_td,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_int,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_sacked,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_sacked_yds,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_long,0,,,,,
player,201510110nyg,sfo,BushRe00,pass_rating,,,,,,
player,201510110nyg,sfo,BushRe00,rush_att,1,,,,,
player,201510110nyg,sfo,BushRe00,rush_yds,-1,,,,,
player,201510110nyg,sfo,BushRe00,rush_td,0,,,,,
player,201510110nyg,sfo,BushRe00,rush_long,-1,,,,,
player,201510110nyg,sfo,BushRe00,targets,0,,,,,
player,201510110nyg,sfo,BushRe00,rec,0,,,,,
player,201510110nyg,sfo,BushRe00,rec_yds,0,,,,,
player,201510110nyg,sfo,BushRe00,rec_td,0,,,,,
player,201510110nyg,sfo,BushRe00,rec_long,0,,,,,
player,201510110nyg,sfo,BushRe00,fumbles,0,,,,,
player,201510110nyg,sfo,BushRe00,fumbles_lost,0,,,,,
player,201510110nyg,nyg,MannEl00,pass_cmp,41,,,,,
player,201510110nyg,nyg,MannEl00,pass_att,54,,,,,
player,201510110nyg,nyg,MannEl00,pass_yds,441,,,,,
player,201510110nyg,nyg,MannEl00,pass_td,3,,,,,
player,201510110nyg,nyg,MannEl00,pass_int,1,,,,,
player,201510110nyg,nyg,MannEl00,pass_sacked,0,,,,,
player,201510110nyg,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201510110nyg,nyg,MannEl00,pass_long,49,,,,,
player,201510110nyg,nyg,MannEl00,pass_rating,110.2,,,,,
player,201510110nyg,nyg,MannEl00,rush_att,1,,,,,
player,201510110nyg,nyg,MannEl00,rush_yds,11,,,,,
player,201510110nyg,nyg,MannEl00,rush_td,0,,,,,
player,201510110nyg,nyg,MannEl00,rush_long,11,,,,,
player,201510110nyg,nyg,MannEl00,targets,0,,,,,
player,201510110nyg,nyg,MannEl00,rec,0,,,,,
player,201510110nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201510110nyg,nyg,MannEl00,rec_td,0,,,,,
player,201510110nyg,nyg,MannEl00,rec_long,0,,,,,
player,201510110nyg,nyg,MannEl00,fumbles,0,,,,,
player,201510110nyg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_cmp,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_att,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_yds,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_td,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_int,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_sacked,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_long,0,,,,,
player,201510110nyg,nyg,JennRa00,pass_rating,,,,,,
player,201510110nyg,nyg,JennRa00,rush_att,11,,,,,
player,201510110nyg,nyg,JennRa00,rush_yds,46,,,,,
player,201510110nyg,nyg,JennRa00,rush_td,0,,,,,
player,201510110nyg,nyg,JennRa00,rush_long,7,,,,,
player,201510110nyg,nyg,JennRa00,targets,4,,,,,
player,201510110nyg,nyg,JennRa00,rec,4,,,,,
player,201510110nyg,nyg,JennRa00,rec_yds,21,,,,,
player,201510110nyg,nyg,JennRa00,rec_td,0,,,,,
player,201510110nyg,nyg,JennRa00,rec_long,6,,,,,
player,201510110nyg,nyg,JennRa00,fumbles,0,,,,,
player,201510110nyg,nyg,JennRa00,fumbles_lost,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_cmp,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_att,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_yds,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_td,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_int,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_sacked,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_long,0,,,,,
player,201510110nyg,nyg,VereSh00,pass_rating,,,,,,
player,201510110nyg,nyg,VereSh00,rush_att,5,,,,,
player,201510110nyg,nyg,VereSh00,rush_yds,24,,,,,
player,201510110nyg,nyg,VereSh00,rush_td,0,,,,,
player,201510110nyg,nyg,VereSh00,rush_long,10,,,,,
player,201510110nyg,nyg,VereSh00,targets,8,,,,,
player,201510110nyg,nyg,VereSh00,rec,8,,,,,
player,201510110nyg,nyg,VereSh00,rec_yds,86,,,,,
player,201510110nyg,nyg,VereSh00,rec_td,1,,,,,
player,201510110nyg,nyg,VereSh00,rec_long,24,,,,,
player,201510110nyg,nyg,VereSh00,fumbles,0,,,,,
player,201510110nyg,nyg,VereSh00,fumbles_lost,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_cmp,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_att,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_yds,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_td,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_int,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_sacked,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_long,0,,,,,
player,201510110nyg,nyg,BeckOd00,pass_rating,,,,,,
player,201510110nyg,nyg,BeckOd00,rush_att,1,,,,,
player,201510110nyg,nyg,BeckOd00,rush_yds,3,,,,,
player,201510110nyg,nyg,BeckOd00,rush_td,0,,,,,
