game,2015,6,20151018,201510180sea,car,"Carolina Panthers",27,sea,"Seattle Seahawks",23
team,201510180sea,car,First Downs,25,,,,,,
team,201510180sea,sea,First Downs,14,,,,,,
team,201510180sea,car,Rush-Yds-TDs,33-135-3,,,,,,
team,201510180sea,sea,Rush-Yds-TDs,26-115-1,,,,,,
team,201510180sea,car,Cmp-Att-Yd-TD-INT,20-36-269-1-2,,,,,,
team,201510180sea,sea,Cmp-Att-Yd-TD-INT,18-30-241-1-0,,,,,,
team,201510180sea,car,Sacked-Yards,3-21,,,,,,
team,201510180sea,sea,Sacked-Yards,4-22,,,,,,
team,201510180sea,car,Net Pass Yards,248,,,,,,
team,201510180sea,sea,Net Pass Yards,219,,,,,,
team,201510180sea,car,Total Yards,383,,,,,,
team,201510180sea,sea,Total Yards,334,,,,,,
team,201510180sea,car,Fumbles-Lost,0-0,,,,,,
team,201510180sea,sea,Fumbles-Lost,0-0,,,,,,
team,201510180sea,car,Turnovers,2,,,,,,
team,201510180sea,sea,Turnovers,0,,,,,,
team,201510180sea,car,Penalties-Yards,5-25,,,,,,
team,201510180sea,sea,Penalties-Yards,7-48,,,,,,
team,201510180sea,car,Third Down Conv.,4-11,,,,,,
team,201510180sea,sea,Third Down Conv.,4-14,,,,,,
team,201510180sea,car,Fourth Down Conv.,0-1,,,,,,
team,201510180sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201510180sea,car,Time of Possession,32:12,,,,,,
team,201510180sea,sea,Time of Possession,27:48,,,,,,
player,201510180sea,car,NewtCa00,pass_cmp,20,,,,,
player,201510180sea,car,NewtCa00,pass_att,36,,,,,
player,201510180sea,car,NewtCa00,pass_yds,269,,,,,
player,201510180sea,car,NewtCa00,pass_td,1,,,,,
player,201510180sea,car,NewtCa00,pass_int,2,,,,,
player,201510180sea,car,NewtCa00,pass_sacked,3,,,,,
player,201510180sea,car,NewtCa00,pass_sacked_yds,21,,,,,
player,201510180sea,car,NewtCa00,pass_long,32,,,,,
player,201510180sea,car,NewtCa00,pass_rating,65.6,,,,,
player,201510180sea,car,NewtCa00,rush_att,7,,,,,
player,201510180sea,car,NewtCa00,rush_yds,30,,,,,
player,201510180sea,car,NewtCa00,rush_td,1,,,,,
player,201510180sea,car,NewtCa00,rush_long,9,,,,,
player,201510180sea,car,NewtCa00,targets,0,,,,,
player,201510180sea,car,NewtCa00,rec,0,,,,,
player,201510180sea,car,NewtCa00,rec_yds,0,,,,,
player,201510180sea,car,NewtCa00,rec_td,0,,,,,
player,201510180sea,car,NewtCa00,rec_long,0,,,,,
player,201510180sea,car,NewtCa00,fumbles,0,,,,,
player,201510180sea,car,NewtCa00,fumbles_lost,0,,,,,
player,201510180sea,car,StewJo00,pass_cmp,0,,,,,
player,201510180sea,car,StewJo00,pass_att,0,,,,,
player,201510180sea,car,StewJo00,pass_yds,0,,,,,
player,201510180sea,car,StewJo00,pass_td,0,,,,,
player,201510180sea,car,StewJo00,pass_int,0,,,,,
player,201510180sea,car,StewJo00,pass_sacked,0,,,,,
player,201510180sea,car,StewJo00,pass_sacked_yds,0,,,,,
player,201510180sea,car,StewJo00,pass_long,0,,,,,
player,201510180sea,car,StewJo00,pass_rating,,,,,,
player,201510180sea,car,StewJo00,rush_att,20,,,,,
player,201510180sea,car,StewJo00,rush_yds,78,,,,,
player,201510180sea,car,StewJo00,rush_td,2,,,,,
player,201510180sea,car,StewJo00,rush_long,11,,,,,
player,201510180sea,car,StewJo00,targets,1,,,,,
player,201510180sea,car,StewJo00,rec,1,,,,,
player,201510180sea,car,StewJo00,rec_yds,8,,,,,
player,201510180sea,car,StewJo00,rec_td,0,,,,,
player,201510180sea,car,StewJo00,rec_long,8,,,,,
player,201510180sea,car,StewJo00,fumbles,0,,,,,
player,201510180sea,car,StewJo00,fumbles_lost,0,,,,,
player,201510180sea,car,BrowPh00,pass_cmp,0,,,,,
player,201510180sea,car,BrowPh00,pass_att,0,,,,,
player,201510180sea,car,BrowPh00,pass_yds,0,,,,,
player,201510180sea,car,BrowPh00,pass_td,0,,,,,
player,201510180sea,car,BrowPh00,pass_int,0,,,,,
player,201510180sea,car,BrowPh00,pass_sacked,0,,,,,
player,201510180sea,car,BrowPh00,pass_sacked_yds,0,,,,,
player,201510180sea,car,BrowPh00,pass_long,0,,,,,
player,201510180sea,car,BrowPh00,pass_rating,,,,,,
player,201510180sea,car,BrowPh00,rush_att,2,,,,,
player,201510180sea,car,BrowPh00,rush_yds,15,,,,,
player,201510180sea,car,BrowPh00,rush_td,0,,,,,
player,201510180sea,car,BrowPh00,rush_long,8,,,,,
player,201510180sea,car,BrowPh00,targets,3,,,,,
player,201510180sea,car,BrowPh00,rec,2,,,,,
player,201510180sea,car,BrowPh00,rec_yds,22,,,,,
player,201510180sea,car,BrowPh00,rec_td,0,,,,,
player,201510180sea,car,BrowPh00,rec_long,11,,,,,
player,201510180sea,car,BrowPh00,fumbles,0,,,,,
player,201510180sea,car,BrowPh00,fumbles_lost,0,,,,,
player,201510180sea,car,TolbMi00,pass_cmp,0,,,,,
player,201510180sea,car,TolbMi00,pass_att,0,,,,,
player,201510180sea,car,TolbMi00,pass_yds,0,,,,,
player,201510180sea,car,TolbMi00,pass_td,0,,,,,
player,201510180sea,car,TolbMi00,pass_int,0,,,,,
player,201510180sea,car,TolbMi00,pass_sacked,0,,,,,
player,201510180sea,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201510180sea,car,TolbMi00,pass_long,0,,,,,
player,201510180sea,car,TolbMi00,pass_rating,,,,,,
player,201510180sea,car,TolbMi00,rush_att,3,,,,,
player,201510180sea,car,TolbMi00,rush_yds,10,,,,,
player,201510180sea,car,TolbMi00,rush_td,0,,,,,
player,201510180sea,car,TolbMi00,rush_long,7,,,,,
