game,2015,7,20151025,201510250mia,htx,"Houston Texans",26,mia,"Miami Dolphins",44
team,201510250mia,htx,First Downs,24,,,,,,
team,201510250mia,mia,First Downs,21,,,,,,
team,201510250mia,htx,Rush-Yds-TDs,25-71-1,,,,,,
team,201510250mia,mia,Rush-Yds-TDs,35-248-1,,,,,,
team,201510250mia,htx,Cmp-Att-Yd-TD-INT,23-49-273-3-1,,,,,,
team,201510250mia,mia,Cmp-Att-Yd-TD-INT,19-20-296-4-0,,,,,,
team,201510250mia,htx,Sacked-Yards,4-22,,,,,,
team,201510250mia,mia,Sacked-Yards,4-41,,,,,,
team,201510250mia,htx,Net Pass Yards,251,,,,,,
team,201510250mia,mia,Net Pass Yards,255,,,,,,
team,201510250mia,htx,Total Yards,322,,,,,,
team,201510250mia,mia,Total Yards,503,,,,,,
team,201510250mia,htx,Fumbles-Lost,3-0,,,,,,
team,201510250mia,mia,Fumbles-Lost,1-1,,,,,,
team,201510250mia,htx,Turnovers,1,,,,,,
team,201510250mia,mia,Turnovers,1,,,,,,
team,201510250mia,htx,Penalties-Yards,3-25,,,,,,
team,201510250mia,mia,Penalties-Yards,8-52,,,,,,
team,201510250mia,htx,Third Down Conv.,6-15,,,,,,
team,201510250mia,mia,Third Down Conv.,1-9,,,,,,
team,201510250mia,htx,Fourth Down Conv.,0-1,,,,,,
team,201510250mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201510250mia,htx,Time of Possession,27:55,,,,,,
team,201510250mia,mia,Time of Possession,32:05,,,,,,
player,201510250mia,htx,HoyeBr00,pass_cmp,23,,,,,
player,201510250mia,htx,HoyeBr00,pass_att,49,,,,,
player,201510250mia,htx,HoyeBr00,pass_yds,273,,,,,
player,201510250mia,htx,HoyeBr00,pass_td,3,,,,,
player,201510250mia,htx,HoyeBr00,pass_int,1,,,,,
player,201510250mia,htx,HoyeBr00,pass_sacked,4,,,,,
player,201510250mia,htx,HoyeBr00,pass_sacked_yds,22,,,,,
player,201510250mia,htx,HoyeBr00,pass_long,27,,,,,
player,201510250mia,htx,HoyeBr00,pass_rating,76.3,,,,,
player,201510250mia,htx,HoyeBr00,rush_att,0,,,,,
player,201510250mia,htx,HoyeBr00,rush_yds,0,,,,,
player,201510250mia,htx,HoyeBr00,rush_td,0,,,,,
player,201510250mia,htx,HoyeBr00,rush_long,0,,,,,
player,201510250mia,htx,HoyeBr00,targets,0,,,,,
player,201510250mia,htx,HoyeBr00,rec,0,,,,,
player,201510250mia,htx,HoyeBr00,rec_yds,0,,,,,
player,201510250mia,htx,HoyeBr00,rec_td,0,,,,,
player,201510250mia,htx,HoyeBr00,rec_long,0,,,,,
player,201510250mia,htx,HoyeBr00,fumbles,2,,,,,
