game,2015,8,20151102,201511020car,clt,"Indianapolis Colts",26,car,"Carolina Panthers",29
team,201511020car,clt,First Downs,19,,,,,,
team,201511020car,car,First Downs,17,,,,,,
team,201511020car,clt,Rush-Yds-TDs,35-136-0,,,,,,
team,201511020car,car,Rush-Yds-TDs,36-140-1,,,,,,
team,201511020car,clt,Cmp-Att-Yd-TD-INT,23-47-231-2-3,,,,,,
team,201511020car,car,Cmp-Att-Yd-TD-INT,16-35-248-2-1,,,,,,
team,201511020car,clt,Sacked-Yards,2-8,,,,,,
team,201511020car,car,Sacked-Yards,2-9,,,,,,
team,201511020car,clt,Net Pass Yards,223,,,,,,
team,201511020car,car,Net Pass Yards,239,,,,,,
team,201511020car,clt,Total Yards,359,,,,,,
team,201511020car,car,Total Yards,379,,,,,,
team,201511020car,clt,Fumbles-Lost,3-1,,,,,,
team,201511020car,car,Fumbles-Lost,2-2,,,,,,
team,201511020car,clt,Turnovers,4,,,,,,
team,201511020car,car,Turnovers,3,,,,,,
team,201511020car,clt,Penalties-Yards,2-15,,,,,,
team,201511020car,car,Penalties-Yards,6-55,,,,,,
team,201511020car,clt,Third Down Conv.,6-18,,,,,,
team,201511020car,car,Third Down Conv.,4-16,,,,,,
team,201511020car,clt,Fourth Down Conv.,1-1,,,,,,
team,201511020car,car,Fourth Down Conv.,2-2,,,,,,
team,201511020car,clt,Time of Possession,35:58,,,,,,
team,201511020car,car,Time of Possession,33:40,,,,,,
player,201511020car,clt,LuckAn00,pass_cmp,23,,,,,
player,201511020car,clt,LuckAn00,pass_att,47,,,,,
player,201511020car,clt,LuckAn00,pass_yds,231,,,,,
player,201511020car,clt,LuckAn00,pass_td,2,,,,,
player,201511020car,clt,LuckAn00,pass_int,3,,,,,
player,201511020car,clt,LuckAn00,pass_sacked,2,,,,,
player,201511020car,clt,LuckAn00,pass_sacked_yds,8,,,,,
player,201511020car,clt,LuckAn00,pass_long,30,,,,,
player,201511020car,clt,LuckAn00,pass_rating,50.9,,,,,
player,201511020car,clt,LuckAn00,rush_att,6,,,,,
player,201511020car,clt,LuckAn00,rush_yds,35,,,,,
player,201511020car,clt,LuckAn00,rush_td,0,,,,,
player,201511020car,clt,LuckAn00,rush_long,11,,,,,
player,201511020car,clt,LuckAn00,targets,0,,,,,
player,201511020car,clt,LuckAn00,rec,0,,,,,
player,201511020car,clt,LuckAn00,rec_yds,0,,,,,
player,201511020car,clt,LuckAn00,rec_td,0,,,,,
player,201511020car,clt,LuckAn00,rec_long,0,,,,,
player,201511020car,clt,LuckAn00,fumbles,1,,,,,
player,201511020car,clt,LuckAn00,fumbles_lost,0,,,,,
player,201511020car,clt,GoreFr00,pass_cmp,0,,,,,
player,201511020car,clt,GoreFr00,pass_att,0,,,,,
player,201511020car,clt,GoreFr00,pass_yds,0,,,,,
player,201511020car,clt,GoreFr00,pass_td,0,,,,,
player,201511020car,clt,GoreFr00,pass_int,0,,,,,
player,201511020car,clt,GoreFr00,pass_sacked,0,,,,,
player,201511020car,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201511020car,clt,GoreFr00,pass_long,0,,,,,
player,201511020car,clt,GoreFr00,pass_rating,,,,,,
player,201511020car,clt,GoreFr00,rush_att,22,,,,,
player,201511020car,clt,GoreFr00,rush_yds,70,,,,,
player,201511020car,clt,GoreFr00,rush_td,0,,,,,
player,201511020car,clt,GoreFr00,rush_long,10,,,,,
player,201511020car,clt,GoreFr00,targets,3,,,,,
player,201511020car,clt,GoreFr00,rec,3,,,,,
player,201511020car,clt,GoreFr00,rec_yds,22,,,,,
player,201511020car,clt,GoreFr00,rec_td,0,,,,,
player,201511020car,clt,GoreFr00,rec_long,12,,,,,
player,201511020car,clt,GoreFr00,fumbles,1,,,,,
player,201511020car,clt,GoreFr00,fumbles_lost,0,,,,,
player,201511020car,clt,BradAh00,pass_cmp,0,,,,,
player,201511020car,clt,BradAh00,pass_att,0,,,,,
player,201511020car,clt,BradAh00,pass_yds,0,,,,,
player,201511020car,clt,BradAh00,pass_td,0,,,,,
player,201511020car,clt,BradAh00,pass_int,0,,,,,
player,201511020car,clt,BradAh00,pass_sacked,0,,,,,
player,201511020car,clt,BradAh00,pass_sacked_yds,0,,,,,
player,201511020car,clt,BradAh00,pass_long,0,,,,,
player,201511020car,clt,BradAh00,pass_rating,,,,,,
player,201511020car,clt,BradAh00,rush_att,7,,,,,
player,201511020car,clt,BradAh00,rush_yds,31,,,,,
player,201511020car,clt,BradAh00,rush_td,0,,,,,
player,201511020car,clt,BradAh00,rush_long,23,,,,,
player,201511020car,clt,BradAh00,targets,1,,,,,
player,201511020car,clt,BradAh00,rec,0,,,,,
player,201511020car,clt,BradAh00,rec_yds,0,,,,,
player,201511020car,clt,BradAh00,rec_td,0,,,,,
player,201511020car,clt,BradAh00,rec_long,0,,,,,
player,201511020car,clt,BradAh00,fumbles,0,,,,,
player,201511020car,clt,BradAh00,fumbles_lost,0,,,,,
player,201511020car,clt,JohnAn02,pass_cmp,0,,,,,
player,201511020car,clt,JohnAn02,pass_att,0,,,,,
player,201511020car,clt,JohnAn02,pass_yds,0,,,,,
player,201511020car,clt,JohnAn02,pass_td,0,,,,,
player,201511020car,clt,JohnAn02,pass_int,0,,,,,
player,201511020car,clt,JohnAn02,pass_sacked,0,,,,,
player,201511020car,clt,JohnAn02,pass_sacked_yds,0,,,,,
player,201511020car,clt,JohnAn02,pass_long,0,,,,,
player,201511020car,clt,JohnAn02,pass_rating,,,,,,
player,201511020car,clt,JohnAn02,rush_att,0,,,,,
player,201511020car,clt,JohnAn02,rush_yds,0,,,,,
player,201511020car,clt,JohnAn02,rush_td,0,,,,,
player,201511020car,clt,JohnAn02,rush_long,0,,,,,
player,201511020car,clt,JohnAn02,targets,8,,,,,
player,201511020car,clt,JohnAn02,rec,4,,,,,
player,201511020car,clt,JohnAn02,rec_yds,81,,,,,
player,201511020car,clt,JohnAn02,rec_td,1,,,,,
player,201511020car,clt,JohnAn02,rec_long,30,,,,,
player,201511020car,clt,JohnAn02,fumbles,0,,,,,
player,201511020car,clt,JohnAn02,fumbles_lost,0,,,,,
player,201511020car,clt,WhalGr00,pass_cmp,0,,,,,
player,201511020car,clt,WhalGr00,pass_att,0,,,,,
player,201511020car,clt,WhalGr00,pass_yds,0,,,,,
player,201511020car,clt,WhalGr00,pass_td,0,,,,,
player,201511020car,clt,WhalGr00,pass_int,0,,,,,
player,201511020car,clt,WhalGr00,pass_sacked,0,,,,,
player,201511020car,clt,WhalGr00,pass_sacked_yds,0,,,,,
player,201511020car,clt,WhalGr00,pass_long,0,,,,,
player,201511020car,clt,WhalGr00,pass_rating,,,,,,
player,201511020car,clt,WhalGr00,rush_att,0,,,,,
player,201511020car,clt,WhalGr00,rush_yds,0,,,,,
player,201511020car,clt,WhalGr00,rush_td,0,,,,,
player,201511020car,clt,WhalGr00,rush_long,0,,,,,
player,201511020car,clt,WhalGr00,targets,5,,,,,
player,201511020car,clt,WhalGr00,rec,5,,,,,
player,201511020car,clt,WhalGr00,rec_yds,48,,,,,
player,201511020car,clt,WhalGr00,rec_td,0,,,,,
player,201511020car,clt,WhalGr00,rec_long,12,,,,,
player,201511020car,clt,WhalGr00,fumbles,0,,,,,
player,201511020car,clt,WhalGr00,fumbles_lost,0,,,,,
player,201511020car,clt,FleeCo00,pass_cmp,0,,,,,
player,201511020car,clt,FleeCo00,pass_att,0,,,,,
player,201511020car,clt,FleeCo00,pass_yds,0,,,,,
player,201511020car,clt,FleeCo00,pass_td,0,,,,,
player,201511020car,clt,FleeCo00,pass_int,0,,,,,
player,201511020car,clt,FleeCo00,pass_sacked,0,,,,,
player,201511020car,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201511020car,clt,FleeCo00,pass_long,0,,,,,
player,201511020car,clt,FleeCo00,pass_rating,,,,,,
player,201511020car,clt,FleeCo00,rush_att,0,,,,,
player,201511020car,clt,FleeCo00,rush_yds,0,,,,,
player,201511020car,clt,FleeCo00,rush_td,0,,,,,
player,201511020car,clt,FleeCo00,rush_long,0,,,,,
player,201511020car,clt,FleeCo00,targets,11,,,,,
player,201511020car,clt,FleeCo00,rec,7,,,,,
player,201511020car,clt,FleeCo00,rec_yds,43,,,,,
player,201511020car,clt,FleeCo00,rec_td,1,,,,,
player,201511020car,clt,FleeCo00,rec_long,14,,,,,
player,201511020car,clt,FleeCo00,fumbles,0,,,,,
player,201511020car,clt,FleeCo00,fumbles_lost,0,,,,,
player,201511020car,clt,MoncDo00,pass_cmp,0,,,,,
player,201511020car,clt,MoncDo00,pass_att,0,,,,,
player,201511020car,clt,MoncDo00,pass_yds,0,,,,,
player,201511020car,clt,MoncDo00,pass_td,0,,,,,
player,201511020car,clt,MoncDo00,pass_int,0,,,,,
player,201511020car,clt,MoncDo00,pass_sacked,0,,,,,
player,201511020car,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201511020car,clt,MoncDo00,pass_long,0,,,,,
player,201511020car,clt,MoncDo00,pass_rating,,,,,,
player,201511020car,clt,MoncDo00,rush_att,0,,,,,
player,201511020car,clt,MoncDo00,rush_yds,0,,,,,
player,201511020car,clt,MoncDo00,rush_td,0,,,,,
player,201511020car,clt,MoncDo00,rush_long,0,,,,,
player,201511020car,clt,MoncDo00,targets,7,,,,,
player,201511020car,clt,MoncDo00,rec,2,,,,,
player,201511020car,clt,MoncDo00,rec_yds,18,,,,,
player,201511020car,clt,MoncDo00,rec_td,0,,,,,
player,201511020car,clt,MoncDo00,rec_long,13,,,,,
player,201511020car,clt,MoncDo00,fumbles,0,,,,,
player,201511020car,clt,MoncDo00,fumbles_lost,0,,,,,
player,201511020car,clt,HiltT.00,pass_cmp,0,,,,,
player,201511020car,clt,HiltT.00,pass_att,0,,,,,
player,201511020car,clt,HiltT.00,pass_yds,0,,,,,
player,201511020car,clt,HiltT.00,pass_td,0,,,,,
player,201511020car,clt,HiltT.00,pass_int,0,,,,,
player,201511020car,clt,HiltT.00,pass_sacked,0,,,,,
player,201511020car,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201511020car,clt,HiltT.00,pass_long,0,,,,,
player,201511020car,clt,HiltT.00,pass_rating,,,,,,
player,201511020car,clt,HiltT.00,rush_att,0,,,,,
player,201511020car,clt,HiltT.00,rush_yds,0,,,,,
player,201511020car,clt,HiltT.00,rush_td,0,,,,,
player,201511020car,clt,HiltT.00,rush_long,0,,,,,
player,201511020car,clt,HiltT.00,targets,7,,,,,
player,201511020car,clt,HiltT.00,rec,1,,,,,
player,201511020car,clt,HiltT.00,rec_yds,15,,,,,
player,201511020car,clt,HiltT.00,rec_td,0,,,,,
player,201511020car,clt,HiltT.00,rec_long,15,,,,,
player,201511020car,clt,HiltT.00,fumbles,0,,,,,
player,201511020car,clt,HiltT.00,fumbles_lost,0,,,,,
player,201511020car,clt,AlleDw00,pass_cmp,0,,,,,
player,201511020car,clt,AlleDw00,pass_att,0,,,,,
player,201511020car,clt,AlleDw00,pass_yds,0,,,,,
player,201511020car,clt,AlleDw00,pass_td,0,,,,,
player,201511020car,clt,AlleDw00,pass_int,0,,,,,
player,201511020car,clt,AlleDw00,pass_sacked,0,,,,,
player,201511020car,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201511020car,clt,AlleDw00,pass_long,0,,,,,
player,201511020car,clt,AlleDw00,pass_rating,,,,,,
player,201511020car,clt,AlleDw00,rush_att,0,,,,,
player,201511020car,clt,AlleDw00,rush_yds,0,,,,,
player,201511020car,clt,AlleDw00,rush_td,0,,,,,
player,201511020car,clt,AlleDw00,rush_long,0,,,,,
player,201511020car,clt,AlleDw00,targets,3,,,,,
player,201511020car,clt,AlleDw00,rec,1,,,,,
player,201511020car,clt,AlleDw00,rec_yds,4,,,,,
player,201511020car,clt,AlleDw00,rec_td,0,,,,,
player,201511020car,clt,AlleDw00,rec_long,4,,,,,
player,201511020car,clt,AlleDw00,fumbles,0,,,,,
player,201511020car,clt,AlleDw00,fumbles_lost,0,,,,,
player,201511020car,car,NewtCa00,pass_cmp,16,,,,,
player,201511020car,car,NewtCa00,pass_att,35,,,,,
player,201511020car,car,NewtCa00,pass_yds,248,,,,,
player,201511020car,car,NewtCa00,pass_td,2,,,,,
player,201511020car,car,NewtCa00,pass_int,1,,,,,
player,201511020car,car,NewtCa00,pass_sacked,2,,,,,
player,201511020car,car,NewtCa00,pass_sacked_yds,9,,,,,
player,201511020car,car,NewtCa00,pass_long,48,,,,,
player,201511020car,car,NewtCa00,pass_rating,76.8,,,,,
player,201511020car,car,NewtCa00,rush_att,10,,,,,
player,201511020car,car,NewtCa00,rush_yds,41,,,,,
player,201511020car,car,NewtCa00,rush_td,0,,,,,
player,201511020car,car,NewtCa00,rush_long,11,,,,,
player,201511020car,car,NewtCa00,targets,0,,,,,
player,201511020car,car,NewtCa00,rec,0,,,,,
player,201511020car,car,NewtCa00,rec_yds,0,,,,,
player,201511020car,car,NewtCa00,rec_td,0,,,,,
player,201511020car,car,NewtCa00,rec_long,0,,,,,
player,201511020car,car,NewtCa00,fumbles,1,,,,,
player,201511020car,car,NewtCa00,fumbles_lost,1,,,,,
player,201511020car,car,StewJo00,pass_cmp,0,,,,,
player,201511020car,car,StewJo00,pass_att,0,,,,,
player,201511020car,car,StewJo00,pass_yds,0,,,,,
player,201511020car,car,StewJo00,pass_td,0,,,,,
player,201511020car,car,StewJo00,pass_int,0,,,,,
player,201511020car,car,StewJo00,pass_sacked,0,,,,,
player,201511020car,car,StewJo00,pass_sacked_yds,0,,,,,
player,201511020car,car,StewJo00,pass_long,0,,,,,
player,201511020car,car,StewJo00,pass_rating,,,,,,
player,201511020car,car,StewJo00,rush_att,24,,,,,
player,201511020car,car,StewJo00,rush_yds,82,,,,,
player,201511020car,car,StewJo00,rush_td,1,,,,,
player,201511020car,car,StewJo00,rush_long,14,,,,,
player,201511020car,car,StewJo00,targets,2,,,,,
player,201511020car,car,StewJo00,rec,1,,,,,
player,201511020car,car,StewJo00,rec_yds,1,,,,,
player,201511020car,car,StewJo00,rec_td,0,,,,,
player,201511020car,car,StewJo00,rec_long,1,,,,,
player,201511020car,car,StewJo00,fumbles,1,,,,,
player,201511020car,car,StewJo00,fumbles_lost,1,,,,,
player,201511020car,car,BrowPh00,pass_cmp,0,,,,,
player,201511020car,car,BrowPh00,pass_att,0,,,,,
