game,2015,9,20151108,201511080car,gnb,"Green Bay Packers",29,car,"Carolina Panthers",37
team,201511080car,gnb,First Downs,21,,,,,,
team,201511080car,car,First Downs,20,,,,,,
team,201511080car,gnb,Rush-Yds-TDs,19-71-0,,,,,,
team,201511080car,car,Rush-Yds-TDs,36-130-1,,,,,,
team,201511080car,gnb,Cmp-Att-Yd-TD-INT,25-48-369-4-1,,,,,,
team,201511080car,car,Cmp-Att-Yd-TD-INT,15-30-297-3-1,,,,,,
team,201511080car,gnb,Sacked-Yards,5-38,,,,,,
team,201511080car,car,Sacked-Yards,0-0,,,,,,
team,201511080car,gnb,Net Pass Yards,331,,,,,,
team,201511080car,car,Net Pass Yards,297,,,,,,
team,201511080car,gnb,Total Yards,402,,,,,,
team,201511080car,car,Total Yards,427,,,,,,
team,201511080car,gnb,Fumbles-Lost,2-1,,,,,,
team,201511080car,car,Fumbles-Lost,0-0,,,,,,
team,201511080car,gnb,Turnovers,2,,,,,,
team,201511080car,car,Turnovers,1,,,,,,
team,201511080car,gnb,Penalties-Yards,7-87,,,,,,
team,201511080car,car,Penalties-Yards,6-45,,,,,,
team,201511080car,gnb,Third Down Conv.,3-14,,,,,,
team,201511080car,car,Third Down Conv.,5-15,,,,,,
team,201511080car,gnb,Fourth Down Conv.,2-3,,,,,,
team,201511080car,car,Fourth Down Conv.,0-0,,,,,,
team,201511080car,gnb,Time of Possession,27:48,,,,,,
team,201511080car,car,Time of Possession,32:12,,,,,,
player,201511080car,gnb,RodgAa00,pass_cmp,25,,,,,
player,201511080car,gnb,RodgAa00,pass_att,48,,,,,
player,201511080car,gnb,RodgAa00,pass_yds,369,,,,,
player,201511080car,gnb,RodgAa00,pass_td,4,,,,,
player,201511080car,gnb,RodgAa00,pass_int,1,,,,,
player,201511080car,gnb,RodgAa00,pass_sacked,5,,,,,
player,201511080car,gnb,RodgAa00,pass_sacked_yds,38,,,,,
player,201511080car,gnb,RodgAa00,pass_long,53,,,,,
player,201511080car,gnb,RodgAa00,pass_rating,96.6,,,,,
player,201511080car,gnb,RodgAa00,rush_att,4,,,,,
player,201511080car,gnb,RodgAa00,rush_yds,22,,,,,
player,201511080car,gnb,RodgAa00,rush_td,0,,,,,
player,201511080car,gnb,RodgAa00,rush_long,8,,,,,
