game,2015,11,20151122,201511220rav,ram,"St. Louis Rams",13,rav,"Baltimore Ravens",16
team,201511220rav,ram,First Downs,13,,,,,,
team,201511220rav,rav,First Downs,16,,,,,,
team,201511220rav,ram,Rush-Yds-TDs,29-82-1,,,,,,
team,201511220rav,rav,Rush-Yds-TDs,28-96-0,,,,,,
team,201511220rav,ram,Cmp-Att-Yd-TD-INT,12-26-136-1-0,,,,,,
team,201511220rav,rav,Cmp-Att-Yd-TD-INT,27-44-299-1-2,,,,,,
team,201511220rav,ram,Sacked-Yards,1-5,,,,,,
team,201511220rav,rav,Sacked-Yards,1-7,,,,,,
team,201511220rav,ram,Net Pass Yards,131,,,,,,
team,201511220rav,rav,Net Pass Yards,292,,,,,,
team,201511220rav,ram,Total Yards,213,,,,,,
team,201511220rav,rav,Total Yards,388,,,,,,
team,201511220rav,ram,Fumbles-Lost,5-4,,,,,,
team,201511220rav,rav,Fumbles-Lost,2-0,,,,,,
team,201511220rav,ram,Turnovers,4,,,,,,
team,201511220rav,rav,Turnovers,2,,,,,,
team,201511220rav,ram,Penalties-Yards,6-35,,,,,,
team,201511220rav,rav,Penalties-Yards,10-137,,,,,,
team,201511220rav,ram,Third Down Conv.,3-13,,,,,,
team,201511220rav,rav,Third Down Conv.,4-16,,,,,,
team,201511220rav,ram,Fourth Down Conv.,0-0,,,,,,
team,201511220rav,rav,Fourth Down Conv.,0-1,,,,,,
team,201511220rav,ram,Time of Possession,27:08,,,,,,
team,201511220rav,rav,Time of Possession,32:52,,,,,,
player,201511220rav,ram,KeenCa00,pass_cmp,12,,,,,
player,201511220rav,ram,KeenCa00,pass_att,26,,,,,
player,201511220rav,ram,KeenCa00,pass_yds,136,,,,,
player,201511220rav,ram,KeenCa00,pass_td,1,,,,,
player,201511220rav,ram,KeenCa00,pass_int,0,,,,,
player,201511220rav,ram,KeenCa00,pass_sacked,1,,,,,
player,201511220rav,ram,KeenCa00,pass_sacked_yds,5,,,,,
player,201511220rav,ram,KeenCa00,pass_long,30,,,,,
player,201511220rav,ram,KeenCa00,pass_rating,75.2,,,,,
player,201511220rav,ram,KeenCa00,rush_att,2,,,,,
player,201511220rav,ram,KeenCa00,rush_yds,0,,,,,
player,201511220rav,ram,KeenCa00,rush_td,0,,,,,
player,201511220rav,ram,KeenCa00,rush_long,0,,,,,
player,201511220rav,ram,KeenCa00,targets,0,,,,,
player,201511220rav,ram,KeenCa00,rec,0,,,,,
player,201511220rav,ram,KeenCa00,rec_yds,0,,,,,
player,201511220rav,ram,KeenCa00,rec_td,0,,,,,
player,201511220rav,ram,KeenCa00,rec_long,0,,,,,
player,201511220rav,ram,KeenCa00,fumbles,3,,,,,
player,201511220rav,ram,KeenCa00,fumbles_lost,2,,,,,
