game,2015,12,20151126,201511260det,phi,"Philadelphia Eagles",14,det,"Detroit Lions",45
team,201511260det,phi,First Downs,14,,,,,,
team,201511260det,det,First Downs,28,,,,,,
team,201511260det,phi,Rush-Yds-TDs,25-68-0,,,,,,
team,201511260det,det,Rush-Yds-TDs,30-108-1,,,,,,
team,201511260det,phi,Cmp-Att-Yd-TD-INT,19-27-199-2-0,,,,,,
team,201511260det,det,Cmp-Att-Yd-TD-INT,27-38-337-5-0,,,,,,
team,201511260det,phi,Sacked-Yards,6-40,,,,,,
team,201511260det,det,Sacked-Yards,2-15,,,,,,
team,201511260det,phi,Net Pass Yards,159,,,,,,
team,201511260det,det,Net Pass Yards,322,,,,,,
team,201511260det,phi,Total Yards,227,,,,,,
team,201511260det,det,Total Yards,430,,,,,,
team,201511260det,phi,Fumbles-Lost,1-1,,,,,,
team,201511260det,det,Fumbles-Lost,0-0,,,,,,
team,201511260det,phi,Turnovers,1,,,,,,
team,201511260det,det,Turnovers,0,,,,,,
team,201511260det,phi,Penalties-Yards,2-30,,,,,,
team,201511260det,det,Penalties-Yards,4-29,,,,,,
team,201511260det,phi,Third Down Conv.,6-14,,,,,,
team,201511260det,det,Third Down Conv.,5-10,,,,,,
team,201511260det,phi,Fourth Down Conv.,0-0,,,,,,
team,201511260det,det,Fourth Down Conv.,0-0,,,,,,
team,201511260det,phi,Time of Possession,22:49,,,,,,
team,201511260det,det,Time of Possession,37:11,,,,,,
player,201511260det,phi,SancMa00,pass_cmp,19,,,,,
player,201511260det,phi,SancMa00,pass_att,27,,,,,
player,201511260det,phi,SancMa00,pass_yds,199,,,,,
player,201511260det,phi,SancMa00,pass_td,2,,,,,
player,201511260det,phi,SancMa00,pass_int,0,,,,,
player,201511260det,phi,SancMa00,pass_sacked,6,,,,,
player,201511260det,phi,SancMa00,pass_sacked_yds,40,,,,,
player,201511260det,phi,SancMa00,pass_long,43,,,,,
player,201511260det,phi,SancMa00,pass_rating,116.1,,,,,
player,201511260det,phi,SancMa00,rush_att,2,,,,,
player,201511260det,phi,SancMa00,rush_yds,4,,,,,
player,201511260det,phi,SancMa00,rush_td,0,,,,,
player,201511260det,phi,SancMa00,rush_long,5,,,,,
player,201511260det,phi,SancMa00,targets,0,,,,,
player,201511260det,phi,SancMa00,rec,0,,,,,
player,201511260det,phi,SancMa00,rec_yds,0,,,,,
player,201511260det,phi,SancMa00,rec_td,0,,,,,
player,201511260det,phi,SancMa00,rec_long,0,,,,,
player,201511260det,phi,SancMa00,fumbles,1,,,,,
player,201511260det,phi,SancMa00,fumbles_lost,1,,,,,
player,201511260det,phi,BarnKe00,pass_cmp,0,,,,,
player,201511260det,phi,BarnKe00,pass_att,0,,,,,
player,201511260det,phi,BarnKe00,pass_yds,0,,,,,
player,201511260det,phi,BarnKe00,pass_td,0,,,,,
player,201511260det,phi,BarnKe00,pass_int,0,,,,,
player,201511260det,phi,BarnKe00,pass_sacked,0,,,,,
player,201511260det,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201511260det,phi,BarnKe00,pass_long,0,,,,,
player,201511260det,phi,BarnKe00,pass_rating,,,,,,
player,201511260det,phi,BarnKe00,rush_att,7,,,,,
player,201511260det,phi,BarnKe00,rush_yds,30,,,,,
player,201511260det,phi,BarnKe00,rush_td,0,,,,,
player,201511260det,phi,BarnKe00,rush_long,16,,,,,
player,201511260det,phi,BarnKe00,targets,1,,,,,
player,201511260det,phi,BarnKe00,rec,1,,,,,
player,201511260det,phi,BarnKe00,rec_yds,1,,,,,
player,201511260det,phi,BarnKe00,rec_td,0,,,,,
player,201511260det,phi,BarnKe00,rec_long,1,,,,,
player,201511260det,phi,BarnKe00,fumbles,0,,,,,
player,201511260det,phi,BarnKe00,fumbles_lost,0,,,,,
player,201511260det,phi,MurrDe00,pass_cmp,0,,,,,
player,201511260det,phi,MurrDe00,pass_att,0,,,,,
player,201511260det,phi,MurrDe00,pass_yds,0,,,,,
player,201511260det,phi,MurrDe00,pass_td,0,,,,,
player,201511260det,phi,MurrDe00,pass_int,0,,,,,
player,201511260det,phi,MurrDe00,pass_sacked,0,,,,,
player,201511260det,phi,MurrDe00,pass_sacked_yds,0,,,,,
player,201511260det,phi,MurrDe00,pass_long,0,,,,,
player,201511260det,phi,MurrDe00,pass_rating,,,,,,
player,201511260det,phi,MurrDe00,rush_att,14,,,,,
player,201511260det,phi,MurrDe00,rush_yds,30,,,,,
player,201511260det,phi,MurrDe00,rush_td,0,,,,,
player,201511260det,phi,MurrDe00,rush_long,19,,,,,
player,201511260det,phi,MurrDe00,targets,0,,,,,
player,201511260det,phi,MurrDe00,rec,0,,,,,
player,201511260det,phi,MurrDe00,rec_yds,0,,,,,
player,201511260det,phi,MurrDe00,rec_td,0,,,,,
player,201511260det,phi,MurrDe00,rec_long,0,,,,,
player,201511260det,phi,MurrDe00,fumbles,0,,,,,
player,201511260det,phi,MurrDe00,fumbles_lost,0,,,,,
player,201511260det,phi,SproDa00,pass_cmp,0,,,,,
player,201511260det,phi,SproDa00,pass_att,0,,,,,
player,201511260det,phi,SproDa00,pass_yds,0,,,,,
player,201511260det,phi,SproDa00,pass_td,0,,,,,
player,201511260det,phi,SproDa00,pass_int,0,,,,,
player,201511260det,phi,SproDa00,pass_sacked,0,,,,,
player,201511260det,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201511260det,phi,SproDa00,pass_long,0,,,,,
player,201511260det,phi,SproDa00,pass_rating,,,,,,
player,201511260det,phi,SproDa00,rush_att,2,,,,,
player,201511260det,phi,SproDa00,rush_yds,4,,,,,
player,201511260det,phi,SproDa00,rush_td,0,,,,,
player,201511260det,phi,SproDa00,rush_long,5,,,,,
player,201511260det,phi,SproDa00,targets,6,,,,,
player,201511260det,phi,SproDa00,rec,4,,,,,
player,201511260det,phi,SproDa00,rec_yds,21,,,,,
player,201511260det,phi,SproDa00,rec_td,0,,,,,
player,201511260det,phi,SproDa00,rec_long,16,,,,,
player,201511260det,phi,SproDa00,fumbles,0,,,,,
player,201511260det,phi,SproDa00,fumbles_lost,0,,,,,
player,201511260det,phi,MattJo00,pass_cmp,0,,,,,
player,201511260det,phi,MattJo00,pass_att,0,,,,,
player,201511260det,phi,MattJo00,pass_yds,0,,,,,
player,201511260det,phi,MattJo00,pass_td,0,,,,,
player,201511260det,phi,MattJo00,pass_int,0,,,,,
player,201511260det,phi,MattJo00,pass_sacked,0,,,,,
player,201511260det,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201511260det,phi,MattJo00,pass_long,0,,,,,
player,201511260det,phi,MattJo00,pass_rating,,,,,,
player,201511260det,phi,MattJo00,rush_att,0,,,,,
player,201511260det,phi,MattJo00,rush_yds,0,,,,,
player,201511260det,phi,MattJo00,rush_td,0,,,,,
player,201511260det,phi,MattJo00,rush_long,0,,,,,
player,201511260det,phi,MattJo00,targets,5,,,,,
player,201511260det,phi,MattJo00,rec,3,,,,,
player,201511260det,phi,MattJo00,rec_yds,60,,,,,
player,201511260det,phi,MattJo00,rec_td,1,,,,,
player,201511260det,phi,MattJo00,rec_long,24,,,,,
player,201511260det,phi,MattJo00,fumbles,0,,,,,
player,201511260det,phi,MattJo00,fumbles_lost,0,,,,,
player,201511260det,phi,BurtTr01,pass_cmp,0,,,,,
player,201511260det,phi,BurtTr01,pass_att,0,,,,,
player,201511260det,phi,BurtTr01,pass_yds,0,,,,,
player,201511260det,phi,BurtTr01,pass_td,0,,,,,
player,201511260det,phi,BurtTr01,pass_int,0,,,,,
player,201511260det,phi,BurtTr01,pass_sacked,0,,,,,
player,201511260det,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201511260det,phi,BurtTr01,pass_long,0,,,,,
player,201511260det,phi,BurtTr01,pass_rating,,,,,,
player,201511260det,phi,BurtTr01,rush_att,0,,,,,
player,201511260det,phi,BurtTr01,rush_yds,0,,,,,
player,201511260det,phi,BurtTr01,rush_td,0,,,,,
player,201511260det,phi,BurtTr01,rush_long,0,,,,,
player,201511260det,phi,BurtTr01,targets,2,,,,,
player,201511260det,phi,BurtTr01,rec,2,,,,,
player,201511260det,phi,BurtTr01,rec_yds,49,,,,,
player,201511260det,phi,BurtTr01,rec_td,0,,,,,
player,201511260det,phi,BurtTr01,rec_long,43,,,,,
player,201511260det,phi,BurtTr01,fumbles,0,,,,,
player,201511260det,phi,BurtTr01,fumbles_lost,0,,,,,
player,201511260det,phi,CoopRi00,pass_cmp,0,,,,,
player,201511260det,phi,CoopRi00,pass_att,0,,,,,
player,201511260det,phi,CoopRi00,pass_yds,0,,,,,
player,201511260det,phi,CoopRi00,pass_td,0,,,,,
player,201511260det,phi,CoopRi00,pass_int,0,,,,,
player,201511260det,phi,CoopRi00,pass_sacked,0,,,,,
player,201511260det,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201511260det,phi,CoopRi00,pass_long,0,,,,,
player,201511260det,phi,CoopRi00,pass_rating,,,,,,
player,201511260det,phi,CoopRi00,rush_att,0,,,,,
player,201511260det,phi,CoopRi00,rush_yds,0,,,,,
player,201511260det,phi,CoopRi00,rush_td,0,,,,,
player,201511260det,phi,CoopRi00,rush_long,0,,,,,
player,201511260det,phi,CoopRi00,targets,2,,,,,
player,201511260det,phi,CoopRi00,rec,2,,,,,
player,201511260det,phi,CoopRi00,rec_yds,16,,,,,
player,201511260det,phi,CoopRi00,rec_td,0,,,,,
player,201511260det,phi,CoopRi00,rec_long,8,,,,,
player,201511260det,phi,CoopRi00,fumbles,0,,,,,
player,201511260det,phi,CoopRi00,fumbles_lost,0,,,,,
player,201511260det,phi,AghoNe00,pass_cmp,0,,,,,
player,201511260det,phi,AghoNe00,pass_att,0,,,,,
player,201511260det,phi,AghoNe00,pass_yds,0,,,,,
player,201511260det,phi,AghoNe00,pass_td,0,,,,,
player,201511260det,phi,AghoNe00,pass_int,0,,,,,
player,201511260det,phi,AghoNe00,pass_sacked,0,,,,,
player,201511260det,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201511260det,phi,AghoNe00,pass_long,0,,,,,
player,201511260det,phi,AghoNe00,pass_rating,,,,,,
player,201511260det,phi,AghoNe00,rush_att,0,,,,,
player,201511260det,phi,AghoNe00,rush_yds,0,,,,,
player,201511260det,phi,AghoNe00,rush_td,0,,,,,
player,201511260det,phi,AghoNe00,rush_long,0,,,,,
player,201511260det,phi,AghoNe00,targets,2,,,,,
player,201511260det,phi,AghoNe00,rec,2,,,,,
player,201511260det,phi,AghoNe00,rec_yds,15,,,,,
player,201511260det,phi,AghoNe00,rec_td,0,,,,,
player,201511260det,phi,AghoNe00,rec_long,12,,,,,
player,201511260det,phi,AghoNe00,fumbles,0,,,,,
player,201511260det,phi,AghoNe00,fumbles_lost,0,,,,,
player,201511260det,phi,AustMi00,pass_cmp,0,,,,,
player,201511260det,phi,AustMi00,pass_att,0,,,,,
player,201511260det,phi,AustMi00,pass_yds,0,,,,,
player,201511260det,phi,AustMi00,pass_td,0,,,,,
player,201511260det,phi,AustMi00,pass_int,0,,,,,
player,201511260det,phi,AustMi00,pass_sacked,0,,,,,
player,201511260det,phi,AustMi00,pass_sacked_yds,0,,,,,
player,201511260det,phi,AustMi00,pass_long,0,,,,,
player,201511260det,phi,AustMi00,pass_rating,,,,,,
player,201511260det,phi,AustMi00,rush_att,0,,,,,
player,201511260det,phi,AustMi00,rush_yds,0,,,,,
player,201511260det,phi,AustMi00,rush_td,0,,,,,
player,201511260det,phi,AustMi00,rush_long,0,,,,,
player,201511260det,phi,AustMi00,targets,2,,,,,
player,201511260det,phi,AustMi00,rec,1,,,,,
player,201511260det,phi,AustMi00,rec_yds,12,,,,,
player,201511260det,phi,AustMi00,rec_td,0,,,,,
player,201511260det,phi,AustMi00,rec_long,12,,,,,
player,201511260det,phi,AustMi00,fumbles,0,,,,,
player,201511260det,phi,AustMi00,fumbles_lost,0,,,,,
player,201511260det,phi,HuffJo00,pass_cmp,0,,,,,
player,201511260det,phi,HuffJo00,pass_att,0,,,,,
player,201511260det,phi,HuffJo00,pass_yds,0,,,,,
player,201511260det,phi,HuffJo00,pass_td,0,,,,,
player,201511260det,phi,HuffJo00,pass_int,0,,,,,
player,201511260det,phi,HuffJo00,pass_sacked,0,,,,,
player,201511260det,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201511260det,phi,HuffJo00,pass_long,0,,,,,
player,201511260det,phi,HuffJo00,pass_rating,,,,,,
player,201511260det,phi,HuffJo00,rush_att,0,,,,,
player,201511260det,phi,HuffJo00,rush_yds,0,,,,,
player,201511260det,phi,HuffJo00,rush_td,0,,,,,
player,201511260det,phi,HuffJo00,rush_long,0,,,,,
player,201511260det,phi,HuffJo00,targets,1,,,,,
player,201511260det,phi,HuffJo00,rec,1,,,,,
player,201511260det,phi,HuffJo00,rec_yds,11,,,,,
player,201511260det,phi,HuffJo00,rec_td,0,,,,,
player,201511260det,phi,HuffJo00,rec_long,11,,,,,
player,201511260det,phi,HuffJo00,fumbles,0,,,,,
player,201511260det,phi,HuffJo00,fumbles_lost,0,,,,,
player,201511260det,phi,CeleBr00,pass_cmp,0,,,,,
player,201511260det,phi,CeleBr00,pass_att,0,,,,,
player,201511260det,phi,CeleBr00,pass_yds,0,,,,,
player,201511260det,phi,CeleBr00,pass_td,0,,,,,
player,201511260det,phi,CeleBr00,pass_int,0,,,,,
player,201511260det,phi,CeleBr00,pass_sacked,0,,,,,
player,201511260det,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201511260det,phi,CeleBr00,pass_long,0,,,,,
player,201511260det,phi,CeleBr00,pass_rating,,,,,,
player,201511260det,phi,CeleBr00,rush_att,0,,,,,
player,201511260det,phi,CeleBr00,rush_yds,0,,,,,
player,201511260det,phi,CeleBr00,rush_td,0,,,,,
player,201511260det,phi,CeleBr00,rush_long,0,,,,,
player,201511260det,phi,CeleBr00,targets,4,,,,,
player,201511260det,phi,CeleBr00,rec,2,,,,,
player,201511260det,phi,CeleBr00,rec_yds,10,,,,,
player,201511260det,phi,CeleBr00,rec_td,1,,,,,
player,201511260det,phi,CeleBr00,rec_long,8,,,,,
player,201511260det,phi,CeleBr00,fumbles,0,,,,,
player,201511260det,phi,CeleBr00,fumbles_lost,0,,,,,
player,201511260det,phi,AjirSe00,pass_cmp,0,,,,,
player,201511260det,phi,AjirSe00,pass_att,0,,,,,
player,201511260det,phi,AjirSe00,pass_yds,0,,,,,
player,201511260det,phi,AjirSe00,pass_td,0,,,,,
player,201511260det,phi,AjirSe00,pass_int,0,,,,,
player,201511260det,phi,AjirSe00,pass_sacked,0,,,,,
player,201511260det,phi,AjirSe00,pass_sacked_yds,0,,,,,
player,201511260det,phi,AjirSe00,pass_long,0,,,,,
player,201511260det,phi,AjirSe00,pass_rating,,,,,,
player,201511260det,phi,AjirSe00,rush_att,0,,,,,
player,201511260det,phi,AjirSe00,rush_yds,0,,,,,
player,201511260det,phi,AjirSe00,rush_td,0,,,,,
player,201511260det,phi,AjirSe00,rush_long,0,,,,,
player,201511260det,phi,AjirSe00,targets,2,,,,,
player,201511260det,phi,AjirSe00,rec,1,,,,,
player,201511260det,phi,AjirSe00,rec_yds,4,,,,,
player,201511260det,phi,AjirSe00,rec_td,0,,,,,
player,201511260det,phi,AjirSe00,rec_long,4,,,,,
player,201511260det,phi,AjirSe00,fumbles,0,,,,,
player,201511260det,phi,AjirSe00,fumbles_lost,0,,,,,
player,201511260det,det,StafMa00,pass_cmp,27,,,,,
player,201511260det,det,StafMa00,pass_att,38,,,,,
player,201511260det,det,StafMa00,pass_yds,337,,,,,
player,201511260det,det,StafMa00,pass_td,5,,,,,
player,201511260det,det,StafMa00,pass_int,0,,,,,
player,201511260det,det,StafMa00,pass_sacked,2,,,,,
player,201511260det,det,StafMa00,pass_sacked_yds,15,,,,,
player,201511260det,det,StafMa00,pass_long,39,,,,,
player,201511260det,det,StafMa00,pass_rating,137.8,,,,,
player,201511260det,det,StafMa00,rush_att,2,,,,,
player,201511260det,det,StafMa00,rush_yds,13,,,,,
player,201511260det,det,StafMa00,rush_td,0,,,,,
player,201511260det,det,StafMa00,rush_long,8,,,,,
player,201511260det,det,StafMa00,targets,0,,,,,
player,201511260det,det,StafMa00,rec,0,,,,,
player,201511260det,det,StafMa00,rec_yds,0,,,,,
player,201511260det,det,StafMa00,rec_td,0,,,,,
player,201511260det,det,StafMa00,rec_long,0,,,,,
player,201511260det,det,StafMa00,fumbles,0,,,,,
player,201511260det,det,StafMa00,fumbles_lost,0,,,,,
player,201511260det,det,AbduAm00,pass_cmp,0,,,,,
player,201511260det,det,AbduAm00,pass_att,0,,,,,
player,201511260det,det,AbduAm00,pass_yds,0,,,,,
player,201511260det,det,AbduAm00,pass_td,0,,,,,
player,201511260det,det,AbduAm00,pass_int,0,,,,,
player,201511260det,det,AbduAm00,pass_sacked,0,,,,,
player,201511260det,det,AbduAm00,pass_sacked_yds,0,,,,,
player,201511260det,det,AbduAm00,pass_long,0,,,,,
player,201511260det,det,AbduAm00,pass_rating,,,,,,
player,201511260det,det,AbduAm00,rush_att,16,,,,,
player,201511260det,det,AbduAm00,rush_yds,63,,,,,
player,201511260det,det,AbduAm00,rush_td,0,,,,,
player,201511260det,det,AbduAm00,rush_long,23,,,,,
player,201511260det,det,AbduAm00,targets,2,,,,,
player,201511260det,det,AbduAm00,rec,1,,,,,
player,201511260det,det,AbduAm00,rec_yds,12,,,,,
player,201511260det,det,AbduAm00,rec_td,0,,,,,
player,201511260det,det,AbduAm00,rec_long,12,,,,,
player,201511260det,det,AbduAm00,fumbles,0,,,,,
player,201511260det,det,AbduAm00,fumbles_lost,0,,,,,
player,201511260det,det,BellJo01,pass_cmp,0,,,,,
player,201511260det,det,BellJo01,pass_att,0,,,,,
player,201511260det,det,BellJo01,pass_yds,0,,,,,
player,201511260det,det,BellJo01,pass_td,0,,,,,
player,201511260det,det,BellJo01,pass_int,0,,,,,
player,201511260det,det,BellJo01,pass_sacked,0,,,,,
player,201511260det,det,BellJo01,pass_sacked_yds,0,,,,,
player,201511260det,det,BellJo01,pass_long,0,,,,,
player,201511260det,det,BellJo01,pass_rating,,,,,,
player,201511260det,det,BellJo01,rush_att,7,,,,,
player,201511260det,det,BellJo01,rush_yds,25,,,,,
player,201511260det,det,BellJo01,rush_td,1,,,,,
player,201511260det,det,BellJo01,rush_long,9,,,,,
player,201511260det,det,BellJo01,targets,3,,,,,
player,201511260det,det,BellJo01,rec,2,,,,,
player,201511260det,det,BellJo01,rec_yds,57,,,,,
player,201511260det,det,BellJo01,rec_td,0,,,,,
player,201511260det,det,BellJo01,rec_long,39,,,,,
player,201511260det,det,BellJo01,fumbles,0,,,,,
player,201511260det,det,BellJo01,fumbles_lost,0,,,,,
player,201511260det,det,RiddTh00,pass_cmp,0,,,,,
player,201511260det,det,RiddTh00,pass_att,0,,,,,
player,201511260det,det,RiddTh00,pass_yds,0,,,,,
player,201511260det,det,RiddTh00,pass_td,0,,,,,
player,201511260det,det,RiddTh00,pass_int,0,,,,,
player,201511260det,det,RiddTh00,pass_sacked,0,,,,,
player,201511260det,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201511260det,det,RiddTh00,pass_long,0,,,,,
player,201511260det,det,RiddTh00,pass_rating,,,,,,
player,201511260det,det,RiddTh00,rush_att,2,,,,,
player,201511260det,det,RiddTh00,rush_yds,6,,,,,
player,201511260det,det,RiddTh00,rush_td,0,,,,,
player,201511260det,det,RiddTh00,rush_long,3,,,,,
player,201511260det,det,RiddTh00,targets,5,,,,,
