game,2015,12,20151129,201511290clt,tam,"Tampa Bay Buccaneers",12,clt,"Indianapolis Colts",25
team,201511290clt,tam,First Downs,21,,,,,,
team,201511290clt,clt,First Downs,23,,,,,,
team,201511290clt,tam,Rush-Yds-TDs,21-132-0,,,,,,
team,201511290clt,clt,Rush-Yds-TDs,26-27-0,,,,,,
team,201511290clt,tam,Cmp-Att-Yd-TD-INT,20-36-245-1-1,,,,,,
team,201511290clt,clt,Cmp-Att-Yd-TD-INT,26-42-315-2-0,,,,,,
team,201511290clt,tam,Sacked-Yards,5-33,,,,,,
team,201511290clt,clt,Sacked-Yards,3-6,,,,,,
team,201511290clt,tam,Net Pass Yards,212,,,,,,
team,201511290clt,clt,Net Pass Yards,309,,,,,,
team,201511290clt,tam,Total Yards,344,,,,,,
team,201511290clt,clt,Total Yards,336,,,,,,
team,201511290clt,tam,Fumbles-Lost,0-0,,,,,,
team,201511290clt,clt,Fumbles-Lost,1-0,,,,,,
team,201511290clt,tam,Turnovers,1,,,,,,
team,201511290clt,clt,Turnovers,0,,,,,,
team,201511290clt,tam,Penalties-Yards,12-95,,,,,,
team,201511290clt,clt,Penalties-Yards,6-45,,,,,,
team,201511290clt,tam,Third Down Conv.,6-13,,,,,,
team,201511290clt,clt,Third Down Conv.,7-16,,,,,,
team,201511290clt,tam,Fourth Down Conv.,0-1,,,,,,
team,201511290clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201511290clt,tam,Time of Possession,27:35,,,,,,
team,201511290clt,clt,Time of Possession,32:25,,,,,,
player,201511290clt,tam,WinsJa00,pass_cmp,20,,,,,
player,201511290clt,tam,WinsJa00,pass_att,36,,,,,
player,201511290clt,tam,WinsJa00,pass_yds,245,,,,,
player,201511290clt,tam,WinsJa00,pass_td,1,,,,,
player,201511290clt,tam,WinsJa00,pass_int,1,,,,,
player,201511290clt,tam,WinsJa00,pass_sacked,5,,,,,
player,201511290clt,tam,WinsJa00,pass_sacked_yds,33,,,,,
player,201511290clt,tam,WinsJa00,pass_long,21,,,,,
player,201511290clt,tam,WinsJa00,pass_rating,74.4,,,,,
player,201511290clt,tam,WinsJa00,rush_att,3,,,,,
player,201511290clt,tam,WinsJa00,rush_yds,27,,,,,
player,201511290clt,tam,WinsJa00,rush_td,0,,,,,
player,201511290clt,tam,WinsJa00,rush_long,14,,,,,
player,201511290clt,tam,WinsJa00,targets,0,,,,,
player,201511290clt,tam,WinsJa00,rec,0,,,,,
player,201511290clt,tam,WinsJa00,rec_yds,0,,,,,
player,201511290clt,tam,WinsJa00,rec_td,0,,,,,
player,201511290clt,tam,WinsJa00,rec_long,0,,,,,
player,201511290clt,tam,WinsJa00,fumbles,0,,,,,
player,201511290clt,tam,WinsJa00,fumbles_lost,0,,,,,
player,201511290clt,tam,MartDo00,pass_cmp,0,,,,,
player,201511290clt,tam,MartDo00,pass_att,0,,,,,
player,201511290clt,tam,MartDo00,pass_yds,0,,,,,
player,201511290clt,tam,MartDo00,pass_td,0,,,,,
player,201511290clt,tam,MartDo00,pass_int,0,,,,,
player,201511290clt,tam,MartDo00,pass_sacked,0,,,,,
player,201511290clt,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201511290clt,tam,MartDo00,pass_long,0,,,,,
player,201511290clt,tam,MartDo00,pass_rating,,,,,,
player,201511290clt,tam,MartDo00,rush_att,14,,,,,
player,201511290clt,tam,MartDo00,rush_yds,97,,,,,
player,201511290clt,tam,MartDo00,rush_td,0,,,,,
player,201511290clt,tam,MartDo00,rush_long,56,,,,,
player,201511290clt,tam,MartDo00,targets,3,,,,,
player,201511290clt,tam,MartDo00,rec,1,,,,,
player,201511290clt,tam,MartDo00,rec_yds,1,,,,,
player,201511290clt,tam,MartDo00,rec_td,0,,,,,
player,201511290clt,tam,MartDo00,rec_long,1,,,,,
player,201511290clt,tam,MartDo00,fumbles,0,,,,,
player,201511290clt,tam,MartDo00,fumbles_lost,0,,,,,
player,201511290clt,tam,SimsCh00,pass_cmp,0,,,,,
player,201511290clt,tam,SimsCh00,pass_att,0,,,,,
