game,2015,13,20151206,201512060min,sea,"Seattle Seahawks",38,min,"Minnesota Vikings",7
team,201512060min,sea,First Downs,25,,,,,,
team,201512060min,min,First Downs,9,,,,,,
team,201512060min,sea,Rush-Yds-TDs,36-173-2,,,,,,
team,201512060min,min,Rush-Yds-TDs,16-31-0,,,,,,
team,201512060min,sea,Cmp-Att-Yd-TD-INT,21-28-274-3-0,,,,,,
team,201512060min,min,Cmp-Att-Yd-TD-INT,17-28-118-0-1,,,,,,
team,201512060min,sea,Sacked-Yards,2-14,,,,,,
team,201512060min,min,Sacked-Yards,4-24,,,,,,
team,201512060min,sea,Net Pass Yards,260,,,,,,
team,201512060min,min,Net Pass Yards,94,,,,,,
team,201512060min,sea,Total Yards,433,,,,,,
team,201512060min,min,Total Yards,125,,,,,,
team,201512060min,sea,Fumbles-Lost,1-1,,,,,,
team,201512060min,min,Fumbles-Lost,1-0,,,,,,
team,201512060min,sea,Turnovers,1,,,,,,
team,201512060min,min,Turnovers,1,,,,,,
team,201512060min,sea,Penalties-Yards,9-65,,,,,,
team,201512060min,min,Penalties-Yards,9-95,,,,,,
team,201512060min,sea,Third Down Conv.,9-13,,,,,,
team,201512060min,min,Third Down Conv.,2-10,,,,,,
team,201512060min,sea,Fourth Down Conv.,1-1,,,,,,
team,201512060min,min,Fourth Down Conv.,0-1,,,,,,
team,201512060min,sea,Time of Possession,35:10,,,,,,
team,201512060min,min,Time of Possession,24:50,,,,,,
player,201512060min,sea,WilsRu00,pass_cmp,21,,,,,
player,201512060min,sea,WilsRu00,pass_att,27,,,,,
player,201512060min,sea,WilsRu00,pass_yds,274,,,,,
player,201512060min,sea,WilsRu00,pass_td,3,,,,,
player,201512060min,sea,WilsRu00,pass_int,0,,,,,
player,201512060min,sea,WilsRu00,pass_sacked,1,,,,,
player,201512060min,sea,WilsRu00,pass_sacked_yds,8,,,,,
player,201512060min,sea,WilsRu00,pass_long,53,,,,,
player,201512060min,sea,WilsRu00,pass_rating,146.0,,,,,
player,201512060min,sea,WilsRu00,rush_att,9,,,,,
player,201512060min,sea,WilsRu00,rush_yds,51,,,,,
