game,2015,13,20151206,201512060nwe,phi,"Philadelphia Eagles",35,nwe,"New England Patriots",28
team,201512060nwe,phi,First Downs,15,,,,,,
team,201512060nwe,nwe,First Downs,27,,,,,,
team,201512060nwe,phi,Rush-Yds-TDs,33-128-0,,,,,,
team,201512060nwe,nwe,Rush-Yds-TDs,25-103-1,,,,,,
team,201512060nwe,phi,Cmp-Att-Yd-TD-INT,14-24-120-2-0,,,,,,
team,201512060nwe,nwe,Cmp-Att-Yd-TD-INT,30-57-348-3-2,,,,,,
team,201512060nwe,phi,Sacked-Yards,1-0,,,,,,
team,201512060nwe,nwe,Sacked-Yards,4-24,,,,,,
team,201512060nwe,phi,Net Pass Yards,120,,,,,,
team,201512060nwe,nwe,Net Pass Yards,324,,,,,,
team,201512060nwe,phi,Total Yards,248,,,,,,
team,201512060nwe,nwe,Total Yards,427,,,,,,
team,201512060nwe,phi,Fumbles-Lost,2-1,,,,,,
team,201512060nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201512060nwe,phi,Turnovers,1,,,,,,
team,201512060nwe,nwe,Turnovers,2,,,,,,
team,201512060nwe,phi,Penalties-Yards,8-97,,,,,,
team,201512060nwe,nwe,Penalties-Yards,3-30,,,,,,
team,201512060nwe,phi,Third Down Conv.,6-14,,,,,,
team,201512060nwe,nwe,Third Down Conv.,7-17,,,,,,
team,201512060nwe,phi,Fourth Down Conv.,0-0,,,,,,
team,201512060nwe,nwe,Fourth Down Conv.,1-2,,,,,,
team,201512060nwe,phi,Time of Possession,25:44,,,,,,
team,201512060nwe,nwe,Time of Possession,34:16,,,,,,
player,201512060nwe,phi,BradSa00,pass_cmp,14,,,,,
player,201512060nwe,phi,BradSa00,pass_att,24,,,,,
player,201512060nwe,phi,BradSa00,pass_yds,120,,,,,
player,201512060nwe,phi,BradSa00,pass_td,2,,,,,
player,201512060nwe,phi,BradSa00,pass_int,0,,,,,
player,201512060nwe,phi,BradSa00,pass_sacked,1,,,,,
player,201512060nwe,phi,BradSa00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,BradSa00,pass_long,20,,,,,
player,201512060nwe,phi,BradSa00,pass_rating,99.3,,,,,
player,201512060nwe,phi,BradSa00,rush_att,1,,,,,
player,201512060nwe,phi,BradSa00,rush_yds,-1,,,,,
player,201512060nwe,phi,BradSa00,rush_td,0,,,,,
player,201512060nwe,phi,BradSa00,rush_long,-1,,,,,
player,201512060nwe,phi,BradSa00,targets,0,,,,,
player,201512060nwe,phi,BradSa00,rec,0,,,,,
player,201512060nwe,phi,BradSa00,rec_yds,0,,,,,
player,201512060nwe,phi,BradSa00,rec_td,0,,,,,
player,201512060nwe,phi,BradSa00,rec_long,0,,,,,
player,201512060nwe,phi,BradSa00,fumbles,0,,,,,
player,201512060nwe,phi,BradSa00,fumbles_lost,0,,,,,
player,201512060nwe,phi,SproDa00,pass_cmp,0,,,,,
player,201512060nwe,phi,SproDa00,pass_att,0,,,,,
player,201512060nwe,phi,SproDa00,pass_yds,0,,,,,
player,201512060nwe,phi,SproDa00,pass_td,0,,,,,
player,201512060nwe,phi,SproDa00,pass_int,0,,,,,
player,201512060nwe,phi,SproDa00,pass_sacked,0,,,,,
player,201512060nwe,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,SproDa00,pass_long,0,,,,,
player,201512060nwe,phi,SproDa00,pass_rating,,,,,,
player,201512060nwe,phi,SproDa00,rush_att,15,,,,,
player,201512060nwe,phi,SproDa00,rush_yds,66,,,,,
player,201512060nwe,phi,SproDa00,rush_td,0,,,,,
player,201512060nwe,phi,SproDa00,rush_long,13,,,,,
player,201512060nwe,phi,SproDa00,targets,6,,,,,
player,201512060nwe,phi,SproDa00,rec,4,,,,,
player,201512060nwe,phi,SproDa00,rec_yds,34,,,,,
player,201512060nwe,phi,SproDa00,rec_td,0,,,,,
player,201512060nwe,phi,SproDa00,rec_long,16,,,,,
player,201512060nwe,phi,SproDa00,fumbles,0,,,,,
player,201512060nwe,phi,SproDa00,fumbles_lost,0,,,,,
player,201512060nwe,phi,BarnKe00,pass_cmp,0,,,,,
