game,2015,14,20151210,201512100crd,min,"Minnesota Vikings",20,crd,"Arizona Cardinals",23
team,201512100crd,min,First Downs,23,,,,,,
team,201512100crd,crd,First Downs,22,,,,,,
team,201512100crd,min,Rush-Yds-TDs,24-72-1,,,,,,
team,201512100crd,crd,Rush-Yds-TDs,29-97-0,,,,,,
team,201512100crd,min,Cmp-Att-Yd-TD-INT,25-36-335-1-0,,,,,,
team,201512100crd,crd,Cmp-Att-Yd-TD-INT,25-35-310-2-0,,,,,,
team,201512100crd,min,Sacked-Yards,3-18,,,,,,
team,201512100crd,crd,Sacked-Yards,2-14,,,,,,
team,201512100crd,min,Net Pass Yards,317,,,,,,
team,201512100crd,crd,Net Pass Yards,296,,,,,,
team,201512100crd,min,Total Yards,389,,,,,,
team,201512100crd,crd,Total Yards,393,,,,,,
team,201512100crd,min,Fumbles-Lost,3-3,,,,,,
team,201512100crd,crd,Fumbles-Lost,0-0,,,,,,
team,201512100crd,min,Turnovers,3,,,,,,
team,201512100crd,crd,Turnovers,0,,,,,,
team,201512100crd,min,Penalties-Yards,3-25,,,,,,
team,201512100crd,crd,Penalties-Yards,4-30,,,,,,
team,201512100crd,min,Third Down Conv.,6-11,,,,,,
team,201512100crd,crd,Third Down Conv.,6-13,,,,,,
team,201512100crd,min,Fourth Down Conv.,0-0,,,,,,
team,201512100crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201512100crd,min,Time of Possession,28:01,,,,,,
team,201512100crd,crd,Time of Possession,31:59,,,,,,
player,201512100crd,min,BridTe00,pass_cmp,25,,,,,
player,201512100crd,min,BridTe00,pass_att,36,,,,,
player,201512100crd,min,BridTe00,pass_yds,335,,,,,
player,201512100crd,min,BridTe00,pass_td,1,,,,,
player,201512100crd,min,BridTe00,pass_int,0,,,,,
player,201512100crd,min,BridTe00,pass_sacked,3,,,,,
player,201512100crd,min,BridTe00,pass_sacked_yds,18,,,,,
player,201512100crd,min,BridTe00,pass_long,41,,,,,
player,201512100crd,min,BridTe00,pass_rating,108.0,,,,,
player,201512100crd,min,BridTe00,rush_att,1,,,,,
player,201512100crd,min,BridTe00,rush_yds,3,,,,,
player,201512100crd,min,BridTe00,rush_td,0,,,,,
player,201512100crd,min,BridTe00,rush_long,3,,,,,
player,201512100crd,min,BridTe00,targets,0,,,,,
player,201512100crd,min,BridTe00,rec,0,,,,,
player,201512100crd,min,BridTe00,rec_yds,0,,,,,
player,201512100crd,min,BridTe00,rec_td,0,,,,,
player,201512100crd,min,BridTe00,rec_long,0,,,,,
player,201512100crd,min,BridTe00,fumbles,1,,,,,
player,201512100crd,min,BridTe00,fumbles_lost,1,,,,,
player,201512100crd,min,PeteAd01,pass_cmp,0,,,,,
player,201512100crd,min,PeteAd01,pass_att,0,,,,,
player,201512100crd,min,PeteAd01,pass_yds,0,,,,,
player,201512100crd,min,PeteAd01,pass_td,0,,,,,
player,201512100crd,min,PeteAd01,pass_int,0,,,,,
player,201512100crd,min,PeteAd01,pass_sacked,0,,,,,
player,201512100crd,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201512100crd,min,PeteAd01,pass_long,0,,,,,
player,201512100crd,min,PeteAd01,pass_rating,,,,,,
player,201512100crd,min,PeteAd01,rush_att,23,,,,,
player,201512100crd,min,PeteAd01,rush_yds,69,,,,,
player,201512100crd,min,PeteAd01,rush_td,1,,,,,
player,201512100crd,min,PeteAd01,rush_long,21,,,,,
player,201512100crd,min,PeteAd01,targets,1,,,,,
player,201512100crd,min,PeteAd01,rec,1,,,,,
player,201512100crd,min,PeteAd01,rec_yds,17,,,,,
player,201512100crd,min,PeteAd01,rec_td,0,,,,,
player,201512100crd,min,PeteAd01,rec_long,17,,,,,
player,201512100crd,min,PeteAd01,fumbles,1,,,,,
player,201512100crd,min,PeteAd01,fumbles_lost,1,,,,,
player,201512100crd,min,RudoKy00,pass_cmp,0,,,,,
player,201512100crd,min,RudoKy00,pass_att,0,,,,,
player,201512100crd,min,RudoKy00,pass_yds,0,,,,,
player,201512100crd,min,RudoKy00,pass_td,0,,,,,
player,201512100crd,min,RudoKy00,pass_int,0,,,,,
player,201512100crd,min,RudoKy00,pass_sacked,0,,,,,
player,201512100crd,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201512100crd,min,RudoKy00,pass_long,0,,,,,
player,201512100crd,min,RudoKy00,pass_rating,,,,,,
player,201512100crd,min,RudoKy00,rush_att,0,,,,,
player,201512100crd,min,RudoKy00,rush_yds,0,,,,,
player,201512100crd,min,RudoKy00,rush_td,0,,,,,
player,201512100crd,min,RudoKy00,rush_long,0,,,,,
player,201512100crd,min,RudoKy00,targets,6,,,,,
player,201512100crd,min,RudoKy00,rec,6,,,,,
player,201512100crd,min,RudoKy00,rec_yds,67,,,,,
player,201512100crd,min,RudoKy00,rec_td,0,,,,,
player,201512100crd,min,RudoKy00,rec_long,17,,,,,
player,201512100crd,min,RudoKy00,fumbles,0,,,,,
player,201512100crd,min,RudoKy00,fumbles_lost,0,,,,,
player,201512100crd,min,WrigJa02,pass_cmp,0,,,,,
player,201512100crd,min,WrigJa02,pass_att,0,,,,,
player,201512100crd,min,WrigJa02,pass_yds,0,,,,,
player,201512100crd,min,WrigJa02,pass_td,0,,,,,
player,201512100crd,min,WrigJa02,pass_int,0,,,,,
player,201512100crd,min,WrigJa02,pass_sacked,0,,,,,
player,201512100crd,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201512100crd,min,WrigJa02,pass_long,0,,,,,
