game,2015,15,20151220,201512200rai,gnb,"Green Bay Packers",30,rai,"Oakland Raiders",20
team,201512200rai,gnb,First Downs,18,,,,,,
team,201512200rai,rai,First Downs,20,,,,,,
team,201512200rai,gnb,Rush-Yds-TDs,28-103-1,,,,,,
team,201512200rai,rai,Rush-Yds-TDs,25-120-0,,,,,,
team,201512200rai,gnb,Cmp-Att-Yd-TD-INT,22-39-204-1-1,,,,,,
team,201512200rai,rai,Cmp-Att-Yd-TD-INT,23-47-276-2-2,,,,,,
team,201512200rai,gnb,Sacked-Yards,2-14,,,,,,
team,201512200rai,rai,Sacked-Yards,3-24,,,,,,
team,201512200rai,gnb,Net Pass Yards,190,,,,,,
team,201512200rai,rai,Net Pass Yards,252,,,,,,
team,201512200rai,gnb,Total Yards,293,,,,,,
team,201512200rai,rai,Total Yards,372,,,,,,
team,201512200rai,gnb,Fumbles-Lost,1-1,,,,,,
team,201512200rai,rai,Fumbles-Lost,0-0,,,,,,
team,201512200rai,gnb,Turnovers,2,,,,,,
team,201512200rai,rai,Turnovers,2,,,,,,
team,201512200rai,gnb,Penalties-Yards,6-75,,,,,,
team,201512200rai,rai,Penalties-Yards,10-95,,,,,,
team,201512200rai,gnb,Third Down Conv.,4-13,,,,,,
team,201512200rai,rai,Third Down Conv.,5-17,,,,,,
team,201512200rai,gnb,Fourth Down Conv.,0-0,,,,,,
team,201512200rai,rai,Fourth Down Conv.,1-4,,,,,,
team,201512200rai,gnb,Time of Possession,29:29,,,,,,
team,201512200rai,rai,Time of Possession,30:31,,,,,,
player,201512200rai,gnb,RodgAa00,pass_cmp,22,,,,,
player,201512200rai,gnb,RodgAa00,pass_att,39,,,,,
player,201512200rai,gnb,RodgAa00,pass_yds,204,,,,,
player,201512200rai,gnb,RodgAa00,pass_td,1,,,,,
player,201512200rai,gnb,RodgAa00,pass_int,1,,,,,
player,201512200rai,gnb,RodgAa00,pass_sacked,2,,,,,
player,201512200rai,gnb,RodgAa00,pass_sacked_yds,14,,,,,
player,201512200rai,gnb,RodgAa00,pass_long,30,,,,,
player,201512200rai,gnb,RodgAa00,pass_rating,68.8,,,,,
player,201512200rai,gnb,RodgAa00,rush_att,1,,,,,
player,201512200rai,gnb,RodgAa00,rush_yds,-1,,,,,
player,201512200rai,gnb,RodgAa00,rush_td,0,,,,,
player,201512200rai,gnb,RodgAa00,rush_long,-1,,,,,
player,201512200rai,gnb,RodgAa00,targets,0,,,,,
player,201512200rai,gnb,RodgAa00,rec,0,,,,,
player,201512200rai,gnb,RodgAa00,rec_yds,0,,,,,
player,201512200rai,gnb,RodgAa00,rec_td,0,,,,,
player,201512200rai,gnb,RodgAa00,rec_long,0,,,,,
player,201512200rai,gnb,RodgAa00,fumbles,0,,,,,
player,201512200rai,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201512200rai,gnb,StarJa00,pass_cmp,0,,,,,
player,201512200rai,gnb,StarJa00,pass_att,0,,,,,
player,201512200rai,gnb,StarJa00,pass_yds,0,,,,,
player,201512200rai,gnb,StarJa00,pass_td,0,,,,,
player,201512200rai,gnb,StarJa00,pass_int,0,,,,,
player,201512200rai,gnb,StarJa00,pass_sacked,0,,,,,
player,201512200rai,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,StarJa00,pass_long,0,,,,,
player,201512200rai,gnb,StarJa00,pass_rating,,,,,,
player,201512200rai,gnb,StarJa00,rush_att,9,,,,,
player,201512200rai,gnb,StarJa00,rush_yds,51,,,,,
player,201512200rai,gnb,StarJa00,rush_td,0,,,,,
player,201512200rai,gnb,StarJa00,rush_long,25,,,,,
player,201512200rai,gnb,StarJa00,targets,1,,,,,
player,201512200rai,gnb,StarJa00,rec,1,,,,,
player,201512200rai,gnb,StarJa00,rec_yds,5,,,,,
player,201512200rai,gnb,StarJa00,rec_td,0,,,,,
player,201512200rai,gnb,StarJa00,rec_long,5,,,,,
player,201512200rai,gnb,StarJa00,fumbles,1,,,,,
player,201512200rai,gnb,StarJa00,fumbles_lost,1,,,,,
player,201512200rai,gnb,LacyEd00,pass_cmp,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_att,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_yds,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_td,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_int,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_sacked,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_long,0,,,,,
player,201512200rai,gnb,LacyEd00,pass_rating,,,,,,
player,201512200rai,gnb,LacyEd00,rush_att,11,,,,,
player,201512200rai,gnb,LacyEd00,rush_yds,23,,,,,
player,201512200rai,gnb,LacyEd00,rush_td,0,,,,,
player,201512200rai,gnb,LacyEd00,rush_long,8,,,,,
player,201512200rai,gnb,LacyEd00,targets,0,,,,,
player,201512200rai,gnb,LacyEd00,rec,0,,,,,
player,201512200rai,gnb,LacyEd00,rec_yds,0,,,,,
player,201512200rai,gnb,LacyEd00,rec_td,0,,,,,
player,201512200rai,gnb,LacyEd00,rec_long,0,,,,,
player,201512200rai,gnb,LacyEd00,fumbles,0,,,,,
player,201512200rai,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_cmp,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_att,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_yds,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_td,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_int,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_sacked,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_long,0,,,,,
player,201512200rai,gnb,CobbRa00,pass_rating,,,,,,
player,201512200rai,gnb,CobbRa00,rush_att,4,,,,,
player,201512200rai,gnb,CobbRa00,rush_yds,18,,,,,
player,201512200rai,gnb,CobbRa00,rush_td,0,,,,,
player,201512200rai,gnb,CobbRa00,rush_long,6,,,,,
player,201512200rai,gnb,CobbRa00,targets,7,,,,,
player,201512200rai,gnb,CobbRa00,rec,5,,,,,
player,201512200rai,gnb,CobbRa00,rec_yds,40,,,,,
player,201512200rai,gnb,CobbRa00,rec_td,0,,,,,
player,201512200rai,gnb,CobbRa00,rec_long,23,,,,,
player,201512200rai,gnb,CobbRa00,fumbles,0,,,,,
player,201512200rai,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_att,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_yds,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_td,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_int,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_long,0,,,,,
player,201512200rai,gnb,KuhnJo00,pass_rating,,,,,,
player,201512200rai,gnb,KuhnJo00,rush_att,3,,,,,
player,201512200rai,gnb,KuhnJo00,rush_yds,12,,,,,
player,201512200rai,gnb,KuhnJo00,rush_td,1,,,,,
player,201512200rai,gnb,KuhnJo00,rush_long,5,,,,,
player,201512200rai,gnb,KuhnJo00,targets,1,,,,,
player,201512200rai,gnb,KuhnJo00,rec,0,,,,,
player,201512200rai,gnb,KuhnJo00,rec_yds,0,,,,,
player,201512200rai,gnb,KuhnJo00,rec_td,0,,,,,
player,201512200rai,gnb,KuhnJo00,rec_long,0,,,,,
player,201512200rai,gnb,KuhnJo00,fumbles,0,,,,,
player,201512200rai,gnb,KuhnJo00,fumbles_lost,0,,,,,
player,201512200rai,gnb,JoneJa04,pass_cmp,0,,,,,
player,201512200rai,gnb,JoneJa04,pass_att,0,,,,,
player,201512200rai,gnb,JoneJa04,pass_yds,0,,,,,
player,201512200rai,gnb,JoneJa04,pass_td,0,,,,,
player,201512200rai,gnb,JoneJa04,pass_int,0,,,,,
player,201512200rai,gnb,JoneJa04,pass_sacked,0,,,,,
