game,2015,16,20151227,201512270crd,gnb,"Green Bay Packers",8,crd,"Arizona Cardinals",38
team,201512270crd,gnb,First Downs,16,,,,,,
team,201512270crd,crd,First Downs,19,,,,,,
team,201512270crd,gnb,Rush-Yds-TDs,26-101-0,,,,,,
team,201512270crd,crd,Rush-Yds-TDs,26-121-1,,,,,,
team,201512270crd,gnb,Cmp-Att-Yd-TD-INT,16-29-155-1-1,,,,,,
team,201512270crd,crd,Cmp-Att-Yd-TD-INT,19-28-269-2-1,,,,,,
team,201512270crd,gnb,Sacked-Yards,9-78,,,,,,
team,201512270crd,crd,Sacked-Yards,2-9,,,,,,
team,201512270crd,gnb,Net Pass Yards,77,,,,,,
team,201512270crd,crd,Net Pass Yards,260,,,,,,
team,201512270crd,gnb,Total Yards,178,,,,,,
team,201512270crd,crd,Total Yards,381,,,,,,
team,201512270crd,gnb,Fumbles-Lost,5-3,,,,,,
team,201512270crd,crd,Fumbles-Lost,2-1,,,,,,
team,201512270crd,gnb,Turnovers,4,,,,,,
team,201512270crd,crd,Turnovers,2,,,,,,
team,201512270crd,gnb,Penalties-Yards,7-59,,,,,,
team,201512270crd,crd,Penalties-Yards,10-119,,,,,,
team,201512270crd,gnb,Third Down Conv.,5-17,,,,,,
team,201512270crd,crd,Third Down Conv.,5-10,,,,,,
team,201512270crd,gnb,Fourth Down Conv.,2-3,,,,,,
team,201512270crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201512270crd,gnb,Time of Possession,29:44,,,,,,
team,201512270crd,crd,Time of Possession,30:16,,,,,,
player,201512270crd,gnb,RodgAa00,pass_cmp,15,,,,,
player,201512270crd,gnb,RodgAa00,pass_att,28,,,,,
player,201512270crd,gnb,RodgAa00,pass_yds,151,,,,,
player,201512270crd,gnb,RodgAa00,pass_td,1,,,,,
player,201512270crd,gnb,RodgAa00,pass_int,1,,,,,
player,201512270crd,gnb,RodgAa00,pass_sacked,8,,,,,
player,201512270crd,gnb,RodgAa00,pass_sacked_yds,70,,,,,
player,201512270crd,gnb,RodgAa00,pass_long,38,,,,,
player,201512270crd,gnb,RodgAa00,pass_rating,66.2,,,,,
player,201512270crd,gnb,RodgAa00,rush_att,3,,,,,
player,201512270crd,gnb,RodgAa00,rush_yds,19,,,,,
player,201512270crd,gnb,RodgAa00,rush_td,0,,,,,
player,201512270crd,gnb,RodgAa00,rush_long,10,,,,,
player,201512270crd,gnb,RodgAa00,targets,0,,,,,
player,201512270crd,gnb,RodgAa00,rec,0,,,,,
player,201512270crd,gnb,RodgAa00,rec_yds,0,,,,,
player,201512270crd,gnb,RodgAa00,rec_td,0,,,,,
player,201512270crd,gnb,RodgAa00,rec_long,0,,,,,
player,201512270crd,gnb,RodgAa00,fumbles,3,,,,,
player,201512270crd,gnb,RodgAa00,fumbles_lost,2,,,,,
player,201512270crd,gnb,TolzSc00,pass_cmp,1,,,,,
player,201512270crd,gnb,TolzSc00,pass_att,1,,,,,
player,201512270crd,gnb,TolzSc00,pass_yds,4,,,,,
player,201512270crd,gnb,TolzSc00,pass_td,0,,,,,
player,201512270crd,gnb,TolzSc00,pass_int,0,,,,,
player,201512270crd,gnb,TolzSc00,pass_sacked,1,,,,,
player,201512270crd,gnb,TolzSc00,pass_sacked_yds,8,,,,,
player,201512270crd,gnb,TolzSc00,pass_long,4,,,,,
player,201512270crd,gnb,TolzSc00,pass_rating,83.3,,,,,
player,201512270crd,gnb,TolzSc00,rush_att,1,,,,,
player,201512270crd,gnb,TolzSc00,rush_yds,0,,,,,
player,201512270crd,gnb,TolzSc00,rush_td,0,,,,,
