game,2015,16,20151227,201512270det,sfo,"San Francisco 49ers",17,det,"Detroit Lions",32
team,201512270det,sfo,First Downs,20,,,,,,
team,201512270det,det,First Downs,26,,,,,,
team,201512270det,sfo,Rush-Yds-TDs,23-121-0,,,,,,
team,201512270det,det,Rush-Yds-TDs,28-87-1,,,,,,
team,201512270det,sfo,Cmp-Att-Yd-TD-INT,22-33-225-2-0,,,,,,
team,201512270det,det,Cmp-Att-Yd-TD-INT,29-37-301-2-0,,,,,,
team,201512270det,sfo,Sacked-Yards,3-24,,,,,,
team,201512270det,det,Sacked-Yards,2-17,,,,,,
team,201512270det,sfo,Net Pass Yards,201,,,,,,
team,201512270det,det,Net Pass Yards,284,,,,,,
team,201512270det,sfo,Total Yards,322,,,,,,
team,201512270det,det,Total Yards,371,,,,,,
team,201512270det,sfo,Fumbles-Lost,1-1,,,,,,
team,201512270det,det,Fumbles-Lost,0-0,,,,,,
team,201512270det,sfo,Turnovers,1,,,,,,
team,201512270det,det,Turnovers,0,,,,,,
team,201512270det,sfo,Penalties-Yards,11-65,,,,,,
team,201512270det,det,Penalties-Yards,7-71,,,,,,
team,201512270det,sfo,Third Down Conv.,1-9,,,,,,
team,201512270det,det,Third Down Conv.,4-12,,,,,,
team,201512270det,sfo,Fourth Down Conv.,0-2,,,,,,
team,201512270det,det,Fourth Down Conv.,1-1,,,,,,
team,201512270det,sfo,Time of Possession,23:30,,,,,,
team,201512270det,det,Time of Possession,36:30,,,,,,
player,201512270det,sfo,GabbBl00,pass_cmp,22,,,,,
player,201512270det,sfo,GabbBl00,pass_att,33,,,,,
player,201512270det,sfo,GabbBl00,pass_yds,225,,,,,
player,201512270det,sfo,GabbBl00,pass_td,2,,,,,
player,201512270det,sfo,GabbBl00,pass_int,0,,,,,
player,201512270det,sfo,GabbBl00,pass_sacked,3,,,,,
player,201512270det,sfo,GabbBl00,pass_sacked_yds,24,,,,,
player,201512270det,sfo,GabbBl00,pass_long,38,,,,,
player,201512270det,sfo,GabbBl00,pass_rating,106.2,,,,,
player,201512270det,sfo,GabbBl00,rush_att,1,,,,,
player,201512270det,sfo,GabbBl00,rush_yds,9,,,,,
player,201512270det,sfo,GabbBl00,rush_td,0,,,,,
player,201512270det,sfo,GabbBl00,rush_long,9,,,,,
player,201512270det,sfo,GabbBl00,targets,0,,,,,
player,201512270det,sfo,GabbBl00,rec,0,,,,,
player,201512270det,sfo,GabbBl00,rec_yds,0,,,,,
player,201512270det,sfo,GabbBl00,rec_td,0,,,,,
player,201512270det,sfo,GabbBl00,rec_long,0,,,,,
player,201512270det,sfo,GabbBl00,fumbles,1,,,,,
player,201512270det,sfo,GabbBl00,fumbles_lost,1,,,,,
player,201512270det,sfo,HarrDu01,pass_cmp,0,,,,,
player,201512270det,sfo,HarrDu01,pass_att,0,,,,,
player,201512270det,sfo,HarrDu01,pass_yds,0,,,,,
player,201512270det,sfo,HarrDu01,pass_td,0,,,,,
player,201512270det,sfo,HarrDu01,pass_int,0,,,,,
player,201512270det,sfo,HarrDu01,pass_sacked,0,,,,,
player,201512270det,sfo,HarrDu01,pass_sacked_yds,0,,,,,
player,201512270det,sfo,HarrDu01,pass_long,0,,,,,
player,201512270det,sfo,HarrDu01,pass_rating,,,,,,
player,201512270det,sfo,HarrDu01,rush_att,11,,,,,
player,201512270det,sfo,HarrDu01,rush_yds,73,,,,,
player,201512270det,sfo,HarrDu01,rush_td,0,,,,,
player,201512270det,sfo,HarrDu01,rush_long,25,,,,,
player,201512270det,sfo,HarrDu01,targets,2,,,,,
player,201512270det,sfo,HarrDu01,rec,1,,,,,
player,201512270det,sfo,HarrDu01,rec_yds,11,,,,,
player,201512270det,sfo,HarrDu01,rec_td,0,,,,,
player,201512270det,sfo,HarrDu01,rec_long,11,,,,,
player,201512270det,sfo,HarrDu01,fumbles,0,,,,,
player,201512270det,sfo,HarrDu01,fumbles_lost,0,,,,,
player,201512270det,sfo,HaynJa00,pass_cmp,0,,,,,
player,201512270det,sfo,HaynJa00,pass_att,0,,,,,
