game,2015,17,20160103,201601030clt,oti,"Tennessee Titans",24,clt,"Indianapolis Colts",30
team,201601030clt,oti,First Downs,14,,,,,,
team,201601030clt,clt,First Downs,20,,,,,,
team,201601030clt,oti,Rush-Yds-TDs,27-137-2,,,,,,
team,201601030clt,clt,Rush-Yds-TDs,32-127-0,,,,,,
team,201601030clt,oti,Cmp-Att-Yd-TD-INT,15-27-137-1-1,,,,,,
team,201601030clt,clt,Cmp-Att-Yd-TD-INT,21-38-207-2-1,,,,,,
team,201601030clt,oti,Sacked-Yards,4-43,,,,,,
team,201601030clt,clt,Sacked-Yards,1-7,,,,,,
team,201601030clt,oti,Net Pass Yards,94,,,,,,
team,201601030clt,clt,Net Pass Yards,200,,,,,,
team,201601030clt,oti,Total Yards,231,,,,,,
team,201601030clt,clt,Total Yards,327,,,,,,
team,201601030clt,oti,Fumbles-Lost,1-0,,,,,,
team,201601030clt,clt,Fumbles-Lost,0-0,,,,,,
team,201601030clt,oti,Turnovers,1,,,,,,
team,201601030clt,clt,Turnovers,1,,,,,,
team,201601030clt,oti,Penalties-Yards,6-60,,,,,,
team,201601030clt,clt,Penalties-Yards,6-71,,,,,,
team,201601030clt,oti,Third Down Conv.,4-14,,,,,,
team,201601030clt,clt,Third Down Conv.,7-17,,,,,,
team,201601030clt,oti,Fourth Down Conv.,1-2,,,,,,
team,201601030clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201601030clt,oti,Time of Possession,26:43,,,,,,
team,201601030clt,clt,Time of Possession,33:17,,,,,,
player,201601030clt,oti,TannAl00,pass_cmp,10,,,,,
player,201601030clt,oti,TannAl00,pass_att,14,,,,,
player,201601030clt,oti,TannAl00,pass_yds,99,,,,,
player,201601030clt,oti,TannAl00,pass_td,1,,,,,
player,201601030clt,oti,TannAl00,pass_int,0,,,,,
player,201601030clt,oti,TannAl00,pass_sacked,3,,,,,
player,201601030clt,oti,TannAl00,pass_sacked_yds,34,,,,,
player,201601030clt,oti,TannAl00,pass_long,29,,,,,
player,201601030clt,oti,TannAl00,pass_rating,114.9,,,,,
player,201601030clt,oti,TannAl00,rush_att,0,,,,,
player,201601030clt,oti,TannAl00,rush_yds,0,,,,,
player,201601030clt,oti,TannAl00,rush_td,0,,,,,
player,201601030clt,oti,TannAl00,rush_long,0,,,,,
player,201601030clt,oti,TannAl00,targets,0,,,,,
player,201601030clt,oti,TannAl00,rec,0,,,,,
player,201601030clt,oti,TannAl00,rec_yds,0,,,,,
player,201601030clt,oti,TannAl00,rec_td,0,,,,,
player,201601030clt,oti,TannAl00,rec_long,0,,,,,
player,201601030clt,oti,TannAl00,fumbles,0,,,,,
player,201601030clt,oti,TannAl00,fumbles_lost,0,,,,,
player,201601030clt,oti,MettZa00,pass_cmp,5,,,,,
player,201601030clt,oti,MettZa00,pass_att,13,,,,,
player,201601030clt,oti,MettZa00,pass_yds,38,,,,,
player,201601030clt,oti,MettZa00,pass_td,0,,,,,
player,201601030clt,oti,MettZa00,pass_int,1,,,,,
player,201601030clt,oti,MettZa00,pass_sacked,1,,,,,
player,201601030clt,oti,MettZa00,pass_sacked_yds,9,,,,,
player,201601030clt,oti,MettZa00,pass_long,17,,,,,
player,201601030clt,oti,MettZa00,pass_rating,14.6,,,,,
player,201601030clt,oti,MettZa00,rush_att,2,,,,,
player,201601030clt,oti,MettZa00,rush_yds,4,,,,,
player,201601030clt,oti,MettZa00,rush_td,1,,,,,
player,201601030clt,oti,MettZa00,rush_long,5,,,,,
player,201601030clt,oti,MettZa00,targets,0,,,,,
player,201601030clt,oti,MettZa00,rec,0,,,,,
player,201601030clt,oti,MettZa00,rec_yds,0,,,,,
player,201601030clt,oti,MettZa00,rec_td,0,,,,,
player,201601030clt,oti,MettZa00,rec_long,0,,,,,
player,201601030clt,oti,MettZa00,fumbles,0,,,,,
player,201601030clt,oti,MettZa00,fumbles_lost,0,,,,,
player,201601030clt,oti,CobbDa00,pass_cmp,0,,,,,
player,201601030clt,oti,CobbDa00,pass_att,0,,,,,
player,201601030clt,oti,CobbDa00,pass_yds,0,,,,,
player,201601030clt,oti,CobbDa00,pass_td,0,,,,,
player,201601030clt,oti,CobbDa00,pass_int,0,,,,,
