game,2016,1,20160911,201609110phi,cle,"Cleveland Browns",10,phi,"Philadelphia Eagles",29
team,201609110phi,cle,First Downs,14,,,,,,
team,201609110phi,phi,First Downs,23,,,,,,
team,201609110phi,cle,Rush-Yds-TDs,21-120-1,,,,,,
team,201609110phi,phi,Rush-Yds-TDs,34-133-1,,,,,,
team,201609110phi,cle,Cmp-Att-Yd-TD-INT,12-26-190-0-1,,,,,,
team,201609110phi,phi,Cmp-Att-Yd-TD-INT,22-37-278-2-0,,,,,,
team,201609110phi,cle,Sacked-Yards,3-22,,,,,,
team,201609110phi,phi,Sacked-Yards,2-8,,,,,,
team,201609110phi,cle,Net Pass Yards,168,,,,,,
team,201609110phi,phi,Net Pass Yards,270,,,,,,
team,201609110phi,cle,Total Yards,288,,,,,,
team,201609110phi,phi,Total Yards,403,,,,,,
team,201609110phi,cle,Fumbles-Lost,2-0,,,,,,
team,201609110phi,phi,Fumbles-Lost,2-0,,,,,,
team,201609110phi,cle,Turnovers,1,,,,,,
team,201609110phi,phi,Turnovers,0,,,,,,
team,201609110phi,cle,Penalties-Yards,4-15,,,,,,
team,201609110phi,phi,Penalties-Yards,7-46,,,,,,
team,201609110phi,cle,Third Down Conv.,2-10,,,,,,
team,201609110phi,phi,Third Down Conv.,5-15,,,,,,
team,201609110phi,cle,Fourth Down Conv.,0-2,,,,,,
team,201609110phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201609110phi,cle,Time of Possession,20:40,,,,,,
team,201609110phi,phi,Time of Possession,39:20,,,,,,
player,201609110phi,cle,GrifRo01,pass_cmp,12,,,,,
player,201609110phi,cle,GrifRo01,pass_att,26,,,,,
player,201609110phi,cle,GrifRo01,pass_yds,190,,,,,
player,201609110phi,cle,GrifRo01,pass_td,0,,,,,
player,201609110phi,cle,GrifRo01,pass_int,1,,,,,
player,201609110phi,cle,GrifRo01,pass_sacked,3,,,,,
player,201609110phi,cle,GrifRo01,pass_sacked_yds,22,,,,,
player,201609110phi,cle,GrifRo01,pass_long,58,,,,,
player,201609110phi,cle,GrifRo01,pass_rating,55.0,,,,,
player,201609110phi,cle,GrifRo01,rush_att,5,,,,,
player,201609110phi,cle,GrifRo01,rush_yds,37,,,,,
player,201609110phi,cle,GrifRo01,rush_td,0,,,,,
player,201609110phi,cle,GrifRo01,rush_long,20,,,,,
player,201609110phi,cle,GrifRo01,targets,0,,,,,
player,201609110phi,cle,GrifRo01,rec,0,,,,,
player,201609110phi,cle,GrifRo01,rec_yds,0,,,,,
player,201609110phi,cle,GrifRo01,rec_td,0,,,,,
player,201609110phi,cle,GrifRo01,rec_long,0,,,,,
player,201609110phi,cle,GrifRo01,fumbles,1,,,,,
player,201609110phi,cle,GrifRo01,fumbles_lost,0,,,,,
player,201609110phi,cle,CrowIs00,pass_cmp,0,,,,,
player,201609110phi,cle,CrowIs00,pass_att,0,,,,,
player,201609110phi,cle,CrowIs00,pass_yds,0,,,,,
player,201609110phi,cle,CrowIs00,pass_td,0,,,,,
player,201609110phi,cle,CrowIs00,pass_int,0,,,,,
player,201609110phi,cle,CrowIs00,pass_sacked,0,,,,,
player,201609110phi,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201609110phi,cle,CrowIs00,pass_long,0,,,,,
player,201609110phi,cle,CrowIs00,pass_rating,,,,,,
player,201609110phi,cle,CrowIs00,rush_att,12,,,,,
player,201609110phi,cle,CrowIs00,rush_yds,62,,,,,
player,201609110phi,cle,CrowIs00,rush_td,1,,,,,
player,201609110phi,cle,CrowIs00,rush_long,20,,,,,
player,201609110phi,cle,CrowIs00,targets,2,,,,,
player,201609110phi,cle,CrowIs00,rec,2,,,,,
player,201609110phi,cle,CrowIs00,rec_yds,16,,,,,
player,201609110phi,cle,CrowIs00,rec_td,0,,,,,
player,201609110phi,cle,CrowIs00,rec_long,14,,,,,
player,201609110phi,cle,CrowIs00,fumbles,0,,,,,
player,201609110phi,cle,CrowIs00,fumbles_lost,0,,,,,
player,201609110phi,cle,JohnDu00,pass_cmp,0,,,,,
player,201609110phi,cle,JohnDu00,pass_att,0,,,,,
player,201609110phi,cle,JohnDu00,pass_yds,0,,,,,
player,201609110phi,cle,JohnDu00,pass_td,0,,,,,
player,201609110phi,cle,JohnDu00,pass_int,0,,,,,
player,201609110phi,cle,JohnDu00,pass_sacked,0,,,,,
