game,2016,2,20160918,201609180car,sfo,"San Francisco 49ers",27,car,"Carolina Panthers",46
team,201609180car,sfo,First Downs,16,,,,,,
team,201609180car,car,First Downs,26,,,,,,
team,201609180car,sfo,Rush-Yds-TDs,26-65-1,,,,,,
team,201609180car,car,Rush-Yds-TDs,37-176-0,,,,,,
team,201609180car,sfo,Cmp-Att-Yd-TD-INT,17-36-243-2-2,,,,,,
team,201609180car,car,Cmp-Att-Yd-TD-INT,24-40-353-4-1,,,,,,
team,201609180car,sfo,Sacked-Yards,2-6,,,,,,
team,201609180car,car,Sacked-Yards,1-0,,,,,,
team,201609180car,sfo,Net Pass Yards,237,,,,,,
team,201609180car,car,Net Pass Yards,353,,,,,,
team,201609180car,sfo,Total Yards,302,,,,,,
team,201609180car,car,Total Yards,529,,,,,,
team,201609180car,sfo,Fumbles-Lost,1-1,,,,,,
team,201609180car,car,Fumbles-Lost,3-3,,,,,,
team,201609180car,sfo,Turnovers,3,,,,,,
team,201609180car,car,Turnovers,4,,,,,,
team,201609180car,sfo,Penalties-Yards,6-50,,,,,,
team,201609180car,car,Penalties-Yards,8-50,,,,,,
team,201609180car,sfo,Third Down Conv.,4-14,,,,,,
team,201609180car,car,Third Down Conv.,7-15,,,,,,
team,201609180car,sfo,Fourth Down Conv.,0-1,,,,,,
team,201609180car,car,Fourth Down Conv.,0-0,,,,,,
team,201609180car,sfo,Time of Possession,24:06,,,,,,
team,201609180car,car,Time of Possession,35:54,,,,,,
player,201609180car,sfo,GabbBl00,pass_cmp,17,,,,,
player,201609180car,sfo,GabbBl00,pass_att,36,,,,,
player,201609180car,sfo,GabbBl00,pass_yds,243,,,,,
player,201609180car,sfo,GabbBl00,pass_td,2,,,,,
player,201609180car,sfo,GabbBl00,pass_int,2,,,,,
player,201609180car,sfo,GabbBl00,pass_sacked,2,,,,,
player,201609180car,sfo,GabbBl00,pass_sacked_yds,6,,,,,
player,201609180car,sfo,GabbBl00,pass_long,75,,,,,
player,201609180car,sfo,GabbBl00,pass_rating,64.9,,,,,
player,201609180car,sfo,GabbBl00,rush_att,3,,,,,
player,201609180car,sfo,GabbBl00,rush_yds,10,,,,,
player,201609180car,sfo,GabbBl00,rush_td,1,,,,,
player,201609180car,sfo,GabbBl00,rush_long,6,,,,,
player,201609180car,sfo,GabbBl00,targets,0,,,,,
player,201609180car,sfo,GabbBl00,rec,0,,,,,
player,201609180car,sfo,GabbBl00,rec_yds,0,,,,,
player,201609180car,sfo,GabbBl00,rec_td,0,,,,,
player,201609180car,sfo,GabbBl00,rec_long,0,,,,,
player,201609180car,sfo,GabbBl00,fumbles,0,,,,,
player,201609180car,sfo,GabbBl00,fumbles_lost,0,,,,,
player,201609180car,sfo,HydeCa00,pass_cmp,0,,,,,
player,201609180car,sfo,HydeCa00,pass_att,0,,,,,
player,201609180car,sfo,HydeCa00,pass_yds,0,,,,,
player,201609180car,sfo,HydeCa00,pass_td,0,,,,,
player,201609180car,sfo,HydeCa00,pass_int,0,,,,,
player,201609180car,sfo,HydeCa00,pass_sacked,0,,,,,
player,201609180car,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201609180car,sfo,HydeCa00,pass_long,0,,,,,
player,201609180car,sfo,HydeCa00,pass_rating,,,,,,
player,201609180car,sfo,HydeCa00,rush_att,14,,,,,
player,201609180car,sfo,HydeCa00,rush_yds,34,,,,,
player,201609180car,sfo,HydeCa00,rush_td,0,,,,,
player,201609180car,sfo,HydeCa00,rush_long,8,,,,,
player,201609180car,sfo,HydeCa00,targets,3,,,,,
player,201609180car,sfo,HydeCa00,rec,3,,,,,
player,201609180car,sfo,HydeCa00,rec_yds,18,,,,,
player,201609180car,sfo,HydeCa00,rec_td,0,,,,,
player,201609180car,sfo,HydeCa00,rec_long,13,,,,,
player,201609180car,sfo,HydeCa00,fumbles,1,,,,,
player,201609180car,sfo,HydeCa00,fumbles_lost,1,,,,,
player,201609180car,sfo,DrauSh00,pass_cmp,0,,,,,
player,201609180car,sfo,DrauSh00,pass_att,0,,,,,
player,201609180car,sfo,DrauSh00,pass_yds,0,,,,,
player,201609180car,sfo,DrauSh00,pass_td,0,,,,,
player,201609180car,sfo,DrauSh00,pass_int,0,,,,,
player,201609180car,sfo,DrauSh00,pass_sacked,0,,,,,
player,201609180car,sfo,DrauSh00,pass_sacked_yds,0,,,,,
player,201609180car,sfo,DrauSh00,pass_long,0,,,,,
player,201609180car,sfo,DrauSh00,pass_rating,,,,,,
player,201609180car,sfo,DrauSh00,rush_att,9,,,,,
player,201609180car,sfo,DrauSh00,rush_yds,21,,,,,
player,201609180car,sfo,DrauSh00,rush_td,0,,,,,
player,201609180car,sfo,DrauSh00,rush_long,18,,,,,
player,201609180car,sfo,DrauSh00,targets,1,,,,,
player,201609180car,sfo,DrauSh00,rec,0,,,,,
player,201609180car,sfo,DrauSh00,rec_yds,0,,,,,
player,201609180car,sfo,DrauSh00,rec_td,0,,,,,
player,201609180car,sfo,DrauSh00,rec_long,0,,,,,
player,201609180car,sfo,DrauSh00,fumbles,0,,,,,
player,201609180car,sfo,DrauSh00,fumbles_lost,0,,,,,
player,201609180car,sfo,McDoVa00,pass_cmp,0,,,,,
player,201609180car,sfo,McDoVa00,pass_att,0,,,,,
player,201609180car,sfo,McDoVa00,pass_yds,0,,,,,
player,201609180car,sfo,McDoVa00,pass_td,0,,,,,
player,201609180car,sfo,McDoVa00,pass_int,0,,,,,
player,201609180car,sfo,McDoVa00,pass_sacked,0,,,,,
player,201609180car,sfo,McDoVa00,pass_sacked_yds,0,,,,,
player,201609180car,sfo,McDoVa00,pass_long,0,,,,,
player,201609180car,sfo,McDoVa00,pass_rating,,,,,,
player,201609180car,sfo,McDoVa00,rush_att,0,,,,,
player,201609180car,sfo,McDoVa00,rush_yds,0,,,,,
player,201609180car,sfo,McDoVa00,rush_td,0,,,,,
player,201609180car,sfo,McDoVa00,rush_long,0,,,,,
player,201609180car,sfo,McDoVa00,targets,2,,,,,
player,201609180car,sfo,McDoVa00,rec,1,,,,,
player,201609180car,sfo,McDoVa00,rec_yds,75,,,,,
player,201609180car,sfo,McDoVa00,rec_td,1,,,,,
player,201609180car,sfo,McDoVa00,rec_long,75,,,,,
player,201609180car,sfo,McDoVa00,fumbles,0,,,,,
player,201609180car,sfo,McDoVa00,fumbles_lost,0,,,,,
player,201609180car,sfo,SmitTo02,pass_cmp,0,,,,,
player,201609180car,sfo,SmitTo02,pass_att,0,,,,,
player,201609180car,sfo,SmitTo02,pass_yds,0,,,,,
