game,2016,2,20160918,201609180nyg,nor,"New Orleans Saints",13,nyg,"New York Giants",16
team,201609180nyg,nor,First Downs,16,,,,,,
team,201609180nyg,nyg,First Downs,22,,,,,,
team,201609180nyg,nor,Rush-Yds-TDs,13-41-0,,,,,,
team,201609180nyg,nyg,Rush-Yds-TDs,32-64-0,,,,,,
team,201609180nyg,nor,Cmp-Att-Yd-TD-INT,29-44-263-1-0,,,,,,
team,201609180nyg,nyg,Cmp-Att-Yd-TD-INT,32-41-368-0-0,,,,,,
team,201609180nyg,nor,Sacked-Yards,2-16,,,,,,
team,201609180nyg,nyg,Sacked-Yards,2-15,,,,,,
team,201609180nyg,nor,Net Pass Yards,247,,,,,,
team,201609180nyg,nyg,Net Pass Yards,353,,,,,,
team,201609180nyg,nor,Total Yards,288,,,,,,
team,201609180nyg,nyg,Total Yards,417,,,,,,
team,201609180nyg,nor,Fumbles-Lost,0-0,,,,,,
team,201609180nyg,nyg,Fumbles-Lost,3-3,,,,,,
team,201609180nyg,nor,Turnovers,0,,,,,,
team,201609180nyg,nyg,Turnovers,3,,,,,,
team,201609180nyg,nor,Penalties-Yards,7-76,,,,,,
team,201609180nyg,nyg,Penalties-Yards,3-25,,,,,,
team,201609180nyg,nor,Third Down Conv.,3-13,,,,,,
team,201609180nyg,nyg,Third Down Conv.,7-15,,,,,,
team,201609180nyg,nor,Fourth Down Conv.,0-0,,,,,,
team,201609180nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201609180nyg,nor,Time of Possession,25:53,,,,,,
team,201609180nyg,nyg,Time of Possession,34:07,,,,,,
player,201609180nyg,nor,BreeDr00,pass_cmp,29,,,,,
player,201609180nyg,nor,BreeDr00,pass_att,44,,,,,
player,201609180nyg,nor,BreeDr00,pass_yds,263,,,,,
player,201609180nyg,nor,BreeDr00,pass_td,1,,,,,
player,201609180nyg,nor,BreeDr00,pass_int,0,,,,,
player,201609180nyg,nor,BreeDr00,pass_sacked,2,,,,,
player,201609180nyg,nor,BreeDr00,pass_sacked_yds,16,,,,,
player,201609180nyg,nor,BreeDr00,pass_long,23,,,,,
player,201609180nyg,nor,BreeDr00,pass_rating,89.5,,,,,
player,201609180nyg,nor,BreeDr00,rush_att,0,,,,,
player,201609180nyg,nor,BreeDr00,rush_yds,0,,,,,
player,201609180nyg,nor,BreeDr00,rush_td,0,,,,,
player,201609180nyg,nor,BreeDr00,rush_long,0,,,,,
player,201609180nyg,nor,BreeDr00,targets,0,,,,,
player,201609180nyg,nor,BreeDr00,rec,0,,,,,
player,201609180nyg,nor,BreeDr00,rec_yds,0,,,,,
player,201609180nyg,nor,BreeDr00,rec_td,0,,,,,
player,201609180nyg,nor,BreeDr00,rec_long,0,,,,,
player,201609180nyg,nor,BreeDr00,fumbles,0,,,,,
player,201609180nyg,nor,BreeDr00,fumbles_lost,0,,,,,
player,201609180nyg,nor,IngrMa01,pass_cmp,0,,,,,
player,201609180nyg,nor,IngrMa01,pass_att,0,,,,,
player,201609180nyg,nor,IngrMa01,pass_yds,0,,,,,
player,201609180nyg,nor,IngrMa01,pass_td,0,,,,,
