game,2016,4,20161002,201610020htx,oti,"Tennessee Titans",20,htx,"Houston Texans",27
team,201610020htx,oti,First Downs,16,,,,,,
team,201610020htx,htx,First Downs,21,,,,,,
team,201610020htx,oti,Rush-Yds-TDs,32-124-2,,,,,,
team,201610020htx,htx,Rush-Yds-TDs,24-115-0,,,,,,
team,201610020htx,oti,Cmp-Att-Yd-TD-INT,13-29-202-0-1,,,,,,
team,201610020htx,htx,Cmp-Att-Yd-TD-INT,25-37-254-2-2,,,,,,
team,201610020htx,oti,Sacked-Yards,1-6,,,,,,
team,201610020htx,htx,Sacked-Yards,1-10,,,,,,
team,201610020htx,oti,Net Pass Yards,196,,,,,,
team,201610020htx,htx,Net Pass Yards,244,,,,,,
team,201610020htx,oti,Total Yards,320,,,,,,
team,201610020htx,htx,Total Yards,359,,,,,,
team,201610020htx,oti,Fumbles-Lost,1-0,,,,,,
team,201610020htx,htx,Fumbles-Lost,0-0,,,,,,
team,201610020htx,oti,Turnovers,1,,,,,,
team,201610020htx,htx,Turnovers,2,,,,,,
team,201610020htx,oti,Penalties-Yards,11-93,,,,,,
team,201610020htx,htx,Penalties-Yards,6-59,,,,,,
team,201610020htx,oti,Third Down Conv.,7-15,,,,,,
team,201610020htx,htx,Third Down Conv.,5-12,,,,,,
team,201610020htx,oti,Fourth Down Conv.,0-1,,,,,,
team,201610020htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201610020htx,oti,Time of Possession,31:42,,,,,,
team,201610020htx,htx,Time of Possession,28:18,,,,,,
player,201610020htx,oti,MariMa01,pass_cmp,13,,,,,
player,201610020htx,oti,MariMa01,pass_att,29,,,,,
player,201610020htx,oti,MariMa01,pass_yds,202,,,,,
player,201610020htx,oti,MariMa01,pass_td,0,,,,,
player,201610020htx,oti,MariMa01,pass_int,1,,,,,
player,201610020htx,oti,MariMa01,pass_sacked,1,,,,,
player,201610020htx,oti,MariMa01,pass_sacked_yds,6,,,,,
player,201610020htx,oti,MariMa01,pass_long,60,,,,,
player,201610020htx,oti,MariMa01,pass_rating,54.1,,,,,
player,201610020htx,oti,MariMa01,rush_att,4,,,,,
player,201610020htx,oti,MariMa01,rush_yds,20,,,,,
player,201610020htx,oti,MariMa01,rush_td,0,,,,,
player,201610020htx,oti,MariMa01,rush_long,9,,,,,
player,201610020htx,oti,MariMa01,targets,0,,,,,
player,201610020htx,oti,MariMa01,rec,0,,,,,
player,201610020htx,oti,MariMa01,rec_yds,0,,,,,
player,201610020htx,oti,MariMa01,rec_td,0,,,,,
player,201610020htx,oti,MariMa01,rec_long,0,,,,,
player,201610020htx,oti,MariMa01,fumbles,0,,,,,
player,201610020htx,oti,MariMa01,fumbles_lost,0,,,,,
player,201610020htx,oti,MurrDe00,pass_cmp,0,,,,,
player,201610020htx,oti,MurrDe00,pass_att,0,,,,,
player,201610020htx,oti,MurrDe00,pass_yds,0,,,,,
player,201610020htx,oti,MurrDe00,pass_td,0,,,,,
player,201610020htx,oti,MurrDe00,pass_int,0,,,,,
player,201610020htx,oti,MurrDe00,pass_sacked,0,,,,,
player,201610020htx,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201610020htx,oti,MurrDe00,pass_long,0,,,,,
player,201610020htx,oti,MurrDe00,pass_rating,,,,,,
player,201610020htx,oti,MurrDe00,rush_att,25,,,,,
player,201610020htx,oti,MurrDe00,rush_yds,95,,,,,
player,201610020htx,oti,MurrDe00,rush_td,2,,,,,
player,201610020htx,oti,MurrDe00,rush_long,14,,,,,
player,201610020htx,oti,MurrDe00,targets,2,,,,,
player,201610020htx,oti,MurrDe00,rec,2,,,,,
player,201610020htx,oti,MurrDe00,rec_yds,24,,,,,
player,201610020htx,oti,MurrDe00,rec_td,0,,,,,
player,201610020htx,oti,MurrDe00,rec_long,14,,,,,
player,201610020htx,oti,MurrDe00,fumbles,1,,,,,
player,201610020htx,oti,MurrDe00,fumbles_lost,0,,,,,
player,201610020htx,oti,HenrDe00,pass_cmp,0,,,,,
player,201610020htx,oti,HenrDe00,pass_att,0,,,,,
player,201610020htx,oti,HenrDe00,pass_yds,0,,,,,
player,201610020htx,oti,HenrDe00,pass_td,0,,,,,
player,201610020htx,oti,HenrDe00,pass_int,0,,,,,
player,201610020htx,oti,HenrDe00,pass_sacked,0,,,,,
player,201610020htx,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201610020htx,oti,HenrDe00,pass_long,0,,,,,
player,201610020htx,oti,HenrDe00,pass_rating,,,,,,
player,201610020htx,oti,HenrDe00,rush_att,3,,,,,
player,201610020htx,oti,HenrDe00,rush_yds,9,,,,,
player,201610020htx,oti,HenrDe00,rush_td,0,,,,,
player,201610020htx,oti,HenrDe00,rush_long,6,,,,,
player,201610020htx,oti,HenrDe00,targets,0,,,,,
