game,2016,5,20161009,201610090clt,chi,"Chicago Bears",23,clt,"Indianapolis Colts",29
team,201610090clt,chi,First Downs,25,,,,,,
team,201610090clt,clt,First Downs,20,,,,,,
team,201610090clt,chi,Rush-Yds-TDs,19-125-0,,,,,,
team,201610090clt,clt,Rush-Yds-TDs,21-98-0,,,,,,
team,201610090clt,chi,Cmp-Att-Yd-TD-INT,33-43-397-2-0,,,,,,
team,201610090clt,clt,Cmp-Att-Yd-TD-INT,28-39-322-2-0,,,,,,
team,201610090clt,chi,Sacked-Yards,0-0,,,,,,
team,201610090clt,clt,Sacked-Yards,5-24,,,,,,
team,201610090clt,chi,Net Pass Yards,397,,,,,,
team,201610090clt,clt,Net Pass Yards,298,,,,,,
team,201610090clt,chi,Total Yards,522,,,,,,
team,201610090clt,clt,Total Yards,396,,,,,,
team,201610090clt,chi,Fumbles-Lost,3-1,,,,,,
team,201610090clt,clt,Fumbles-Lost,2-0,,,,,,
team,201610090clt,chi,Turnovers,1,,,,,,
team,201610090clt,clt,Turnovers,0,,,,,,
team,201610090clt,chi,Penalties-Yards,10-80,,,,,,
team,201610090clt,clt,Penalties-Yards,9-68,,,,,,
team,201610090clt,chi,Third Down Conv.,2-9,,,,,,
team,201610090clt,clt,Third Down Conv.,3-12,,,,,,
team,201610090clt,chi,Fourth Down Conv.,0-1,,,,,,
team,201610090clt,clt,Fourth Down Conv.,1-1,,,,,,
team,201610090clt,chi,Time of Possession,30:05,,,,,,
team,201610090clt,clt,Time of Possession,29:55,,,,,,
player,201610090clt,chi,HoyeBr00,pass_cmp,33,,,,,
player,201610090clt,chi,HoyeBr00,pass_att,43,,,,,
player,201610090clt,chi,HoyeBr00,pass_yds,397,,,,,
player,201610090clt,chi,HoyeBr00,pass_td,2,,,,,
player,201610090clt,chi,HoyeBr00,pass_int,0,,,,,
player,201610090clt,chi,HoyeBr00,pass_sacked,0,,,,,
player,201610090clt,chi,HoyeBr00,pass_sacked_yds,0,,,,,
player,201610090clt,chi,HoyeBr00,pass_long,38,,,,,
player,201610090clt,chi,HoyeBr00,pass_rating,120.0,,,,,
player,201610090clt,chi,HoyeBr00,rush_att,1,,,,,
player,201610090clt,chi,HoyeBr00,rush_yds,-1,,,,,
player,201610090clt,chi,HoyeBr00,rush_td,0,,,,,
player,201610090clt,chi,HoyeBr00,rush_long,-1,,,,,
player,201610090clt,chi,HoyeBr00,targets,0,,,,,
player,201610090clt,chi,HoyeBr00,rec,0,,,,,
player,201610090clt,chi,HoyeBr00,rec_yds,0,,,,,
player,201610090clt,chi,HoyeBr00,rec_td,0,,,,,
player,201610090clt,chi,HoyeBr00,rec_long,0,,,,,
player,201610090clt,chi,HoyeBr00,fumbles,0,,,,,
player,201610090clt,chi,HoyeBr00,fumbles_lost,0,,,,,
player,201610090clt,chi,HowaJo00,pass_cmp,0,,,,,
player,201610090clt,chi,HowaJo00,pass_att,0,,,,,
player,201610090clt,chi,HowaJo00,pass_yds,0,,,,,
player,201610090clt,chi,HowaJo00,pass_td,0,,,,,
player,201610090clt,chi,HowaJo00,pass_int,0,,,,,
player,201610090clt,chi,HowaJo00,pass_sacked,0,,,,,
player,201610090clt,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201610090clt,chi,HowaJo00,pass_long,0,,,,,
player,201610090clt,chi,HowaJo00,pass_rating,,,,,,
player,201610090clt,chi,HowaJo00,rush_att,16,,,,,
player,201610090clt,chi,HowaJo00,rush_yds,118,,,,,
player,201610090clt,chi,HowaJo00,rush_td,0,,,,,
player,201610090clt,chi,HowaJo00,rush_long,57,,,,,
player,201610090clt,chi,HowaJo00,targets,3,,,,,
player,201610090clt,chi,HowaJo00,rec,3,,,,,
player,201610090clt,chi,HowaJo00,rec_yds,45,,,,,
player,201610090clt,chi,HowaJo00,rec_td,1,,,,,
player,201610090clt,chi,HowaJo00,rec_long,21,,,,,
player,201610090clt,chi,HowaJo00,fumbles,0,,,,,
player,201610090clt,chi,HowaJo00,fumbles_lost,0,,,,,
player,201610090clt,chi,MereCa00,pass_cmp,0,,,,,
player,201610090clt,chi,MereCa00,pass_att,0,,,,,
player,201610090clt,chi,MereCa00,pass_yds,0,,,,,
player,201610090clt,chi,MereCa00,pass_td,0,,,,,
player,201610090clt,chi,MereCa00,pass_int,0,,,,,
player,201610090clt,chi,MereCa00,pass_sacked,0,,,,,
player,201610090clt,chi,MereCa00,pass_sacked_yds,0,,,,,
player,201610090clt,chi,MereCa00,pass_long,0,,,,,
player,201610090clt,chi,MereCa00,pass_rating,,,,,,
player,201610090clt,chi,MereCa00,rush_att,1,,,,,
player,201610090clt,chi,MereCa00,rush_yds,6,,,,,
player,201610090clt,chi,MereCa00,rush_td,0,,,,,
player,201610090clt,chi,MereCa00,rush_long,6,,,,,
player,201610090clt,chi,MereCa00,targets,12,,,,,
player,201610090clt,chi,MereCa00,rec,9,,,,,
player,201610090clt,chi,MereCa00,rec_yds,130,,,,,
player,201610090clt,chi,MereCa00,rec_td,1,,,,,
player,201610090clt,chi,MereCa00,rec_long,30,,,,,
