game,2016,7,20161023,201610230ram,nyg,"New York Giants",17,ram,"Los Angeles Rams",10
team,201610230ram,nyg,First Downs,13,,,,,,
team,201610230ram,ram,First Downs,20,,,,,,
team,201610230ram,nyg,Rush-Yds-TDs,20-36-1,,,,,,
team,201610230ram,ram,Rush-Yds-TDs,20-74-0,,,,,,
team,201610230ram,nyg,Cmp-Att-Yd-TD-INT,24-37-196-0-0,,,,,,
team,201610230ram,ram,Cmp-Att-Yd-TD-INT,32-53-291-1-4,,,,,,
team,201610230ram,nyg,Sacked-Yards,0-0,,,,,,
team,201610230ram,ram,Sacked-Yards,3-20,,,,,,
team,201610230ram,nyg,Net Pass Yards,196,,,,,,
team,201610230ram,ram,Net Pass Yards,271,,,,,,
team,201610230ram,nyg,Total Yards,232,,,,,,
team,201610230ram,ram,Total Yards,345,,,,,,
team,201610230ram,nyg,Fumbles-Lost,1-1,,,,,,
team,201610230ram,ram,Fumbles-Lost,4-0,,,,,,
team,201610230ram,nyg,Turnovers,1,,,,,,
team,201610230ram,ram,Turnovers,4,,,,,,
team,201610230ram,nyg,Penalties-Yards,3-33,,,,,,
team,201610230ram,ram,Penalties-Yards,8-43,,,,,,
team,201610230ram,nyg,Third Down Conv.,4-19,,,,,,
team,201610230ram,ram,Third Down Conv.,9-19,,,,,,
team,201610230ram,nyg,Fourth Down Conv.,0-0,,,,,,
team,201610230ram,ram,Fourth Down Conv.,1-1,,,,,,
team,201610230ram,nyg,Time of Possession,24:57,,,,,,
team,201610230ram,ram,Time of Possession,35:03,,,,,,
player,201610230ram,nyg,MannEl00,pass_cmp,24,,,,,
player,201610230ram,nyg,MannEl00,pass_att,37,,,,,
player,201610230ram,nyg,MannEl00,pass_yds,196,,,,,
player,201610230ram,nyg,MannEl00,pass_td,0,,,,,
player,201610230ram,nyg,MannEl00,pass_int,0,,,,,
player,201610230ram,nyg,MannEl00,pass_sacked,0,,,,,
player,201610230ram,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201610230ram,nyg,MannEl00,pass_long,25,,,,,
player,201610230ram,nyg,MannEl00,pass_rating,78.2,,,,,
player,201610230ram,nyg,MannEl00,rush_att,2,,,,,
player,201610230ram,nyg,MannEl00,rush_yds,-2,,,,,
player,201610230ram,nyg,MannEl00,rush_td,0,,,,,
player,201610230ram,nyg,MannEl00,rush_long,-1,,,,,
player,201610230ram,nyg,MannEl00,targets,0,,,,,
player,201610230ram,nyg,MannEl00,rec,0,,,,,
player,201610230ram,nyg,MannEl00,rec_yds,0,,,,,
player,201610230ram,nyg,MannEl00,rec_td,0,,,,,
player,201610230ram,nyg,MannEl00,rec_long,0,,,,,
player,201610230ram,nyg,MannEl00,fumbles,0,,,,,
player,201610230ram,nyg,MannEl00,fumbles_lost,0,,,,,
player,201610230ram,nyg,JennRa00,pass_cmp,0,,,,,
player,201610230ram,nyg,JennRa00,pass_att,0,,,,,
player,201610230ram,nyg,JennRa00,pass_yds,0,,,,,
player,201610230ram,nyg,JennRa00,pass_td,0,,,,,
player,201610230ram,nyg,JennRa00,pass_int,0,,,,,
player,201610230ram,nyg,JennRa00,pass_sacked,0,,,,,
player,201610230ram,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201610230ram,nyg,JennRa00,pass_long,0,,,,,
player,201610230ram,nyg,JennRa00,pass_rating,,,,,,
player,201610230ram,nyg,JennRa00,rush_att,13,,,,,
player,201610230ram,nyg,JennRa00,rush_yds,25,,,,,
player,201610230ram,nyg,JennRa00,rush_td,1,,,,,
player,201610230ram,nyg,JennRa00,rush_long,5,,,,,
player,201610230ram,nyg,JennRa00,targets,3,,,,,
player,201610230ram,nyg,JennRa00,rec,2,,,,,
