game,2016,8,20161030,201610300dal,phi,"Philadelphia Eagles",23,dal,"Dallas Cowboys",29
team,201610300dal,phi,First Downs,21,,,,,,
team,201610300dal,dal,First Downs,26,,,,,,
team,201610300dal,phi,Rush-Yds-TDs,24-97-1,,,,,,
team,201610300dal,dal,Rush-Yds-TDs,34-187-1,,,,,,
team,201610300dal,phi,Cmp-Att-Yd-TD-INT,32-44-202-1-0,,,,,,
team,201610300dal,dal,Cmp-Att-Yd-TD-INT,19-40-287-2-1,,,,,,
team,201610300dal,phi,Sacked-Yards,3-8,,,,,,
team,201610300dal,dal,Sacked-Yards,2-14,,,,,,
team,201610300dal,phi,Net Pass Yards,194,,,,,,
team,201610300dal,dal,Net Pass Yards,273,,,,,,
team,201610300dal,phi,Total Yards,291,,,,,,
team,201610300dal,dal,Total Yards,460,,,,,,
team,201610300dal,phi,Fumbles-Lost,4-1,,,,,,
team,201610300dal,dal,Fumbles-Lost,2-0,,,,,,
team,201610300dal,phi,Turnovers,1,,,,,,
team,201610300dal,dal,Turnovers,1,,,,,,
team,201610300dal,phi,Penalties-Yards,5-40,,,,,,
team,201610300dal,dal,Penalties-Yards,11-84,,,,,,
team,201610300dal,phi,Third Down Conv.,6-15,,,,,,
team,201610300dal,dal,Third Down Conv.,4-14,,,,,,
team,201610300dal,phi,Fourth Down Conv.,0-0,,,,,,
team,201610300dal,dal,Fourth Down Conv.,2-2,,,,,,
team,201610300dal,phi,Time of Possession,33:15,,,,,,
team,201610300dal,dal,Time of Possession,33:57,,,,,,
player,201610300dal,phi,WentCa00,pass_cmp,32,,,,,
player,201610300dal,phi,WentCa00,pass_att,43,,,,,
player,201610300dal,phi,WentCa00,pass_yds,202,,,,,
player,201610300dal,phi,WentCa00,pass_td,1,,,,,
player,201610300dal,phi,WentCa00,pass_int,0,,,,,
player,201610300dal,phi,WentCa00,pass_sacked,3,,,,,
player,201610300dal,phi,WentCa00,pass_sacked_yds,8,,,,,
player,201610300dal,phi,WentCa00,pass_long,14,,,,,
player,201610300dal,phi,WentCa00,pass_rating,91.4,,,,,
