game,2016,10,20161113,201611130nwe,sea,"Seattle Seahawks",31,nwe,"New England Patriots",24
team,201611130nwe,sea,First Downs,23,,,,,,
team,201611130nwe,nwe,First Downs,25,,,,,,
team,201611130nwe,sea,Rush-Yds-TDs,26-96-0,,,,,,
team,201611130nwe,nwe,Rush-Yds-TDs,28-81-3,,,,,,
team,201611130nwe,sea,Cmp-Att-Yd-TD-INT,25-37-348-3-0,,,,,,
team,201611130nwe,nwe,Cmp-Att-Yd-TD-INT,23-32-316-0-1,,,,,,
team,201611130nwe,sea,Sacked-Yards,3-24,,,,,,
team,201611130nwe,nwe,Sacked-Yards,2-12,,,,,,
team,201611130nwe,sea,Net Pass Yards,324,,,,,,
team,201611130nwe,nwe,Net Pass Yards,304,,,,,,
team,201611130nwe,sea,Total Yards,420,,,,,,
team,201611130nwe,nwe,Total Yards,385,,,,,,
team,201611130nwe,sea,Fumbles-Lost,1-0,,,,,,
team,201611130nwe,nwe,Fumbles-Lost,3-1,,,,,,
team,201611130nwe,sea,Turnovers,0,,,,,,
team,201611130nwe,nwe,Turnovers,2,,,,,,
team,201611130nwe,sea,Penalties-Yards,8-60,,,,,,
team,201611130nwe,nwe,Penalties-Yards,7-61,,,,,,
team,201611130nwe,sea,Third Down Conv.,6-12,,,,,,
team,201611130nwe,nwe,Third Down Conv.,6-10,,,,,,
team,201611130nwe,sea,Fourth Down Conv.,0-0,,,,,,
team,201611130nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201611130nwe,sea,Time of Possession,30:25,,,,,,
team,201611130nwe,nwe,Time of Possession,29:35,,,,,,
player,201611130nwe,sea,WilsRu00,pass_cmp,25,,,,,
player,201611130nwe,sea,WilsRu00,pass_att,37,,,,,
player,201611130nwe,sea,WilsRu00,pass_yds,348,,,,,
player,201611130nwe,sea,WilsRu00,pass_td,3,,,,,
player,201611130nwe,sea,WilsRu00,pass_int,0,,,,,
player,201611130nwe,sea,WilsRu00,pass_sacked,3,,,,,
player,201611130nwe,sea,WilsRu00,pass_sacked_yds,24,,,,,
player,201611130nwe,sea,WilsRu00,pass_long,39,,,,,
player,201611130nwe,sea,WilsRu00,pass_rating,124.6,,,,,
player,201611130nwe,sea,WilsRu00,rush_att,3,,,,,
player,201611130nwe,sea,WilsRu00,rush_yds,6,,,,,
player,201611130nwe,sea,WilsRu00,rush_td,0,,,,,
player,201611130nwe,sea,WilsRu00,rush_long,6,,,,,
player,201611130nwe,sea,WilsRu00,targets,0,,,,,
player,201611130nwe,sea,WilsRu00,rec,0,,,,,
player,201611130nwe,sea,WilsRu00,rec_yds,0,,,,,
player,201611130nwe,sea,WilsRu00,rec_td,0,,,,,
player,201611130nwe,sea,WilsRu00,rec_long,0,,,,,
player,201611130nwe,sea,WilsRu00,fumbles,0,,,,,
player,201611130nwe,sea,WilsRu00,fumbles_lost,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_cmp,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_att,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_yds,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_td,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_int,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_sacked,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_sacked_yds,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_long,0,,,,,
player,201611130nwe,sea,ProsC.00,pass_rating,,,,,,
player,201611130nwe,sea,ProsC.00,rush_att,17,,,,,
player,201611130nwe,sea,ProsC.00,rush_yds,66,,,,,
player,201611130nwe,sea,ProsC.00,rush_td,0,,,,,
player,201611130nwe,sea,ProsC.00,rush_long,10,,,,,
player,201611130nwe,sea,ProsC.00,targets,7,,,,,
player,201611130nwe,sea,ProsC.00,rec,7,,,,,
player,201611130nwe,sea,ProsC.00,rec_yds,87,,,,,
player,201611130nwe,sea,ProsC.00,rec_td,0,,,,,
player,201611130nwe,sea,ProsC.00,rec_long,38,,,,,
player,201611130nwe,sea,ProsC.00,fumbles,0,,,,,
player,201611130nwe,sea,ProsC.00,fumbles_lost,0,,,,,
player,201611130nwe,sea,MichCh00,pass_cmp,0,,,,,
player,201611130nwe,sea,MichCh00,pass_att,0,,,,,
player,201611130nwe,sea,MichCh00,pass_yds,0,,,,,
player,201611130nwe,sea,MichCh00,pass_td,0,,,,,
player,201611130nwe,sea,MichCh00,pass_int,0,,,,,
player,201611130nwe,sea,MichCh00,pass_sacked,0,,,,,
player,201611130nwe,sea,MichCh00,pass_sacked_yds,0,,,,,
player,201611130nwe,sea,MichCh00,pass_long,0,,,,,
player,201611130nwe,sea,MichCh00,pass_rating,,,,,,
player,201611130nwe,sea,MichCh00,rush_att,5,,,,,
player,201611130nwe,sea,MichCh00,rush_yds,22,,,,,
player,201611130nwe,sea,MichCh00,rush_td,0,,,,,
player,201611130nwe,sea,MichCh00,rush_long,9,,,,,
player,201611130nwe,sea,MichCh00,targets,1,,,,,
player,201611130nwe,sea,MichCh00,rec,1,,,,,
player,201611130nwe,sea,MichCh00,rec_yds,4,,,,,
player,201611130nwe,sea,MichCh00,rec_td,0,,,,,
player,201611130nwe,sea,MichCh00,rec_long,4,,,,,
player,201611130nwe,sea,MichCh00,fumbles,0,,,,,
player,201611130nwe,sea,MichCh00,fumbles_lost,0,,,,,
player,201611130nwe,sea,CollAl00,pass_cmp,0,,,,,
player,201611130nwe,sea,CollAl00,pass_att,0,,,,,
player,201611130nwe,sea,CollAl00,pass_yds,0,,,,,
player,201611130nwe,sea,CollAl00,pass_td,0,,,,,
player,201611130nwe,sea,CollAl00,pass_int,0,,,,,
player,201611130nwe,sea,CollAl00,pass_sacked,0,,,,,
player,201611130nwe,sea,CollAl00,pass_sacked_yds,0,,,,,
player,201611130nwe,sea,CollAl00,pass_long,0,,,,,
player,201611130nwe,sea,CollAl00,pass_rating,,,,,,
player,201611130nwe,sea,CollAl00,rush_att,1,,,,,
player,201611130nwe,sea,CollAl00,rush_yds,2,,,,,
player,201611130nwe,sea,CollAl00,rush_td,0,,,,,
player,201611130nwe,sea,CollAl00,rush_long,2,,,,,
player,201611130nwe,sea,CollAl00,targets,0,,,,,
player,201611130nwe,sea,CollAl00,rec,0,,,,,
player,201611130nwe,sea,CollAl00,rec_yds,0,,,,,
player,201611130nwe,sea,CollAl00,rec_td,0,,,,,
player,201611130nwe,sea,CollAl00,rec_long,0,,,,,
player,201611130nwe,sea,CollAl00,fumbles,1,,,,,
player,201611130nwe,sea,CollAl00,fumbles_lost,0,,,,,
player,201611130nwe,sea,LockTy00,pass_cmp,0,,,,,
player,201611130nwe,sea,LockTy00,pass_att,0,,,,,
player,201611130nwe,sea,LockTy00,pass_yds,0,,,,,
player,201611130nwe,sea,LockTy00,pass_td,0,,,,,
player,201611130nwe,sea,LockTy00,pass_int,0,,,,,
player,201611130nwe,sea,LockTy00,pass_sacked,0,,,,,
player,201611130nwe,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201611130nwe,sea,LockTy00,pass_long,0,,,,,
player,201611130nwe,sea,LockTy00,pass_rating,,,,,,
player,201611130nwe,sea,LockTy00,rush_att,0,,,,,
player,201611130nwe,sea,LockTy00,rush_yds,0,,,,,
player,201611130nwe,sea,LockTy00,rush_td,0,,,,,
player,201611130nwe,sea,LockTy00,rush_long,0,,,,,
player,201611130nwe,sea,LockTy00,targets,6,,,,,
player,201611130nwe,sea,LockTy00,rec,3,,,,,
player,201611130nwe,sea,LockTy00,rec_yds,72,,,,,
player,201611130nwe,sea,LockTy00,rec_td,0,,,,,
player,201611130nwe,sea,LockTy00,rec_long,36,,,,,
player,201611130nwe,sea,LockTy00,fumbles,0,,,,,
player,201611130nwe,sea,LockTy00,fumbles_lost,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_cmp,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_att,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_yds,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_td,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_int,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_sacked,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_long,0,,,,,
player,201611130nwe,sea,BaldDo00,pass_rating,,,,,,
