game,2016,11,20161120,201611200kan,tam,"Tampa Bay Buccaneers",19,kan,"Kansas City Chiefs",17
team,201611200kan,tam,First Downs,27,,,,,,
team,201611200kan,kan,First Downs,19,,,,,,
team,201611200kan,tam,Rush-Yds-TDs,34-116-0,,,,,,
team,201611200kan,kan,Rush-Yds-TDs,21-82-1,,,,,,
team,201611200kan,tam,Cmp-Att-Yd-TD-INT,24-39-331-1-0,,,,,,
team,201611200kan,kan,Cmp-Att-Yd-TD-INT,24-31-261-1-1,,,,,,
team,201611200kan,tam,Sacked-Yards,1-5,,,,,,
team,201611200kan,kan,Sacked-Yards,0-0,,,,,,
team,201611200kan,tam,Net Pass Yards,326,,,,,,
team,201611200kan,kan,Net Pass Yards,261,,,,,,
team,201611200kan,tam,Total Yards,442,,,,,,
team,201611200kan,kan,Total Yards,343,,,,,,
team,201611200kan,tam,Fumbles-Lost,2-1,,,,,,
team,201611200kan,kan,Fumbles-Lost,2-1,,,,,,
team,201611200kan,tam,Turnovers,1,,,,,,
team,201611200kan,kan,Turnovers,2,,,,,,
team,201611200kan,tam,Penalties-Yards,7-42,,,,,,
team,201611200kan,kan,Penalties-Yards,5-30,,,,,,
team,201611200kan,tam,Third Down Conv.,11-16,,,,,,
team,201611200kan,kan,Third Down Conv.,4-8,,,,,,
team,201611200kan,tam,Fourth Down Conv.,0-0,,,,,,
team,201611200kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201611200kan,tam,Time of Possession,35:18,,,,,,
team,201611200kan,kan,Time of Possession,24:42,,,,,,
player,201611200kan,tam,WinsJa00,pass_cmp,24,,,,,
player,201611200kan,tam,WinsJa00,pass_att,39,,,,,
player,201611200kan,tam,WinsJa00,pass_yds,331,,,,,
player,201611200kan,tam,WinsJa00,pass_td,1,,,,,
player,201611200kan,tam,WinsJa00,pass_int,0,,,,,
player,201611200kan,tam,WinsJa00,pass_sacked,1,,,,,
player,201611200kan,tam,WinsJa00,pass_sacked_yds,5,,,,,
player,201611200kan,tam,WinsJa00,pass_long,31,,,,,
player,201611200kan,tam,WinsJa00,pass_rating,97.3,,,,,
player,201611200kan,tam,WinsJa00,rush_att,5,,,,,
player,201611200kan,tam,WinsJa00,rush_yds,22,,,,,
player,201611200kan,tam,WinsJa00,rush_td,0,,,,,
player,201611200kan,tam,WinsJa00,rush_long,12,,,,,
player,201611200kan,tam,WinsJa00,targets,0,,,,,
player,201611200kan,tam,WinsJa00,rec,0,,,,,
player,201611200kan,tam,WinsJa00,rec_yds,0,,,,,
player,201611200kan,tam,WinsJa00,rec_td,0,,,,,
player,201611200kan,tam,WinsJa00,rec_long,0,,,,,
player,201611200kan,tam,WinsJa00,fumbles,2,,,,,
player,201611200kan,tam,WinsJa00,fumbles_lost,1,,,,,
player,201611200kan,tam,MartDo00,pass_cmp,0,,,,,
player,201611200kan,tam,MartDo00,pass_att,0,,,,,
player,201611200kan,tam,MartDo00,pass_yds,0,,,,,
player,201611200kan,tam,MartDo00,pass_td,0,,,,,
player,201611200kan,tam,MartDo00,pass_int,0,,,,,
player,201611200kan,tam,MartDo00,pass_sacked,0,,,,,
player,201611200kan,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,MartDo00,pass_long,0,,,,,
player,201611200kan,tam,MartDo00,pass_rating,,,,,,
player,201611200kan,tam,MartDo00,rush_att,24,,,,,
player,201611200kan,tam,MartDo00,rush_yds,63,,,,,
player,201611200kan,tam,MartDo00,rush_td,0,,,,,
player,201611200kan,tam,MartDo00,rush_long,12,,,,,
player,201611200kan,tam,MartDo00,targets,4,,,,,
player,201611200kan,tam,MartDo00,rec,3,,,,,
player,201611200kan,tam,MartDo00,rec_yds,42,,,,,
player,201611200kan,tam,MartDo00,rec_td,0,,,,,
player,201611200kan,tam,MartDo00,rec_long,27,,,,,
player,201611200kan,tam,MartDo00,fumbles,0,,,,,
player,201611200kan,tam,MartDo00,fumbles_lost,0,,,,,
player,201611200kan,tam,BarbPe01,pass_cmp,0,,,,,
player,201611200kan,tam,BarbPe01,pass_att,0,,,,,
player,201611200kan,tam,BarbPe01,pass_yds,0,,,,,
player,201611200kan,tam,BarbPe01,pass_td,0,,,,,
player,201611200kan,tam,BarbPe01,pass_int,0,,,,,
player,201611200kan,tam,BarbPe01,pass_sacked,0,,,,,
player,201611200kan,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201611200kan,tam,BarbPe01,pass_long,0,,,,,
player,201611200kan,tam,BarbPe01,pass_rating,,,,,,
player,201611200kan,tam,BarbPe01,rush_att,4,,,,,
player,201611200kan,tam,BarbPe01,rush_yds,22,,,,,
player,201611200kan,tam,BarbPe01,rush_td,0,,,,,
player,201611200kan,tam,BarbPe01,rush_long,7,,,,,
player,201611200kan,tam,BarbPe01,targets,0,,,,,
player,201611200kan,tam,BarbPe01,rec,0,,,,,
player,201611200kan,tam,BarbPe01,rec_yds,0,,,,,
player,201611200kan,tam,BarbPe01,rec_td,0,,,,,
player,201611200kan,tam,BarbPe01,rec_long,0,,,,,
player,201611200kan,tam,BarbPe01,fumbles,0,,,,,
player,201611200kan,tam,BarbPe01,fumbles_lost,0,,,,,
player,201611200kan,tam,JameMi00,pass_cmp,0,,,,,
player,201611200kan,tam,JameMi00,pass_att,0,,,,,
player,201611200kan,tam,JameMi00,pass_yds,0,,,,,
player,201611200kan,tam,JameMi00,pass_td,0,,,,,
player,201611200kan,tam,JameMi00,pass_int,0,,,,,
player,201611200kan,tam,JameMi00,pass_sacked,0,,,,,
player,201611200kan,tam,JameMi00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,JameMi00,pass_long,0,,,,,
player,201611200kan,tam,JameMi00,pass_rating,,,,,,
player,201611200kan,tam,JameMi00,rush_att,1,,,,,
player,201611200kan,tam,JameMi00,rush_yds,9,,,,,
player,201611200kan,tam,JameMi00,rush_td,0,,,,,
player,201611200kan,tam,JameMi00,rush_long,9,,,,,
player,201611200kan,tam,JameMi00,targets,0,,,,,
player,201611200kan,tam,JameMi00,rec,0,,,,,
player,201611200kan,tam,JameMi00,rec_yds,0,,,,,
player,201611200kan,tam,JameMi00,rec_td,0,,,,,
player,201611200kan,tam,JameMi00,rec_long,0,,,,,
player,201611200kan,tam,JameMi00,fumbles,0,,,,,
player,201611200kan,tam,JameMi00,fumbles_lost,0,,,,,
