game,2016,11,20161120,201611200ram,mia,"Miami Dolphins",14,ram,"Los Angeles Rams",10
team,201611200ram,mia,First Downs,17,,,,,,
team,201611200ram,ram,First Downs,12,,,,,,
team,201611200ram,mia,Rush-Yds-TDs,19-98-0,,,,,,
team,201611200ram,ram,Rush-Yds-TDs,28-102-1,,,,,,
team,201611200ram,mia,Cmp-Att-Yd-TD-INT,24-34-172-2-1,,,,,,
team,201611200ram,ram,Cmp-Att-Yd-TD-INT,17-31-134-0-0,,,,,,
team,201611200ram,mia,Sacked-Yards,4-30,,,,,,
team,201611200ram,ram,Sacked-Yards,1-9,,,,,,
team,201611200ram,mia,Net Pass Yards,142,,,,,,
team,201611200ram,ram,Net Pass Yards,125,,,,,,
team,201611200ram,mia,Total Yards,240,,,,,,
team,201611200ram,ram,Total Yards,227,,,,,,
team,201611200ram,mia,Fumbles-Lost,0-0,,,,,,
team,201611200ram,ram,Fumbles-Lost,1-1,,,,,,
team,201611200ram,mia,Turnovers,1,,,,,,
team,201611200ram,ram,Turnovers,1,,,,,,
team,201611200ram,mia,Penalties-Yards,8-82,,,,,,
team,201611200ram,ram,Penalties-Yards,8-70,,,,,,
team,201611200ram,mia,Third Down Conv.,1-11,,,,,,
team,201611200ram,ram,Third Down Conv.,2-13,,,,,,
team,201611200ram,mia,Fourth Down Conv.,0-0,,,,,,
team,201611200ram,ram,Fourth Down Conv.,1-1,,,,,,
team,201611200ram,mia,Time of Possession,28:41,,,,,,
team,201611200ram,ram,Time of Possession,31:19,,,,,,
player,201611200ram,mia,TannRy00,pass_cmp,24,,,,,
player,201611200ram,mia,TannRy00,pass_att,34,,,,,
player,201611200ram,mia,TannRy00,pass_yds,172,,,,,
player,201611200ram,mia,TannRy00,pass_td,2,,,,,
player,201611200ram,mia,TannRy00,pass_int,1,,,,,
player,201611200ram,mia,TannRy00,pass_sacked,4,,,,,
player,201611200ram,mia,TannRy00,pass_sacked_yds,30,,,,,
player,201611200ram,mia,TannRy00,pass_long,15,,,,,
player,201611200ram,mia,TannRy00,pass_rating,89.3,,,,,
player,201611200ram,mia,TannRy00,rush_att,2,,,,,
player,201611200ram,mia,TannRy00,rush_yds,19,,,,,
player,201611200ram,mia,TannRy00,rush_td,0,,,,,
player,201611200ram,mia,TannRy00,rush_long,10,,,,,
player,201611200ram,mia,TannRy00,targets,0,,,,,
player,201611200ram,mia,TannRy00,rec,0,,,,,
player,201611200ram,mia,TannRy00,rec_yds,0,,,,,
player,201611200ram,mia,TannRy00,rec_td,0,,,,,
player,201611200ram,mia,TannRy00,rec_long,0,,,,,
