game,2016,12,20161127,201611270rai,car,"Carolina Panthers",32,rai,"Oakland Raiders",35
team,201611270rai,car,First Downs,19,,,,,,
team,201611270rai,rai,First Downs,22,,,,,,
team,201611270rai,car,Rush-Yds-TDs,25-129-3,,,,,,
team,201611270rai,rai,Rush-Yds-TDs,31-56-1,,,,,,
team,201611270rai,car,Cmp-Att-Yd-TD-INT,14-29-246-2-1,,,,,,
team,201611270rai,rai,Cmp-Att-Yd-TD-INT,26-39-315-2-1,,,,,,
team,201611270rai,car,Sacked-Yards,2-17,,,,,,
team,201611270rai,rai,Sacked-Yards,1-5,,,,,,
team,201611270rai,car,Net Pass Yards,229,,,,,,
team,201611270rai,rai,Net Pass Yards,310,,,,,,
team,201611270rai,car,Total Yards,358,,,,,,
team,201611270rai,rai,Total Yards,366,,,,,,
team,201611270rai,car,Fumbles-Lost,2-1,,,,,,
team,201611270rai,rai,Fumbles-Lost,2-1,,,,,,
team,201611270rai,car,Turnovers,2,,,,,,
team,201611270rai,rai,Turnovers,2,,,,,,
team,201611270rai,car,Penalties-Yards,7-67,,,,,,
team,201611270rai,rai,Penalties-Yards,7-46,,,,,,
team,201611270rai,car,Third Down Conv.,3-10,,,,,,
team,201611270rai,rai,Third Down Conv.,8-15,,,,,,
team,201611270rai,car,Fourth Down Conv.,0-1,,,,,,
team,201611270rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201611270rai,car,Time of Possession,26:23,,,,,,
team,201611270rai,rai,Time of Possession,33:37,,,,,,
player,201611270rai,car,NewtCa00,pass_cmp,14,,,,,
player,201611270rai,car,NewtCa00,pass_att,29,,,,,
player,201611270rai,car,NewtCa00,pass_yds,246,,,,,
player,201611270rai,car,NewtCa00,pass_td,2,,,,,
player,201611270rai,car,NewtCa00,pass_int,1,,,,,
player,201611270rai,car,NewtCa00,pass_sacked,2,,,,,
player,201611270rai,car,NewtCa00,pass_sacked_yds,17,,,,,
player,201611270rai,car,NewtCa00,pass_long,88,,,,,
player,201611270rai,car,NewtCa00,pass_rating,86.3,,,,,
player,201611270rai,car,NewtCa00,rush_att,3,,,,,
player,201611270rai,car,NewtCa00,rush_yds,6,,,,,
player,201611270rai,car,NewtCa00,rush_td,1,,,,,
player,201611270rai,car,NewtCa00,rush_long,3,,,,,
player,201611270rai,car,NewtCa00,targets,0,,,,,
player,201611270rai,car,NewtCa00,rec,0,,,,,
player,201611270rai,car,NewtCa00,rec_yds,0,,,,,
player,201611270rai,car,NewtCa00,rec_td,0,,,,,
player,201611270rai,car,NewtCa00,rec_long,0,,,,,
player,201611270rai,car,NewtCa00,fumbles,2,,,,,
player,201611270rai,car,NewtCa00,fumbles_lost,1,,,,,
player,201611270rai,car,StewJo00,pass_cmp,0,,,,,
player,201611270rai,car,StewJo00,pass_att,0,,,,,
player,201611270rai,car,StewJo00,pass_yds,0,,,,,
player,201611270rai,car,StewJo00,pass_td,0,,,,,
player,201611270rai,car,StewJo00,pass_int,0,,,,,
player,201611270rai,car,StewJo00,pass_sacked,0,,,,,
player,201611270rai,car,StewJo00,pass_sacked_yds,0,,,,,
player,201611270rai,car,StewJo00,pass_long,0,,,,,
player,201611270rai,car,StewJo00,pass_rating,,,,,,
player,201611270rai,car,StewJo00,rush_att,17,,,,,
player,201611270rai,car,StewJo00,rush_yds,96,,,,,
player,201611270rai,car,StewJo00,rush_td,2,,,,,
player,201611270rai,car,StewJo00,rush_long,47,,,,,
player,201611270rai,car,StewJo00,targets,1,,,,,
player,201611270rai,car,StewJo00,rec,0,,,,,
player,201611270rai,car,StewJo00,rec_yds,0,,,,,
player,201611270rai,car,StewJo00,rec_td,0,,,,,
player,201611270rai,car,StewJo00,rec_long,0,,,,,
player,201611270rai,car,StewJo00,fumbles,0,,,,,
player,201611270rai,car,StewJo00,fumbles_lost,0,,,,,
player,201611270rai,car,WhitFo00,pass_cmp,0,,,,,
player,201611270rai,car,WhitFo00,pass_att,0,,,,,
player,201611270rai,car,WhitFo00,pass_yds,0,,,,,
player,201611270rai,car,WhitFo00,pass_td,0,,,,,
player,201611270rai,car,WhitFo00,pass_int,0,,,,,
player,201611270rai,car,WhitFo00,pass_sacked,0,,,,,
player,201611270rai,car,WhitFo00,pass_sacked_yds,0,,,,,
player,201611270rai,car,WhitFo00,pass_long,0,,,,,
player,201611270rai,car,WhitFo00,pass_rating,,,,,,
player,201611270rai,car,WhitFo00,rush_att,4,,,,,
player,201611270rai,car,WhitFo00,rush_yds,14,,,,,
player,201611270rai,car,WhitFo00,rush_td,0,,,,,
player,201611270rai,car,WhitFo00,rush_long,5,,,,,
player,201611270rai,car,WhitFo00,targets,2,,,,,
player,201611270rai,car,WhitFo00,rec,0,,,,,
player,201611270rai,car,WhitFo00,rec_yds,0,,,,,
player,201611270rai,car,WhitFo00,rec_td,0,,,,,
player,201611270rai,car,WhitFo00,rec_long,0,,,,,
player,201611270rai,car,WhitFo00,fumbles,0,,,,,
player,201611270rai,car,WhitFo00,fumbles_lost,0,,,,,
player,201611270rai,car,GinnTe00,pass_cmp,0,,,,,
player,201611270rai,car,GinnTe00,pass_att,0,,,,,
player,201611270rai,car,GinnTe00,pass_yds,0,,,,,
player,201611270rai,car,GinnTe00,pass_td,0,,,,,
player,201611270rai,car,GinnTe00,pass_int,0,,,,,
player,201611270rai,car,GinnTe00,pass_sacked,0,,,,,
player,201611270rai,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201611270rai,car,GinnTe00,pass_long,0,,,,,
player,201611270rai,car,GinnTe00,pass_rating,,,,,,
player,201611270rai,car,GinnTe00,rush_att,1,,,,,
player,201611270rai,car,GinnTe00,rush_yds,13,,,,,
player,201611270rai,car,GinnTe00,rush_td,0,,,,,
player,201611270rai,car,GinnTe00,rush_long,13,,,,,
player,201611270rai,car,GinnTe00,targets,10,,,,,
player,201611270rai,car,GinnTe00,rec,4,,,,,
player,201611270rai,car,GinnTe00,rec_yds,115,,,,,
player,201611270rai,car,GinnTe00,rec_td,1,,,,,
player,201611270rai,car,GinnTe00,rec_long,88,,,,,
player,201611270rai,car,GinnTe00,fumbles,0,,,,,
player,201611270rai,car,GinnTe00,fumbles_lost,0,,,,,
player,201611270rai,car,BenjKe00,pass_cmp,0,,,,,
