game,2016,12,20161128,201611280phi,gnb,"Green Bay Packers",27,phi,"Philadelphia Eagles",13
team,201611280phi,gnb,First Downs,25,,,,,,
team,201611280phi,phi,First Downs,20,,,,,,
team,201611280phi,gnb,Rush-Yds-TDs,28-74-1,,,,,,
team,201611280phi,phi,Rush-Yds-TDs,18-81-1,,,,,,
team,201611280phi,gnb,Cmp-Att-Yd-TD-INT,30-39-313-2-0,,,,,,
team,201611280phi,phi,Cmp-Att-Yd-TD-INT,24-36-254-0-1,,,,,,
team,201611280phi,gnb,Sacked-Yards,0-0,,,,,,
team,201611280phi,phi,Sacked-Yards,4-43,,,,,,
team,201611280phi,gnb,Net Pass Yards,313,,,,,,
team,201611280phi,phi,Net Pass Yards,211,,,,,,
team,201611280phi,gnb,Total Yards,387,,,,,,
team,201611280phi,phi,Total Yards,292,,,,,,
team,201611280phi,gnb,Fumbles-Lost,1-0,,,,,,
team,201611280phi,phi,Fumbles-Lost,1-0,,,,,,
team,201611280phi,gnb,Turnovers,0,,,,,,
team,201611280phi,phi,Turnovers,1,,,,,,
team,201611280phi,gnb,Penalties-Yards,7-51,,,,,,
team,201611280phi,phi,Penalties-Yards,7-42,,,,,,
team,201611280phi,gnb,Third Down Conv.,10-14,,,,,,
team,201611280phi,phi,Third Down Conv.,5-11,,,,,,
team,201611280phi,gnb,Fourth Down Conv.,1-1,,,,,,
team,201611280phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201611280phi,gnb,Time of Possession,35:23,,,,,,
team,201611280phi,phi,Time of Possession,24:37,,,,,,
player,201611280phi,gnb,RodgAa00,pass_cmp,30,,,,,
player,201611280phi,gnb,RodgAa00,pass_att,39,,,,,
player,201611280phi,gnb,RodgAa00,pass_yds,313,,,,,
player,201611280phi,gnb,RodgAa00,pass_td,2,,,,,
player,201611280phi,gnb,RodgAa00,pass_int,0,,,,,
player,201611280phi,gnb,RodgAa00,pass_sacked,0,,,,,
player,201611280phi,gnb,RodgAa00,pass_sacked_yds,0,,,,,
