game,2016,14,20161211,201612110gnb,sea,"Seattle Seahawks",10,gnb,"Green Bay Packers",38
team,201612110gnb,sea,First Downs,22,,,,,,
team,201612110gnb,gnb,First Downs,18,,,,,,
team,201612110gnb,sea,Rush-Yds-TDs,26-136-0,,,,,,
team,201612110gnb,gnb,Rush-Yds-TDs,30-93-2,,,,,,
team,201612110gnb,sea,Cmp-Att-Yd-TD-INT,22-39-240-1-5,,,,,,
team,201612110gnb,gnb,Cmp-Att-Yd-TD-INT,18-25-246-3-0,,,,,,
team,201612110gnb,sea,Sacked-Yards,3-22,,,,,,
team,201612110gnb,gnb,Sacked-Yards,1-9,,,,,,
team,201612110gnb,sea,Net Pass Yards,218,,,,,,
team,201612110gnb,gnb,Net Pass Yards,237,,,,,,
team,201612110gnb,sea,Total Yards,354,,,,,,
team,201612110gnb,gnb,Total Yards,330,,,,,,
team,201612110gnb,sea,Fumbles-Lost,1-1,,,,,,
team,201612110gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201612110gnb,sea,Turnovers,6,,,,,,
team,201612110gnb,gnb,Turnovers,0,,,,,,
team,201612110gnb,sea,Penalties-Yards,7-63,,,,,,
team,201612110gnb,gnb,Penalties-Yards,5-50,,,,,,
team,201612110gnb,sea,Third Down Conv.,6-12,,,,,,
team,201612110gnb,gnb,Third Down Conv.,4-11,,,,,,
team,201612110gnb,sea,Fourth Down Conv.,0-1,,,,,,
team,201612110gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201612110gnb,sea,Time of Possession,31:50,,,,,,
team,201612110gnb,gnb,Time of Possession,28:10,,,,,,
player,201612110gnb,sea,WilsRu00,pass_cmp,22,,,,,
player,201612110gnb,sea,WilsRu00,pass_att,39,,,,,
player,201612110gnb,sea,WilsRu00,pass_yds,240,,,,,
player,201612110gnb,sea,WilsRu00,pass_td,1,,,,,
player,201612110gnb,sea,WilsRu00,pass_int,5,,,,,
player,201612110gnb,sea,WilsRu00,pass_sacked,3,,,,,
player,201612110gnb,sea,WilsRu00,pass_sacked_yds,22,,,,,
player,201612110gnb,sea,WilsRu00,pass_long,0,,,,,
player,201612110gnb,sea,WilsRu00,pass_rating,43.7,,,,,
player,201612110gnb,sea,WilsRu00,rush_att,4,,,,,
player,201612110gnb,sea,WilsRu00,rush_yds,19,,,,,
player,201612110gnb,sea,WilsRu00,rush_td,0,,,,,
player,201612110gnb,sea,WilsRu00,rush_long,8,,,,,
player,201612110gnb,sea,WilsRu00,targets,0,,,,,
player,201612110gnb,sea,WilsRu00,rec,0,,,,,
player,201612110gnb,sea,WilsRu00,rec_yds,0,,,,,
player,201612110gnb,sea,WilsRu00,rec_td,0,,,,,
player,201612110gnb,sea,WilsRu00,rec_long,0,,,,,
player,201612110gnb,sea,WilsRu00,fumbles,0,,,,,
player,201612110gnb,sea,WilsRu00,fumbles_lost,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_cmp,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_att,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_yds,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_td,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_int,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_sacked,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_long,0,,,,,
player,201612110gnb,sea,RawlTh00,pass_rating,,,,,,
player,201612110gnb,sea,RawlTh00,rush_att,12,,,,,
player,201612110gnb,sea,RawlTh00,rush_yds,67,,,,,
player,201612110gnb,sea,RawlTh00,rush_td,0,,,,,
player,201612110gnb,sea,RawlTh00,rush_long,15,,,,,
player,201612110gnb,sea,RawlTh00,targets,2,,,,,
player,201612110gnb,sea,RawlTh00,rec,1,,,,,
player,201612110gnb,sea,RawlTh00,rec_yds,7,,,,,
player,201612110gnb,sea,RawlTh00,rec_td,0,,,,,
player,201612110gnb,sea,RawlTh00,rec_long,7,,,,,
player,201612110gnb,sea,RawlTh00,fumbles,0,,,,,
player,201612110gnb,sea,RawlTh00,fumbles_lost,0,,,,,
player,201612110gnb,sea,CollAl00,pass_cmp,0,,,,,
player,201612110gnb,sea,CollAl00,pass_att,0,,,,,
player,201612110gnb,sea,CollAl00,pass_yds,0,,,,,
player,201612110gnb,sea,CollAl00,pass_td,0,,,,,
player,201612110gnb,sea,CollAl00,pass_int,0,,,,,
player,201612110gnb,sea,CollAl00,pass_sacked,0,,,,,
player,201612110gnb,sea,CollAl00,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,CollAl00,pass_long,0,,,,,
