game,2016,14,20161211,201612110mia,crd,"Arizona Cardinals",23,mia,"Miami Dolphins",26
team,201612110mia,crd,First Downs,21,,,,,,
team,201612110mia,mia,First Downs,15,,,,,,
team,201612110mia,crd,Rush-Yds-TDs,27-175-1,,,,,,
team,201612110mia,mia,Rush-Yds-TDs,31-83-0,,,,,,
team,201612110mia,crd,Cmp-Att-Yd-TD-INT,18-33-145-2-2,,,,,,
team,201612110mia,mia,Cmp-Att-Yd-TD-INT,18-25-242-3-1,,,,,,
team,201612110mia,crd,Sacked-Yards,3-20,,,,,,
team,201612110mia,mia,Sacked-Yards,1-11,,,,,,
team,201612110mia,crd,Net Pass Yards,125,,,,,,
team,201612110mia,mia,Net Pass Yards,231,,,,,,
team,201612110mia,crd,Total Yards,300,,,,,,
team,201612110mia,mia,Total Yards,314,,,,,,
team,201612110mia,crd,Fumbles-Lost,4-2,,,,,,
team,201612110mia,mia,Fumbles-Lost,5-2,,,,,,
team,201612110mia,crd,Turnovers,4,,,,,,
team,201612110mia,mia,Turnovers,3,,,,,,
team,201612110mia,crd,Penalties-Yards,7-54,,,,,,
team,201612110mia,mia,Penalties-Yards,14-118,,,,,,
team,201612110mia,crd,Third Down Conv.,4-13,,,,,,
team,201612110mia,mia,Third Down Conv.,4-13,,,,,,
team,201612110mia,crd,Fourth Down Conv.,0-0,,,,,,
team,201612110mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201612110mia,crd,Time of Possession,29:56,,,,,,
team,201612110mia,mia,Time of Possession,30:04,,,,,,
player,201612110mia,crd,PalmCa00,pass_cmp,18,,,,,
player,201612110mia,crd,PalmCa00,pass_att,33,,,,,
player,201612110mia,crd,PalmCa00,pass_yds,145,,,,,
player,201612110mia,crd,PalmCa00,pass_td,2,,,,,
player,201612110mia,crd,PalmCa00,pass_int,2,,,,,
player,201612110mia,crd,PalmCa00,pass_sacked,3,,,,,
player,201612110mia,crd,PalmCa00,pass_sacked_yds,20,,,,,
player,201612110mia,crd,PalmCa00,pass_long,15,,,,,
player,201612110mia,crd,PalmCa00,pass_rating,60.8,,,,,
player,201612110mia,crd,PalmCa00,rush_att,3,,,,,
player,201612110mia,crd,PalmCa00,rush_yds,5,,,,,
player,201612110mia,crd,PalmCa00,rush_td,0,,,,,
player,201612110mia,crd,PalmCa00,rush_long,6,,,,,
player,201612110mia,crd,PalmCa00,targets,0,,,,,
player,201612110mia,crd,PalmCa00,rec,0,,,,,
player,201612110mia,crd,PalmCa00,rec_yds,0,,,,,
player,201612110mia,crd,PalmCa00,rec_td,0,,,,,
player,201612110mia,crd,PalmCa00,rec_long,0,,,,,
player,201612110mia,crd,PalmCa00,fumbles,3,,,,,
player,201612110mia,crd,PalmCa00,fumbles_lost,1,,,,,
player,201612110mia,crd,JohnDa08,pass_cmp,0,,,,,
player,201612110mia,crd,JohnDa08,pass_att,0,,,,,
player,201612110mia,crd,JohnDa08,pass_yds,0,,,,,
player,201612110mia,crd,JohnDa08,pass_td,0,,,,,
player,201612110mia,crd,JohnDa08,pass_int,0,,,,,
player,201612110mia,crd,JohnDa08,pass_sacked,0,,,,,
player,201612110mia,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201612110mia,crd,JohnDa08,pass_long,0,,,,,
player,201612110mia,crd,JohnDa08,pass_rating,,,,,,
player,201612110mia,crd,JohnDa08,rush_att,20,,,,,
player,201612110mia,crd,JohnDa08,rush_yds,80,,,,,
player,201612110mia,crd,JohnDa08,rush_td,0,,,,,
player,201612110mia,crd,JohnDa08,rush_long,19,,,,,
