game,2016,15,20161218,201612180dal,tam,"Tampa Bay Buccaneers",20,dal,"Dallas Cowboys",26
team,201612180dal,tam,First Downs,16,,,,,,
team,201612180dal,dal,First Downs,24,,,,,,
team,201612180dal,tam,Rush-Yds-TDs,20-52-0,,,,,,
team,201612180dal,dal,Rush-Yds-TDs,32-185-2,,,,,,
team,201612180dal,tam,Cmp-Att-Yd-TD-INT,17-35-247-2-3,,,,,,
team,201612180dal,dal,Cmp-Att-Yd-TD-INT,32-36-279-0-0,,,,,,
team,201612180dal,tam,Sacked-Yards,4-23,,,,,,
team,201612180dal,dal,Sacked-Yards,3-15,,,,,,
team,201612180dal,tam,Net Pass Yards,224,,,,,,
team,201612180dal,dal,Net Pass Yards,264,,,,,,
team,201612180dal,tam,Total Yards,276,,,,,,
team,201612180dal,dal,Total Yards,449,,,,,,
team,201612180dal,tam,Fumbles-Lost,2-1,,,,,,
team,201612180dal,dal,Fumbles-Lost,2-1,,,,,,
team,201612180dal,tam,Turnovers,4,,,,,,
team,201612180dal,dal,Turnovers,1,,,,,,
team,201612180dal,tam,Penalties-Yards,3-35,,,,,,
team,201612180dal,dal,Penalties-Yards,8-91,,,,,,
team,201612180dal,tam,Third Down Conv.,4-12,,,,,,
team,201612180dal,dal,Third Down Conv.,5-13,,,,,,
team,201612180dal,tam,Fourth Down Conv.,0-1,,,,,,
team,201612180dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201612180dal,tam,Time of Possession,23:56,,,,,,
team,201612180dal,dal,Time of Possession,36:04,,,,,,
player,201612180dal,tam,WinsJa00,pass_cmp,17,,,,,
player,201612180dal,tam,WinsJa00,pass_att,35,,,,,
player,201612180dal,tam,WinsJa00,pass_yds,247,,,,,
player,201612180dal,tam,WinsJa00,pass_td,2,,,,,
player,201612180dal,tam,WinsJa00,pass_int,3,,,,,
player,201612180dal,tam,WinsJa00,pass_sacked,4,,,,,
player,201612180dal,tam,WinsJa00,pass_sacked_yds,23,,,,,
player,201612180dal,tam,WinsJa00,pass_long,42,,,,,
player,201612180dal,tam,WinsJa00,pass_rating,55.3,,,,,
player,201612180dal,tam,WinsJa00,rush_att,1,,,,,
player,201612180dal,tam,WinsJa00,rush_yds,6,,,,,
player,201612180dal,tam,WinsJa00,rush_td,0,,,,,
player,201612180dal,tam,WinsJa00,rush_long,6,,,,,
player,201612180dal,tam,WinsJa00,targets,0,,,,,
player,201612180dal,tam,WinsJa00,rec,0,,,,,
player,201612180dal,tam,WinsJa00,rec_yds,0,,,,,
player,201612180dal,tam,WinsJa00,rec_td,0,,,,,
player,201612180dal,tam,WinsJa00,rec_long,0,,,,,
player,201612180dal,tam,WinsJa00,fumbles,2,,,,,
player,201612180dal,tam,WinsJa00,fumbles_lost,1,,,,,
player,201612180dal,tam,MartDo00,pass_cmp,0,,,,,
player,201612180dal,tam,MartDo00,pass_att,0,,,,,
player,201612180dal,tam,MartDo00,pass_yds,0,,,,,
player,201612180dal,tam,MartDo00,pass_td,0,,,,,
player,201612180dal,tam,MartDo00,pass_int,0,,,,,
player,201612180dal,tam,MartDo00,pass_sacked,0,,,,,
player,201612180dal,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201612180dal,tam,MartDo00,pass_long,0,,,,,
player,201612180dal,tam,MartDo00,pass_rating,,,,,,
player,201612180dal,tam,MartDo00,rush_att,16,,,,,
player,201612180dal,tam,MartDo00,rush_yds,42,,,,,
player,201612180dal,tam,MartDo00,rush_td,0,,,,,
