game,2016,17,20170101,201701010min,chi,"Chicago Bears",10,min,"Minnesota Vikings",38
team,201701010min,chi,First Downs,19,,,,,,
team,201701010min,min,First Downs,21,,,,,,
team,201701010min,chi,Rush-Yds-TDs,37-183-0,,,,,,
team,201701010min,min,Rush-Yds-TDs,28-124-1,,,,,,
team,201701010min,chi,Cmp-Att-Yd-TD-INT,13-20-149-1-2,,,,,,
team,201701010min,min,Cmp-Att-Yd-TD-INT,25-34-250-3-1,,,,,,
team,201701010min,chi,Sacked-Yards,2-9,,,,,,
team,201701010min,min,Sacked-Yards,0-0,,,,,,
team,201701010min,chi,Net Pass Yards,140,,,,,,
team,201701010min,min,Net Pass Yards,250,,,,,,
team,201701010min,chi,Total Yards,323,,,,,,
team,201701010min,min,Total Yards,374,,,,,,
team,201701010min,chi,Fumbles-Lost,4-3,,,,,,
team,201701010min,min,Fumbles-Lost,0-0,,,,,,
team,201701010min,chi,Turnovers,5,,,,,,
team,201701010min,min,Turnovers,1,,,,,,
team,201701010min,chi,Penalties-Yards,6-49,,,,,,
team,201701010min,min,Penalties-Yards,2-15,,,,,,
team,201701010min,chi,Third Down Conv.,2-9,,,,,,
team,201701010min,min,Third Down Conv.,6-12,,,,,,
team,201701010min,chi,Fourth Down Conv.,1-2,,,,,,
team,201701010min,min,Fourth Down Conv.,0-1,,,,,,
team,201701010min,chi,Time of Possession,29:48,,,,,,
team,201701010min,min,Time of Possession,30:12,,,,,,
player,201701010min,chi,BarkMa00,pass_cmp,10,,,,,
player,201701010min,chi,BarkMa00,pass_att,14,,,,,
player,201701010min,chi,BarkMa00,pass_yds,125,,,,,
player,201701010min,chi,BarkMa00,pass_td,0,,,,,
player,201701010min,chi,BarkMa00,pass_int,2,,,,,
player,201701010min,chi,BarkMa00,pass_sacked,1,,,,,
player,201701010min,chi,BarkMa00,pass_sacked_yds,4,,,,,
player,201701010min,chi,BarkMa00,pass_long,31,,,,,
player,201701010min,chi,BarkMa00,pass_rating,59.2,,,,,
player,201701010min,chi,BarkMa00,rush_att,0,,,,,
player,201701010min,chi,BarkMa00,rush_yds,0,,,,,
player,201701010min,chi,BarkMa00,rush_td,0,,,,,
player,201701010min,chi,BarkMa00,rush_long,0,,,,,
player,201701010min,chi,BarkMa00,targets,1,,,,,
player,201701010min,chi,BarkMa00,rec,1,,,,,
player,201701010min,chi,BarkMa00,rec_yds,2,,,,,
player,201701010min,chi,BarkMa00,rec_td,1,,,,,
player,201701010min,chi,BarkMa00,rec_long,2,,,,,
player,201701010min,chi,BarkMa00,fumbles,1,,,,,
player,201701010min,chi,BarkMa00,fumbles_lost,1,,,,,
player,201701010min,chi,FaleDa00,pass_cmp,2,,,,,
