game,2017,1,20170911,201709110den,sdg,"Los Angeles Chargers",21,den,"Denver Broncos",24
team,201709110den,sdg,First Downs,17,,,,,,
team,201709110den,den,First Downs,22,,,,,,
team,201709110den,sdg,Rush-Yds-TDs,22-64-0,,,,,,
team,201709110den,den,Rush-Yds-TDs,36-140-1,,,,,,
team,201709110den,sdg,Cmp-Att-Yd-TD-INT,22-33-192-3-1,,,,,,
team,201709110den,den,Cmp-Att-Yd-TD-INT,17-28-219-2-1,,,,,,
team,201709110den,sdg,Sacked-Yards,1-7,,,,,,
team,201709110den,den,Sacked-Yards,4-38,,,,,,
team,201709110den,sdg,Net Pass Yards,185,,,,,,
team,201709110den,den,Net Pass Yards,181,,,,,,
team,201709110den,sdg,Total Yards,249,,,,,,
team,201709110den,den,Total Yards,321,,,,,,
team,201709110den,sdg,Fumbles-Lost,0-0,,,,,,
team,201709110den,den,Fumbles-Lost,1-1,,,,,,
team,201709110den,sdg,Turnovers,1,,,,,,
team,201709110den,den,Turnovers,2,,,,,,
team,201709110den,sdg,Penalties-Yards,4-40,,,,,,
team,201709110den,den,Penalties-Yards,3-62,,,,,,
team,201709110den,sdg,Third Down Conv.,3-12,,,,,,
team,201709110den,den,Third Down Conv.,8-15,,,,,,
team,201709110den,sdg,Fourth Down Conv.,1-2,,,,,,
team,201709110den,den,Fourth Down Conv.,0-0,,,,,,
team,201709110den,sdg,Time of Possession,25:47,,,,,,
team,201709110den,den,Time of Possession,34:13,,,,,,
player,201709110den,sdg,RivePh00,pass_cmp,22,,,,,
player,201709110den,sdg,RivePh00,pass_att,33,,,,,
player,201709110den,sdg,RivePh00,pass_yds,192,,,,,
player,201709110den,sdg,RivePh00,pass_td,3,,,,,
player,201709110den,sdg,RivePh00,pass_int,1,,,,,
player,201709110den,sdg,RivePh00,pass_sacked,1,,,,,
player,201709110den,sdg,RivePh00,pass_sacked_yds,7,,,,,
player,201709110den,sdg,RivePh00,pass_long,38,,,,,
player,201709110den,sdg,RivePh00,pass_rating,99.6,,,,,
player,201709110den,sdg,RivePh00,rush_att,0,,,,,
player,201709110den,sdg,RivePh00,rush_yds,0,,,,,
player,201709110den,sdg,RivePh00,rush_td,0,,,,,
player,201709110den,sdg,RivePh00,rush_long,0,,,,,
player,201709110den,sdg,RivePh00,targets,0,,,,,
player,201709110den,sdg,RivePh00,rec,0,,,,,
player,201709110den,sdg,RivePh00,rec_yds,0,,,,,
player,201709110den,sdg,RivePh00,rec_td,0,,,,,
player,201709110den,sdg,RivePh00,rec_long,0,,,,,
player,201709110den,sdg,RivePh00,fumbles,0,,,,,
player,201709110den,sdg,RivePh00,fumbles_lost,0,,,,,
player,201709110den,sdg,GordMe00,pass_cmp,0,,,,,
player,201709110den,sdg,GordMe00,pass_att,0,,,,,
player,201709110den,sdg,GordMe00,pass_yds,0,,,,,
player,201709110den,sdg,GordMe00,pass_td,0,,,,,
player,201709110den,sdg,GordMe00,pass_int,0,,,,,
player,201709110den,sdg,GordMe00,pass_sacked,0,,,,,
player,201709110den,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201709110den,sdg,GordMe00,pass_long,0,,,,,
player,201709110den,sdg,GordMe00,pass_rating,,,,,,
player,201709110den,sdg,GordMe00,rush_att,18,,,,,
player,201709110den,sdg,GordMe00,rush_yds,54,,,,,
player,201709110den,sdg,GordMe00,rush_td,0,,,,,
player,201709110den,sdg,GordMe00,rush_long,21,,,,,
player,201709110den,sdg,GordMe00,targets,6,,,,,
player,201709110den,sdg,GordMe00,rec,5,,,,,
