game,2017,3,20170924,201709240clt,cle,"Cleveland Browns",28,clt,"Indianapolis Colts",31
team,201709240clt,cle,First Downs,25,,,,,,
team,201709240clt,clt,First Downs,16,,,,,,
team,201709240clt,cle,Rush-Yds-TDs,21-111-2,,,,,,
team,201709240clt,clt,Rush-Yds-TDs,36-92-3,,,,,,
team,201709240clt,cle,Cmp-Att-Yd-TD-INT,22-47-242-2-3,,,,,,
team,201709240clt,clt,Cmp-Att-Yd-TD-INT,17-24-259-1-0,,,,,,
team,201709240clt,cle,Sacked-Yards,1-7,,,,,,
team,201709240clt,clt,Sacked-Yards,3-16,,,,,,
team,201709240clt,cle,Net Pass Yards,235,,,,,,
team,201709240clt,clt,Net Pass Yards,243,,,,,,
team,201709240clt,cle,Total Yards,346,,,,,,
team,201709240clt,clt,Total Yards,335,,,,,,
team,201709240clt,cle,Fumbles-Lost,1-0,,,,,,
team,201709240clt,clt,Fumbles-Lost,1-1,,,,,,
team,201709240clt,cle,Turnovers,3,,,,,,
team,201709240clt,clt,Turnovers,1,,,,,,
team,201709240clt,cle,Penalties-Yards,10-113,,,,,,
team,201709240clt,clt,Penalties-Yards,11-99,,,,,,
team,201709240clt,cle,Third Down Conv.,5-13,,,,,,
team,201709240clt,clt,Third Down Conv.,8-17,,,,,,
team,201709240clt,cle,Fourth Down Conv.,0-0,,,,,,
team,201709240clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201709240clt,cle,Time of Possession,26:33,,,,,,
team,201709240clt,clt,Time of Possession,33:27,,,,,,
player,201709240clt,cle,KizeDe00,pass_cmp,22,,,,,
player,201709240clt,cle,KizeDe00,pass_att,47,,,,,
player,201709240clt,cle,KizeDe00,pass_yds,242,,,,,
player,201709240clt,cle,KizeDe00,pass_td,2,,,,,
player,201709240clt,cle,KizeDe00,pass_int,3,,,,,
player,201709240clt,cle,KizeDe00,pass_sacked,1,,,,,
player,201709240clt,cle,KizeDe00,pass_sacked_yds,7,,,,,
player,201709240clt,cle,KizeDe00,pass_long,38,,,,,
player,201709240clt,cle,KizeDe00,pass_rating,50.1,,,,,
player,201709240clt,cle,KizeDe00,rush_att,7,,,,,
player,201709240clt,cle,KizeDe00,rush_yds,44,,,,,
player,201709240clt,cle,KizeDe00,rush_td,1,,,,,
player,201709240clt,cle,KizeDe00,rush_long,13,,,,,
player,201709240clt,cle,KizeDe00,targets,0,,,,,
player,201709240clt,cle,KizeDe00,rec,0,,,,,
player,201709240clt,cle,KizeDe00,rec_yds,0,,,,,
player,201709240clt,cle,KizeDe00,rec_td,0,,,,,
player,201709240clt,cle,KizeDe00,rec_long,0,,,,,
