game,2017,3,20170924,201709240min,tam,"Tampa Bay Buccaneers",17,min,"Minnesota Vikings",34
team,201709240min,tam,First Downs,20,,,,,,
team,201709240min,min,First Downs,25,,,,,,
team,201709240min,tam,Rush-Yds-TDs,9-26-0,,,,,,
team,201709240min,min,Rush-Yds-TDs,37-125-1,,,,,,
team,201709240min,tam,Cmp-Att-Yd-TD-INT,28-40-328-2-3,,,,,,
team,201709240min,min,Cmp-Att-Yd-TD-INT,25-33-369-3-0,,,,,,
team,201709240min,tam,Sacked-Yards,2-12,,,,,,
team,201709240min,min,Sacked-Yards,0-0,,,,,,
team,201709240min,tam,Net Pass Yards,316,,,,,,
team,201709240min,min,Net Pass Yards,369,,,,,,
team,201709240min,tam,Total Yards,342,,,,,,
team,201709240min,min,Total Yards,494,,,,,,
team,201709240min,tam,Fumbles-Lost,2-0,,,,,,
team,201709240min,min,Fumbles-Lost,0-0,,,,,,
team,201709240min,tam,Turnovers,3,,,,,,
team,201709240min,min,Turnovers,0,,,,,,
team,201709240min,tam,Penalties-Yards,7-37,,,,,,
team,201709240min,min,Penalties-Yards,5-53,,,,,,
team,201709240min,tam,Third Down Conv.,1-6,,,,,,
team,201709240min,min,Third Down Conv.,7-13,,,,,,
team,201709240min,tam,Fourth Down Conv.,0-0,,,,,,
team,201709240min,min,Fourth Down Conv.,0-0,,,,,,
team,201709240min,tam,Time of Possession,22:14,,,,,,
team,201709240min,min,Time of Possession,37:46,,,,,,
player,201709240min,tam,WinsJa00,pass_cmp,28,,,,,
player,201709240min,tam,WinsJa00,pass_att,40,,,,,
player,201709240min,tam,WinsJa00,pass_yds,328,,,,,
player,201709240min,tam,WinsJa00,pass_td,2,,,,,
player,201709240min,tam,WinsJa00,pass_int,3,,,,,
player,201709240min,tam,WinsJa00,pass_sacked,2,,,,,
player,201709240min,tam,WinsJa00,pass_sacked_yds,12,,,,,
player,201709240min,tam,WinsJa00,pass_long,32,,,,,
player,201709240min,tam,WinsJa00,pass_rating,80.0,,,,,
player,201709240min,tam,WinsJa00,rush_att,1,,,,,
player,201709240min,tam,WinsJa00,rush_yds,4,,,,,
player,201709240min,tam,WinsJa00,rush_td,0,,,,,
player,201709240min,tam,WinsJa00,rush_long,4,,,,,
player,201709240min,tam,WinsJa00,targets,0,,,,,
player,201709240min,tam,WinsJa00,rec,0,,,,,
player,201709240min,tam,WinsJa00,rec_yds,0,,,,,
player,201709240min,tam,WinsJa00,rec_td,0,,,,,
player,201709240min,tam,WinsJa00,rec_long,0,,,,,
player,201709240min,tam,WinsJa00,fumbles,2,,,,,
player,201709240min,tam,WinsJa00,fumbles_lost,0,,,,,
player,201709240min,tam,RodgJa00,pass_cmp,0,,,,,
player,201709240min,tam,RodgJa00,pass_att,0,,,,,
player,201709240min,tam,RodgJa00,pass_yds,0,,,,,
player,201709240min,tam,RodgJa00,pass_td,0,,,,,
player,201709240min,tam,RodgJa00,pass_int,0,,,,,
player,201709240min,tam,RodgJa00,pass_sacked,0,,,,,
player,201709240min,tam,RodgJa00,pass_sacked_yds,0,,,,,
player,201709240min,tam,RodgJa00,pass_long,0,,,,,
player,201709240min,tam,RodgJa00,pass_rating,,,,,,
player,201709240min,tam,RodgJa00,rush_att,5,,,,,
player,201709240min,tam,RodgJa00,rush_yds,15,,,,,
player,201709240min,tam,RodgJa00,rush_td,0,,,,,
player,201709240min,tam,RodgJa00,rush_long,4,,,,,
player,201709240min,tam,RodgJa00,targets,0,,,,,
player,201709240min,tam,RodgJa00,rec,0,,,,,
player,201709240min,tam,RodgJa00,rec_yds,0,,,,,
player,201709240min,tam,RodgJa00,rec_td,0,,,,,
player,201709240min,tam,RodgJa00,rec_long,0,,,,,
player,201709240min,tam,RodgJa00,fumbles,0,,,,,
player,201709240min,tam,RodgJa00,fumbles_lost,0,,,,,
player,201709240min,tam,SimsCh00,pass_cmp,0,,,,,
player,201709240min,tam,SimsCh00,pass_att,0,,,,,
player,201709240min,tam,SimsCh00,pass_yds,0,,,,,
player,201709240min,tam,SimsCh00,pass_td,0,,,,,
player,201709240min,tam,SimsCh00,pass_int,0,,,,,
player,201709240min,tam,SimsCh00,pass_sacked,0,,,,,
player,201709240min,tam,SimsCh00,pass_sacked_yds,0,,,,,
player,201709240min,tam,SimsCh00,pass_long,0,,,,,
player,201709240min,tam,SimsCh00,pass_rating,,,,,,
player,201709240min,tam,SimsCh00,rush_att,2,,,,,
player,201709240min,tam,SimsCh00,rush_yds,4,,,,,
player,201709240min,tam,SimsCh00,rush_td,0,,,,,
player,201709240min,tam,SimsCh00,rush_long,2,,,,,
player,201709240min,tam,SimsCh00,targets,1,,,,,
player,201709240min,tam,SimsCh00,rec,1,,,,,
