game,2017,5,20171005,201710050tam,nwe,"New England Patriots",19,tam,"Tampa Bay Buccaneers",14
team,201710050tam,nwe,First Downs,23,,,,,,
team,201710050tam,tam,First Downs,26,,,,,,
team,201710050tam,nwe,Rush-Yds-TDs,23-113-0,,,,,,
team,201710050tam,tam,Rush-Yds-TDs,20-90-1,,,,,,
team,201710050tam,nwe,Cmp-Att-Yd-TD-INT,30-40-303-1-1,,,,,,
team,201710050tam,tam,Cmp-Att-Yd-TD-INT,26-46-334-1-0,,,,,,
team,201710050tam,nwe,Sacked-Yards,3-14,,,,,,
team,201710050tam,tam,Sacked-Yards,2-15,,,,,,
team,201710050tam,nwe,Net Pass Yards,289,,,,,,
team,201710050tam,tam,Net Pass Yards,319,,,,,,
team,201710050tam,nwe,Total Yards,402,,,,,,
team,201710050tam,tam,Total Yards,409,,,,,,
team,201710050tam,nwe,Fumbles-Lost,1-1,,,,,,
team,201710050tam,tam,Fumbles-Lost,2-0,,,,,,
team,201710050tam,nwe,Turnovers,2,,,,,,
team,201710050tam,tam,Turnovers,0,,,,,,
team,201710050tam,nwe,Penalties-Yards,12-108,,,,,,
team,201710050tam,tam,Penalties-Yards,9-70,,,,,,
team,201710050tam,nwe,Third Down Conv.,4-12,,,,,,
team,201710050tam,tam,Third Down Conv.,4-13,,,,,,
team,201710050tam,nwe,Fourth Down Conv.,0-0,,,,,,
team,201710050tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201710050tam,nwe,Time of Possession,30:50,,,,,,
team,201710050tam,tam,Time of Possession,29:10,,,,,,
player,201710050tam,nwe,BradTo00,pass_cmp,30,,,,,
player,201710050tam,nwe,BradTo00,pass_att,40,,,,,
player,201710050tam,nwe,BradTo00,pass_yds,303,,,,,
player,201710050tam,nwe,BradTo00,pass_td,1,,,,,
player,201710050tam,nwe,BradTo00,pass_int,1,,,,,
player,201710050tam,nwe,BradTo00,pass_sacked,3,,,,,
player,201710050tam,nwe,BradTo00,pass_sacked_yds,14,,,,,
player,201710050tam,nwe,BradTo00,pass_long,34,,,,,
player,201710050tam,nwe,BradTo00,pass_rating,94.1,,,,,
