game,2017,5,20171009,201710090chi,min,"Minnesota Vikings",20,chi,"Chicago Bears",17
team,201710090chi,min,First Downs,17,,,,,,
team,201710090chi,chi,First Downs,16,,,,,,
team,201710090chi,min,Rush-Yds-TDs,31-159-1,,,,,,
team,201710090chi,chi,Rush-Yds-TDs,29-115-0,,,,,,
team,201710090chi,min,Cmp-Att-Yd-TD-INT,22-32-176-1-0,,,,,,
team,201710090chi,chi,Cmp-Att-Yd-TD-INT,13-26-166-2-1,,,,,,
team,201710090chi,min,Sacked-Yards,4-35,,,,,,
team,201710090chi,chi,Sacked-Yards,1-7,,,,,,
team,201710090chi,min,Net Pass Yards,141,,,,,,
team,201710090chi,chi,Net Pass Yards,159,,,,,,
team,201710090chi,min,Total Yards,300,,,,,,
team,201710090chi,chi,Total Yards,274,,,,,,
team,201710090chi,min,Fumbles-Lost,1-0,,,,,,
team,201710090chi,chi,Fumbles-Lost,1-1,,,,,,
team,201710090chi,min,Turnovers,0,,,,,,
team,201710090chi,chi,Turnovers,2,,,,,,
team,201710090chi,min,Penalties-Yards,9-69,,,,,,
team,201710090chi,chi,Penalties-Yards,8-55,,,,,,
team,201710090chi,min,Third Down Conv.,6-15,,,,,,
team,201710090chi,chi,Third Down Conv.,3-12,,,,,,
team,201710090chi,min,Fourth Down Conv.,0-0,,,,,,
team,201710090chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201710090chi,min,Time of Possession,31:24,,,,,,
team,201710090chi,chi,Time of Possession,28:36,,,,,,
player,201710090chi,min,KeenCa00,pass_cmp,17,,,,,
player,201710090chi,min,KeenCa00,pass_att,21,,,,,
player,201710090chi,min,KeenCa00,pass_yds,140,,,,,
player,201710090chi,min,KeenCa00,pass_td,1,,,,,
player,201710090chi,min,KeenCa00,pass_int,0,,,,,
player,201710090chi,min,KeenCa00,pass_sacked,0,,,,,
player,201710090chi,min,KeenCa00,pass_sacked_yds,0,,,,,
player,201710090chi,min,KeenCa00,pass_long,19,,,,,
player,201710090chi,min,KeenCa00,pass_rating,110.3,,,,,
player,201710090chi,min,KeenCa00,rush_att,1,,,,,
player,201710090chi,min,KeenCa00,rush_yds,22,,,,,
player,201710090chi,min,KeenCa00,rush_td,0,,,,,
player,201710090chi,min,KeenCa00,rush_long,22,,,,,
player,201710090chi,min,KeenCa00,targets,0,,,,,
player,201710090chi,min,KeenCa00,rec,0,,,,,
player,201710090chi,min,KeenCa00,rec_yds,0,,,,,
player,201710090chi,min,KeenCa00,rec_td,0,,,,,
player,201710090chi,min,KeenCa00,rec_long,0,,,,,
player,201710090chi,min,KeenCa00,fumbles,0,,,,,
player,201710090chi,min,KeenCa00,fumbles_lost,0,,,,,
player,201710090chi,min,BradSa00,pass_cmp,5,,,,,
player,201710090chi,min,BradSa00,pass_att,11,,,,,
player,201710090chi,min,BradSa00,pass_yds,36,,,,,
player,201710090chi,min,BradSa00,pass_td,0,,,,,
player,201710090chi,min,BradSa00,pass_int,0,,,,,
player,201710090chi,min,BradSa00,pass_sacked,4,,,,,
player,201710090chi,min,BradSa00,pass_sacked_yds,35,,,,,
player,201710090chi,min,BradSa00,pass_long,14,,,,,
player,201710090chi,min,BradSa00,pass_rating,53.6,,,,,
player,201710090chi,min,BradSa00,rush_att,0,,,,,
player,201710090chi,min,BradSa00,rush_yds,0,,,,,
player,201710090chi,min,BradSa00,rush_td,0,,,,,
player,201710090chi,min,BradSa00,rush_long,0,,,,,
player,201710090chi,min,BradSa00,targets,0,,,,,
player,201710090chi,min,BradSa00,rec,0,,,,,
player,201710090chi,min,BradSa00,rec_yds,0,,,,,
player,201710090chi,min,BradSa00,rec_td,0,,,,,
player,201710090chi,min,BradSa00,rec_long,0,,,,,
