game,2017,7,20171022,201710220ram,crd,"Arizona Cardinals",0,ram,"Los Angeles Rams",33
team,201710220ram,crd,First Downs,10,,,,,,
team,201710220ram,ram,First Downs,28,,,,,,
team,201710220ram,crd,Rush-Yds-TDs,12-25-0,,,,,,
team,201710220ram,ram,Rush-Yds-TDs,40-197-2,,,,,,
team,201710220ram,crd,Cmp-Att-Yd-TD-INT,15-32-188-0-2,,,,,,
team,201710220ram,ram,Cmp-Att-Yd-TD-INT,22-37-235-1-1,,,,,,
team,201710220ram,crd,Sacked-Yards,3-17,,,,,,
team,201710220ram,ram,Sacked-Yards,1-7,,,,,,
team,201710220ram,crd,Net Pass Yards,171,,,,,,
team,201710220ram,ram,Net Pass Yards,228,,,,,,
team,201710220ram,crd,Total Yards,196,,,,,,
team,201710220ram,ram,Total Yards,425,,,,,,
team,201710220ram,crd,Fumbles-Lost,1-0,,,,,,
team,201710220ram,ram,Fumbles-Lost,0-0,,,,,,
team,201710220ram,crd,Turnovers,2,,,,,,
team,201710220ram,ram,Turnovers,1,,,,,,
team,201710220ram,crd,Penalties-Yards,10-65,,,,,,
team,201710220ram,ram,Penalties-Yards,6-45,,,,,,
team,201710220ram,crd,Third Down Conv.,3-12,,,,,,
team,201710220ram,ram,Third Down Conv.,13-19,,,,,,
team,201710220ram,crd,Fourth Down Conv.,1-2,,,,,,
team,201710220ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201710220ram,crd,Time of Possession,20:59,,,,,,
team,201710220ram,ram,Time of Possession,39:01,,,,,,
player,201710220ram,crd,PalmCa00,pass_cmp,10,,,,,
player,201710220ram,crd,PalmCa00,pass_att,18,,,,,
player,201710220ram,crd,PalmCa00,pass_yds,122,,,,,
player,201710220ram,crd,PalmCa00,pass_td,0,,,,,
player,201710220ram,crd,PalmCa00,pass_int,1,,,,,
player,201710220ram,crd,PalmCa00,pass_sacked,1,,,,,
player,201710220ram,crd,PalmCa00,pass_sacked_yds,11,,,,,
player,201710220ram,crd,PalmCa00,pass_long,21,,,,,
player,201710220ram,crd,PalmCa00,pass_rating,53.5,,,,,
player,201710220ram,crd,PalmCa00,rush_att,0,,,,,
player,201710220ram,crd,PalmCa00,rush_yds,0,,,,,
player,201710220ram,crd,PalmCa00,rush_td,0,,,,,
player,201710220ram,crd,PalmCa00,rush_long,0,,,,,
player,201710220ram,crd,PalmCa00,targets,0,,,,,
player,201710220ram,crd,PalmCa00,rec,0,,,,,
player,201710220ram,crd,PalmCa00,rec_yds,0,,,,,
player,201710220ram,crd,PalmCa00,rec_td,0,,,,,
player,201710220ram,crd,PalmCa00,rec_long,0,,,,,
player,201710220ram,crd,PalmCa00,fumbles,0,,,,,
player,201710220ram,crd,PalmCa00,fumbles_lost,0,,,,,
player,201710220ram,crd,StanDr00,pass_cmp,5,,,,,
player,201710220ram,crd,StanDr00,pass_att,14,,,,,
player,201710220ram,crd,StanDr00,pass_yds,66,,,,,
player,201710220ram,crd,StanDr00,pass_td,0,,,,,
player,201710220ram,crd,StanDr00,pass_int,1,,,,,
player,201710220ram,crd,StanDr00,pass_sacked,2,,,,,
player,201710220ram,crd,StanDr00,pass_sacked_yds,6,,,,,
player,201710220ram,crd,StanDr00,pass_long,25,,,,,
player,201710220ram,crd,StanDr00,pass_rating,21.7,,,,,
player,201710220ram,crd,StanDr00,rush_att,1,,,,,
player,201710220ram,crd,StanDr00,rush_yds,4,,,,,
player,201710220ram,crd,StanDr00,rush_td,0,,,,,
player,201710220ram,crd,StanDr00,rush_long,4,,,,,
player,201710220ram,crd,StanDr00,targets,0,,,,,
player,201710220ram,crd,StanDr00,rec,0,,,,,
player,201710220ram,crd,StanDr00,rec_yds,0,,,,,
player,201710220ram,crd,StanDr00,rec_td,0,,,,,
player,201710220ram,crd,StanDr00,rec_long,0,,,,,
player,201710220ram,crd,StanDr00,fumbles,1,,,,,
player,201710220ram,crd,StanDr00,fumbles_lost,0,,,,,
player,201710220ram,crd,PeteAd01,pass_cmp,0,,,,,
player,201710220ram,crd,PeteAd01,pass_att,0,,,,,
player,201710220ram,crd,PeteAd01,pass_yds,0,,,,,
player,201710220ram,crd,PeteAd01,pass_td,0,,,,,
player,201710220ram,crd,PeteAd01,pass_int,0,,,,,
player,201710220ram,crd,PeteAd01,pass_sacked,0,,,,,
player,201710220ram,crd,PeteAd01,pass_sacked_yds,0,,,,,
player,201710220ram,crd,PeteAd01,pass_long,0,,,,,
player,201710220ram,crd,PeteAd01,pass_rating,,,,,,
player,201710220ram,crd,PeteAd01,rush_att,11,,,,,
player,201710220ram,crd,PeteAd01,rush_yds,21,,,,,
player,201710220ram,crd,PeteAd01,rush_td,0,,,,,
player,201710220ram,crd,PeteAd01,rush_long,6,,,,,
player,201710220ram,crd,PeteAd01,targets,4,,,,,
player,201710220ram,crd,PeteAd01,rec,1,,,,,
player,201710220ram,crd,PeteAd01,rec_yds,12,,,,,
player,201710220ram,crd,PeteAd01,rec_td,0,,,,,
player,201710220ram,crd,PeteAd01,rec_long,12,,,,,
player,201710220ram,crd,PeteAd01,fumbles,0,,,,,
player,201710220ram,crd,PeteAd01,fumbles_lost,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_cmp,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_att,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_yds,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_td,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_int,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_sacked,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_long,0,,,,,
player,201710220ram,crd,NelsJJ00,pass_rating,,,,,,
player,201710220ram,crd,NelsJJ00,rush_att,0,,,,,
player,201710220ram,crd,NelsJJ00,rush_yds,0,,,,,
player,201710220ram,crd,NelsJJ00,rush_td,0,,,,,
player,201710220ram,crd,NelsJJ00,rush_long,0,,,,,
player,201710220ram,crd,NelsJJ00,targets,5,,,,,
player,201710220ram,crd,NelsJJ00,rec,2,,,,,
player,201710220ram,crd,NelsJJ00,rec_yds,39,,,,,
player,201710220ram,crd,NelsJJ00,rec_td,0,,,,,
player,201710220ram,crd,NelsJJ00,rec_long,23,,,,,
player,201710220ram,crd,NelsJJ00,fumbles,0,,,,,
player,201710220ram,crd,NelsJJ00,fumbles_lost,0,,,,,
player,201710220ram,crd,BrowJa03,pass_cmp,0,,,,,
player,201710220ram,crd,BrowJa03,pass_att,0,,,,,
player,201710220ram,crd,BrowJa03,pass_yds,0,,,,,
player,201710220ram,crd,BrowJa03,pass_td,0,,,,,
player,201710220ram,crd,BrowJa03,pass_int,0,,,,,
player,201710220ram,crd,BrowJa03,pass_sacked,0,,,,,
player,201710220ram,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201710220ram,crd,BrowJa03,pass_long,0,,,,,
player,201710220ram,crd,BrowJa03,pass_rating,,,,,,
player,201710220ram,crd,BrowJa03,rush_att,0,,,,,
player,201710220ram,crd,BrowJa03,rush_yds,0,,,,,
player,201710220ram,crd,BrowJa03,rush_td,0,,,,,
player,201710220ram,crd,BrowJa03,rush_long,0,,,,,
player,201710220ram,crd,BrowJa03,targets,5,,,,,
player,201710220ram,crd,BrowJa03,rec,2,,,,,
player,201710220ram,crd,BrowJa03,rec_yds,37,,,,,
player,201710220ram,crd,BrowJa03,rec_td,0,,,,,
player,201710220ram,crd,BrowJa03,rec_long,21,,,,,
player,201710220ram,crd,BrowJa03,fumbles,0,,,,,
player,201710220ram,crd,BrowJa03,fumbles_lost,0,,,,,
player,201710220ram,crd,FitzLa00,pass_cmp,0,,,,,
player,201710220ram,crd,FitzLa00,pass_att,0,,,,,
player,201710220ram,crd,FitzLa00,pass_yds,0,,,,,
player,201710220ram,crd,FitzLa00,pass_td,0,,,,,
player,201710220ram,crd,FitzLa00,pass_int,0,,,,,
player,201710220ram,crd,FitzLa00,pass_sacked,0,,,,,
player,201710220ram,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201710220ram,crd,FitzLa00,pass_long,0,,,,,
player,201710220ram,crd,FitzLa00,pass_rating,,,,,,
player,201710220ram,crd,FitzLa00,rush_att,0,,,,,
player,201710220ram,crd,FitzLa00,rush_yds,0,,,,,
player,201710220ram,crd,FitzLa00,rush_td,0,,,,,
player,201710220ram,crd,FitzLa00,rush_long,0,,,,,
player,201710220ram,crd,FitzLa00,targets,3,,,,,
player,201710220ram,crd,FitzLa00,rec,3,,,,,
player,201710220ram,crd,FitzLa00,rec_yds,29,,,,,
player,201710220ram,crd,FitzLa00,rec_td,0,,,,,
player,201710220ram,crd,FitzLa00,rec_long,17,,,,,
player,201710220ram,crd,FitzLa00,fumbles,0,,,,,
player,201710220ram,crd,FitzLa00,fumbles_lost,0,,,,,
player,201710220ram,crd,WillKe05,pass_cmp,0,,,,,
player,201710220ram,crd,WillKe05,pass_att,0,,,,,
player,201710220ram,crd,WillKe05,pass_yds,0,,,,,
player,201710220ram,crd,WillKe05,pass_td,0,,,,,
player,201710220ram,crd,WillKe05,pass_int,0,,,,,
player,201710220ram,crd,WillKe05,pass_sacked,0,,,,,
player,201710220ram,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201710220ram,crd,WillKe05,pass_long,0,,,,,
player,201710220ram,crd,WillKe05,pass_rating,,,,,,
player,201710220ram,crd,WillKe05,rush_att,0,,,,,
player,201710220ram,crd,WillKe05,rush_yds,0,,,,,
player,201710220ram,crd,WillKe05,rush_td,0,,,,,
player,201710220ram,crd,WillKe05,rush_long,0,,,,,
player,201710220ram,crd,WillKe05,targets,4,,,,,
player,201710220ram,crd,WillKe05,rec,2,,,,,
player,201710220ram,crd,WillKe05,rec_yds,27,,,,,
player,201710220ram,crd,WillKe05,rec_td,0,,,,,
player,201710220ram,crd,WillKe05,rec_long,25,,,,,
player,201710220ram,crd,WillKe05,fumbles,0,,,,,
player,201710220ram,crd,WillKe05,fumbles_lost,0,,,,,
player,201710220ram,crd,GoldBr00,pass_cmp,0,,,,,
player,201710220ram,crd,GoldBr00,pass_att,0,,,,,
player,201710220ram,crd,GoldBr00,pass_yds,0,,,,,
player,201710220ram,crd,GoldBr00,pass_td,0,,,,,
player,201710220ram,crd,GoldBr00,pass_int,0,,,,,
player,201710220ram,crd,GoldBr00,pass_sacked,0,,,,,
player,201710220ram,crd,GoldBr00,pass_sacked_yds,0,,,,,
player,201710220ram,crd,GoldBr00,pass_long,0,,,,,
player,201710220ram,crd,GoldBr00,pass_rating,,,,,,
player,201710220ram,crd,GoldBr00,rush_att,0,,,,,
player,201710220ram,crd,GoldBr00,rush_yds,0,,,,,
player,201710220ram,crd,GoldBr00,rush_td,0,,,,,
player,201710220ram,crd,GoldBr00,rush_long,0,,,,,
player,201710220ram,crd,GoldBr00,targets,3,,,,,
player,201710220ram,crd,GoldBr00,rec,3,,,,,
player,201710220ram,crd,GoldBr00,rec_yds,20,,,,,
player,201710220ram,crd,GoldBr00,rec_td,0,,,,,
player,201710220ram,crd,GoldBr00,rec_long,8,,,,,
player,201710220ram,crd,GoldBr00,fumbles,0,,,,,
player,201710220ram,crd,GoldBr00,fumbles_lost,0,,,,,
player,201710220ram,crd,GresJe00,pass_cmp,0,,,,,
player,201710220ram,crd,GresJe00,pass_att,0,,,,,
player,201710220ram,crd,GresJe00,pass_yds,0,,,,,
player,201710220ram,crd,GresJe00,pass_td,0,,,,,
player,201710220ram,crd,GresJe00,pass_int,0,,,,,
player,201710220ram,crd,GresJe00,pass_sacked,0,,,,,
player,201710220ram,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201710220ram,crd,GresJe00,pass_long,0,,,,,
player,201710220ram,crd,GresJe00,pass_rating,,,,,,
player,201710220ram,crd,GresJe00,rush_att,0,,,,,
player,201710220ram,crd,GresJe00,rush_yds,0,,,,,
player,201710220ram,crd,GresJe00,rush_td,0,,,,,
player,201710220ram,crd,GresJe00,rush_long,0,,,,,
player,201710220ram,crd,GresJe00,targets,3,,,,,
player,201710220ram,crd,GresJe00,rec,1,,,,,
player,201710220ram,crd,GresJe00,rec_yds,18,,,,,
player,201710220ram,crd,GresJe00,rec_td,0,,,,,
player,201710220ram,crd,GresJe00,rec_long,18,,,,,
player,201710220ram,crd,GresJe00,fumbles,0,,,,,
player,201710220ram,crd,GresJe00,fumbles_lost,0,,,,,
player,201710220ram,crd,BrowJo02,pass_cmp,0,,,,,
player,201710220ram,crd,BrowJo02,pass_att,0,,,,,
player,201710220ram,crd,BrowJo02,pass_yds,0,,,,,
player,201710220ram,crd,BrowJo02,pass_td,0,,,,,
player,201710220ram,crd,BrowJo02,pass_int,0,,,,,
player,201710220ram,crd,BrowJo02,pass_sacked,0,,,,,
player,201710220ram,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201710220ram,crd,BrowJo02,pass_long,0,,,,,
player,201710220ram,crd,BrowJo02,pass_rating,,,,,,
player,201710220ram,crd,BrowJo02,rush_att,0,,,,,
player,201710220ram,crd,BrowJo02,rush_yds,0,,,,,
player,201710220ram,crd,BrowJo02,rush_td,0,,,,,
player,201710220ram,crd,BrowJo02,rush_long,0,,,,,
player,201710220ram,crd,BrowJo02,targets,4,,,,,
player,201710220ram,crd,BrowJo02,rec,1,,,,,
player,201710220ram,crd,BrowJo02,rec_yds,6,,,,,
player,201710220ram,crd,BrowJo02,rec_td,0,,,,,
player,201710220ram,crd,BrowJo02,rec_long,6,,,,,
player,201710220ram,crd,BrowJo02,fumbles,0,,,,,
player,201710220ram,crd,BrowJo02,fumbles_lost,0,,,,,
player,201710220ram,crd,NiklTr00,pass_cmp,0,,,,,
player,201710220ram,crd,NiklTr00,pass_att,0,,,,,
player,201710220ram,crd,NiklTr00,pass_yds,0,,,,,
player,201710220ram,crd,NiklTr00,pass_td,0,,,,,
player,201710220ram,crd,NiklTr00,pass_int,0,,,,,
player,201710220ram,crd,NiklTr00,pass_sacked,0,,,,,
player,201710220ram,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201710220ram,crd,NiklTr00,pass_long,0,,,,,
player,201710220ram,crd,NiklTr00,pass_rating,,,,,,
player,201710220ram,crd,NiklTr00,rush_att,0,,,,,
player,201710220ram,crd,NiklTr00,rush_yds,0,,,,,
player,201710220ram,crd,NiklTr00,rush_td,0,,,,,
player,201710220ram,crd,NiklTr00,rush_long,0,,,,,
player,201710220ram,crd,NiklTr00,targets,1,,,,,
player,201710220ram,crd,NiklTr00,rec,0,,,,,
player,201710220ram,crd,NiklTr00,rec_yds,0,,,,,
player,201710220ram,crd,NiklTr00,rec_td,0,,,,,
player,201710220ram,crd,NiklTr00,rec_long,0,,,,,
player,201710220ram,crd,NiklTr00,fumbles,0,,,,,
player,201710220ram,crd,NiklTr00,fumbles_lost,0,,,,,
player,201710220ram,ram,GoffJa00,pass_cmp,22,,,,,
player,201710220ram,ram,GoffJa00,pass_att,37,,,,,
player,201710220ram,ram,GoffJa00,pass_yds,235,,,,,
player,201710220ram,ram,GoffJa00,pass_td,1,,,,,
player,201710220ram,ram,GoffJa00,pass_int,1,,,,,
player,201710220ram,ram,GoffJa00,pass_sacked,1,,,,,
player,201710220ram,ram,GoffJa00,pass_sacked_yds,7,,,,,
player,201710220ram,ram,GoffJa00,pass_long,35,,,,,
player,201710220ram,ram,GoffJa00,pass_rating,75.8,,,,,
player,201710220ram,ram,GoffJa00,rush_att,2,,,,,
player,201710220ram,ram,GoffJa00,rush_yds,13,,,,,
player,201710220ram,ram,GoffJa00,rush_td,1,,,,,
player,201710220ram,ram,GoffJa00,rush_long,9,,,,,
player,201710220ram,ram,GoffJa00,targets,0,,,,,
player,201710220ram,ram,GoffJa00,rec,0,,,,,
player,201710220ram,ram,GoffJa00,rec_yds,0,,,,,
player,201710220ram,ram,GoffJa00,rec_td,0,,,,,
player,201710220ram,ram,GoffJa00,rec_long,0,,,,,
player,201710220ram,ram,GoffJa00,fumbles,0,,,,,
player,201710220ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201710220ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201710220ram,ram,GurlTo01,pass_att,0,,,,,
player,201710220ram,ram,GurlTo01,pass_yds,0,,,,,
