game,2017,8,20171029,201710290nwe,sdg,"Los Angeles Chargers",13,nwe,"New England Patriots",21
team,201710290nwe,sdg,First Downs,16,,,,,,
team,201710290nwe,nwe,First Downs,27,,,,,,
team,201710290nwe,sdg,Rush-Yds-TDs,21-157-1,,,,,,
team,201710290nwe,nwe,Rush-Yds-TDs,32-97-0,,,,,,
team,201710290nwe,sdg,Cmp-Att-Yd-TD-INT,17-30-212-1-1,,,,,,
team,201710290nwe,nwe,Cmp-Att-Yd-TD-INT,32-47-333-1-0,,,,,,
team,201710290nwe,sdg,Sacked-Yards,1-20,,,,,,
team,201710290nwe,nwe,Sacked-Yards,3-16,,,,,,
team,201710290nwe,sdg,Net Pass Yards,192,,,,,,
team,201710290nwe,nwe,Net Pass Yards,317,,,,,,
team,201710290nwe,sdg,Total Yards,349,,,,,,
team,201710290nwe,nwe,Total Yards,414,,,,,,
team,201710290nwe,sdg,Fumbles-Lost,2-0,,,,,,
team,201710290nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201710290nwe,sdg,Turnovers,1,,,,,,
team,201710290nwe,nwe,Turnovers,0,,,,,,
team,201710290nwe,sdg,Penalties-Yards,10-77,,,,,,
team,201710290nwe,nwe,Penalties-Yards,6-80,,,,,,
team,201710290nwe,sdg,Third Down Conv.,3-10,,,,,,
team,201710290nwe,nwe,Third Down Conv.,9-19,,,,,,
team,201710290nwe,sdg,Fourth Down Conv.,1-1,,,,,,
team,201710290nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201710290nwe,sdg,Time of Possession,23:01,,,,,,
team,201710290nwe,nwe,Time of Possession,36:59,,,,,,
player,201710290nwe,sdg,RivePh00,pass_cmp,17,,,,,
player,201710290nwe,sdg,RivePh00,pass_att,30,,,,,
player,201710290nwe,sdg,RivePh00,pass_yds,212,,,,,
player,201710290nwe,sdg,RivePh00,pass_td,1,,,,,
player,201710290nwe,sdg,RivePh00,pass_int,1,,,,,
player,201710290nwe,sdg,RivePh00,pass_sacked,1,,,,,
player,201710290nwe,sdg,RivePh00,pass_sacked_yds,20,,,,,
player,201710290nwe,sdg,RivePh00,pass_long,24,,,,,
player,201710290nwe,sdg,RivePh00,pass_rating,76.0,,,,,
player,201710290nwe,sdg,RivePh00,rush_att,0,,,,,
player,201710290nwe,sdg,RivePh00,rush_yds,0,,,,,
player,201710290nwe,sdg,RivePh00,rush_td,0,,,,,
player,201710290nwe,sdg,RivePh00,rush_long,0,,,,,
player,201710290nwe,sdg,RivePh00,targets,0,,,,,
player,201710290nwe,sdg,RivePh00,rec,0,,,,,
player,201710290nwe,sdg,RivePh00,rec_yds,0,,,,,
player,201710290nwe,sdg,RivePh00,rec_td,0,,,,,
player,201710290nwe,sdg,RivePh00,rec_long,0,,,,,
player,201710290nwe,sdg,RivePh00,fumbles,1,,,,,
player,201710290nwe,sdg,RivePh00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_cmp,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_att,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_yds,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_td,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_int,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_sacked,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_long,0,,,,,
player,201710290nwe,sdg,GordMe00,pass_rating,,,,,,
player,201710290nwe,sdg,GordMe00,rush_att,14,,,,,
player,201710290nwe,sdg,GordMe00,rush_yds,132,,,,,
player,201710290nwe,sdg,GordMe00,rush_td,1,,,,,
player,201710290nwe,sdg,GordMe00,rush_long,87,,,,,
player,201710290nwe,sdg,GordMe00,targets,2,,,,,
player,201710290nwe,sdg,GordMe00,rec,1,,,,,
player,201710290nwe,sdg,GordMe00,rec_yds,7,,,,,
player,201710290nwe,sdg,GordMe00,rec_td,0,,,,,
player,201710290nwe,sdg,GordMe00,rec_long,7,,,,,
player,201710290nwe,sdg,GordMe00,fumbles,0,,,,,
player,201710290nwe,sdg,GordMe00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_cmp,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_att,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_yds,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_td,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_int,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_sacked,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_long,0,,,,,
player,201710290nwe,sdg,BenjTr00,pass_rating,,,,,,
player,201710290nwe,sdg,BenjTr00,rush_att,2,,,,,
player,201710290nwe,sdg,BenjTr00,rush_yds,14,,,,,
player,201710290nwe,sdg,BenjTr00,rush_td,0,,,,,
player,201710290nwe,sdg,BenjTr00,rush_long,7,,,,,
player,201710290nwe,sdg,BenjTr00,targets,9,,,,,
player,201710290nwe,sdg,BenjTr00,rec,5,,,,,
player,201710290nwe,sdg,BenjTr00,rec_yds,64,,,,,
player,201710290nwe,sdg,BenjTr00,rec_td,1,,,,,
player,201710290nwe,sdg,BenjTr00,rec_long,24,,,,,
player,201710290nwe,sdg,BenjTr00,fumbles,1,,,,,
player,201710290nwe,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_cmp,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_att,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_yds,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_td,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_int,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_sacked,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_long,0,,,,,
player,201710290nwe,sdg,EkelAu00,pass_rating,,,,,,
player,201710290nwe,sdg,EkelAu00,rush_att,2,,,,,
player,201710290nwe,sdg,EkelAu00,rush_yds,8,,,,,
player,201710290nwe,sdg,EkelAu00,rush_td,0,,,,,
player,201710290nwe,sdg,EkelAu00,rush_long,5,,,,,
player,201710290nwe,sdg,EkelAu00,targets,1,,,,,
player,201710290nwe,sdg,EkelAu00,rec,1,,,,,
player,201710290nwe,sdg,EkelAu00,rec_yds,13,,,,,
player,201710290nwe,sdg,EkelAu00,rec_td,0,,,,,
player,201710290nwe,sdg,EkelAu00,rec_long,13,,,,,
player,201710290nwe,sdg,EkelAu00,fumbles,0,,,,,
player,201710290nwe,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_cmp,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_att,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_yds,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_td,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_int,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_sacked,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_long,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_rating,,,,,,
player,201710290nwe,sdg,OlivBr01,rush_att,3,,,,,
player,201710290nwe,sdg,OlivBr01,rush_yds,3,,,,,
player,201710290nwe,sdg,OlivBr01,rush_td,0,,,,,
player,201710290nwe,sdg,OlivBr01,rush_long,2,,,,,
player,201710290nwe,sdg,OlivBr01,targets,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec_yds,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec_td,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec_long,0,,,,,
player,201710290nwe,sdg,OlivBr01,fumbles,0,,,,,
player,201710290nwe,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_cmp,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_att,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_yds,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_td,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_int,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_sacked,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_long,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_rating,,,,,,
player,201710290nwe,sdg,AlleKe00,rush_att,0,,,,,
player,201710290nwe,sdg,AlleKe00,rush_yds,0,,,,,
player,201710290nwe,sdg,AlleKe00,rush_td,0,,,,,
player,201710290nwe,sdg,AlleKe00,rush_long,0,,,,,
player,201710290nwe,sdg,AlleKe00,targets,5,,,,,
player,201710290nwe,sdg,AlleKe00,rec,4,,,,,
player,201710290nwe,sdg,AlleKe00,rec_yds,61,,,,,
player,201710290nwe,sdg,AlleKe00,rec_td,0,,,,,
player,201710290nwe,sdg,AlleKe00,rec_long,18,,,,,
player,201710290nwe,sdg,AlleKe00,fumbles,0,,,,,
player,201710290nwe,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_cmp,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_att,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_yds,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_td,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_int,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_sacked,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_long,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_rating,,,,,,
player,201710290nwe,sdg,GateAn00,rush_att,0,,,,,
player,201710290nwe,sdg,GateAn00,rush_yds,0,,,,,
player,201710290nwe,sdg,GateAn00,rush_td,0,,,,,
player,201710290nwe,sdg,GateAn00,rush_long,0,,,,,
player,201710290nwe,sdg,GateAn00,targets,2,,,,,
player,201710290nwe,sdg,GateAn00,rec,2,,,,,
player,201710290nwe,sdg,GateAn00,rec_yds,25,,,,,
player,201710290nwe,sdg,GateAn00,rec_td,0,,,,,
player,201710290nwe,sdg,GateAn00,rec_long,16,,,,,
player,201710290nwe,sdg,GateAn00,fumbles,0,,,,,
player,201710290nwe,sdg,GateAn00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_cmp,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_att,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_yds,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_td,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_int,0,,,,,
