game,2017,10,20171109,201711090crd,sea,"Seattle Seahawks",22,crd,"Arizona Cardinals",16
team,201711090crd,sea,First Downs,14,,,,,,
team,201711090crd,crd,First Downs,24,,,,,,
team,201711090crd,sea,Rush-Yds-TDs,23-75-0,,,,,,
team,201711090crd,crd,Rush-Yds-TDs,24-34-1,,,,,,
team,201711090crd,sea,Cmp-Att-Yd-TD-INT,22-32-238-2-0,,,,,,
team,201711090crd,crd,Cmp-Att-Yd-TD-INT,24-47-273-1-0,,,,,,
team,201711090crd,sea,Sacked-Yards,5-26,,,,,,
team,201711090crd,crd,Sacked-Yards,2-17,,,,,,
team,201711090crd,sea,Net Pass Yards,212,,,,,,
team,201711090crd,crd,Net Pass Yards,256,,,,,,
team,201711090crd,sea,Total Yards,287,,,,,,
team,201711090crd,crd,Total Yards,290,,,,,,
team,201711090crd,sea,Fumbles-Lost,1-0,,,,,,
team,201711090crd,crd,Fumbles-Lost,1-1,,,,,,
team,201711090crd,sea,Turnovers,0,,,,,,
team,201711090crd,crd,Turnovers,1,,,,,,
team,201711090crd,sea,Penalties-Yards,12-108,,,,,,
team,201711090crd,crd,Penalties-Yards,9-58,,,,,,
team,201711090crd,sea,Third Down Conv.,3-13,,,,,,
team,201711090crd,crd,Third Down Conv.,6-15,,,,,,
team,201711090crd,sea,Fourth Down Conv.,0-0,,,,,,
team,201711090crd,crd,Fourth Down Conv.,1-3,,,,,,
team,201711090crd,sea,Time of Possession,30:53,,,,,,
team,201711090crd,crd,Time of Possession,29:07,,,,,,
player,201711090crd,sea,WilsRu00,pass_cmp,22,,,,,
player,201711090crd,sea,WilsRu00,pass_att,32,,,,,
player,201711090crd,sea,WilsRu00,pass_yds,238,,,,,
player,201711090crd,sea,WilsRu00,pass_td,2,,,,,
player,201711090crd,sea,WilsRu00,pass_int,0,,,,,
player,201711090crd,sea,WilsRu00,pass_sacked,5,,,,,
player,201711090crd,sea,WilsRu00,pass_sacked_yds,26,,,,,
player,201711090crd,sea,WilsRu00,pass_long,54,,,,,
player,201711090crd,sea,WilsRu00,pass_rating,111.2,,,,,
player,201711090crd,sea,WilsRu00,rush_att,5,,,,,
player,201711090crd,sea,WilsRu00,rush_yds,19,,,,,
player,201711090crd,sea,WilsRu00,rush_td,0,,,,,
player,201711090crd,sea,WilsRu00,rush_long,10,,,,,
player,201711090crd,sea,WilsRu00,targets,0,,,,,
player,201711090crd,sea,WilsRu00,rec,0,,,,,
player,201711090crd,sea,WilsRu00,rec_yds,0,,,,,
player,201711090crd,sea,WilsRu00,rec_td,0,,,,,
player,201711090crd,sea,WilsRu00,rec_long,0,,,,,
player,201711090crd,sea,WilsRu00,fumbles,1,,,,,
player,201711090crd,sea,WilsRu00,fumbles_lost,0,,,,,
player,201711090crd,sea,RawlTh00,pass_cmp,0,,,,,
player,201711090crd,sea,RawlTh00,pass_att,0,,,,,
player,201711090crd,sea,RawlTh00,pass_yds,0,,,,,
player,201711090crd,sea,RawlTh00,pass_td,0,,,,,
player,201711090crd,sea,RawlTh00,pass_int,0,,,,,
player,201711090crd,sea,RawlTh00,pass_sacked,0,,,,,
player,201711090crd,sea,RawlTh00,pass_sacked_yds,0,,,,,
player,201711090crd,sea,RawlTh00,pass_long,0,,,,,
player,201711090crd,sea,RawlTh00,pass_rating,,,,,,
player,201711090crd,sea,RawlTh00,rush_att,10,,,,,
player,201711090crd,sea,RawlTh00,rush_yds,27,,,,,
player,201711090crd,sea,RawlTh00,rush_td,0,,,,,
player,201711090crd,sea,RawlTh00,rush_long,23,,,,,
player,201711090crd,sea,RawlTh00,targets,2,,,,,
player,201711090crd,sea,RawlTh00,rec,2,,,,,
player,201711090crd,sea,RawlTh00,rec_yds,12,,,,,
player,201711090crd,sea,RawlTh00,rec_td,0,,,,,
player,201711090crd,sea,RawlTh00,rec_long,7,,,,,
player,201711090crd,sea,RawlTh00,fumbles,0,,,,,
player,201711090crd,sea,RawlTh00,fumbles_lost,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_cmp,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_att,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_yds,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_td,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_int,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_sacked,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_sacked_yds,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_long,0,,,,,
player,201711090crd,sea,McKiJ.00,pass_rating,,,,,,
player,201711090crd,sea,McKiJ.00,rush_att,5,,,,,
player,201711090crd,sea,McKiJ.00,rush_yds,26,,,,,
player,201711090crd,sea,McKiJ.00,rush_td,0,,,,,
player,201711090crd,sea,McKiJ.00,rush_long,17,,,,,
player,201711090crd,sea,McKiJ.00,targets,5,,,,,
player,201711090crd,sea,McKiJ.00,rec,4,,,,,
player,201711090crd,sea,McKiJ.00,rec_yds,20,,,,,
player,201711090crd,sea,McKiJ.00,rec_td,0,,,,,
player,201711090crd,sea,McKiJ.00,rec_long,9,,,,,
player,201711090crd,sea,McKiJ.00,fumbles,0,,,,,
player,201711090crd,sea,McKiJ.00,fumbles_lost,0,,,,,
player,201711090crd,sea,ProsC.00,pass_cmp,0,,,,,
player,201711090crd,sea,ProsC.00,pass_att,0,,,,,
player,201711090crd,sea,ProsC.00,pass_yds,0,,,,,
player,201711090crd,sea,ProsC.00,pass_td,0,,,,,
player,201711090crd,sea,ProsC.00,pass_int,0,,,,,
