game,2017,10,20171112,201711120chi,gnb,"Green Bay Packers",23,chi,"Chicago Bears",16
team,201711120chi,gnb,First Downs,18,,,,,,
team,201711120chi,chi,First Downs,14,,,,,,
team,201711120chi,gnb,Rush-Yds-TDs,37-160-1,,,,,,
team,201711120chi,chi,Rush-Yds-TDs,17-55-0,,,,,,
team,201711120chi,gnb,Cmp-Att-Yd-TD-INT,18-25-212-1-0,,,,,,
team,201711120chi,chi,Cmp-Att-Yd-TD-INT,21-35-297-1-0,,,,,,
team,201711120chi,gnb,Sacked-Yards,3-30,,,,,,
team,201711120chi,chi,Sacked-Yards,5-29,,,,,,
team,201711120chi,gnb,Net Pass Yards,182,,,,,,
team,201711120chi,chi,Net Pass Yards,268,,,,,,
team,201711120chi,gnb,Total Yards,342,,,,,,
team,201711120chi,chi,Total Yards,323,,,,,,
team,201711120chi,gnb,Fumbles-Lost,0-0,,,,,,
team,201711120chi,chi,Fumbles-Lost,1-1,,,,,,
team,201711120chi,gnb,Turnovers,0,,,,,,
team,201711120chi,chi,Turnovers,1,,,,,,
team,201711120chi,gnb,Penalties-Yards,5-35,,,,,,
team,201711120chi,chi,Penalties-Yards,8-78,,,,,,
team,201711120chi,gnb,Third Down Conv.,7-16,,,,,,
team,201711120chi,chi,Third Down Conv.,4-14,,,,,,
team,201711120chi,gnb,Fourth Down Conv.,1-1,,,,,,
team,201711120chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201711120chi,gnb,Time of Possession,33:53,,,,,,
team,201711120chi,chi,Time of Possession,26:07,,,,,,
player,201711120chi,gnb,HundBr00,pass_cmp,18,,,,,
player,201711120chi,gnb,HundBr00,pass_att,25,,,,,
player,201711120chi,gnb,HundBr00,pass_yds,212,,,,,
player,201711120chi,gnb,HundBr00,pass_td,1,,,,,
player,201711120chi,gnb,HundBr00,pass_int,0,,,,,
player,201711120chi,gnb,HundBr00,pass_sacked,3,,,,,
player,201711120chi,gnb,HundBr00,pass_sacked_yds,30,,,,,
player,201711120chi,gnb,HundBr00,pass_long,42,,,,,
player,201711120chi,gnb,HundBr00,pass_rating,110.7,,,,,
player,201711120chi,gnb,HundBr00,rush_att,2,,,,,
player,201711120chi,gnb,HundBr00,rush_yds,16,,,,,
player,201711120chi,gnb,HundBr00,rush_td,0,,,,,
player,201711120chi,gnb,HundBr00,rush_long,17,,,,,
player,201711120chi,gnb,HundBr00,targets,0,,,,,
player,201711120chi,gnb,HundBr00,rec,0,,,,,
