game,2017,10,20171112,201711120det,cle,"Cleveland Browns",24,det,"Detroit Lions",38
team,201711120det,cle,First Downs,26,,,,,,
team,201711120det,det,First Downs,16,,,,,,
team,201711120det,cle,Rush-Yds-TDs,33-201-2,,,,,,
team,201711120det,det,Rush-Yds-TDs,19-104-1,,,,,,
team,201711120det,cle,Cmp-Att-Yd-TD-INT,22-40-237-1-1,,,,,,
team,201711120det,det,Cmp-Att-Yd-TD-INT,17-26-249-3-1,,,,,,
team,201711120det,cle,Sacked-Yards,4-25,,,,,,
team,201711120det,det,Sacked-Yards,4-8,,,,,,
team,201711120det,cle,Net Pass Yards,212,,,,,,
team,201711120det,det,Net Pass Yards,241,,,,,,
team,201711120det,cle,Total Yards,413,,,,,,
team,201711120det,det,Total Yards,345,,,,,,
team,201711120det,cle,Fumbles-Lost,1-1,,,,,,
team,201711120det,det,Fumbles-Lost,0-0,,,,,,
team,201711120det,cle,Turnovers,2,,,,,,
team,201711120det,det,Turnovers,1,,,,,,
team,201711120det,cle,Penalties-Yards,7-60,,,,,,
team,201711120det,det,Penalties-Yards,7-81,,,,,,
team,201711120det,cle,Third Down Conv.,5-15,,,,,,
team,201711120det,det,Third Down Conv.,5-11,,,,,,
team,201711120det,cle,Fourth Down Conv.,4-4,,,,,,
team,201711120det,det,Fourth Down Conv.,0-0,,,,,,
team,201711120det,cle,Time of Possession,34:34,,,,,,
team,201711120det,det,Time of Possession,25:26,,,,,,
player,201711120det,cle,KizeDe00,pass_cmp,21,,,,,
player,201711120det,cle,KizeDe00,pass_att,37,,,,,
player,201711120det,cle,KizeDe00,pass_yds,232,,,,,
player,201711120det,cle,KizeDe00,pass_td,1,,,,,
player,201711120det,cle,KizeDe00,pass_int,1,,,,,
player,201711120det,cle,KizeDe00,pass_sacked,1,,,,,
player,201711120det,cle,KizeDe00,pass_sacked_yds,3,,,,,
player,201711120det,cle,KizeDe00,pass_long,38,,,,,
player,201711120det,cle,KizeDe00,pass_rating,73.3,,,,,
player,201711120det,cle,KizeDe00,rush_att,7,,,,,
player,201711120det,cle,KizeDe00,rush_yds,57,,,,,
player,201711120det,cle,KizeDe00,rush_td,1,,,,,
player,201711120det,cle,KizeDe00,rush_long,20,,,,,
player,201711120det,cle,KizeDe00,targets,0,,,,,
player,201711120det,cle,KizeDe00,rec,0,,,,,
player,201711120det,cle,KizeDe00,rec_yds,0,,,,,
player,201711120det,cle,KizeDe00,rec_td,0,,,,,
player,201711120det,cle,KizeDe00,rec_long,0,,,,,
player,201711120det,cle,KizeDe00,fumbles,0,,,,,
player,201711120det,cle,KizeDe00,fumbles_lost,0,,,,,
player,201711120det,cle,KessCo00,pass_cmp,1,,,,,
player,201711120det,cle,KessCo00,pass_att,3,,,,,
player,201711120det,cle,KessCo00,pass_yds,5,,,,,
player,201711120det,cle,KessCo00,pass_td,0,,,,,
player,201711120det,cle,KessCo00,pass_int,0,,,,,
