game,2017,11,20171119,201711190nor,was,"Washington Redskins",31,nor,"New Orleans Saints",34
team,201711190nor,was,First Downs,24,,,,,,
team,201711190nor,nor,First Downs,27,,,,,,
team,201711190nor,was,Rush-Yds-TDs,33-156-1,,,,,,
team,201711190nor,nor,Rush-Yds-TDs,23-160-1,,,,,,
team,201711190nor,was,Cmp-Att-Yd-TD-INT,22-32-322-3-0,,,,,,
team,201711190nor,nor,Cmp-Att-Yd-TD-INT,29-41-385-2-1,,,,,,
team,201711190nor,was,Sacked-Yards,2-22,,,,,,
team,201711190nor,nor,Sacked-Yards,2-10,,,,,,
team,201711190nor,was,Net Pass Yards,300,,,,,,
team,201711190nor,nor,Net Pass Yards,375,,,,,,
team,201711190nor,was,Total Yards,456,,,,,,
team,201711190nor,nor,Total Yards,535,,,,,,
team,201711190nor,was,Fumbles-Lost,1-0,,,,,,
team,201711190nor,nor,Fumbles-Lost,0-0,,,,,,
team,201711190nor,was,Turnovers,0,,,,,,
team,201711190nor,nor,Turnovers,1,,,,,,
team,201711190nor,was,Penalties-Yards,9-67,,,,,,
team,201711190nor,nor,Penalties-Yards,7-54,,,,,,
team,201711190nor,was,Third Down Conv.,4-12,,,,,,
team,201711190nor,nor,Third Down Conv.,4-12,,,,,,
team,201711190nor,was,Fourth Down Conv.,2-2,,,,,,
team,201711190nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201711190nor,was,Time of Possession,32:11,,,,,,
team,201711190nor,nor,Time of Possession,30:24,,,,,,
player,201711190nor,was,CousKi00,pass_cmp,22,,,,,
player,201711190nor,was,CousKi00,pass_att,32,,,,,
player,201711190nor,was,CousKi00,pass_yds,322,,,,,
player,201711190nor,was,CousKi00,pass_td,3,,,,,
player,201711190nor,was,CousKi00,pass_int,0,,,,,
player,201711190nor,was,CousKi00,pass_sacked,2,,,,,
player,201711190nor,was,CousKi00,pass_sacked_yds,22,,,,,
player,201711190nor,was,CousKi00,pass_long,40,,,,,
player,201711190nor,was,CousKi00,pass_rating,132.6,,,,,
player,201711190nor,was,CousKi00,rush_att,3,,,,,
player,201711190nor,was,CousKi00,rush_yds,11,,,,,
player,201711190nor,was,CousKi00,rush_td,0,,,,,
player,201711190nor,was,CousKi00,rush_long,6,,,,,
player,201711190nor,was,CousKi00,targets,0,,,,,
player,201711190nor,was,CousKi00,rec,0,,,,,
player,201711190nor,was,CousKi00,rec_yds,0,,,,,
player,201711190nor,was,CousKi00,rec_td,0,,,,,
player,201711190nor,was,CousKi00,rec_long,0,,,,,
player,201711190nor,was,CousKi00,fumbles,1,,,,,
player,201711190nor,was,CousKi00,fumbles_lost,0,,,,,
player,201711190nor,was,PeriSa00,pass_cmp,0,,,,,
player,201711190nor,was,PeriSa00,pass_att,0,,,,,
player,201711190nor,was,PeriSa00,pass_yds,0,,,,,
player,201711190nor,was,PeriSa00,pass_td,0,,,,,
player,201711190nor,was,PeriSa00,pass_int,0,,,,,
player,201711190nor,was,PeriSa00,pass_sacked,0,,,,,
player,201711190nor,was,PeriSa00,pass_sacked_yds,0,,,,,
player,201711190nor,was,PeriSa00,pass_long,0,,,,,
player,201711190nor,was,PeriSa00,pass_rating,,,,,,
player,201711190nor,was,PeriSa00,rush_att,23,,,,,
player,201711190nor,was,PeriSa00,rush_yds,117,,,,,
player,201711190nor,was,PeriSa00,rush_td,1,,,,,
player,201711190nor,was,PeriSa00,rush_long,30,,,,,
player,201711190nor,was,PeriSa00,targets,2,,,,,
player,201711190nor,was,PeriSa00,rec,1,,,,,
player,201711190nor,was,PeriSa00,rec_yds,9,,,,,
player,201711190nor,was,PeriSa00,rec_td,0,,,,,
