game,2017,11,20171120,201711200sea,atl,"Atlanta Falcons",34,sea,"Seattle Seahawks",31
team,201711200sea,atl,First Downs,22,,,,,,
team,201711200sea,sea,First Downs,26,,,,,,
team,201711200sea,atl,Rush-Yds-TDs,30-89-1,,,,,,
team,201711200sea,sea,Rush-Yds-TDs,23-136-1,,,,,,
team,201711200sea,atl,Cmp-Att-Yd-TD-INT,19-27-195-2-0,,,,,,
team,201711200sea,sea,Cmp-Att-Yd-TD-INT,27-43-254-2-1,,,,,,
team,201711200sea,atl,Sacked-Yards,1-5,,,,,,
team,201711200sea,sea,Sacked-Yards,3-30,,,,,,
team,201711200sea,atl,Net Pass Yards,190,,,,,,
team,201711200sea,sea,Net Pass Yards,224,,,,,,
team,201711200sea,atl,Total Yards,279,,,,,,
team,201711200sea,sea,Total Yards,360,,,,,,
team,201711200sea,atl,Fumbles-Lost,2-1,,,,,,
team,201711200sea,sea,Fumbles-Lost,1-1,,,,,,
team,201711200sea,atl,Turnovers,1,,,,,,
team,201711200sea,sea,Turnovers,2,,,,,,
team,201711200sea,atl,Penalties-Yards,7-69,,,,,,
team,201711200sea,sea,Penalties-Yards,9-106,,,,,,
team,201711200sea,atl,Third Down Conv.,9-14,,,,,,
team,201711200sea,sea,Third Down Conv.,5-12,,,,,,
team,201711200sea,atl,Fourth Down Conv.,0-0,,,,,,
team,201711200sea,sea,Fourth Down Conv.,1-2,,,,,,
team,201711200sea,atl,Time of Possession,30:21,,,,,,
team,201711200sea,sea,Time of Possession,29:39,,,,,,
player,201711200sea,atl,RyanMa00,pass_cmp,19,,,,,
player,201711200sea,atl,RyanMa00,pass_att,27,,,,,
player,201711200sea,atl,RyanMa00,pass_yds,195,,,,,
player,201711200sea,atl,RyanMa00,pass_td,2,,,,,
player,201711200sea,atl,RyanMa00,pass_int,0,,,,,
player,201711200sea,atl,RyanMa00,pass_sacked,1,,,,,
player,201711200sea,atl,RyanMa00,pass_sacked_yds,5,,,,,
