game,2017,12,20171127,201711270rav,htx,"Houston Texans",16,rav,"Baltimore Ravens",23
team,201711270rav,htx,First Downs,20,,,,,,
team,201711270rav,rav,First Downs,17,,,,,,
team,201711270rav,htx,Rush-Yds-TDs,25-66-1,,,,,,
team,201711270rav,rav,Rush-Yds-TDs,31-139-2,,,,,,
team,201711270rav,htx,Cmp-Att-Yd-TD-INT,22-37-252-0-2,,,,,,
team,201711270rav,rav,Cmp-Att-Yd-TD-INT,21-33-163-0-0,,,,,,
team,201711270rav,htx,Sacked-Yards,2-15,,,,,,
team,201711270rav,rav,Sacked-Yards,1-8,,,,,,
team,201711270rav,htx,Net Pass Yards,237,,,,,,
team,201711270rav,rav,Net Pass Yards,155,,,,,,
team,201711270rav,htx,Total Yards,303,,,,,,
team,201711270rav,rav,Total Yards,294,,,,,,
team,201711270rav,htx,Fumbles-Lost,2-1,,,,,,
team,201711270rav,rav,Fumbles-Lost,0-0,,,,,,
team,201711270rav,htx,Turnovers,3,,,,,,
team,201711270rav,rav,Turnovers,0,,,,,,
team,201711270rav,htx,Penalties-Yards,6-36,,,,,,
team,201711270rav,rav,Penalties-Yards,7-89,,,,,,
team,201711270rav,htx,Third Down Conv.,6-14,,,,,,
team,201711270rav,rav,Third Down Conv.,3-14,,,,,,
team,201711270rav,htx,Fourth Down Conv.,0-0,,,,,,
team,201711270rav,rav,Fourth Down Conv.,2-2,,,,,,
team,201711270rav,htx,Time of Possession,30:16,,,,,,
team,201711270rav,rav,Time of Possession,29:44,,,,,,
player,201711270rav,htx,SavaTo00,pass_cmp,22,,,,,
player,201711270rav,htx,SavaTo00,pass_att,37,,,,,
player,201711270rav,htx,SavaTo00,pass_yds,252,,,,,
player,201711270rav,htx,SavaTo00,pass_td,0,,,,,
player,201711270rav,htx,SavaTo00,pass_int,2,,,,,
player,201711270rav,htx,SavaTo00,pass_sacked,2,,,,,
player,201711270rav,htx,SavaTo00,pass_sacked_yds,15,,,,,
player,201711270rav,htx,SavaTo00,pass_long,39,,,,,
player,201711270rav,htx,SavaTo00,pass_rating,57.5,,,,,
player,201711270rav,htx,SavaTo00,rush_att,0,,,,,
player,201711270rav,htx,SavaTo00,rush_yds,0,,,,,
player,201711270rav,htx,SavaTo00,rush_td,0,,,,,
player,201711270rav,htx,SavaTo00,rush_long,0,,,,,
player,201711270rav,htx,SavaTo00,targets,0,,,,,
player,201711270rav,htx,SavaTo00,rec,0,,,,,
player,201711270rav,htx,SavaTo00,rec_yds,0,,,,,
player,201711270rav,htx,SavaTo00,rec_td,0,,,,,
player,201711270rav,htx,SavaTo00,rec_long,0,,,,,
player,201711270rav,htx,SavaTo00,fumbles,1,,,,,
player,201711270rav,htx,SavaTo00,fumbles_lost,1,,,,,
player,201711270rav,htx,MillLa01,pass_cmp,0,,,,,
player,201711270rav,htx,MillLa01,pass_att,0,,,,,
player,201711270rav,htx,MillLa01,pass_yds,0,,,,,
player,201711270rav,htx,MillLa01,pass_td,0,,,,,
player,201711270rav,htx,MillLa01,pass_int,0,,,,,
player,201711270rav,htx,MillLa01,pass_sacked,0,,,,,
player,201711270rav,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201711270rav,htx,MillLa01,pass_long,0,,,,,
player,201711270rav,htx,MillLa01,pass_rating,,,,,,
player,201711270rav,htx,MillLa01,rush_att,17,,,,,
player,201711270rav,htx,MillLa01,rush_yds,51,,,,,
player,201711270rav,htx,MillLa01,rush_td,1,,,,,
player,201711270rav,htx,MillLa01,rush_long,17,,,,,
player,201711270rav,htx,MillLa01,targets,3,,,,,
player,201711270rav,htx,MillLa01,rec,1,,,,,
player,201711270rav,htx,MillLa01,rec_yds,7,,,,,
player,201711270rav,htx,MillLa01,rec_td,0,,,,,
player,201711270rav,htx,MillLa01,rec_long,7,,,,,
player,201711270rav,htx,MillLa01,fumbles,0,,,,,
player,201711270rav,htx,MillLa01,fumbles_lost,0,,,,,
player,201711270rav,htx,BlueAl00,pass_cmp,0,,,,,
player,201711270rav,htx,BlueAl00,pass_att,0,,,,,
player,201711270rav,htx,BlueAl00,pass_yds,0,,,,,
player,201711270rav,htx,BlueAl00,pass_td,0,,,,,
player,201711270rav,htx,BlueAl00,pass_int,0,,,,,
player,201711270rav,htx,BlueAl00,pass_sacked,0,,,,,
player,201711270rav,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201711270rav,htx,BlueAl00,pass_long,0,,,,,
player,201711270rav,htx,BlueAl00,pass_rating,,,,,,
player,201711270rav,htx,BlueAl00,rush_att,8,,,,,
player,201711270rav,htx,BlueAl00,rush_yds,15,,,,,
player,201711270rav,htx,BlueAl00,rush_td,0,,,,,
player,201711270rav,htx,BlueAl00,rush_long,6,,,,,
player,201711270rav,htx,BlueAl00,targets,2,,,,,
player,201711270rav,htx,BlueAl00,rec,2,,,,,
player,201711270rav,htx,BlueAl00,rec_yds,11,,,,,
player,201711270rav,htx,BlueAl00,rec_td,0,,,,,
player,201711270rav,htx,BlueAl00,rec_long,14,,,,,
player,201711270rav,htx,BlueAl00,fumbles,0,,,,,
player,201711270rav,htx,BlueAl00,fumbles_lost,0,,,,,
player,201711270rav,htx,HopkDe00,pass_cmp,0,,,,,
player,201711270rav,htx,HopkDe00,pass_att,0,,,,,
player,201711270rav,htx,HopkDe00,pass_yds,0,,,,,
player,201711270rav,htx,HopkDe00,pass_td,0,,,,,
player,201711270rav,htx,HopkDe00,pass_int,0,,,,,
player,201711270rav,htx,HopkDe00,pass_sacked,0,,,,,
player,201711270rav,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201711270rav,htx,HopkDe00,pass_long,0,,,,,
player,201711270rav,htx,HopkDe00,pass_rating,,,,,,
player,201711270rav,htx,HopkDe00,rush_att,0,,,,,
player,201711270rav,htx,HopkDe00,rush_yds,0,,,,,
player,201711270rav,htx,HopkDe00,rush_td,0,,,,,
player,201711270rav,htx,HopkDe00,rush_long,0,,,,,
player,201711270rav,htx,HopkDe00,targets,10,,,,,
player,201711270rav,htx,HopkDe00,rec,7,,,,,
player,201711270rav,htx,HopkDe00,rec_yds,125,,,,,
player,201711270rav,htx,HopkDe00,rec_td,0,,,,,
player,201711270rav,htx,HopkDe00,rec_long,39,,,,,
player,201711270rav,htx,HopkDe00,fumbles,0,,,,,
player,201711270rav,htx,HopkDe00,fumbles_lost,0,,,,,
player,201711270rav,htx,MillBr03,pass_cmp,0,,,,,
player,201711270rav,htx,MillBr03,pass_att,0,,,,,
player,201711270rav,htx,MillBr03,pass_yds,0,,,,,
player,201711270rav,htx,MillBr03,pass_td,0,,,,,
player,201711270rav,htx,MillBr03,pass_int,0,,,,,
