game,2017,13,20171203,201712030atl,min,"Minnesota Vikings",14,atl,"Atlanta Falcons",9
team,201712030atl,min,First Downs,22,,,,,,
team,201712030atl,atl,First Downs,15,,,,,,
team,201712030atl,min,Rush-Yds-TDs,31-105-0,,,,,,
team,201712030atl,atl,Rush-Yds-TDs,22-102-0,,,,,,
team,201712030atl,min,Cmp-Att-Yd-TD-INT,25-30-227-2-0,,,,,,
team,201712030atl,atl,Cmp-Att-Yd-TD-INT,16-29-173-0-0,,,,,,
team,201712030atl,min,Sacked-Yards,2-20,,,,,,
team,201712030atl,atl,Sacked-Yards,0-0,,,,,,
team,201712030atl,min,Net Pass Yards,207,,,,,,
team,201712030atl,atl,Net Pass Yards,173,,,,,,
team,201712030atl,min,Total Yards,312,,,,,,
team,201712030atl,atl,Total Yards,275,,,,,,
team,201712030atl,min,Fumbles-Lost,0-0,,,,,,
team,201712030atl,atl,Fumbles-Lost,0-0,,,,,,
team,201712030atl,min,Turnovers,0,,,,,,
team,201712030atl,atl,Turnovers,0,,,,,,
team,201712030atl,min,Penalties-Yards,6-51,,,,,,
team,201712030atl,atl,Penalties-Yards,7-55,,,,,,
team,201712030atl,min,Third Down Conv.,6-12,,,,,,
team,201712030atl,atl,Third Down Conv.,1-10,,,,,,
team,201712030atl,min,Fourth Down Conv.,0-0,,,,,,
team,201712030atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201712030atl,min,Time of Possession,34:02,,,,,,
team,201712030atl,atl,Time of Possession,25:58,,,,,,
player,201712030atl,min,KeenCa00,pass_cmp,25,,,,,
player,201712030atl,min,KeenCa00,pass_att,30,,,,,
player,201712030atl,min,KeenCa00,pass_yds,227,,,,,
player,201712030atl,min,KeenCa00,pass_td,2,,,,,
player,201712030atl,min,KeenCa00,pass_int,0,,,,,
player,201712030atl,min,KeenCa00,pass_sacked,2,,,,,
player,201712030atl,min,KeenCa00,pass_sacked_yds,20,,,,,
player,201712030atl,min,KeenCa00,pass_long,22,,,,,
player,201712030atl,min,KeenCa00,pass_rating,120.4,,,,,
player,201712030atl,min,KeenCa00,rush_att,4,,,,,
player,201712030atl,min,KeenCa00,rush_yds,-1,,,,,
player,201712030atl,min,KeenCa00,rush_td,0,,,,,
player,201712030atl,min,KeenCa00,rush_long,2,,,,,
player,201712030atl,min,KeenCa00,targets,0,,,,,
player,201712030atl,min,KeenCa00,rec,0,,,,,
player,201712030atl,min,KeenCa00,rec_yds,0,,,,,
player,201712030atl,min,KeenCa00,rec_td,0,,,,,
player,201712030atl,min,KeenCa00,rec_long,0,,,,,
player,201712030atl,min,KeenCa00,fumbles,0,,,,,
player,201712030atl,min,KeenCa00,fumbles_lost,0,,,,,
player,201712030atl,min,MurrLa00,pass_cmp,0,,,,,
player,201712030atl,min,MurrLa00,pass_att,0,,,,,
player,201712030atl,min,MurrLa00,pass_yds,0,,,,,
player,201712030atl,min,MurrLa00,pass_td,0,,,,,
player,201712030atl,min,MurrLa00,pass_int,0,,,,,
player,201712030atl,min,MurrLa00,pass_sacked,0,,,,,
player,201712030atl,min,MurrLa00,pass_sacked_yds,0,,,,,
player,201712030atl,min,MurrLa00,pass_long,0,,,,,
player,201712030atl,min,MurrLa00,pass_rating,,,,,,
player,201712030atl,min,MurrLa00,rush_att,16,,,,,
player,201712030atl,min,MurrLa00,rush_yds,76,,,,,
player,201712030atl,min,MurrLa00,rush_td,0,,,,,
player,201712030atl,min,MurrLa00,rush_long,30,,,,,
player,201712030atl,min,MurrLa00,targets,3,,,,,
player,201712030atl,min,MurrLa00,rec,3,,,,,
player,201712030atl,min,MurrLa00,rec_yds,21,,,,,
player,201712030atl,min,MurrLa00,rec_td,0,,,,,
player,201712030atl,min,MurrLa00,rec_long,12,,,,,
player,201712030atl,min,MurrLa00,fumbles,0,,,,,
player,201712030atl,min,MurrLa00,fumbles_lost,0,,,,,
player,201712030atl,min,McKiJe00,pass_cmp,0,,,,,
player,201712030atl,min,McKiJe00,pass_att,0,,,,,
player,201712030atl,min,McKiJe00,pass_yds,0,,,,,
player,201712030atl,min,McKiJe00,pass_td,0,,,,,
player,201712030atl,min,McKiJe00,pass_int,0,,,,,
player,201712030atl,min,McKiJe00,pass_sacked,0,,,,,
player,201712030atl,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201712030atl,min,McKiJe00,pass_long,0,,,,,
player,201712030atl,min,McKiJe00,pass_rating,,,,,,
player,201712030atl,min,McKiJe00,rush_att,9,,,,,
player,201712030atl,min,McKiJe00,rush_yds,24,,,,,
player,201712030atl,min,McKiJe00,rush_td,0,,,,,
player,201712030atl,min,McKiJe00,rush_long,7,,,,,
player,201712030atl,min,McKiJe00,targets,5,,,,,
player,201712030atl,min,McKiJe00,rec,5,,,,,
player,201712030atl,min,McKiJe00,rec_yds,28,,,,,
player,201712030atl,min,McKiJe00,rec_td,1,,,,,
player,201712030atl,min,McKiJe00,rec_long,12,,,,,
player,201712030atl,min,McKiJe00,fumbles,0,,,,,
player,201712030atl,min,McKiJe00,fumbles_lost,0,,,,,
player,201712030atl,min,DiggSt00,pass_cmp,0,,,,,
player,201712030atl,min,DiggSt00,pass_att,0,,,,,
player,201712030atl,min,DiggSt00,pass_yds,0,,,,,
player,201712030atl,min,DiggSt00,pass_td,0,,,,,
player,201712030atl,min,DiggSt00,pass_int,0,,,,,
player,201712030atl,min,DiggSt00,pass_sacked,0,,,,,
player,201712030atl,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201712030atl,min,DiggSt00,pass_long,0,,,,,
player,201712030atl,min,DiggSt00,pass_rating,,,,,,
player,201712030atl,min,DiggSt00,rush_att,1,,,,,
player,201712030atl,min,DiggSt00,rush_yds,5,,,,,
player,201712030atl,min,DiggSt00,rush_td,0,,,,,
player,201712030atl,min,DiggSt00,rush_long,5,,,,,
player,201712030atl,min,DiggSt00,targets,5,,,,,
player,201712030atl,min,DiggSt00,rec,2,,,,,
player,201712030atl,min,DiggSt00,rec_yds,32,,,,,
player,201712030atl,min,DiggSt00,rec_td,0,,,,,
player,201712030atl,min,DiggSt00,rec_long,19,,,,,
player,201712030atl,min,DiggSt00,fumbles,0,,,,,
player,201712030atl,min,DiggSt00,fumbles_lost,0,,,,,
player,201712030atl,min,HamxC.00,pass_cmp,0,,,,,
player,201712030atl,min,HamxC.00,pass_att,0,,,,,
player,201712030atl,min,HamxC.00,pass_yds,0,,,,,
player,201712030atl,min,HamxC.00,pass_td,0,,,,,
player,201712030atl,min,HamxC.00,pass_int,0,,,,,
player,201712030atl,min,HamxC.00,pass_sacked,0,,,,,
player,201712030atl,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201712030atl,min,HamxC.00,pass_long,0,,,,,
player,201712030atl,min,HamxC.00,pass_rating,,,,,,
player,201712030atl,min,HamxC.00,rush_att,1,,,,,
player,201712030atl,min,HamxC.00,rush_yds,1,,,,,
player,201712030atl,min,HamxC.00,rush_td,0,,,,,
player,201712030atl,min,HamxC.00,rush_long,1,,,,,
player,201712030atl,min,HamxC.00,targets,1,,,,,
player,201712030atl,min,HamxC.00,rec,1,,,,,
player,201712030atl,min,HamxC.00,rec_yds,12,,,,,
player,201712030atl,min,HamxC.00,rec_td,0,,,,,
player,201712030atl,min,HamxC.00,rec_long,12,,,,,
player,201712030atl,min,HamxC.00,fumbles,0,,,,,
player,201712030atl,min,HamxC.00,fumbles_lost,0,,,,,
player,201712030atl,min,ThieAd00,pass_cmp,0,,,,,
player,201712030atl,min,ThieAd00,pass_att,0,,,,,
player,201712030atl,min,ThieAd00,pass_yds,0,,,,,
player,201712030atl,min,ThieAd00,pass_td,0,,,,,
player,201712030atl,min,ThieAd00,pass_int,0,,,,,
player,201712030atl,min,ThieAd00,pass_sacked,0,,,,,
