game,2017,13,20171203,201712030oti,htx,"Houston Texans",13,oti,"Tennessee Titans",24
team,201712030oti,htx,First Downs,24,,,,,,
team,201712030oti,oti,First Downs,19,,,,,,
team,201712030oti,htx,Rush-Yds-TDs,22-53-0,,,,,,
team,201712030oti,oti,Rush-Yds-TDs,25-198-2,,,,,,
team,201712030oti,htx,Cmp-Att-Yd-TD-INT,31-49-365-1-1,,,,,,
team,201712030oti,oti,Cmp-Att-Yd-TD-INT,15-23-150-1-0,,,,,,
team,201712030oti,htx,Sacked-Yards,4-34,,,,,,
team,201712030oti,oti,Sacked-Yards,2-4,,,,,,
team,201712030oti,htx,Net Pass Yards,331,,,,,,
team,201712030oti,oti,Net Pass Yards,146,,,,,,
team,201712030oti,htx,Total Yards,384,,,,,,
team,201712030oti,oti,Total Yards,344,,,,,,
team,201712030oti,htx,Fumbles-Lost,1-0,,,,,,
team,201712030oti,oti,Fumbles-Lost,2-1,,,,,,
team,201712030oti,htx,Turnovers,1,,,,,,
team,201712030oti,oti,Turnovers,1,,,,,,
team,201712030oti,htx,Penalties-Yards,11-85,,,,,,
team,201712030oti,oti,Penalties-Yards,7-63,,,,,,
team,201712030oti,htx,Third Down Conv.,8-16,,,,,,
team,201712030oti,oti,Third Down Conv.,5-11,,,,,,
team,201712030oti,htx,Fourth Down Conv.,1-1,,,,,,
team,201712030oti,oti,Fourth Down Conv.,1-1,,,,,,
team,201712030oti,htx,Time of Possession,33:49,,,,,,
team,201712030oti,oti,Time of Possession,26:11,,,,,,
player,201712030oti,htx,SavaTo00,pass_cmp,31,,,,,
player,201712030oti,htx,SavaTo00,pass_att,49,,,,,
player,201712030oti,htx,SavaTo00,pass_yds,365,,,,,
player,201712030oti,htx,SavaTo00,pass_td,1,,,,,
player,201712030oti,htx,SavaTo00,pass_int,1,,,,,
player,201712030oti,htx,SavaTo00,pass_sacked,4,,,,,
player,201712030oti,htx,SavaTo00,pass_sacked_yds,34,,,,,
player,201712030oti,htx,SavaTo00,pass_long,57,,,,,
player,201712030oti,htx,SavaTo00,pass_rating,84.1,,,,,
player,201712030oti,htx,SavaTo00,rush_att,1,,,,,
player,201712030oti,htx,SavaTo00,rush_yds,-1,,,,,
player,201712030oti,htx,SavaTo00,rush_td,0,,,,,
player,201712030oti,htx,SavaTo00,rush_long,-1,,,,,
player,201712030oti,htx,SavaTo00,targets,0,,,,,
player,201712030oti,htx,SavaTo00,rec,0,,,,,
player,201712030oti,htx,SavaTo00,rec_yds,0,,,,,
player,201712030oti,htx,SavaTo00,rec_td,0,,,,,
player,201712030oti,htx,SavaTo00,rec_long,0,,,,,
player,201712030oti,htx,SavaTo00,fumbles,0,,,,,
player,201712030oti,htx,SavaTo00,fumbles_lost,0,,,,,
player,201712030oti,htx,MillLa01,pass_cmp,0,,,,,
player,201712030oti,htx,MillLa01,pass_att,0,,,,,
player,201712030oti,htx,MillLa01,pass_yds,0,,,,,
player,201712030oti,htx,MillLa01,pass_td,0,,,,,
player,201712030oti,htx,MillLa01,pass_int,0,,,,,
player,201712030oti,htx,MillLa01,pass_sacked,0,,,,,
player,201712030oti,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201712030oti,htx,MillLa01,pass_long,0,,,,,
player,201712030oti,htx,MillLa01,pass_rating,,,,,,
player,201712030oti,htx,MillLa01,rush_att,15,,,,,
player,201712030oti,htx,MillLa01,rush_yds,56,,,,,
player,201712030oti,htx,MillLa01,rush_td,0,,,,,
player,201712030oti,htx,MillLa01,rush_long,12,,,,,
player,201712030oti,htx,MillLa01,targets,4,,,,,
player,201712030oti,htx,MillLa01,rec,4,,,,,
player,201712030oti,htx,MillLa01,rec_yds,38,,,,,
player,201712030oti,htx,MillLa01,rec_td,0,,,,,
player,201712030oti,htx,MillLa01,rec_long,11,,,,,
player,201712030oti,htx,MillLa01,fumbles,0,,,,,
player,201712030oti,htx,MillLa01,fumbles_lost,0,,,,,
player,201712030oti,htx,BlueAl00,pass_cmp,0,,,,,
player,201712030oti,htx,BlueAl00,pass_att,0,,,,,
player,201712030oti,htx,BlueAl00,pass_yds,0,,,,,
player,201712030oti,htx,BlueAl00,pass_td,0,,,,,
player,201712030oti,htx,BlueAl00,pass_int,0,,,,,
player,201712030oti,htx,BlueAl00,pass_sacked,0,,,,,
player,201712030oti,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201712030oti,htx,BlueAl00,pass_long,0,,,,,
player,201712030oti,htx,BlueAl00,pass_rating,,,,,,
player,201712030oti,htx,BlueAl00,rush_att,4,,,,,
player,201712030oti,htx,BlueAl00,rush_yds,2,,,,,
player,201712030oti,htx,BlueAl00,rush_td,0,,,,,
player,201712030oti,htx,BlueAl00,rush_long,3,,,,,
player,201712030oti,htx,BlueAl00,targets,1,,,,,
player,201712030oti,htx,BlueAl00,rec,1,,,,,
player,201712030oti,htx,BlueAl00,rec_yds,7,,,,,
player,201712030oti,htx,BlueAl00,rec_td,0,,,,,
player,201712030oti,htx,BlueAl00,rec_long,7,,,,,
player,201712030oti,htx,BlueAl00,fumbles,0,,,,,
player,201712030oti,htx,BlueAl00,fumbles_lost,0,,,,,
player,201712030oti,htx,HopkDe00,pass_cmp,0,,,,,
player,201712030oti,htx,HopkDe00,pass_att,0,,,,,
player,201712030oti,htx,HopkDe00,pass_yds,0,,,,,
player,201712030oti,htx,HopkDe00,pass_td,0,,,,,
player,201712030oti,htx,HopkDe00,pass_int,0,,,,,
player,201712030oti,htx,HopkDe00,pass_sacked,0,,,,,
player,201712030oti,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201712030oti,htx,HopkDe00,pass_long,0,,,,,
player,201712030oti,htx,HopkDe00,pass_rating,,,,,,
player,201712030oti,htx,HopkDe00,rush_att,0,,,,,
player,201712030oti,htx,HopkDe00,rush_yds,0,,,,,
player,201712030oti,htx,HopkDe00,rush_td,0,,,,,
player,201712030oti,htx,HopkDe00,rush_long,0,,,,,
player,201712030oti,htx,HopkDe00,targets,14,,,,,
player,201712030oti,htx,HopkDe00,rec,8,,,,,
player,201712030oti,htx,HopkDe00,rec_yds,80,,,,,
player,201712030oti,htx,HopkDe00,rec_td,0,,,,,
player,201712030oti,htx,HopkDe00,rec_long,17,,,,,
player,201712030oti,htx,HopkDe00,fumbles,0,,,,,
player,201712030oti,htx,HopkDe00,fumbles_lost,0,,,,,
player,201712030oti,htx,AndeSt01,pass_cmp,0,,,,,
player,201712030oti,htx,AndeSt01,pass_att,0,,,,,
player,201712030oti,htx,AndeSt01,pass_yds,0,,,,,
player,201712030oti,htx,AndeSt01,pass_td,0,,,,,
player,201712030oti,htx,AndeSt01,pass_int,0,,,,,
player,201712030oti,htx,AndeSt01,pass_sacked,0,,,,,
player,201712030oti,htx,AndeSt01,pass_sacked_yds,0,,,,,
player,201712030oti,htx,AndeSt01,pass_long,0,,,,,
player,201712030oti,htx,AndeSt01,pass_rating,,,,,,
player,201712030oti,htx,AndeSt01,rush_att,0,,,,,
player,201712030oti,htx,AndeSt01,rush_yds,0,,,,,
player,201712030oti,htx,AndeSt01,rush_td,0,,,,,
player,201712030oti,htx,AndeSt01,rush_long,0,,,,,
player,201712030oti,htx,AndeSt01,targets,12,,,,,
player,201712030oti,htx,AndeSt01,rec,5,,,,,
player,201712030oti,htx,AndeSt01,rec_yds,79,,,,,
player,201712030oti,htx,AndeSt01,rec_td,1,,,,,
player,201712030oti,htx,AndeSt01,rec_long,25,,,,,
player,201712030oti,htx,AndeSt01,fumbles,0,,,,,
player,201712030oti,htx,AndeSt01,fumbles_lost,0,,,,,
player,201712030oti,htx,MillBr03,pass_cmp,0,,,,,
player,201712030oti,htx,MillBr03,pass_att,0,,,,,
player,201712030oti,htx,MillBr03,pass_yds,0,,,,,
player,201712030oti,htx,MillBr03,pass_td,0,,,,,
player,201712030oti,htx,MillBr03,pass_int,0,,,,,
player,201712030oti,htx,MillBr03,pass_sacked,0,,,,,
player,201712030oti,htx,MillBr03,pass_sacked_yds,0,,,,,
player,201712030oti,htx,MillBr03,pass_long,0,,,,,
player,201712030oti,htx,MillBr03,pass_rating,,,,,,
player,201712030oti,htx,MillBr03,rush_att,0,,,,,
player,201712030oti,htx,MillBr03,rush_yds,0,,,,,
player,201712030oti,htx,MillBr03,rush_td,0,,,,,
player,201712030oti,htx,MillBr03,rush_long,0,,,,,
player,201712030oti,htx,MillBr03,targets,4,,,,,
player,201712030oti,htx,MillBr03,rec,4,,,,,
