game,2017,13,20171203,201712030rav,det,"Detroit Lions",20,rav,"Baltimore Ravens",44
team,201712030rav,det,First Downs,18,,,,,,
team,201712030rav,rav,First Downs,24,,,,,,
team,201712030rav,det,Rush-Yds-TDs,24-78-2,,,,,,
team,201712030rav,rav,Rush-Yds-TDs,27-101-2,,,,,,
team,201712030rav,det,Cmp-Att-Yd-TD-INT,27-34-316-1-2,,,,,,
team,201712030rav,rav,Cmp-Att-Yd-TD-INT,23-36-269-2-0,,,,,,
team,201712030rav,det,Sacked-Yards,3-22,,,,,,
team,201712030rav,rav,Sacked-Yards,0-0,,,,,,
team,201712030rav,det,Net Pass Yards,294,,,,,,
team,201712030rav,rav,Net Pass Yards,269,,,,,,
team,201712030rav,det,Total Yards,372,,,,,,
team,201712030rav,rav,Total Yards,370,,,,,,
team,201712030rav,det,Fumbles-Lost,2-1,,,,,,
team,201712030rav,rav,Fumbles-Lost,1-0,,,,,,
team,201712030rav,det,Turnovers,3,,,,,,
team,201712030rav,rav,Turnovers,0,,,,,,
team,201712030rav,det,Penalties-Yards,6-45,,,,,,
team,201712030rav,rav,Penalties-Yards,2-25,,,,,,
team,201712030rav,det,Third Down Conv.,4-13,,,,,,
team,201712030rav,rav,Third Down Conv.,5-12,,,,,,
team,201712030rav,det,Fourth Down Conv.,0-0,,,,,,
team,201712030rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201712030rav,det,Time of Possession,30:09,,,,,,
team,201712030rav,rav,Time of Possession,29:51,,,,,,
player,201712030rav,det,StafMa00,pass_cmp,24,,,,,
player,201712030rav,det,StafMa00,pass_att,29,,,,,
player,201712030rav,det,StafMa00,pass_yds,292,,,,,
player,201712030rav,det,StafMa00,pass_td,1,,,,,
player,201712030rav,det,StafMa00,pass_int,1,,,,,
player,201712030rav,det,StafMa00,pass_sacked,3,,,,,
player,201712030rav,det,StafMa00,pass_sacked_yds,22,,,,,
player,201712030rav,det,StafMa00,pass_long,46,,,,,
player,201712030rav,det,StafMa00,pass_rating,105.7,,,,,
player,201712030rav,det,StafMa00,rush_att,3,,,,,
player,201712030rav,det,StafMa00,rush_yds,2,,,,,
player,201712030rav,det,StafMa00,rush_td,0,,,,,
player,201712030rav,det,StafMa00,rush_long,1,,,,,
player,201712030rav,det,StafMa00,targets,0,,,,,
player,201712030rav,det,StafMa00,rec,0,,,,,
player,201712030rav,det,StafMa00,rec_yds,0,,,,,
