game,2017,16,20171223,201712230gnb,min,"Minnesota Vikings",16,gnb,"Green Bay Packers",0
team,201712230gnb,min,First Downs,15,,,,,,
team,201712230gnb,gnb,First Downs,12,,,,,,
team,201712230gnb,min,Rush-Yds-TDs,33-112-0,,,,,,
team,201712230gnb,gnb,Rush-Yds-TDs,24-113-0,,,,,,
team,201712230gnb,min,Cmp-Att-Yd-TD-INT,14-25-139-1-0,,,,,,
team,201712230gnb,gnb,Cmp-Att-Yd-TD-INT,17-40-130-0-2,,,,,,
team,201712230gnb,min,Sacked-Yards,3-15,,,,,,
team,201712230gnb,gnb,Sacked-Yards,1-4,,,,,,
team,201712230gnb,min,Net Pass Yards,124,,,,,,
team,201712230gnb,gnb,Net Pass Yards,126,,,,,,
team,201712230gnb,min,Total Yards,236,,,,,,
team,201712230gnb,gnb,Total Yards,239,,,,,,
team,201712230gnb,min,Fumbles-Lost,0-0,,,,,,
team,201712230gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201712230gnb,min,Turnovers,0,,,,,,
team,201712230gnb,gnb,Turnovers,2,,,,,,
team,201712230gnb,min,Penalties-Yards,2-10,,,,,,
team,201712230gnb,gnb,Penalties-Yards,6-79,,,,,,
team,201712230gnb,min,Third Down Conv.,4-15,,,,,,
team,201712230gnb,gnb,Third Down Conv.,4-15,,,,,,
team,201712230gnb,min,Fourth Down Conv.,0-0,,,,,,
team,201712230gnb,gnb,Fourth Down Conv.,0-4,,,,,,
team,201712230gnb,min,Time of Possession,31:37,,,,,,
team,201712230gnb,gnb,Time of Possession,28:23,,,,,,
player,201712230gnb,min,KeenCa00,pass_cmp,14,,,,,
player,201712230gnb,min,KeenCa00,pass_att,25,,,,,
player,201712230gnb,min,KeenCa00,pass_yds,139,,,,,
player,201712230gnb,min,KeenCa00,pass_td,1,,,,,
player,201712230gnb,min,KeenCa00,pass_int,0,,,,,
player,201712230gnb,min,KeenCa00,pass_sacked,3,,,,,
player,201712230gnb,min,KeenCa00,pass_sacked_yds,15,,,,,
player,201712230gnb,min,KeenCa00,pass_long,23,,,,,
player,201712230gnb,min,KeenCa00,pass_rating,85.2,,,,,
player,201712230gnb,min,KeenCa00,rush_att,4,,,,,
player,201712230gnb,min,KeenCa00,rush_yds,-2,,,,,
player,201712230gnb,min,KeenCa00,rush_td,0,,,,,
player,201712230gnb,min,KeenCa00,rush_long,2,,,,,
player,201712230gnb,min,KeenCa00,targets,0,,,,,
player,201712230gnb,min,KeenCa00,rec,0,,,,,
player,201712230gnb,min,KeenCa00,rec_yds,0,,,,,
player,201712230gnb,min,KeenCa00,rec_td,0,,,,,
player,201712230gnb,min,KeenCa00,rec_long,0,,,,,
player,201712230gnb,min,KeenCa00,fumbles,0,,,,,
player,201712230gnb,min,KeenCa00,fumbles_lost,0,,,,,
player,201712230gnb,min,MurrLa00,pass_cmp,0,,,,,
player,201712230gnb,min,MurrLa00,pass_att,0,,,,,
player,201712230gnb,min,MurrLa00,pass_yds,0,,,,,
player,201712230gnb,min,MurrLa00,pass_td,0,,,,,
player,201712230gnb,min,MurrLa00,pass_int,0,,,,,
player,201712230gnb,min,MurrLa00,pass_sacked,0,,,,,
player,201712230gnb,min,MurrLa00,pass_sacked_yds,0,,,,,
player,201712230gnb,min,MurrLa00,pass_long,0,,,,,
player,201712230gnb,min,MurrLa00,pass_rating,,,,,,
player,201712230gnb,min,MurrLa00,rush_att,21,,,,,
player,201712230gnb,min,MurrLa00,rush_yds,69,,,,,
player,201712230gnb,min,MurrLa00,rush_td,0,,,,,
player,201712230gnb,min,MurrLa00,rush_long,14,,,,,
player,201712230gnb,min,MurrLa00,targets,1,,,,,
player,201712230gnb,min,MurrLa00,rec,1,,,,,
player,201712230gnb,min,MurrLa00,rec_yds,6,,,,,
player,201712230gnb,min,MurrLa00,rec_td,0,,,,,
player,201712230gnb,min,MurrLa00,rec_long,6,,,,,
player,201712230gnb,min,MurrLa00,fumbles,0,,,,,
player,201712230gnb,min,MurrLa00,fumbles_lost,0,,,,,
player,201712230gnb,min,McKiJe00,pass_cmp,0,,,,,
player,201712230gnb,min,McKiJe00,pass_att,0,,,,,
player,201712230gnb,min,McKiJe00,pass_yds,0,,,,,
player,201712230gnb,min,McKiJe00,pass_td,0,,,,,
player,201712230gnb,min,McKiJe00,pass_int,0,,,,,
player,201712230gnb,min,McKiJe00,pass_sacked,0,,,,,
player,201712230gnb,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201712230gnb,min,McKiJe00,pass_long,0,,,,,
player,201712230gnb,min,McKiJe00,pass_rating,,,,,,
player,201712230gnb,min,McKiJe00,rush_att,7,,,,,
player,201712230gnb,min,McKiJe00,rush_yds,42,,,,,
player,201712230gnb,min,McKiJe00,rush_td,0,,,,,
player,201712230gnb,min,McKiJe00,rush_long,17,,,,,
player,201712230gnb,min,McKiJe00,targets,2,,,,,
player,201712230gnb,min,McKiJe00,rec,1,,,,,
player,201712230gnb,min,McKiJe00,rec_yds,9,,,,,
player,201712230gnb,min,McKiJe00,rec_td,0,,,,,
player,201712230gnb,min,McKiJe00,rec_long,9,,,,,
player,201712230gnb,min,McKiJe00,fumbles,0,,,,,
player,201712230gnb,min,McKiJe00,fumbles_lost,0,,,,,
player,201712230gnb,min,DiggSt00,pass_cmp,0,,,,,
player,201712230gnb,min,DiggSt00,pass_att,0,,,,,
player,201712230gnb,min,DiggSt00,pass_yds,0,,,,,
player,201712230gnb,min,DiggSt00,pass_td,0,,,,,
player,201712230gnb,min,DiggSt00,pass_int,0,,,,,
player,201712230gnb,min,DiggSt00,pass_sacked,0,,,,,
player,201712230gnb,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201712230gnb,min,DiggSt00,pass_long,0,,,,,
player,201712230gnb,min,DiggSt00,pass_rating,,,,,,
player,201712230gnb,min,DiggSt00,rush_att,1,,,,,
player,201712230gnb,min,DiggSt00,rush_yds,3,,,,,
player,201712230gnb,min,DiggSt00,rush_td,0,,,,,
player,201712230gnb,min,DiggSt00,rush_long,3,,,,,
player,201712230gnb,min,DiggSt00,targets,8,,,,,
player,201712230gnb,min,DiggSt00,rec,5,,,,,
player,201712230gnb,min,DiggSt00,rec_yds,60,,,,,
player,201712230gnb,min,DiggSt00,rec_td,1,,,,,
player,201712230gnb,min,DiggSt00,rec_long,20,,,,,
player,201712230gnb,min,DiggSt00,fumbles,0,,,,,
player,201712230gnb,min,DiggSt00,fumbles_lost,0,,,,,
player,201712230gnb,min,MorgDa01,pass_cmp,0,,,,,
player,201712230gnb,min,MorgDa01,pass_att,0,,,,,
player,201712230gnb,min,MorgDa01,pass_yds,0,,,,,
player,201712230gnb,min,MorgDa01,pass_td,0,,,,,
player,201712230gnb,min,MorgDa01,pass_int,0,,,,,
player,201712230gnb,min,MorgDa01,pass_sacked,0,,,,,
player,201712230gnb,min,MorgDa01,pass_sacked_yds,0,,,,,
player,201712230gnb,min,MorgDa01,pass_long,0,,,,,
player,201712230gnb,min,MorgDa01,pass_rating,,,,,,
player,201712230gnb,min,MorgDa01,rush_att,0,,,,,
player,201712230gnb,min,MorgDa01,rush_yds,0,,,,,
player,201712230gnb,min,MorgDa01,rush_td,0,,,,,
player,201712230gnb,min,MorgDa01,rush_long,0,,,,,
player,201712230gnb,min,MorgDa01,targets,2,,,,,
player,201712230gnb,min,MorgDa01,rec,2,,,,,
player,201712230gnb,min,MorgDa01,rec_yds,26,,,,,
player,201712230gnb,min,MorgDa01,rec_td,0,,,,,
player,201712230gnb,min,MorgDa01,rec_long,23,,,,,
player,201712230gnb,min,MorgDa01,fumbles,0,,,,,
player,201712230gnb,min,MorgDa01,fumbles_lost,0,,,,,
