game,2017,16,20171224,201712240dal,sea,"Seattle Seahawks",21,dal,"Dallas Cowboys",12
team,201712240dal,sea,First Downs,15,,,,,,
team,201712240dal,dal,First Downs,21,,,,,,
team,201712240dal,sea,Rush-Yds-TDs,30-76-0,,,,,,
team,201712240dal,dal,Rush-Yds-TDs,30-128-0,,,,,,
team,201712240dal,sea,Cmp-Att-Yd-TD-INT,14-21-93-2-0,,,,,,
team,201712240dal,dal,Cmp-Att-Yd-TD-INT,21-34-181-0-2,,,,,,
team,201712240dal,sea,Sacked-Yards,3-33,,,,,,
team,201712240dal,dal,Sacked-Yards,4-27,,,,,,
team,201712240dal,sea,Net Pass Yards,60,,,,,,
team,201712240dal,dal,Net Pass Yards,154,,,,,,
team,201712240dal,sea,Total Yards,136,,,,,,
team,201712240dal,dal,Total Yards,282,,,,,,
team,201712240dal,sea,Fumbles-Lost,1-0,,,,,,
team,201712240dal,dal,Fumbles-Lost,1-1,,,,,,
team,201712240dal,sea,Turnovers,0,,,,,,
team,201712240dal,dal,Turnovers,3,,,,,,
team,201712240dal,sea,Penalties-Yards,11-142,,,,,,
team,201712240dal,dal,Penalties-Yards,7-75,,,,,,
team,201712240dal,sea,Third Down Conv.,4-11,,,,,,
team,201712240dal,dal,Third Down Conv.,6-13,,,,,,
team,201712240dal,sea,Fourth Down Conv.,0-0,,,,,,
team,201712240dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201712240dal,sea,Time of Possession,27:10,,,,,,
team,201712240dal,dal,Time of Possession,32:50,,,,,,
player,201712240dal,sea,WilsRu00,pass_cmp,14,,,,,
player,201712240dal,sea,WilsRu00,pass_att,21,,,,,
player,201712240dal,sea,WilsRu00,pass_yds,93,,,,,
player,201712240dal,sea,WilsRu00,pass_td,2,,,,,
player,201712240dal,sea,WilsRu00,pass_int,0,,,,,
player,201712240dal,sea,WilsRu00,pass_sacked,3,,,,,
player,201712240dal,sea,WilsRu00,pass_sacked_yds,33,,,,,
player,201712240dal,sea,WilsRu00,pass_long,20,,,,,
player,201712240dal,sea,WilsRu00,pass_rating,107.8,,,,,
player,201712240dal,sea,WilsRu00,rush_att,9,,,,,
player,201712240dal,sea,WilsRu00,rush_yds,29,,,,,
player,201712240dal,sea,WilsRu00,rush_td,0,,,,,
player,201712240dal,sea,WilsRu00,rush_long,14,,,,,
player,201712240dal,sea,WilsRu00,targets,0,,,,,
player,201712240dal,sea,WilsRu00,rec,0,,,,,
player,201712240dal,sea,WilsRu00,rec_yds,0,,,,,
player,201712240dal,sea,WilsRu00,rec_td,0,,,,,
player,201712240dal,sea,WilsRu00,rec_long,0,,,,,
player,201712240dal,sea,WilsRu00,fumbles,1,,,,,
player,201712240dal,sea,WilsRu00,fumbles_lost,0,,,,,
player,201712240dal,sea,DaviMi01,pass_cmp,0,,,,,
