game,2018,1,20180909,201809090car,dal,"Dallas Cowboys",8,car,"Carolina Panthers",16
team,201809090car,dal,First Downs,17,,,,,,
team,201809090car,car,First Downs,20,,,,,,
team,201809090car,dal,Rush-Yds-TDs,22-94-1,,,,,,
team,201809090car,car,Rush-Yds-TDs,32-147-2,,,,,,
team,201809090car,dal,Cmp-Att-Yd-TD-INT,19-29-170-0-0,,,,,,
team,201809090car,car,Cmp-Att-Yd-TD-INT,17-26-161-0-0,,,,,,
team,201809090car,dal,Sacked-Yards,6-32,,,,,,
team,201809090car,car,Sacked-Yards,3-15,,,,,,
team,201809090car,dal,Net Pass Yards,138,,,,,,
team,201809090car,car,Net Pass Yards,146,,,,,,
team,201809090car,dal,Total Yards,232,,,,,,
team,201809090car,car,Total Yards,293,,,,,,
team,201809090car,dal,Fumbles-Lost,1-1,,,,,,
team,201809090car,car,Fumbles-Lost,2-1,,,,,,
team,201809090car,dal,Turnovers,1,,,,,,
team,201809090car,car,Turnovers,1,,,,,,
team,201809090car,dal,Penalties-Yards,10-85,,,,,,
team,201809090car,car,Penalties-Yards,9-80,,,,,,
team,201809090car,dal,Third Down Conv.,2-11,,,,,,
team,201809090car,car,Third Down Conv.,4-12,,,,,,
team,201809090car,dal,Fourth Down Conv.,0-1,,,,,,
team,201809090car,car,Fourth Down Conv.,0-0,,,,,,
team,201809090car,dal,Time of Possession,29:24,,,,,,
team,201809090car,car,Time of Possession,30:36,,,,,,
player,201809090car,dal,PresDa01,pass_cmp,19,,,,,
player,201809090car,dal,PresDa01,pass_att,29,,,,,
player,201809090car,dal,PresDa01,pass_yds,170,,,,,
player,201809090car,dal,PresDa01,pass_td,0,,,,,
player,201809090car,dal,PresDa01,pass_int,0,,,,,
player,201809090car,dal,PresDa01,pass_sacked,6,,,,,
player,201809090car,dal,PresDa01,pass_sacked_yds,32,,,,,
player,201809090car,dal,PresDa01,pass_long,20,,,,,
player,201809090car,dal,PresDa01,pass_rating,81.1,,,,,
player,201809090car,dal,PresDa01,rush_att,5,,,,,
player,201809090car,dal,PresDa01,rush_yds,19,,,,,
player,201809090car,dal,PresDa01,rush_td,0,,,,,
player,201809090car,dal,PresDa01,rush_long,9,,,,,
player,201809090car,dal,PresDa01,targets,0,,,,,
player,201809090car,dal,PresDa01,rec,0,,,,,
player,201809090car,dal,PresDa01,rec_yds,0,,,,,
player,201809090car,dal,PresDa01,rec_td,0,,,,,
player,201809090car,dal,PresDa01,rec_long,0,,,,,
player,201809090car,dal,PresDa01,fumbles,1,,,,,
player,201809090car,dal,PresDa01,fumbles_lost,1,,,,,
player,201809090car,dal,ElliEz00,pass_cmp,0,,,,,
player,201809090car,dal,ElliEz00,pass_att,0,,,,,
player,201809090car,dal,ElliEz00,pass_yds,0,,,,,
player,201809090car,dal,ElliEz00,pass_td,0,,,,,
player,201809090car,dal,ElliEz00,pass_int,0,,,,,
player,201809090car,dal,ElliEz00,pass_sacked,0,,,,,
player,201809090car,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201809090car,dal,ElliEz00,pass_long,0,,,,,
player,201809090car,dal,ElliEz00,pass_rating,,,,,,
player,201809090car,dal,ElliEz00,rush_att,15,,,,,
player,201809090car,dal,ElliEz00,rush_yds,69,,,,,
player,201809090car,dal,ElliEz00,rush_td,1,,,,,
player,201809090car,dal,ElliEz00,rush_long,17,,,,,
player,201809090car,dal,ElliEz00,targets,4,,,,,
player,201809090car,dal,ElliEz00,rec,3,,,,,
player,201809090car,dal,ElliEz00,rec_yds,17,,,,,
player,201809090car,dal,ElliEz00,rec_td,0,,,,,
player,201809090car,dal,ElliEz00,rec_long,13,,,,,
player,201809090car,dal,ElliEz00,fumbles,0,,,,,
player,201809090car,dal,ElliEz00,fumbles_lost,0,,,,,
player,201809090car,dal,SmitRo06,pass_cmp,0,,,,,
player,201809090car,dal,SmitRo06,pass_att,0,,,,,
player,201809090car,dal,SmitRo06,pass_yds,0,,,,,
player,201809090car,dal,SmitRo06,pass_td,0,,,,,
player,201809090car,dal,SmitRo06,pass_int,0,,,,,
player,201809090car,dal,SmitRo06,pass_sacked,0,,,,,
player,201809090car,dal,SmitRo06,pass_sacked_yds,0,,,,,
player,201809090car,dal,SmitRo06,pass_long,0,,,,,
player,201809090car,dal,SmitRo06,pass_rating,,,,,,
player,201809090car,dal,SmitRo06,rush_att,1,,,,,
player,201809090car,dal,SmitRo06,rush_yds,5,,,,,
player,201809090car,dal,SmitRo06,rush_td,0,,,,,
player,201809090car,dal,SmitRo06,rush_long,5,,,,,
player,201809090car,dal,SmitRo06,targets,1,,,,,
player,201809090car,dal,SmitRo06,rec,0,,,,,
player,201809090car,dal,SmitRo06,rec_yds,0,,,,,
player,201809090car,dal,SmitRo06,rec_td,0,,,,,
player,201809090car,dal,SmitRo06,rec_long,0,,,,,
player,201809090car,dal,SmitRo06,fumbles,0,,,,,
player,201809090car,dal,SmitRo06,fumbles_lost,0,,,,,
player,201809090car,dal,AustTa00,pass_cmp,0,,,,,
player,201809090car,dal,AustTa00,pass_att,0,,,,,
player,201809090car,dal,AustTa00,pass_yds,0,,,,,
player,201809090car,dal,AustTa00,pass_td,0,,,,,
player,201809090car,dal,AustTa00,pass_int,0,,,,,
player,201809090car,dal,AustTa00,pass_sacked,0,,,,,
player,201809090car,dal,AustTa00,pass_sacked_yds,0,,,,,
player,201809090car,dal,AustTa00,pass_long,0,,,,,
player,201809090car,dal,AustTa00,pass_rating,,,,,,
player,201809090car,dal,AustTa00,rush_att,1,,,,,
player,201809090car,dal,AustTa00,rush_yds,1,,,,,
player,201809090car,dal,AustTa00,rush_td,0,,,,,
player,201809090car,dal,AustTa00,rush_long,1,,,,,
player,201809090car,dal,AustTa00,targets,0,,,,,
player,201809090car,dal,AustTa00,rec,0,,,,,
player,201809090car,dal,AustTa00,rec_yds,0,,,,,
player,201809090car,dal,AustTa00,rec_td,0,,,,,
player,201809090car,dal,AustTa00,rec_long,0,,,,,
player,201809090car,dal,AustTa00,fumbles,0,,,,,
player,201809090car,dal,AustTa00,fumbles_lost,0,,,,,
player,201809090car,dal,BeasCo00,pass_cmp,0,,,,,
player,201809090car,dal,BeasCo00,pass_att,0,,,,,
player,201809090car,dal,BeasCo00,pass_yds,0,,,,,
player,201809090car,dal,BeasCo00,pass_td,0,,,,,
player,201809090car,dal,BeasCo00,pass_int,0,,,,,
player,201809090car,dal,BeasCo00,pass_sacked,0,,,,,
player,201809090car,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201809090car,dal,BeasCo00,pass_long,0,,,,,
player,201809090car,dal,BeasCo00,pass_rating,,,,,,
player,201809090car,dal,BeasCo00,rush_att,0,,,,,
player,201809090car,dal,BeasCo00,rush_yds,0,,,,,
player,201809090car,dal,BeasCo00,rush_td,0,,,,,
player,201809090car,dal,BeasCo00,rush_long,0,,,,,
player,201809090car,dal,BeasCo00,targets,8,,,,,
player,201809090car,dal,BeasCo00,rec,7,,,,,
player,201809090car,dal,BeasCo00,rec_yds,73,,,,,
player,201809090car,dal,BeasCo00,rec_td,0,,,,,
player,201809090car,dal,BeasCo00,rec_long,17,,,,,
player,201809090car,dal,BeasCo00,fumbles,0,,,,,
player,201809090car,dal,BeasCo00,fumbles_lost,0,,,,,
player,201809090car,dal,ThomDe04,pass_cmp,0,,,,,
player,201809090car,dal,ThomDe04,pass_att,0,,,,,
