game,2018,2,20180916,201809160tam,phi,"Philadelphia Eagles",21,tam,"Tampa Bay Buccaneers",27
team,201809160tam,phi,First Downs,24,,,,,,
team,201809160tam,tam,First Downs,18,,,,,,
team,201809160tam,phi,Rush-Yds-TDs,24-91-2,,,,,,
team,201809160tam,tam,Rush-Yds-TDs,23-43-0,,,,,,
team,201809160tam,phi,Cmp-Att-Yd-TD-INT,35-48-334-1-0,,,,,,
team,201809160tam,tam,Cmp-Att-Yd-TD-INT,27-33-402-4-1,,,,,,
team,201809160tam,phi,Sacked-Yards,3-13,,,,,,
team,201809160tam,tam,Sacked-Yards,2-9,,,,,,
team,201809160tam,phi,Net Pass Yards,321,,,,,,
team,201809160tam,tam,Net Pass Yards,393,,,,,,
team,201809160tam,phi,Total Yards,412,,,,,,
team,201809160tam,tam,Total Yards,436,,,,,,
team,201809160tam,phi,Fumbles-Lost,2-2,,,,,,
team,201809160tam,tam,Fumbles-Lost,1-1,,,,,,
team,201809160tam,phi,Turnovers,2,,,,,,
team,201809160tam,tam,Turnovers,2,,,,,,
team,201809160tam,phi,Penalties-Yards,6-55,,,,,,
team,201809160tam,tam,Penalties-Yards,4-44,,,,,,
team,201809160tam,phi,Third Down Conv.,5-15,,,,,,
team,201809160tam,tam,Third Down Conv.,4-10,,,,,,
team,201809160tam,phi,Fourth Down Conv.,3-5,,,,,,
team,201809160tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201809160tam,phi,Time of Possession,35:39,,,,,,
team,201809160tam,tam,Time of Possession,24:21,,,,,,
player,201809160tam,phi,FoleNi00,pass_cmp,35,,,,,
player,201809160tam,phi,FoleNi00,pass_att,48,,,,,
player,201809160tam,phi,FoleNi00,pass_yds,334,,,,,
player,201809160tam,phi,FoleNi00,pass_td,1,,,,,
player,201809160tam,phi,FoleNi00,pass_int,0,,,,,
player,201809160tam,phi,FoleNi00,pass_sacked,3,,,,,
player,201809160tam,phi,FoleNi00,pass_sacked_yds,13,,,,,
player,201809160tam,phi,FoleNi00,pass_long,50,,,,,
player,201809160tam,phi,FoleNi00,pass_rating,98.8,,,,,
player,201809160tam,phi,FoleNi00,rush_att,3,,,,,
player,201809160tam,phi,FoleNi00,rush_yds,8,,,,,
player,201809160tam,phi,FoleNi00,rush_td,0,,,,,
player,201809160tam,phi,FoleNi00,rush_long,4,,,,,
player,201809160tam,phi,FoleNi00,targets,0,,,,,
player,201809160tam,phi,FoleNi00,rec,0,,,,,
player,201809160tam,phi,FoleNi00,rec_yds,-5,,,,,
player,201809160tam,phi,FoleNi00,rec_td,0,,,,,
player,201809160tam,phi,FoleNi00,rec_long,0,,,,,
player,201809160tam,phi,FoleNi00,fumbles,1,,,,,
player,201809160tam,phi,FoleNi00,fumbles_lost,1,,,,,
player,201809160tam,phi,ClemCo00,pass_cmp,0,,,,,
player,201809160tam,phi,ClemCo00,pass_att,0,,,,,
player,201809160tam,phi,ClemCo00,pass_yds,0,,,,,
player,201809160tam,phi,ClemCo00,pass_td,0,,,,,
player,201809160tam,phi,ClemCo00,pass_int,0,,,,,
player,201809160tam,phi,ClemCo00,pass_sacked,0,,,,,
player,201809160tam,phi,ClemCo00,pass_sacked_yds,0,,,,,
player,201809160tam,phi,ClemCo00,pass_long,0,,,,,
player,201809160tam,phi,ClemCo00,pass_rating,,,,,,
player,201809160tam,phi,ClemCo00,rush_att,6,,,,,
player,201809160tam,phi,ClemCo00,rush_yds,30,,,,,
player,201809160tam,phi,ClemCo00,rush_td,1,,,,,
player,201809160tam,phi,ClemCo00,rush_long,15,,,,,
player,201809160tam,phi,ClemCo00,targets,6,,,,,
player,201809160tam,phi,ClemCo00,rec,5,,,,,
player,201809160tam,phi,ClemCo00,rec_yds,55,,,,,
player,201809160tam,phi,ClemCo00,rec_td,0,,,,,
player,201809160tam,phi,ClemCo00,rec_long,19,,,,,
player,201809160tam,phi,ClemCo00,fumbles,0,,,,,
player,201809160tam,phi,ClemCo00,fumbles_lost,0,,,,,
player,201809160tam,phi,SmalWe00,pass_cmp,0,,,,,
player,201809160tam,phi,SmalWe00,pass_att,0,,,,,
player,201809160tam,phi,SmalWe00,pass_yds,0,,,,,
player,201809160tam,phi,SmalWe00,pass_td,0,,,,,
player,201809160tam,phi,SmalWe00,pass_int,0,,,,,
player,201809160tam,phi,SmalWe00,pass_sacked,0,,,,,
player,201809160tam,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201809160tam,phi,SmalWe00,pass_long,0,,,,,
player,201809160tam,phi,SmalWe00,pass_rating,,,,,,
player,201809160tam,phi,SmalWe00,rush_att,7,,,,,
player,201809160tam,phi,SmalWe00,rush_yds,28,,,,,
player,201809160tam,phi,SmalWe00,rush_td,0,,,,,
player,201809160tam,phi,SmalWe00,rush_long,8,,,,,
player,201809160tam,phi,SmalWe00,targets,1,,,,,
player,201809160tam,phi,SmalWe00,rec,1,,,,,
player,201809160tam,phi,SmalWe00,rec_yds,2,,,,,
player,201809160tam,phi,SmalWe00,rec_td,0,,,,,
player,201809160tam,phi,SmalWe00,rec_long,2,,,,,
player,201809160tam,phi,SmalWe00,fumbles,1,,,,,
player,201809160tam,phi,SmalWe00,fumbles_lost,1,,,,,
player,201809160tam,phi,AjayJa00,pass_cmp,0,,,,,
player,201809160tam,phi,AjayJa00,pass_att,0,,,,,
player,201809160tam,phi,AjayJa00,pass_yds,0,,,,,
player,201809160tam,phi,AjayJa00,pass_td,0,,,,,
player,201809160tam,phi,AjayJa00,pass_int,0,,,,,
player,201809160tam,phi,AjayJa00,pass_sacked,0,,,,,
player,201809160tam,phi,AjayJa00,pass_sacked_yds,0,,,,,
player,201809160tam,phi,AjayJa00,pass_long,0,,,,,
player,201809160tam,phi,AjayJa00,pass_rating,,,,,,
player,201809160tam,phi,AjayJa00,rush_att,7,,,,,
player,201809160tam,phi,AjayJa00,rush_yds,23,,,,,
player,201809160tam,phi,AjayJa00,rush_td,1,,,,,
player,201809160tam,phi,AjayJa00,rush_long,20,,,,,
player,201809160tam,phi,AjayJa00,targets,1,,,,,
player,201809160tam,phi,AjayJa00,rec,1,,,,,
player,201809160tam,phi,AjayJa00,rec_yds,4,,,,,
player,201809160tam,phi,AjayJa00,rec_td,0,,,,,
player,201809160tam,phi,AjayJa00,rec_long,4,,,,,
player,201809160tam,phi,AjayJa00,fumbles,0,,,,,
player,201809160tam,phi,AjayJa00,fumbles_lost,0,,,,,
player,201809160tam,phi,AghoNe00,pass_cmp,0,,,,,
player,201809160tam,phi,AghoNe00,pass_att,0,,,,,
player,201809160tam,phi,AghoNe00,pass_yds,0,,,,,
player,201809160tam,phi,AghoNe00,pass_td,0,,,,,
player,201809160tam,phi,AghoNe00,pass_int,0,,,,,
player,201809160tam,phi,AghoNe00,pass_sacked,0,,,,,
player,201809160tam,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201809160tam,phi,AghoNe00,pass_long,0,,,,,
player,201809160tam,phi,AghoNe00,pass_rating,,,,,,
player,201809160tam,phi,AghoNe00,rush_att,1,,,,,
player,201809160tam,phi,AghoNe00,rush_yds,2,,,,,
player,201809160tam,phi,AghoNe00,rush_td,0,,,,,
player,201809160tam,phi,AghoNe00,rush_long,2,,,,,
player,201809160tam,phi,AghoNe00,targets,12,,,,,
player,201809160tam,phi,AghoNe00,rec,8,,,,,
player,201809160tam,phi,AghoNe00,rec_yds,88,,,,,
player,201809160tam,phi,AghoNe00,rec_td,1,,,,,
player,201809160tam,phi,AghoNe00,rec_long,50,,,,,
player,201809160tam,phi,AghoNe00,fumbles,0,,,,,
player,201809160tam,phi,AghoNe00,fumbles_lost,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_cmp,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_att,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_yds,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_td,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_int,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_sacked,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_long,0,,,,,
player,201809160tam,phi,ErtzZa00,pass_rating,,,,,,
player,201809160tam,phi,ErtzZa00,rush_att,0,,,,,
player,201809160tam,phi,ErtzZa00,rush_yds,0,,,,,
player,201809160tam,phi,ErtzZa00,rush_td,0,,,,,
player,201809160tam,phi,ErtzZa00,rush_long,0,,,,,
player,201809160tam,phi,ErtzZa00,targets,13,,,,,
player,201809160tam,phi,ErtzZa00,rec,11,,,,,
player,201809160tam,phi,ErtzZa00,rec_yds,94,,,,,
player,201809160tam,phi,ErtzZa00,rec_td,0,,,,,
player,201809160tam,phi,ErtzZa00,rec_long,34,,,,,
player,201809160tam,phi,ErtzZa00,fumbles,0,,,,,
player,201809160tam,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201809160tam,phi,PerkJo02,pass_cmp,0,,,,,
player,201809160tam,phi,PerkJo02,pass_att,0,,,,,
player,201809160tam,phi,PerkJo02,pass_yds,0,,,,,
player,201809160tam,phi,PerkJo02,pass_td,0,,,,,
player,201809160tam,phi,PerkJo02,pass_int,0,,,,,
player,201809160tam,phi,PerkJo02,pass_sacked,0,,,,,
player,201809160tam,phi,PerkJo02,pass_sacked_yds,0,,,,,
player,201809160tam,phi,PerkJo02,pass_long,0,,,,,
player,201809160tam,phi,PerkJo02,pass_rating,,,,,,
player,201809160tam,phi,PerkJo02,rush_att,0,,,,,
player,201809160tam,phi,PerkJo02,rush_yds,0,,,,,
player,201809160tam,phi,PerkJo02,rush_td,0,,,,,
player,201809160tam,phi,PerkJo02,rush_long,0,,,,,
player,201809160tam,phi,PerkJo02,targets,6,,,,,
player,201809160tam,phi,PerkJo02,rec,4,,,,,
player,201809160tam,phi,PerkJo02,rec_yds,57,,,,,
player,201809160tam,phi,PerkJo02,rec_td,0,,,,,
player,201809160tam,phi,PerkJo02,rec_long,30,,,,,
player,201809160tam,phi,PerkJo02,fumbles,0,,,,,
player,201809160tam,phi,PerkJo02,fumbles_lost,0,,,,,
player,201809160tam,phi,AikeKa00,pass_cmp,0,,,,,
player,201809160tam,phi,AikeKa00,pass_att,0,,,,,
player,201809160tam,phi,AikeKa00,pass_yds,0,,,,,
player,201809160tam,phi,AikeKa00,pass_td,0,,,,,
player,201809160tam,phi,AikeKa00,pass_int,0,,,,,
player,201809160tam,phi,AikeKa00,pass_sacked,0,,,,,
player,201809160tam,phi,AikeKa00,pass_sacked_yds,0,,,,,
player,201809160tam,phi,AikeKa00,pass_long,0,,,,,
player,201809160tam,phi,AikeKa00,pass_rating,,,,,,
player,201809160tam,phi,AikeKa00,rush_att,0,,,,,
player,201809160tam,phi,AikeKa00,rush_yds,0,,,,,
player,201809160tam,phi,AikeKa00,rush_td,0,,,,,
player,201809160tam,phi,AikeKa00,rush_long,0,,,,,
player,201809160tam,phi,AikeKa00,targets,6,,,,,
player,201809160tam,phi,AikeKa00,rec,5,,,,,
player,201809160tam,phi,AikeKa00,rec_yds,39,,,,,
player,201809160tam,phi,AikeKa00,rec_td,0,,,,,
player,201809160tam,phi,AikeKa00,rec_long,18,,,,,
player,201809160tam,phi,AikeKa00,fumbles,0,,,,,
player,201809160tam,phi,AikeKa00,fumbles_lost,0,,,,,
player,201809160tam,phi,GibsSh00,pass_cmp,0,,,,,
player,201809160tam,phi,GibsSh00,pass_att,0,,,,,
player,201809160tam,phi,GibsSh00,pass_yds,0,,,,,
player,201809160tam,phi,GibsSh00,pass_td,0,,,,,
player,201809160tam,phi,GibsSh00,pass_int,0,,,,,
player,201809160tam,phi,GibsSh00,pass_sacked,0,,,,,
player,201809160tam,phi,GibsSh00,pass_sacked_yds,0,,,,,
player,201809160tam,phi,GibsSh00,pass_long,0,,,,,
player,201809160tam,phi,GibsSh00,pass_rating,,,,,,
player,201809160tam,phi,GibsSh00,rush_att,0,,,,,
player,201809160tam,phi,GibsSh00,rush_yds,0,,,,,
player,201809160tam,phi,GibsSh00,rush_td,0,,,,,
