game,2018,3,20180923,201809230atl,nor,"New Orleans Saints",43,atl,"Atlanta Falcons",37
team,201809230atl,nor,First Downs,32,,,,,,
team,201809230atl,atl,First Downs,24,,,,,,
team,201809230atl,nor,Rush-Yds-TDs,27-143-2,,,,,,
team,201809230atl,atl,Rush-Yds-TDs,22-48-0,,,,,,
team,201809230atl,nor,Cmp-Att-Yd-TD-INT,39-49-396-3-0,,,,,,
team,201809230atl,atl,Cmp-Att-Yd-TD-INT,26-35-374-5-0,,,,,,
team,201809230atl,nor,Sacked-Yards,1-5,,,,,,
team,201809230atl,atl,Sacked-Yards,3-15,,,,,,
team,201809230atl,nor,Net Pass Yards,391,,,,,,
team,201809230atl,atl,Net Pass Yards,359,,,,,,
team,201809230atl,nor,Total Yards,534,,,,,,
team,201809230atl,atl,Total Yards,407,,,,,,
team,201809230atl,nor,Fumbles-Lost,1-0,,,,,,
team,201809230atl,atl,Fumbles-Lost,0-0,,,,,,
team,201809230atl,nor,Turnovers,0,,,,,,
team,201809230atl,atl,Turnovers,0,,,,,,
team,201809230atl,nor,Penalties-Yards,11-120,,,,,,
team,201809230atl,atl,Penalties-Yards,5-54,,,,,,
team,201809230atl,nor,Third Down Conv.,7-14,,,,,,
team,201809230atl,atl,Third Down Conv.,4-11,,,,,,
team,201809230atl,nor,Fourth Down Conv.,1-1,,,,,,
team,201809230atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201809230atl,nor,Time of Possession,37:45,,,,,,
team,201809230atl,atl,Time of Possession,29:20,,,,,,
player,201809230atl,nor,BreeDr00,pass_cmp,39,,,,,
player,201809230atl,nor,BreeDr00,pass_att,49,,,,,
player,201809230atl,nor,BreeDr00,pass_yds,396,,,,,
player,201809230atl,nor,BreeDr00,pass_td,3,,,,,
player,201809230atl,nor,BreeDr00,pass_int,0,,,,,
player,201809230atl,nor,BreeDr00,pass_sacked,1,,,,,
player,201809230atl,nor,BreeDr00,pass_sacked_yds,5,,,,,
player,201809230atl,nor,BreeDr00,pass_long,35,,,,,
player,201809230atl,nor,BreeDr00,pass_rating,120.7,,,,,
player,201809230atl,nor,BreeDr00,rush_att,3,,,,,
player,201809230atl,nor,BreeDr00,rush_yds,7,,,,,
player,201809230atl,nor,BreeDr00,rush_td,2,,,,,
player,201809230atl,nor,BreeDr00,rush_long,7,,,,,
player,201809230atl,nor,BreeDr00,targets,0,,,,,
player,201809230atl,nor,BreeDr00,rec,0,,,,,
player,201809230atl,nor,BreeDr00,rec_yds,0,,,,,
player,201809230atl,nor,BreeDr00,rec_td,0,,,,,
player,201809230atl,nor,BreeDr00,rec_long,0,,,,,
player,201809230atl,nor,BreeDr00,fumbles,1,,,,,
player,201809230atl,nor,BreeDr00,fumbles_lost,0,,,,,
player,201809230atl,nor,KamaAl00,pass_cmp,0,,,,,
player,201809230atl,nor,KamaAl00,pass_att,0,,,,,
player,201809230atl,nor,KamaAl00,pass_yds,0,,,,,
player,201809230atl,nor,KamaAl00,pass_td,0,,,,,
player,201809230atl,nor,KamaAl00,pass_int,0,,,,,
player,201809230atl,nor,KamaAl00,pass_sacked,0,,,,,
player,201809230atl,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201809230atl,nor,KamaAl00,pass_long,0,,,,,
player,201809230atl,nor,KamaAl00,pass_rating,,,,,,
player,201809230atl,nor,KamaAl00,rush_att,16,,,,,
player,201809230atl,nor,KamaAl00,rush_yds,66,,,,,
player,201809230atl,nor,KamaAl00,rush_td,0,,,,,
player,201809230atl,nor,KamaAl00,rush_long,17,,,,,
player,201809230atl,nor,KamaAl00,targets,20,,,,,
player,201809230atl,nor,KamaAl00,rec,15,,,,,
player,201809230atl,nor,KamaAl00,rec_yds,124,,,,,
player,201809230atl,nor,KamaAl00,rec_td,0,,,,,
player,201809230atl,nor,KamaAl00,rec_long,21,,,,,
player,201809230atl,nor,KamaAl00,fumbles,0,,,,,
player,201809230atl,nor,KamaAl00,fumbles_lost,0,,,,,
player,201809230atl,nor,HillTa00,pass_cmp,0,,,,,
player,201809230atl,nor,HillTa00,pass_att,0,,,,,
player,201809230atl,nor,HillTa00,pass_yds,0,,,,,
player,201809230atl,nor,HillTa00,pass_td,0,,,,,
player,201809230atl,nor,HillTa00,pass_int,0,,,,,
player,201809230atl,nor,HillTa00,pass_sacked,0,,,,,
player,201809230atl,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201809230atl,nor,HillTa00,pass_long,0,,,,,
player,201809230atl,nor,HillTa00,pass_rating,,,,,,
player,201809230atl,nor,HillTa00,rush_att,3,,,,,
player,201809230atl,nor,HillTa00,rush_yds,39,,,,,
player,201809230atl,nor,HillTa00,rush_td,0,,,,,
player,201809230atl,nor,HillTa00,rush_long,35,,,,,
player,201809230atl,nor,HillTa00,targets,0,,,,,
player,201809230atl,nor,HillTa00,rec,0,,,,,
player,201809230atl,nor,HillTa00,rec_yds,0,,,,,
player,201809230atl,nor,HillTa00,rec_td,0,,,,,
player,201809230atl,nor,HillTa00,rec_long,0,,,,,
player,201809230atl,nor,HillTa00,fumbles,0,,,,,
player,201809230atl,nor,HillTa00,fumbles_lost,0,,,,,
player,201809230atl,nor,GinnTe00,pass_cmp,0,,,,,
player,201809230atl,nor,GinnTe00,pass_att,0,,,,,
player,201809230atl,nor,GinnTe00,pass_yds,0,,,,,
player,201809230atl,nor,GinnTe00,pass_td,0,,,,,
player,201809230atl,nor,GinnTe00,pass_int,0,,,,,
player,201809230atl,nor,GinnTe00,pass_sacked,0,,,,,
player,201809230atl,nor,GinnTe00,pass_sacked_yds,0,,,,,
player,201809230atl,nor,GinnTe00,pass_long,0,,,,,
player,201809230atl,nor,GinnTe00,pass_rating,,,,,,
player,201809230atl,nor,GinnTe00,rush_att,1,,,,,
player,201809230atl,nor,GinnTe00,rush_yds,20,,,,,
player,201809230atl,nor,GinnTe00,rush_td,0,,,,,
player,201809230atl,nor,GinnTe00,rush_long,20,,,,,
player,201809230atl,nor,GinnTe00,targets,6,,,,,
player,201809230atl,nor,GinnTe00,rec,3,,,,,
player,201809230atl,nor,GinnTe00,rec_yds,12,,,,,
player,201809230atl,nor,GinnTe00,rec_td,1,,,,,
player,201809230atl,nor,GinnTe00,rec_long,6,,,,,
player,201809230atl,nor,GinnTe00,fumbles,0,,,,,
player,201809230atl,nor,GinnTe00,fumbles_lost,0,,,,,
player,201809230atl,nor,GillMi00,pass_cmp,0,,,,,
player,201809230atl,nor,GillMi00,pass_att,0,,,,,
player,201809230atl,nor,GillMi00,pass_yds,0,,,,,
player,201809230atl,nor,GillMi00,pass_td,0,,,,,
player,201809230atl,nor,GillMi00,pass_int,0,,,,,
player,201809230atl,nor,GillMi00,pass_sacked,0,,,,,
player,201809230atl,nor,GillMi00,pass_sacked_yds,0,,,,,
player,201809230atl,nor,GillMi00,pass_long,0,,,,,
player,201809230atl,nor,GillMi00,pass_rating,,,,,,
player,201809230atl,nor,GillMi00,rush_att,3,,,,,
player,201809230atl,nor,GillMi00,rush_yds,10,,,,,
player,201809230atl,nor,GillMi00,rush_td,0,,,,,
player,201809230atl,nor,GillMi00,rush_long,4,,,,,
player,201809230atl,nor,GillMi00,targets,0,,,,,
player,201809230atl,nor,GillMi00,rec,0,,,,,
player,201809230atl,nor,GillMi00,rec_yds,0,,,,,
player,201809230atl,nor,GillMi00,rec_td,0,,,,,
player,201809230atl,nor,GillMi00,rec_long,0,,,,,
player,201809230atl,nor,GillMi00,fumbles,0,,,,,
player,201809230atl,nor,GillMi00,fumbles_lost,0,,,,,
player,201809230atl,nor,WillJo07,pass_cmp,0,,,,,
player,201809230atl,nor,WillJo07,pass_att,0,,,,,
player,201809230atl,nor,WillJo07,pass_yds,0,,,,,
player,201809230atl,nor,WillJo07,pass_td,0,,,,,
player,201809230atl,nor,WillJo07,pass_int,0,,,,,
player,201809230atl,nor,WillJo07,pass_sacked,0,,,,,
player,201809230atl,nor,WillJo07,pass_sacked_yds,0,,,,,
player,201809230atl,nor,WillJo07,pass_long,0,,,,,
player,201809230atl,nor,WillJo07,pass_rating,,,,,,
player,201809230atl,nor,WillJo07,rush_att,1,,,,,
player,201809230atl,nor,WillJo07,rush_yds,1,,,,,
player,201809230atl,nor,WillJo07,rush_td,0,,,,,
player,201809230atl,nor,WillJo07,rush_long,1,,,,,
player,201809230atl,nor,WillJo07,targets,1,,,,,
player,201809230atl,nor,WillJo07,rec,1,,,,,
player,201809230atl,nor,WillJo07,rec_yds,1,,,,,
player,201809230atl,nor,WillJo07,rec_td,0,,,,,
player,201809230atl,nor,WillJo07,rec_long,1,,,,,
player,201809230atl,nor,WillJo07,fumbles,0,,,,,
player,201809230atl,nor,WillJo07,fumbles_lost,0,,,,,
player,201809230atl,nor,ThomMi05,pass_cmp,0,,,,,
player,201809230atl,nor,ThomMi05,pass_att,0,,,,,
player,201809230atl,nor,ThomMi05,pass_yds,0,,,,,
player,201809230atl,nor,ThomMi05,pass_td,0,,,,,
player,201809230atl,nor,ThomMi05,pass_int,0,,,,,
player,201809230atl,nor,ThomMi05,pass_sacked,0,,,,,
player,201809230atl,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201809230atl,nor,ThomMi05,pass_long,0,,,,,
player,201809230atl,nor,ThomMi05,pass_rating,,,,,,
player,201809230atl,nor,ThomMi05,rush_att,0,,,,,
player,201809230atl,nor,ThomMi05,rush_yds,0,,,,,
player,201809230atl,nor,ThomMi05,rush_td,0,,,,,
player,201809230atl,nor,ThomMi05,rush_long,0,,,,,
player,201809230atl,nor,ThomMi05,targets,10,,,,,
player,201809230atl,nor,ThomMi05,rec,10,,,,,
player,201809230atl,nor,ThomMi05,rec_yds,129,,,,,
player,201809230atl,nor,ThomMi05,rec_td,0,,,,,
player,201809230atl,nor,ThomMi05,rec_long,35,,,,,
player,201809230atl,nor,ThomMi05,fumbles,0,,,,,
player,201809230atl,nor,ThomMi05,fumbles_lost,0,,,,,
player,201809230atl,nor,WatsBe00,pass_cmp,0,,,,,
player,201809230atl,nor,WatsBe00,pass_att,0,,,,,
player,201809230atl,nor,WatsBe00,pass_yds,0,,,,,
player,201809230atl,nor,WatsBe00,pass_td,0,,,,,
player,201809230atl,nor,WatsBe00,pass_int,0,,,,,
player,201809230atl,nor,WatsBe00,pass_sacked,0,,,,,
player,201809230atl,nor,WatsBe00,pass_sacked_yds,0,,,,,
player,201809230atl,nor,WatsBe00,pass_long,0,,,,,
player,201809230atl,nor,WatsBe00,pass_rating,,,,,,
player,201809230atl,nor,WatsBe00,rush_att,0,,,,,
player,201809230atl,nor,WatsBe00,rush_yds,0,,,,,
player,201809230atl,nor,WatsBe00,rush_td,0,,,,,
player,201809230atl,nor,WatsBe00,rush_long,0,,,,,
player,201809230atl,nor,WatsBe00,targets,6,,,,,
player,201809230atl,nor,WatsBe00,rec,5,,,,,
