game,2018,4,20180930,201809300rai,cle,"Cleveland Browns",42,rai,"Oakland Raiders",45
team,201809300rai,cle,First Downs,21,,,,,,
team,201809300rai,rai,First Downs,27,,,,,,
team,201809300rai,cle,Rush-Yds-TDs,31-208-3,,,,,,
team,201809300rai,rai,Rush-Yds-TDs,29-139-0,,,,,,
team,201809300rai,cle,Cmp-Att-Yd-TD-INT,21-41-295-2-2,,,,,,
team,201809300rai,rai,Cmp-Att-Yd-TD-INT,35-58-437-4-2,,,,,,
team,201809300rai,cle,Sacked-Yards,2-16,,,,,,
team,201809300rai,rai,Sacked-Yards,3-11,,,,,,
team,201809300rai,cle,Net Pass Yards,279,,,,,,
team,201809300rai,rai,Net Pass Yards,426,,,,,,
team,201809300rai,cle,Total Yards,487,,,,,,
team,201809300rai,rai,Total Yards,565,,,,,,
team,201809300rai,cle,Fumbles-Lost,3-2,,,,,,
team,201809300rai,rai,Fumbles-Lost,0-0,,,,,,
team,201809300rai,cle,Turnovers,4,,,,,,
team,201809300rai,rai,Turnovers,2,,,,,,
team,201809300rai,cle,Penalties-Yards,8-55,,,,,,
team,201809300rai,rai,Penalties-Yards,6-65,,,,,,
team,201809300rai,cle,Third Down Conv.,5-15,,,,,,
team,201809300rai,rai,Third Down Conv.,5-16,,,,,,
team,201809300rai,cle,Fourth Down Conv.,1-1,,,,,,
team,201809300rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201809300rai,cle,Time of Possession,31:23,,,,,,
team,201809300rai,rai,Time of Possession,36:51,,,,,,
player,201809300rai,cle,MayfBa00,pass_cmp,21,,,,,
player,201809300rai,cle,MayfBa00,pass_att,41,,,,,
player,201809300rai,cle,MayfBa00,pass_yds,295,,,,,
player,201809300rai,cle,MayfBa00,pass_td,2,,,,,
player,201809300rai,cle,MayfBa00,pass_int,2,,,,,
player,201809300rai,cle,MayfBa00,pass_sacked,2,,,,,
player,201809300rai,cle,MayfBa00,pass_sacked_yds,16,,,,,
player,201809300rai,cle,MayfBa00,pass_long,59,,,,,
player,201809300rai,cle,MayfBa00,pass_rating,70.7,,,,,
player,201809300rai,cle,MayfBa00,rush_att,4,,,,,
player,201809300rai,cle,MayfBa00,rush_yds,10,,,,,
player,201809300rai,cle,MayfBa00,rush_td,0,,,,,
player,201809300rai,cle,MayfBa00,rush_long,7,,,,,
player,201809300rai,cle,MayfBa00,targets,0,,,,,
player,201809300rai,cle,MayfBa00,rec,0,,,,,
player,201809300rai,cle,MayfBa00,rec_yds,0,,,,,
player,201809300rai,cle,MayfBa00,rec_td,0,,,,,
player,201809300rai,cle,MayfBa00,rec_long,0,,,,,
player,201809300rai,cle,MayfBa00,fumbles,2,,,,,
player,201809300rai,cle,MayfBa00,fumbles_lost,2,,,,,
player,201809300rai,cle,ChubNi00,pass_cmp,0,,,,,
player,201809300rai,cle,ChubNi00,pass_att,0,,,,,
player,201809300rai,cle,ChubNi00,pass_yds,0,,,,,
player,201809300rai,cle,ChubNi00,pass_td,0,,,,,
player,201809300rai,cle,ChubNi00,pass_int,0,,,,,
player,201809300rai,cle,ChubNi00,pass_sacked,0,,,,,
player,201809300rai,cle,ChubNi00,pass_sacked_yds,0,,,,,
player,201809300rai,cle,ChubNi00,pass_long,0,,,,,
player,201809300rai,cle,ChubNi00,pass_rating,,,,,,
player,201809300rai,cle,ChubNi00,rush_att,3,,,,,
player,201809300rai,cle,ChubNi00,rush_yds,105,,,,,
player,201809300rai,cle,ChubNi00,rush_td,2,,,,,
player,201809300rai,cle,ChubNi00,rush_long,63,,,,,
player,201809300rai,cle,ChubNi00,targets,0,,,,,
player,201809300rai,cle,ChubNi00,rec,0,,,,,
player,201809300rai,cle,ChubNi00,rec_yds,0,,,,,
player,201809300rai,cle,ChubNi00,rec_td,0,,,,,
player,201809300rai,cle,ChubNi00,rec_long,0,,,,,
player,201809300rai,cle,ChubNi00,fumbles,0,,,,,
player,201809300rai,cle,ChubNi00,fumbles_lost,0,,,,,
player,201809300rai,cle,HydeCa00,pass_cmp,0,,,,,
player,201809300rai,cle,HydeCa00,pass_att,0,,,,,
player,201809300rai,cle,HydeCa00,pass_yds,0,,,,,
player,201809300rai,cle,HydeCa00,pass_td,0,,,,,
player,201809300rai,cle,HydeCa00,pass_int,0,,,,,
player,201809300rai,cle,HydeCa00,pass_sacked,0,,,,,
player,201809300rai,cle,HydeCa00,pass_sacked_yds,0,,,,,
player,201809300rai,cle,HydeCa00,pass_long,0,,,,,
player,201809300rai,cle,HydeCa00,pass_rating,,,,,,
player,201809300rai,cle,HydeCa00,rush_att,22,,,,,
player,201809300rai,cle,HydeCa00,rush_yds,82,,,,,
player,201809300rai,cle,HydeCa00,rush_td,1,,,,,
player,201809300rai,cle,HydeCa00,rush_long,16,,,,,
player,201809300rai,cle,HydeCa00,targets,1,,,,,
player,201809300rai,cle,HydeCa00,rec,0,,,,,
player,201809300rai,cle,HydeCa00,rec_yds,0,,,,,
player,201809300rai,cle,HydeCa00,rec_td,0,,,,,
player,201809300rai,cle,HydeCa00,rec_long,0,,,,,
