game,2018,6,20181014,201810140was,car,"Carolina Panthers",17,was,"Washington Redskins",23
team,201810140was,car,First Downs,22,,,,,,
team,201810140was,was,First Downs,18,,,,,,
team,201810140was,car,Rush-Yds-TDs,18-81-0,,,,,,
team,201810140was,was,Rush-Yds-TDs,28-132-0,,,,,,
team,201810140was,car,Cmp-Att-Yd-TD-INT,27-40-275-2-1,,,,,,
team,201810140was,was,Cmp-Att-Yd-TD-INT,21-36-163-2-0,,,,,,
team,201810140was,car,Sacked-Yards,1-6,,,,,,
team,201810140was,was,Sacked-Yards,3-7,,,,,,
team,201810140was,car,Net Pass Yards,269,,,,,,
team,201810140was,was,Net Pass Yards,156,,,,,,
team,201810140was,car,Total Yards,350,,,,,,
team,201810140was,was,Total Yards,288,,,,,,
team,201810140was,car,Fumbles-Lost,3-2,,,,,,
team,201810140was,was,Fumbles-Lost,1-0,,,,,,
team,201810140was,car,Turnovers,3,,,,,,
team,201810140was,was,Turnovers,0,,,,,,
team,201810140was,car,Penalties-Yards,8-55,,,,,,
team,201810140was,was,Penalties-Yards,5-43,,,,,,
team,201810140was,car,Third Down Conv.,3-9,,,,,,
team,201810140was,was,Third Down Conv.,7-16,,,,,,
team,201810140was,car,Fourth Down Conv.,0-1,,,,,,
team,201810140was,was,Fourth Down Conv.,1-2,,,,,,
team,201810140was,car,Time of Possession,24:36,,,,,,
team,201810140was,was,Time of Possession,35:24,,,,,,
player,201810140was,car,NewtCa00,pass_cmp,27,,,,,
player,201810140was,car,NewtCa00,pass_att,40,,,,,
player,201810140was,car,NewtCa00,pass_yds,275,,,,,
player,201810140was,car,NewtCa00,pass_td,2,,,,,
player,201810140was,car,NewtCa00,pass_int,1,,,,,
player,201810140was,car,NewtCa00,pass_sacked,1,,,,,
player,201810140was,car,NewtCa00,pass_sacked_yds,6,,,,,
player,201810140was,car,NewtCa00,pass_long,23,,,,,
player,201810140was,car,NewtCa00,pass_rating,93.2,,,,,
player,201810140was,car,NewtCa00,rush_att,9,,,,,
