game,2018,9,20181101,201811010sfo,rai,"Oakland Raiders",3,sfo,"San Francisco 49ers",34
team,201811010sfo,rai,First Downs,14,,,,,,
team,201811010sfo,sfo,First Downs,18,,,,,,
team,201811010sfo,rai,Rush-Yds-TDs,23-102-0,,,,,,
team,201811010sfo,sfo,Rush-Yds-TDs,32-143-1,,,,,,
team,201811010sfo,rai,Cmp-Att-Yd-TD-INT,17-24-179-0-0,,,,,,
team,201811010sfo,sfo,Cmp-Att-Yd-TD-INT,16-22-262-3-0,,,,,,
team,201811010sfo,rai,Sacked-Yards,8-39,,,,,,
team,201811010sfo,sfo,Sacked-Yards,0-0,,,,,,
team,201811010sfo,rai,Net Pass Yards,140,,,,,,
team,201811010sfo,sfo,Net Pass Yards,262,,,,,,
team,201811010sfo,rai,Total Yards,242,,,,,,
team,201811010sfo,sfo,Total Yards,405,,,,,,
team,201811010sfo,rai,Fumbles-Lost,4-0,,,,,,
team,201811010sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201811010sfo,rai,Turnovers,0,,,,,,
team,201811010sfo,sfo,Turnovers,0,,,,,,
team,201811010sfo,rai,Penalties-Yards,6-40,,,,,,
team,201811010sfo,sfo,Penalties-Yards,3-23,,,,,,
team,201811010sfo,rai,Third Down Conv.,3-12,,,,,,
team,201811010sfo,sfo,Third Down Conv.,5-12,,,,,,
team,201811010sfo,rai,Fourth Down Conv.,0-1,,,,,,
team,201811010sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201811010sfo,rai,Time of Possession,31:26,,,,,,
team,201811010sfo,sfo,Time of Possession,28:34,,,,,,
player,201811010sfo,rai,CarrDe02,pass_cmp,16,,,,,
player,201811010sfo,rai,CarrDe02,pass_att,21,,,,,
player,201811010sfo,rai,CarrDe02,pass_yds,171,,,,,
player,201811010sfo,rai,CarrDe02,pass_td,0,,,,,
player,201811010sfo,rai,CarrDe02,pass_int,0,,,,,
player,201811010sfo,rai,CarrDe02,pass_sacked,7,,,,,
