game,2018,10,20181111,201811110chi,det,"Detroit Lions",22,chi,"Chicago Bears",34
team,201811110chi,det,First Downs,24,,,,,,
team,201811110chi,chi,First Downs,20,,,,,,
team,201811110chi,det,Rush-Yds-TDs,24-76-1,,,,,,
team,201811110chi,chi,Rush-Yds-TDs,22-54-2,,,,,,
team,201811110chi,det,Cmp-Att-Yd-TD-INT,25-42-274-2-2,,,,,,
team,201811110chi,chi,Cmp-Att-Yd-TD-INT,23-30-355-3-0,,,,,,
team,201811110chi,det,Sacked-Yards,6-45,,,,,,
team,201811110chi,chi,Sacked-Yards,1-7,,,,,,
team,201811110chi,det,Net Pass Yards,229,,,,,,
team,201811110chi,chi,Net Pass Yards,348,,,,,,
team,201811110chi,det,Total Yards,305,,,,,,
team,201811110chi,chi,Total Yards,402,,,,,,
team,201811110chi,det,Fumbles-Lost,3-1,,,,,,
team,201811110chi,chi,Fumbles-Lost,0-0,,,,,,
team,201811110chi,det,Turnovers,3,,,,,,
team,201811110chi,chi,Turnovers,0,,,,,,
team,201811110chi,det,Penalties-Yards,6-41,,,,,,
team,201811110chi,chi,Penalties-Yards,6-46,,,,,,
team,201811110chi,det,Third Down Conv.,4-15,,,,,,
team,201811110chi,chi,Third Down Conv.,4-10,,,,,,
team,201811110chi,det,Fourth Down Conv.,4-5,,,,,,
team,201811110chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201811110chi,det,Time of Possession,32:00,,,,,,
team,201811110chi,chi,Time of Possession,28:00,,,,,,
player,201811110chi,det,StafMa00,pass_cmp,25,,,,,
player,201811110chi,det,StafMa00,pass_att,42,,,,,
player,201811110chi,det,StafMa00,pass_yds,274,,,,,
player,201811110chi,det,StafMa00,pass_td,2,,,,,
player,201811110chi,det,StafMa00,pass_int,2,,,,,
player,201811110chi,det,StafMa00,pass_sacked,6,,,,,
player,201811110chi,det,StafMa00,pass_sacked_yds,45,,,,,
player,201811110chi,det,StafMa00,pass_long,32,,,,,
player,201811110chi,det,StafMa00,pass_rating,74.9,,,,,
player,201811110chi,det,StafMa00,rush_att,2,,,,,
player,201811110chi,det,StafMa00,rush_yds,9,,,,,
player,201811110chi,det,StafMa00,rush_td,0,,,,,
player,201811110chi,det,StafMa00,rush_long,5,,,,,
player,201811110chi,det,StafMa00,targets,0,,,,,
player,201811110chi,det,StafMa00,rec,0,,,,,
player,201811110chi,det,StafMa00,rec_yds,0,,,,,
player,201811110chi,det,StafMa00,rec_td,0,,,,,
player,201811110chi,det,StafMa00,rec_long,0,,,,,
player,201811110chi,det,StafMa00,fumbles,1,,,,,
player,201811110chi,det,StafMa00,fumbles_lost,0,,,,,
player,201811110chi,det,JohnKe06,pass_cmp,0,,,,,
player,201811110chi,det,JohnKe06,pass_att,0,,,,,
player,201811110chi,det,JohnKe06,pass_yds,0,,,,,
player,201811110chi,det,JohnKe06,pass_td,0,,,,,
player,201811110chi,det,JohnKe06,pass_int,0,,,,,
player,201811110chi,det,JohnKe06,pass_sacked,0,,,,,
player,201811110chi,det,JohnKe06,pass_sacked_yds,0,,,,,
player,201811110chi,det,JohnKe06,pass_long,0,,,,,
player,201811110chi,det,JohnKe06,pass_rating,,,,,,
player,201811110chi,det,JohnKe06,rush_att,14,,,,,
player,201811110chi,det,JohnKe06,rush_yds,51,,,,,
player,201811110chi,det,JohnKe06,rush_td,1,,,,,
player,201811110chi,det,JohnKe06,rush_long,10,,,,,
player,201811110chi,det,JohnKe06,targets,6,,,,,
player,201811110chi,det,JohnKe06,rec,6,,,,,
player,201811110chi,det,JohnKe06,rec_yds,38,,,,,
player,201811110chi,det,JohnKe06,rec_td,1,,,,,
player,201811110chi,det,JohnKe06,rec_long,13,,,,,
player,201811110chi,det,JohnKe06,fumbles,1,,,,,
player,201811110chi,det,JohnKe06,fumbles_lost,1,,,,,
player,201811110chi,det,ZennZa00,pass_cmp,0,,,,,
player,201811110chi,det,ZennZa00,pass_att,0,,,,,
player,201811110chi,det,ZennZa00,pass_yds,0,,,,,
player,201811110chi,det,ZennZa00,pass_td,0,,,,,
player,201811110chi,det,ZennZa00,pass_int,0,,,,,
player,201811110chi,det,ZennZa00,pass_sacked,0,,,,,
player,201811110chi,det,ZennZa00,pass_sacked_yds,0,,,,,
player,201811110chi,det,ZennZa00,pass_long,0,,,,,
player,201811110chi,det,ZennZa00,pass_rating,,,,,,
player,201811110chi,det,ZennZa00,rush_att,1,,,,,
player,201811110chi,det,ZennZa00,rush_yds,12,,,,,
player,201811110chi,det,ZennZa00,rush_td,0,,,,,
player,201811110chi,det,ZennZa00,rush_long,12,,,,,
player,201811110chi,det,ZennZa00,targets,0,,,,,
player,201811110chi,det,ZennZa00,rec,0,,,,,
player,201811110chi,det,ZennZa00,rec_yds,0,,,,,
player,201811110chi,det,ZennZa00,rec_td,0,,,,,
player,201811110chi,det,ZennZa00,rec_long,0,,,,,
player,201811110chi,det,ZennZa00,fumbles,0,,,,,
player,201811110chi,det,ZennZa00,fumbles_lost,0,,,,,
player,201811110chi,det,BlouLe00,pass_cmp,0,,,,,
player,201811110chi,det,BlouLe00,pass_att,0,,,,,
player,201811110chi,det,BlouLe00,pass_yds,0,,,,,
player,201811110chi,det,BlouLe00,pass_td,0,,,,,
player,201811110chi,det,BlouLe00,pass_int,0,,,,,
player,201811110chi,det,BlouLe00,pass_sacked,0,,,,,
player,201811110chi,det,BlouLe00,pass_sacked_yds,0,,,,,
player,201811110chi,det,BlouLe00,pass_long,0,,,,,
player,201811110chi,det,BlouLe00,pass_rating,,,,,,
player,201811110chi,det,BlouLe00,rush_att,6,,,,,
player,201811110chi,det,BlouLe00,rush_yds,4,,,,,
player,201811110chi,det,BlouLe00,rush_td,0,,,,,
player,201811110chi,det,BlouLe00,rush_long,5,,,,,
player,201811110chi,det,BlouLe00,targets,0,,,,,
player,201811110chi,det,BlouLe00,rec,0,,,,,
player,201811110chi,det,BlouLe00,rec_yds,0,,,,,
player,201811110chi,det,BlouLe00,rec_td,0,,,,,
player,201811110chi,det,BlouLe00,rec_long,0,,,,,
player,201811110chi,det,BlouLe00,fumbles,0,,,,,
player,201811110chi,det,BlouLe00,fumbles_lost,0,,,,,
player,201811110chi,det,GollKe00,pass_cmp,0,,,,,
player,201811110chi,det,GollKe00,pass_att,0,,,,,
player,201811110chi,det,GollKe00,pass_yds,0,,,,,
player,201811110chi,det,GollKe00,pass_td,0,,,,,
player,201811110chi,det,GollKe00,pass_int,0,,,,,
player,201811110chi,det,GollKe00,pass_sacked,0,,,,,
player,201811110chi,det,GollKe00,pass_sacked_yds,0,,,,,
player,201811110chi,det,GollKe00,pass_long,0,,,,,
player,201811110chi,det,GollKe00,pass_rating,,,,,,
player,201811110chi,det,GollKe00,rush_att,0,,,,,
player,201811110chi,det,GollKe00,rush_yds,0,,,,,
player,201811110chi,det,GollKe00,rush_td,0,,,,,
player,201811110chi,det,GollKe00,rush_long,0,,,,,
player,201811110chi,det,GollKe00,targets,13,,,,,
player,201811110chi,det,GollKe00,rec,6,,,,,
player,201811110chi,det,GollKe00,rec_yds,78,,,,,
player,201811110chi,det,GollKe00,rec_td,1,,,,,
player,201811110chi,det,GollKe00,rec_long,25,,,,,
player,201811110chi,det,GollKe00,fumbles,1,,,,,
player,201811110chi,det,GollKe00,fumbles_lost,0,,,,,
player,201811110chi,det,RiddTh00,pass_cmp,0,,,,,
player,201811110chi,det,RiddTh00,pass_att,0,,,,,
player,201811110chi,det,RiddTh00,pass_yds,0,,,,,
player,201811110chi,det,RiddTh00,pass_td,0,,,,,
player,201811110chi,det,RiddTh00,pass_int,0,,,,,
player,201811110chi,det,RiddTh00,pass_sacked,0,,,,,
player,201811110chi,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201811110chi,det,RiddTh00,pass_long,0,,,,,
player,201811110chi,det,RiddTh00,pass_rating,,,,,,
player,201811110chi,det,RiddTh00,rush_att,0,,,,,
player,201811110chi,det,RiddTh00,rush_yds,0,,,,,
player,201811110chi,det,RiddTh00,rush_td,0,,,,,
player,201811110chi,det,RiddTh00,rush_long,0,,,,,
player,201811110chi,det,RiddTh00,targets,7,,,,,
player,201811110chi,det,RiddTh00,rec,6,,,,,
player,201811110chi,det,RiddTh00,rec_yds,60,,,,,
player,201811110chi,det,RiddTh00,rec_td,0,,,,,
player,201811110chi,det,RiddTh00,rec_long,18,,,,,
player,201811110chi,det,RiddTh00,fumbles,0,,,,,
player,201811110chi,det,RiddTh00,fumbles_lost,0,,,,,
player,201811110chi,det,JoneMa02,pass_cmp,0,,,,,
player,201811110chi,det,JoneMa02,pass_att,0,,,,,
player,201811110chi,det,JoneMa02,pass_yds,0,,,,,
player,201811110chi,det,JoneMa02,pass_td,0,,,,,
player,201811110chi,det,JoneMa02,pass_int,0,,,,,
player,201811110chi,det,JoneMa02,pass_sacked,0,,,,,
player,201811110chi,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201811110chi,det,JoneMa02,pass_long,0,,,,,
