game,2018,10,20181111,201811110tam,was,"Washington Redskins",16,tam,"Tampa Bay Buccaneers",3
team,201811110tam,was,First Downs,15,,,,,,
team,201811110tam,tam,First Downs,29,,,,,,
team,201811110tam,was,Rush-Yds-TDs,25-116-0,,,,,,
team,201811110tam,tam,Rush-Yds-TDs,24-103-0,,,,,,
team,201811110tam,was,Cmp-Att-Yd-TD-INT,19-27-178-1-0,,,,,,
team,201811110tam,tam,Cmp-Att-Yd-TD-INT,29-41-406-0-2,,,,,,
team,201811110tam,was,Sacked-Yards,3-8,,,,,,
team,201811110tam,tam,Sacked-Yards,2-8,,,,,,
team,201811110tam,was,Net Pass Yards,170,,,,,,
team,201811110tam,tam,Net Pass Yards,398,,,,,,
team,201811110tam,was,Total Yards,286,,,,,,
team,201811110tam,tam,Total Yards,501,,,,,,
team,201811110tam,was,Fumbles-Lost,0-0,,,,,,
team,201811110tam,tam,Fumbles-Lost,4-2,,,,,,
team,201811110tam,was,Turnovers,0,,,,,,
team,201811110tam,tam,Turnovers,4,,,,,,
team,201811110tam,was,Penalties-Yards,8-52,,,,,,
team,201811110tam,tam,Penalties-Yards,5-50,,,,,,
team,201811110tam,was,Third Down Conv.,5-13,,,,,,
team,201811110tam,tam,Third Down Conv.,6-10,,,,,,
team,201811110tam,was,Fourth Down Conv.,0-0,,,,,,
team,201811110tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201811110tam,was,Time of Possession,28:48,,,,,,
team,201811110tam,tam,Time of Possession,31:12,,,,,,
player,201811110tam,was,SmitAl03,pass_cmp,19,,,,,
player,201811110tam,was,SmitAl03,pass_att,27,,,,,
player,201811110tam,was,SmitAl03,pass_yds,178,,,,,
player,201811110tam,was,SmitAl03,pass_td,1,,,,,
player,201811110tam,was,SmitAl03,pass_int,0,,,,,
player,201811110tam,was,SmitAl03,pass_sacked,3,,,,,
player,201811110tam,was,SmitAl03,pass_sacked_yds,8,,,,,
player,201811110tam,was,SmitAl03,pass_long,24,,,,,
player,201811110tam,was,SmitAl03,pass_rating,100.5,,,,,
player,201811110tam,was,SmitAl03,rush_att,2,,,,,
player,201811110tam,was,SmitAl03,rush_yds,16,,,,,
player,201811110tam,was,SmitAl03,rush_td,0,,,,,
player,201811110tam,was,SmitAl03,rush_long,9,,,,,
player,201811110tam,was,SmitAl03,targets,0,,,,,
player,201811110tam,was,SmitAl03,rec,0,,,,,
player,201811110tam,was,SmitAl03,rec_yds,0,,,,,
player,201811110tam,was,SmitAl03,rec_td,0,,,,,
player,201811110tam,was,SmitAl03,rec_long,0,,,,,
player,201811110tam,was,SmitAl03,fumbles,0,,,,,
player,201811110tam,was,SmitAl03,fumbles_lost,0,,,,,
player,201811110tam,was,PeteAd01,pass_cmp,0,,,,,
player,201811110tam,was,PeteAd01,pass_att,0,,,,,
player,201811110tam,was,PeteAd01,pass_yds,0,,,,,
player,201811110tam,was,PeteAd01,pass_td,0,,,,,
player,201811110tam,was,PeteAd01,pass_int,0,,,,,
player,201811110tam,was,PeteAd01,pass_sacked,0,,,,,
player,201811110tam,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201811110tam,was,PeteAd01,pass_long,0,,,,,
player,201811110tam,was,PeteAd01,pass_rating,,,,,,
player,201811110tam,was,PeteAd01,rush_att,19,,,,,
player,201811110tam,was,PeteAd01,rush_yds,68,,,,,
player,201811110tam,was,PeteAd01,rush_td,0,,,,,
player,201811110tam,was,PeteAd01,rush_long,18,,,,,
player,201811110tam,was,PeteAd01,targets,2,,,,,
player,201811110tam,was,PeteAd01,rec,2,,,,,
player,201811110tam,was,PeteAd01,rec_yds,1,,,,,
player,201811110tam,was,PeteAd01,rec_td,0,,,,,
player,201811110tam,was,PeteAd01,rec_long,2,,,,,
player,201811110tam,was,PeteAd01,fumbles,0,,,,,
player,201811110tam,was,PeteAd01,fumbles_lost,0,,,,,
player,201811110tam,was,BibbKa00,pass_cmp,0,,,,,
player,201811110tam,was,BibbKa00,pass_att,0,,,,,
player,201811110tam,was,BibbKa00,pass_yds,0,,,,,
player,201811110tam,was,BibbKa00,pass_td,0,,,,,
player,201811110tam,was,BibbKa00,pass_int,0,,,,,
player,201811110tam,was,BibbKa00,pass_sacked,0,,,,,
player,201811110tam,was,BibbKa00,pass_sacked_yds,0,,,,,
player,201811110tam,was,BibbKa00,pass_long,0,,,,,
player,201811110tam,was,BibbKa00,pass_rating,,,,,,
player,201811110tam,was,BibbKa00,rush_att,3,,,,,
player,201811110tam,was,BibbKa00,rush_yds,28,,,,,
player,201811110tam,was,BibbKa00,rush_td,0,,,,,
player,201811110tam,was,BibbKa00,rush_long,15,,,,,
player,201811110tam,was,BibbKa00,targets,4,,,,,
player,201811110tam,was,BibbKa00,rec,2,,,,,
player,201811110tam,was,BibbKa00,rec_yds,13,,,,,
player,201811110tam,was,BibbKa00,rec_td,0,,,,,
player,201811110tam,was,BibbKa00,rec_long,11,,,,,
player,201811110tam,was,BibbKa00,fumbles,0,,,,,
player,201811110tam,was,BibbKa00,fumbles_lost,0,,,,,
player,201811110tam,was,HarrMa05,pass_cmp,0,,,,,
player,201811110tam,was,HarrMa05,pass_att,0,,,,,
player,201811110tam,was,HarrMa05,pass_yds,0,,,,,
player,201811110tam,was,HarrMa05,pass_td,0,,,,,
player,201811110tam,was,HarrMa05,pass_int,0,,,,,
player,201811110tam,was,HarrMa05,pass_sacked,0,,,,,
player,201811110tam,was,HarrMa05,pass_sacked_yds,0,,,,,
player,201811110tam,was,HarrMa05,pass_long,0,,,,,
player,201811110tam,was,HarrMa05,pass_rating,,,,,,
player,201811110tam,was,HarrMa05,rush_att,1,,,,,
player,201811110tam,was,HarrMa05,rush_yds,4,,,,,
player,201811110tam,was,HarrMa05,rush_td,0,,,,,
player,201811110tam,was,HarrMa05,rush_long,4,,,,,
player,201811110tam,was,HarrMa05,targets,5,,,,,
player,201811110tam,was,HarrMa05,rec,5,,,,,
player,201811110tam,was,HarrMa05,rec_yds,52,,,,,
player,201811110tam,was,HarrMa05,rec_td,0,,,,,
player,201811110tam,was,HarrMa05,rec_long,20,,,,,
player,201811110tam,was,HarrMa05,fumbles,0,,,,,
player,201811110tam,was,HarrMa05,fumbles_lost,0,,,,,
player,201811110tam,was,ReedJo02,pass_cmp,0,,,,,
player,201811110tam,was,ReedJo02,pass_att,0,,,,,
player,201811110tam,was,ReedJo02,pass_yds,0,,,,,
player,201811110tam,was,ReedJo02,pass_td,0,,,,,
player,201811110tam,was,ReedJo02,pass_int,0,,,,,
player,201811110tam,was,ReedJo02,pass_sacked,0,,,,,
player,201811110tam,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201811110tam,was,ReedJo02,pass_long,0,,,,,
player,201811110tam,was,ReedJo02,pass_rating,,,,,,
player,201811110tam,was,ReedJo02,rush_att,0,,,,,
player,201811110tam,was,ReedJo02,rush_yds,0,,,,,
player,201811110tam,was,ReedJo02,rush_td,0,,,,,
player,201811110tam,was,ReedJo02,rush_long,0,,,,,
player,201811110tam,was,ReedJo02,targets,6,,,,,
player,201811110tam,was,ReedJo02,rec,4,,,,,
player,201811110tam,was,ReedJo02,rec_yds,51,,,,,
player,201811110tam,was,ReedJo02,rec_td,0,,,,,
player,201811110tam,was,ReedJo02,rec_long,24,,,,,
player,201811110tam,was,ReedJo02,fumbles,0,,,,,
player,201811110tam,was,ReedJo02,fumbles_lost,0,,,,,
player,201811110tam,was,DoctJo00,pass_cmp,0,,,,,
player,201811110tam,was,DoctJo00,pass_att,0,,,,,
player,201811110tam,was,DoctJo00,pass_yds,0,,,,,
player,201811110tam,was,DoctJo00,pass_td,0,,,,,
player,201811110tam,was,DoctJo00,pass_int,0,,,,,
