game,2018,11,20181115,201811150sea,gnb,"Green Bay Packers",24,sea,"Seattle Seahawks",27
team,201811150sea,gnb,First Downs,14,,,,,,
team,201811150sea,sea,First Downs,23,,,,,,
team,201811150sea,gnb,Rush-Yds-TDs,13-48-1,,,,,,
team,201811150sea,sea,Rush-Yds-TDs,35-173-1,,,,,,
team,201811150sea,gnb,Cmp-Att-Yd-TD-INT,21-30-332-2-0,,,,,,
team,201811150sea,sea,Cmp-Att-Yd-TD-INT,21-31-225-2-0,,,,,,
team,201811150sea,gnb,Sacked-Yards,5-21,,,,,,
team,201811150sea,sea,Sacked-Yards,3-20,,,,,,
team,201811150sea,gnb,Net Pass Yards,311,,,,,,
team,201811150sea,sea,Net Pass Yards,205,,,,,,
team,201811150sea,gnb,Total Yards,359,,,,,,
team,201811150sea,sea,Total Yards,378,,,,,,
team,201811150sea,gnb,Fumbles-Lost,0-0,,,,,,
team,201811150sea,sea,Fumbles-Lost,2-1,,,,,,
team,201811150sea,gnb,Turnovers,0,,,,,,
team,201811150sea,sea,Turnovers,1,,,,,,
team,201811150sea,gnb,Penalties-Yards,5-80,,,,,,
team,201811150sea,sea,Penalties-Yards,6-30,,,,,,
team,201811150sea,gnb,Third Down Conv.,3-11,,,,,,
team,201811150sea,sea,Third Down Conv.,6-15,,,,,,
team,201811150sea,gnb,Fourth Down Conv.,0-0,,,,,,
team,201811150sea,sea,Fourth Down Conv.,2-2,,,,,,
team,201811150sea,gnb,Time of Possession,25:42,,,,,,
team,201811150sea,sea,Time of Possession,34:18,,,,,,
player,201811150sea,gnb,RodgAa00,pass_cmp,21,,,,,
player,201811150sea,gnb,RodgAa00,pass_att,30,,,,,
player,201811150sea,gnb,RodgAa00,pass_yds,332,,,,,
player,201811150sea,gnb,RodgAa00,pass_td,2,,,,,
player,201811150sea,gnb,RodgAa00,pass_int,0,,,,,
player,201811150sea,gnb,RodgAa00,pass_sacked,5,,,,,
player,201811150sea,gnb,RodgAa00,pass_sacked_yds,21,,,,,
player,201811150sea,gnb,RodgAa00,pass_long,57,,,,,
player,201811150sea,gnb,RodgAa00,pass_rating,128.7,,,,,
player,201811150sea,gnb,RodgAa00,rush_att,1,,,,,
player,201811150sea,gnb,RodgAa00,rush_yds,3,,,,,
player,201811150sea,gnb,RodgAa00,rush_td,0,,,,,
player,201811150sea,gnb,RodgAa00,rush_long,3,,,,,
player,201811150sea,gnb,RodgAa00,targets,0,,,,,
player,201811150sea,gnb,RodgAa00,rec,0,,,,,
player,201811150sea,gnb,RodgAa00,rec_yds,0,,,,,
player,201811150sea,gnb,RodgAa00,rec_td,0,,,,,
player,201811150sea,gnb,RodgAa00,rec_long,0,,,,,
player,201811150sea,gnb,RodgAa00,fumbles,0,,,,,
player,201811150sea,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_cmp,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_att,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_yds,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_td,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_int,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_sacked,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_long,0,,,,,
player,201811150sea,gnb,JoneAa00,pass_rating,,,,,,
player,201811150sea,gnb,JoneAa00,rush_att,11,,,,,
player,201811150sea,gnb,JoneAa00,rush_yds,40,,,,,
player,201811150sea,gnb,JoneAa00,rush_td,1,,,,,
player,201811150sea,gnb,JoneAa00,rush_long,8,,,,,
player,201811150sea,gnb,JoneAa00,targets,6,,,,,
player,201811150sea,gnb,JoneAa00,rec,5,,,,,
player,201811150sea,gnb,JoneAa00,rec_yds,63,,,,,
player,201811150sea,gnb,JoneAa00,rec_td,1,,,,,
player,201811150sea,gnb,JoneAa00,rec_long,24,,,,,
player,201811150sea,gnb,JoneAa00,fumbles,0,,,,,
player,201811150sea,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201811150sea,gnb,WillJa06,pass_cmp,0,,,,,
