game,2018,12,20181125,201811250car,sea,"Seattle Seahawks",30,car,"Carolina Panthers",27
team,201811250car,sea,First Downs,21,,,,,,
team,201811250car,car,First Downs,26,,,,,,
team,201811250car,sea,Rush-Yds-TDs,28-75-1,,,,,,
team,201811250car,car,Rush-Yds-TDs,27-220-1,,,,,,
team,201811250car,sea,Cmp-Att-Yd-TD-INT,22-31-339-2-0,,,,,,
team,201811250car,car,Cmp-Att-Yd-TD-INT,25-30-256-2-1,,,,,,
team,201811250car,sea,Sacked-Yards,2-17,,,,,,
team,201811250car,car,Sacked-Yards,0-0,,,,,,
team,201811250car,sea,Net Pass Yards,322,,,,,,
team,201811250car,car,Net Pass Yards,256,,,,,,
team,201811250car,sea,Total Yards,397,,,,,,
team,201811250car,car,Total Yards,476,,,,,,
team,201811250car,sea,Fumbles-Lost,1-0,,,,,,
team,201811250car,car,Fumbles-Lost,5-0,,,,,,
team,201811250car,sea,Turnovers,0,,,,,,
team,201811250car,car,Turnovers,1,,,,,,
team,201811250car,sea,Penalties-Yards,4-36,,,,,,
team,201811250car,car,Penalties-Yards,3-30,,,,,,
team,201811250car,sea,Third Down Conv.,6-14,,,,,,
team,201811250car,car,Third Down Conv.,3-8,,,,,,
team,201811250car,sea,Fourth Down Conv.,2-2,,,,,,
team,201811250car,car,Fourth Down Conv.,0-1,,,,,,
team,201811250car,sea,Time of Possession,30:26,,,,,,
team,201811250car,car,Time of Possession,29:34,,,,,,
player,201811250car,sea,WilsRu00,pass_cmp,22,,,,,
player,201811250car,sea,WilsRu00,pass_att,31,,,,,
player,201811250car,sea,WilsRu00,pass_yds,339,,,,,
player,201811250car,sea,WilsRu00,pass_td,2,,,,,
player,201811250car,sea,WilsRu00,pass_int,0,,,,,
player,201811250car,sea,WilsRu00,pass_sacked,2,,,,,
player,201811250car,sea,WilsRu00,pass_sacked_yds,17,,,,,
player,201811250car,sea,WilsRu00,pass_long,54,,,,,
player,201811250car,sea,WilsRu00,pass_rating,128.3,,,,,
player,201811250car,sea,WilsRu00,rush_att,3,,,,,
player,201811250car,sea,WilsRu00,rush_yds,4,,,,,
player,201811250car,sea,WilsRu00,rush_td,0,,,,,
player,201811250car,sea,WilsRu00,rush_long,7,,,,,
player,201811250car,sea,WilsRu00,targets,0,,,,,
player,201811250car,sea,WilsRu00,rec,0,,,,,
player,201811250car,sea,WilsRu00,rec_yds,0,,,,,
player,201811250car,sea,WilsRu00,rec_td,0,,,,,
player,201811250car,sea,WilsRu00,rec_long,0,,,,,
player,201811250car,sea,WilsRu00,fumbles,0,,,,,
player,201811250car,sea,WilsRu00,fumbles_lost,0,,,,,
player,201811250car,sea,CarsCh00,pass_cmp,0,,,,,
player,201811250car,sea,CarsCh00,pass_att,0,,,,,
player,201811250car,sea,CarsCh00,pass_yds,0,,,,,
player,201811250car,sea,CarsCh00,pass_td,0,,,,,
player,201811250car,sea,CarsCh00,pass_int,0,,,,,
player,201811250car,sea,CarsCh00,pass_sacked,0,,,,,
player,201811250car,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201811250car,sea,CarsCh00,pass_long,0,,,,,
player,201811250car,sea,CarsCh00,pass_rating,,,,,,
player,201811250car,sea,CarsCh00,rush_att,16,,,,,
player,201811250car,sea,CarsCh00,rush_yds,55,,,,,
player,201811250car,sea,CarsCh00,rush_td,1,,,,,
player,201811250car,sea,CarsCh00,rush_long,16,,,,,
player,201811250car,sea,CarsCh00,targets,2,,,,,
player,201811250car,sea,CarsCh00,rec,2,,,,,
player,201811250car,sea,CarsCh00,rec_yds,8,,,,,
player,201811250car,sea,CarsCh00,rec_td,0,,,,,
