game,2018,14,20181209,201812090cle,car,"Carolina Panthers",20,cle,"Cleveland Browns",26
team,201812090cle,car,First Downs,22,,,,,,
team,201812090cle,cle,First Downs,12,,,,,,
team,201812090cle,car,Rush-Yds-TDs,25-96-2,,,,,,
team,201812090cle,cle,Rush-Yds-TDs,21-116-2,,,,,,
team,201812090cle,car,Cmp-Att-Yd-TD-INT,27-43-298-0-1,,,,,,
team,201812090cle,cle,Cmp-Att-Yd-TD-INT,18-23-238-1-0,,,,,,
team,201812090cle,car,Sacked-Yards,1-1,,,,,,
team,201812090cle,cle,Sacked-Yards,1-6,,,,,,
team,201812090cle,car,Net Pass Yards,297,,,,,,
team,201812090cle,cle,Net Pass Yards,232,,,,,,
team,201812090cle,car,Total Yards,393,,,,,,
team,201812090cle,cle,Total Yards,348,,,,,,
team,201812090cle,car,Fumbles-Lost,0-0,,,,,,
team,201812090cle,cle,Fumbles-Lost,3-2,,,,,,
team,201812090cle,car,Turnovers,1,,,,,,
team,201812090cle,cle,Turnovers,2,,,,,,
team,201812090cle,car,Penalties-Yards,10-68,,,,,,
team,201812090cle,cle,Penalties-Yards,7-52,,,,,,
team,201812090cle,car,Third Down Conv.,5-14,,,,,,
team,201812090cle,cle,Third Down Conv.,4-9,,,,,,
team,201812090cle,car,Fourth Down Conv.,2-3,,,,,,
team,201812090cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201812090cle,car,Time of Possession,33:50,,,,,,
team,201812090cle,cle,Time of Possession,26:10,,,,,,
player,201812090cle,car,NewtCa00,pass_cmp,26,,,,,
player,201812090cle,car,NewtCa00,pass_att,42,,,,,
player,201812090cle,car,NewtCa00,pass_yds,265,,,,,
player,201812090cle,car,NewtCa00,pass_td,0,,,,,
player,201812090cle,car,NewtCa00,pass_int,1,,,,,
player,201812090cle,car,NewtCa00,pass_sacked,1,,,,,
player,201812090cle,car,NewtCa00,pass_sacked_yds,1,,,,,
player,201812090cle,car,NewtCa00,pass_long,40,,,,,
player,201812090cle,car,NewtCa00,pass_rating,70.0,,,,,
player,201812090cle,car,NewtCa00,rush_att,5,,,,,
player,201812090cle,car,NewtCa00,rush_yds,23,,,,,
player,201812090cle,car,NewtCa00,rush_td,0,,,,,
player,201812090cle,car,NewtCa00,rush_long,11,,,,,
player,201812090cle,car,NewtCa00,targets,0,,,,,
player,201812090cle,car,NewtCa00,rec,0,,,,,
