game,2018,15,20181215,201812150den,cle,"Cleveland Browns",17,den,"Denver Broncos",16
team,201812150den,cle,First Downs,21,,,,,,
team,201812150den,den,First Downs,22,,,,,,
team,201812150den,cle,Rush-Yds-TDs,28-134-0,,,,,,
team,201812150den,den,Rush-Yds-TDs,20-32-1,,,,,,
team,201812150den,cle,Cmp-Att-Yd-TD-INT,18-31-188-2-1,,,,,,
team,201812150den,den,Cmp-Att-Yd-TD-INT,31-48-257-0-2,,,,,,
team,201812150den,cle,Sacked-Yards,2-13,,,,,,
team,201812150den,den,Sacked-Yards,2-19,,,,,,
team,201812150den,cle,Net Pass Yards,175,,,,,,
team,201812150den,den,Net Pass Yards,238,,,,,,
team,201812150den,cle,Total Yards,309,,,,,,
team,201812150den,den,Total Yards,270,,,,,,
team,201812150den,cle,Fumbles-Lost,1-1,,,,,,
team,201812150den,den,Fumbles-Lost,0-0,,,,,,
team,201812150den,cle,Turnovers,2,,,,,,
team,201812150den,den,Turnovers,2,,,,,,
team,201812150den,cle,Penalties-Yards,6-75,,,,,,
team,201812150den,den,Penalties-Yards,8-51,,,,,,
team,201812150den,cle,Third Down Conv.,5-12,,,,,,
team,201812150den,den,Third Down Conv.,5-14,,,,,,
team,201812150den,cle,Fourth Down Conv.,1-2,,,,,,
team,201812150den,den,Fourth Down Conv.,1-2,,,,,,
team,201812150den,cle,Time of Possession,27:18,,,,,,
team,201812150den,den,Time of Possession,32:42,,,,,,
player,201812150den,cle,MayfBa00,pass_cmp,18,,,,,
player,201812150den,cle,MayfBa00,pass_att,31,,,,,
player,201812150den,cle,MayfBa00,pass_yds,188,,,,,
player,201812150den,cle,MayfBa00,pass_td,2,,,,,
player,201812150den,cle,MayfBa00,pass_int,1,,,,,
player,201812150den,cle,MayfBa00,pass_sacked,2,,,,,
player,201812150den,cle,MayfBa00,pass_sacked_yds,13,,,,,
player,201812150den,cle,MayfBa00,pass_long,31,,,,,
player,201812150den,cle,MayfBa00,pass_rating,83.8,,,,,
player,201812150den,cle,MayfBa00,rush_att,4,,,,,
player,201812150den,cle,MayfBa00,rush_yds,6,,,,,
player,201812150den,cle,MayfBa00,rush_td,0,,,,,
player,201812150den,cle,MayfBa00,rush_long,9,,,,,
player,201812150den,cle,MayfBa00,targets,0,,,,,
player,201812150den,cle,MayfBa00,rec,0,,,,,
player,201812150den,cle,MayfBa00,rec_yds,0,,,,,
player,201812150den,cle,MayfBa00,rec_td,0,,,,,
player,201812150den,cle,MayfBa00,rec_long,0,,,,,
player,201812150den,cle,MayfBa00,fumbles,1,,,,,
player,201812150den,cle,MayfBa00,fumbles_lost,1,,,,,
player,201812150den,cle,ChubNi00,pass_cmp,0,,,,,
player,201812150den,cle,ChubNi00,pass_att,0,,,,,
player,201812150den,cle,ChubNi00,pass_yds,0,,,,,
player,201812150den,cle,ChubNi00,pass_td,0,,,,,
player,201812150den,cle,ChubNi00,pass_int,0,,,,,
player,201812150den,cle,ChubNi00,pass_sacked,0,,,,,
player,201812150den,cle,ChubNi00,pass_sacked_yds,0,,,,,
player,201812150den,cle,ChubNi00,pass_long,0,,,,,
player,201812150den,cle,ChubNi00,pass_rating,,,,,,
player,201812150den,cle,ChubNi00,rush_att,20,,,,,
player,201812150den,cle,ChubNi00,rush_yds,100,,,,,
player,201812150den,cle,ChubNi00,rush_td,0,,,,,
player,201812150den,cle,ChubNi00,rush_long,40,,,,,
player,201812150den,cle,ChubNi00,targets,1,,,,,
player,201812150den,cle,ChubNi00,rec,0,,,,,
player,201812150den,cle,ChubNi00,rec_yds,0,,,,,
player,201812150den,cle,ChubNi00,rec_td,0,,,,,
player,201812150den,cle,ChubNi00,rec_long,0,,,,,
player,201812150den,cle,ChubNi00,fumbles,0,,,,,
player,201812150den,cle,ChubNi00,fumbles_lost,0,,,,,
player,201812150den,cle,JohnDu00,pass_cmp,0,,,,,
player,201812150den,cle,JohnDu00,pass_att,0,,,,,
player,201812150den,cle,JohnDu00,pass_yds,0,,,,,
player,201812150den,cle,JohnDu00,pass_td,0,,,,,
player,201812150den,cle,JohnDu00,pass_int,0,,,,,
player,201812150den,cle,JohnDu00,pass_sacked,0,,,,,
player,201812150den,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201812150den,cle,JohnDu00,pass_long,0,,,,,
player,201812150den,cle,JohnDu00,pass_rating,,,,,,
player,201812150den,cle,JohnDu00,rush_att,4,,,,,
player,201812150den,cle,JohnDu00,rush_yds,28,,,,,
player,201812150den,cle,JohnDu00,rush_td,0,,,,,
