game,2018,15,20181216,201812160atl,crd,"Arizona Cardinals",14,atl,"Atlanta Falcons",40
team,201812160atl,crd,First Downs,18,,,,,,
team,201812160atl,atl,First Downs,23,,,,,,
team,201812160atl,crd,Rush-Yds-TDs,22-60-1,,,,,,
team,201812160atl,atl,Rush-Yds-TDs,27-215-2,,,,,,
team,201812160atl,crd,Cmp-Att-Yd-TD-INT,23-36-243-1-2,,,,,,
team,201812160atl,atl,Cmp-Att-Yd-TD-INT,22-36-231-2-0,,,,,,
team,201812160atl,crd,Sacked-Yards,7-50,,,,,,
team,201812160atl,atl,Sacked-Yards,2-11,,,,,,
team,201812160atl,crd,Net Pass Yards,193,,,,,,
team,201812160atl,atl,Net Pass Yards,220,,,,,,
team,201812160atl,crd,Total Yards,253,,,,,,
team,201812160atl,atl,Total Yards,435,,,,,,
team,201812160atl,crd,Fumbles-Lost,1-1,,,,,,
team,201812160atl,atl,Fumbles-Lost,0-0,,,,,,
team,201812160atl,crd,Turnovers,3,,,,,,
team,201812160atl,atl,Turnovers,0,,,,,,
team,201812160atl,crd,Penalties-Yards,8-75,,,,,,
team,201812160atl,atl,Penalties-Yards,6-50,,,,,,
team,201812160atl,crd,Third Down Conv.,3-13,,,,,,
team,201812160atl,atl,Third Down Conv.,5-13,,,,,,
team,201812160atl,crd,Fourth Down Conv.,2-2,,,,,,
team,201812160atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201812160atl,crd,Time of Possession,29:20,,,,,,
team,201812160atl,atl,Time of Possession,30:40,,,,,,
player,201812160atl,crd,RoseJo01,pass_cmp,13,,,,,
player,201812160atl,crd,RoseJo01,pass_att,22,,,,,
player,201812160atl,crd,RoseJo01,pass_yds,132,,,,,
player,201812160atl,crd,RoseJo01,pass_td,0,,,,,
player,201812160atl,crd,RoseJo01,pass_int,2,,,,,
player,201812160atl,crd,RoseJo01,pass_sacked,6,,,,,
player,201812160atl,crd,RoseJo01,pass_sacked_yds,42,,,,,
player,201812160atl,crd,RoseJo01,pass_long,40,,,,,
player,201812160atl,crd,RoseJo01,pass_rating,38.4,,,,,
player,201812160atl,crd,RoseJo01,rush_att,2,,,,,
player,201812160atl,crd,RoseJo01,rush_yds,8,,,,,
player,201812160atl,crd,RoseJo01,rush_td,0,,,,,
player,201812160atl,crd,RoseJo01,rush_long,9,,,,,
player,201812160atl,crd,RoseJo01,targets,0,,,,,
player,201812160atl,crd,RoseJo01,rec,0,,,,,
player,201812160atl,crd,RoseJo01,rec_yds,0,,,,,
player,201812160atl,crd,RoseJo01,rec_td,0,,,,,
player,201812160atl,crd,RoseJo01,rec_long,0,,,,,
player,201812160atl,crd,RoseJo01,fumbles,1,,,,,
player,201812160atl,crd,RoseJo01,fumbles_lost,1,,,,,
player,201812160atl,crd,GlenMi00,pass_cmp,10,,,,,
player,201812160atl,crd,GlenMi00,pass_att,14,,,,,
player,201812160atl,crd,GlenMi00,pass_yds,111,,,,,
player,201812160atl,crd,GlenMi00,pass_td,1,,,,,
player,201812160atl,crd,GlenMi00,pass_int,0,,,,,
player,201812160atl,crd,GlenMi00,pass_sacked,1,,,,,
player,201812160atl,crd,GlenMi00,pass_sacked_yds,8,,,,,
player,201812160atl,crd,GlenMi00,pass_long,26,,,,,
player,201812160atl,crd,GlenMi00,pass_rating,118.5,,,,,
player,201812160atl,crd,GlenMi00,rush_att,0,,,,,
player,201812160atl,crd,GlenMi00,rush_yds,0,,,,,
player,201812160atl,crd,GlenMi00,rush_td,0,,,,,
player,201812160atl,crd,GlenMi00,rush_long,0,,,,,
player,201812160atl,crd,GlenMi00,targets,0,,,,,
player,201812160atl,crd,GlenMi00,rec,0,,,,,
player,201812160atl,crd,GlenMi00,rec_yds,0,,,,,
player,201812160atl,crd,GlenMi00,rec_td,0,,,,,
player,201812160atl,crd,GlenMi00,rec_long,0,,,,,
player,201812160atl,crd,GlenMi00,fumbles,0,,,,,
player,201812160atl,crd,GlenMi00,fumbles_lost,0,,,,,
player,201812160atl,crd,JohnDa08,pass_cmp,0,,,,,
player,201812160atl,crd,JohnDa08,pass_att,0,,,,,
player,201812160atl,crd,JohnDa08,pass_yds,0,,,,,
player,201812160atl,crd,JohnDa08,pass_td,0,,,,,
player,201812160atl,crd,JohnDa08,pass_int,0,,,,,
player,201812160atl,crd,JohnDa08,pass_sacked,0,,,,,
player,201812160atl,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201812160atl,crd,JohnDa08,pass_long,0,,,,,
player,201812160atl,crd,JohnDa08,pass_rating,,,,,,
player,201812160atl,crd,JohnDa08,rush_att,11,,,,,
player,201812160atl,crd,JohnDa08,rush_yds,33,,,,,
player,201812160atl,crd,JohnDa08,rush_td,1,,,,,
player,201812160atl,crd,JohnDa08,rush_long,10,,,,,
player,201812160atl,crd,JohnDa08,targets,6,,,,,
player,201812160atl,crd,JohnDa08,rec,3,,,,,
player,201812160atl,crd,JohnDa08,rec_yds,68,,,,,
player,201812160atl,crd,JohnDa08,rec_td,0,,,,,
player,201812160atl,crd,JohnDa08,rec_long,40,,,,,
player,201812160atl,crd,JohnDa08,fumbles,0,,,,,
player,201812160atl,crd,JohnDa08,fumbles_lost,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_cmp,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_att,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_yds,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_td,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_int,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_sacked,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_sacked_yds,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_long,0,,,,,
player,201812160atl,crd,EdmoCh00,pass_rating,,,,,,
player,201812160atl,crd,EdmoCh00,rush_att,8,,,,,
player,201812160atl,crd,EdmoCh00,rush_yds,22,,,,,
player,201812160atl,crd,EdmoCh00,rush_td,0,,,,,
player,201812160atl,crd,EdmoCh00,rush_long,13,,,,,
player,201812160atl,crd,EdmoCh00,targets,2,,,,,
player,201812160atl,crd,EdmoCh00,rec,2,,,,,
player,201812160atl,crd,EdmoCh00,rec_yds,22,,,,,
player,201812160atl,crd,EdmoCh00,rec_td,0,,,,,
player,201812160atl,crd,EdmoCh00,rec_long,13,,,,,
player,201812160atl,crd,EdmoCh00,fumbles,0,,,,,
player,201812160atl,crd,EdmoCh00,fumbles_lost,0,,,,,
player,201812160atl,crd,FitzLa00,pass_cmp,0,,,,,
player,201812160atl,crd,FitzLa00,pass_att,0,,,,,
player,201812160atl,crd,FitzLa00,pass_yds,0,,,,,
player,201812160atl,crd,FitzLa00,pass_td,0,,,,,
player,201812160atl,crd,FitzLa00,pass_int,0,,,,,
player,201812160atl,crd,FitzLa00,pass_sacked,0,,,,,
player,201812160atl,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201812160atl,crd,FitzLa00,pass_long,0,,,,,
player,201812160atl,crd,FitzLa00,pass_rating,,,,,,
player,201812160atl,crd,FitzLa00,rush_att,0,,,,,
player,201812160atl,crd,FitzLa00,rush_yds,0,,,,,
player,201812160atl,crd,FitzLa00,rush_td,0,,,,,
player,201812160atl,crd,FitzLa00,rush_long,0,,,,,
player,201812160atl,crd,FitzLa00,targets,8,,,,,
player,201812160atl,crd,FitzLa00,rec,7,,,,,
player,201812160atl,crd,FitzLa00,rec_yds,82,,,,,
player,201812160atl,crd,FitzLa00,rec_td,0,,,,,
player,201812160atl,crd,FitzLa00,rec_long,26,,,,,
player,201812160atl,crd,FitzLa00,fumbles,0,,,,,
player,201812160atl,crd,FitzLa00,fumbles_lost,0,,,,,
player,201812160atl,crd,SealRi00,pass_cmp,0,,,,,
player,201812160atl,crd,SealRi00,pass_att,0,,,,,
player,201812160atl,crd,SealRi00,pass_yds,0,,,,,
player,201812160atl,crd,SealRi00,pass_td,0,,,,,
player,201812160atl,crd,SealRi00,pass_int,0,,,,,
player,201812160atl,crd,SealRi00,pass_sacked,0,,,,,
player,201812160atl,crd,SealRi00,pass_sacked_yds,0,,,,,
player,201812160atl,crd,SealRi00,pass_long,0,,,,,
player,201812160atl,crd,SealRi00,pass_rating,,,,,,
player,201812160atl,crd,SealRi00,rush_att,0,,,,,
player,201812160atl,crd,SealRi00,rush_yds,0,,,,,
player,201812160atl,crd,SealRi00,rush_td,0,,,,,
player,201812160atl,crd,SealRi00,rush_long,0,,,,,
player,201812160atl,crd,SealRi00,targets,8,,,,,
player,201812160atl,crd,SealRi00,rec,3,,,,,
player,201812160atl,crd,SealRi00,rec_yds,22,,,,,
player,201812160atl,crd,SealRi00,rec_td,0,,,,,
player,201812160atl,crd,SealRi00,rec_long,9,,,,,
player,201812160atl,crd,SealRi00,fumbles,0,,,,,
player,201812160atl,crd,SealRi00,fumbles_lost,0,,,,,
player,201812160atl,crd,GresJe00,pass_cmp,0,,,,,
player,201812160atl,crd,GresJe00,pass_att,0,,,,,
player,201812160atl,crd,GresJe00,pass_yds,0,,,,,
player,201812160atl,crd,GresJe00,pass_td,0,,,,,
player,201812160atl,crd,GresJe00,pass_int,0,,,,,
player,201812160atl,crd,GresJe00,pass_sacked,0,,,,,
player,201812160atl,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201812160atl,crd,GresJe00,pass_long,0,,,,,
player,201812160atl,crd,GresJe00,pass_rating,,,,,,
player,201812160atl,crd,GresJe00,rush_att,0,,,,,
player,201812160atl,crd,GresJe00,rush_yds,0,,,,,
player,201812160atl,crd,GresJe00,rush_td,0,,,,,
player,201812160atl,crd,GresJe00,rush_long,0,,,,,
player,201812160atl,crd,GresJe00,targets,1,,,,,
player,201812160atl,crd,GresJe00,rec,1,,,,,
player,201812160atl,crd,GresJe00,rec_yds,16,,,,,
player,201812160atl,crd,GresJe00,rec_td,0,,,,,
player,201812160atl,crd,GresJe00,rec_long,16,,,,,
player,201812160atl,crd,GresJe00,fumbles,0,,,,,
player,201812160atl,crd,GresJe00,fumbles_lost,0,,,,,
player,201812160atl,crd,SherTr00,pass_cmp,0,,,,,
player,201812160atl,crd,SherTr00,pass_att,0,,,,,
player,201812160atl,crd,SherTr00,pass_yds,0,,,,,
player,201812160atl,crd,SherTr00,pass_td,0,,,,,
player,201812160atl,crd,SherTr00,pass_int,0,,,,,
player,201812160atl,crd,SherTr00,pass_sacked,0,,,,,
player,201812160atl,crd,SherTr00,pass_sacked_yds,0,,,,,
player,201812160atl,crd,SherTr00,pass_long,0,,,,,
player,201812160atl,crd,SherTr00,pass_rating,,,,,,
player,201812160atl,crd,SherTr00,rush_att,0,,,,,
player,201812160atl,crd,SherTr00,rush_yds,0,,,,,
player,201812160atl,crd,SherTr00,rush_td,0,,,,,
player,201812160atl,crd,SherTr00,rush_long,0,,,,,
player,201812160atl,crd,SherTr00,targets,5,,,,,
player,201812160atl,crd,SherTr00,rec,3,,,,,
player,201812160atl,crd,SherTr00,rec_yds,15,,,,,
